Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2094676,0.00056421,7.2e-07,0.7862625397002718,0.02829893327882026,,-84.11957356
1.0,0.20945306,0.0005692,-1.69e-06,1.6135597383487232,0.028146398759036243,,-84.13366449
2.0,0.2094742,0.00057808,4.8e-07,0.2349646287554153,0.028139459445603362,,-84.14314623
3.0,0.20944035,0.00056421,3.66e-06,2.2992853590542417,0.028081260512451224,,-84.15539349
4.0,0.20944421,0.00055411,3.63e-06,2.1827293668280348,0.027874268928215425,,-84.13708845
5.0,0.20947136,0.00058124,1.21e-06,0.3473935308595139,0.028195959240665765,,-84.15539349
6.0,0.20944879,0.00061296,-5.8e-07,1.3074506281105052,0.028159452963643486,,-84.1305039
7.0,0.20947614,0.0005911,-2.29e-06,0.019574855510641507,0.028151606035367035,,-84.13076729
8.0,0.20946912,0.00057788,-8.6e-07,0.5600137896402694,0.028187684584783476,,-84.13195251
9.0,0.20943232,0.00059986,-2.3e-06,2.464515085064666,0.028237214930705627,,-84.18936975
10.0,0.20945347,0.00060318,-2.97e-06,1.1984185472683793,0.02806003164101796,,-84.19253033
11.0,0.20945824,0.00058956,-3.26e-06,1.0864082338158392,0.027881174643076195,,-84.1538132
12.0,0.20945875,0.00058656,-2.97e-06,1.0897595492447993,0.027939772345811614,,-84.16461185
13.0,0.20947969,0.00061454,1.51e-06,-0.5478520082216692,0.02814315124562971,,-84.1290553
14.0,0.20944279,0.00066077,5.29e-06,0.9578525659996965,0.028207614230818072,,-84.15078431
15.0,0.20946434,0.00067963,4.35e-06,-0.5079961188083658,0.028267676667328684,,-84.16658722
16.0,0.20946648,0.00069905,4.92e-06,-0.8811338700643419,0.02825303749377162,,-84.13340111
17.0,0.20945529,0.00066207,5.33e-06,0.21269967856775562,0.02803373525847745,,-84.13735183
18.0,0.20946678,0.00062743,6.67e-06,-0.05862051526279476,0.028039664668496236,,-84.15394489
19.0,0.20946658,0.00067521,7.55e-06,-0.6443043666565061,0.02806098245931826,,-84.09336706
20.0,0.20948935,0.00066945,7.5e-06,-1.8981871157527201,0.028162578868642117,,-84.12549965
21.0,0.20948112,0.0006381,5.13e-06,-0.9964617388449989,0.028323539263555644,,-84.17738587
22.0,0.20949006,0.00066191,5.58e-06,-1.816556755003863,0.028279151445722482,,-84.15420827
23.0,0.20949545,0.00067079,3.7e-06,-2.171442822689801,0.02789106592790644,,-84.14275116
24.0,0.20950704,0.00065493,1.19e-06,-2.6098682505159965,0.028028707207863462,,-84.15552518
25.0,0.20947512,0.00064528,7.9e-07,-0.6375499972820994,0.02794153227807151,,-84.08322686
