Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20939405,0.00065546,6.66e-06,214.9859832042688,0.028301439354415855,,-113.77175008
1.0,0.20937137,0.00065706,8.37e-06,321.3107532119248,0.02820501716995786,,-113.74986558
2.0,0.20941225,0.00066708,6.06e-06,114.42649329015012,0.028381413850631906,,-113.76962795
3.0,0.20941489,0.00068356,7.67e-06,81.68102175873219,0.02844742806143883,,-113.74761081
4.0,0.20942588,0.00070039,8.04e-06,8.96388416378705,0.028411981696412913,,-113.77625962
5.0,0.20939821,0.00069209,9.71e-06,151.99423682460557,0.028425220091262703,,-113.72559367
6.0,0.20942618,0.00063995,8.03e-06,70.43272317328673,0.028466626910164744,,-113.77161745
7.0,0.2094092,0.00061682,5.61e-06,182.25153195951705,0.028349040020128988,,-113.77559645
8.0,0.20943635,0.00060284,8.35e-06,57.87077623224697,0.02840523923141143,,-113.72997057
9.0,0.20935255,0.00058524,1.027e-05,487.9507375140925,0.028392924438248764,,-113.73196007
10.0,0.20932886,0.00062584,1.095e-05,555.0373670587134,0.02804123421767569,,-113.78753346
11.0,0.20925207,0.00069863,6.85e-06,852.940097258768,0.02771481845466747,,-113.78912506
12.0,0.20926967,0.00074015,7.43e-06,719.1209546570104,0.027495348419825354,,-113.79177773
13.0,0.20925126,0.00078644,7.35e-06,753.8443536979886,0.027234815534644796,,-113.78740082
14.0,0.20899742,0.00089678,5.4e-06,1705.4489176580466,0.02506847323357382,,-113.79535883
15.0,0.20819856,0.00108451,8.68e-06,4823.863312447797,0.024111277666157463,,-113.71259559
16.0,0.20628416,0.00140872,9.92e-06,12444.93536118729,0.023931842785731423,,-113.70251546
17.0,0.20414399,0.00173757,1.367e-05,20474.939894062023,0.02336399927914767,,-113.71962516
18.0,0.20302285,0.00213621,1.707e-05,24988.211173855863,0.02370685832924821,,-113.68116148
19.0,0.20293203,0.00249885,1.652e-05,25663.069312909756,0.024279330463619228,,-113.73713277
20.0,0.20291281,0.00275239,1.581e-05,25909.769755785215,0.024640690116943226,,-113.7301032
21.0,0.20291555,0.00294446,1.644e-05,25917.25785170723,0.024817420106687534,,-113.76087415
22.0,0.20291444,0.00306854,1.704e-05,25565.8982184719,0.0245789569805531,,-113.75331404
23.0,0.20314041,0.0031469,1.782e-05,24701.107946954828,0.024732825245818036,,-113.77201535
24.0,0.20333751,0.00325808,1.9e-05,23566.78308075989,0.024522862709974787,,-113.76127205
25.0,0.20348965,0.00334073,1.975e-05,22970.54662756252,0.0246464628730056,,-113.76657738
26.0,0.20362827,0.00334333,1.866e-05,22426.796359493965,0.024693647926371774,,-113.78076915
27.0,0.20370231,0.00344738,1.753e-05,21936.290465572056,0.0245946138909472,,-113.74296864
28.0,0.20375102,0.00350245,1.823e-05,21736.234806539487,0.024656005617563988,,-113.76472051
29.0,0.20374766,0.00350698,1.973e-05,21516.882711057828,0.024398060992421148,,-113.79535883
30.0,0.20378509,0.00352092,2.228e-05,21337.024218376737,0.024389513462510923,,-113.78740082
31.0,0.20380187,0.00357716,2.457e-05,21259.290259881156,0.024440090682421065,,-113.74880451
32.0,0.20378855,0.00359471,2.43e-05,21016.252676378415,0.02411392742287983,,-113.74323391
33.0,0.20378275,0.0036091,2.321e-05,21165.21242704644,0.024269400024204888,,-113.7392549
34.0,0.20377441,0.00361515,2.304e-05,21203.43649951808,0.024278995783971673,,-113.73421484
35.0,0.20375804,0.00366076,2.191e-05,21357.86202869535,0.024420151715379514,,-113.76193521
36.0,0.20373688,0.00366537,2.422e-05,21473.307753099783,0.02445885117138883,,-113.76896478
37.0,0.20375692,0.00366092,2.678e-05,21427.497286284142,0.024502548066565887,,-113.73103163
38.0,0.2037441,0.0036808,2.694e-05,21422.45812127781,0.024455007419218616,,-113.77891229
39.0,0.20374441,0.00372092,2.546e-05,21420.75357762248,0.024491516597257488,,-113.79204299
40.0,0.2037381,0.0037412,2.537e-05,21382.373744516317,0.024437110672968703,,-113.76312891
41.0,0.20379719,0.00379291,2.707e-05,20977.551839103606,0.024309691852325576,,-113.76113941
42.0,0.20379526,0.00379507,2.843e-05,20764.720312628808,0.024058152675517305,,-113.74482551
43.0,0.20379516,0.00382269,2.509e-05,20849.088056498178,0.024177119154413774,,-113.7253284
44.0,0.20374573,0.00383323,2.299e-05,20986.86691778201,0.02410642352915231,,-113.78289129
45.0,0.2037678,0.00384497,2.376e-05,20871.89735568979,0.024091946430743156,,-113.75968045
46.0,0.20374532,0.00388625,2.312e-05,21049.95043469541,0.024228982891216017,,-113.75052874
47.0,0.20372275,0.00387523,2.462e-05,21058.077453820355,0.024122383128016612,,-113.77453539
48.0,0.20372804,0.00392601,2.637e-05,21032.292596731702,0.024170249570410147,,-113.75570144
49.0,0.20368949,0.00394545,2.421e-05,21137.15929123014,0.024122602696965943,,-113.7380612
50.0,0.20368532,0.00395026,2.137e-05,21317.87643246489,0.02430903530390449,,-113.76299628
51.0,0.20366874,0.00397603,2.052e-05,21317.81575933232,0.024253856310176652,,-113.76538368
52.0,0.20363762,0.00396296,1.941e-05,21460.372498115026,0.024254091035688086,,-113.74243811
53.0,0.2036599,0.0039497,1.896e-05,21292.754293654234,0.024155684026077495,,-113.79244089
54.0,0.20367515,0.00395451,2.177e-05,21340.780063816215,0.024291550053264704,,-113.77307642
55.0,0.20365522,0.00395767,2.447e-05,21423.12458794517,0.024298056726943126,,-113.76180258
56.0,0.20366112,0.00394076,2.722e-05,21295.989914647602,0.024169785032237708,,-113.69906699
57.0,0.20366935,0.00393407,2.947e-05,21411.92113416953,0.024337563254331052,,-113.76021098
58.0,0.20367078,0.00395078,2.935e-05,21363.324293575915,0.024305130827139875,,-113.73434747
59.0,0.20367749,0.00395699,2.586e-05,21315.040482970835,0.02428240471860931,,-113.74787607
60.0,0.20367281,0.00399182,2.332e-05,21373.805750477204,0.02435685559052889,,-113.75662988
61.0,0.20367678,0.00399892,2.096e-05,21262.50946660412,0.024251936914706666,,-113.75384458
62.0,0.20367169,0.00399098,2.404e-05,21279.240210860866,0.024244129286417903,,-113.76432261
63.0,0.20369102,0.00397928,2.579e-05,21251.517899346603,0.024295925545904835,,-113.78037125
64.0,0.20369763,0.00399375,2.623e-05,21143.76213691681,0.024218965583098502,,-113.71843146
65.0,0.20368085,0.00404092,2.789e-05,21030.442480031976,0.02405808261291917,,-113.73898964
66.0,0.2036842,0.00405964,2.709e-05,21108.448212899882,0.024180133280853663,,-113.78952296
67.0,0.20369386,0.00406457,2.686e-05,21039.83092580248,0.0241518670231133,,-113.74601921
68.0,0.20369132,0.00406649,2.564e-05,20987.914044345154,0.024080092855599797,,-113.71882936
69.0,0.20368715,0.00404124,2.816e-05,20975.892846770847,0.024026172465271674,,-113.78620712
70.0,0.20367556,0.00403282,2.941e-05,21115.293351208515,0.024124677522389615,,-113.78156496
71.0,0.20366905,0.00402537,2.707e-05,21053.367556963756,0.02401229541268017,,-113.76896478
72.0,0.2036599,0.00401058,2.755e-05,21107.664555802676,0.024017707553585163,,-113.73660224
73.0,0.20365766,0.00405258,3.03e-05,20829.491743788316,0.023734997682742724,,-113.77334168
74.0,0.20360579,0.00409984,2.885e-05,20952.526364310736,0.023677291190468356,,-113.78355446
75.0,0.20352911,0.00415022,2.896e-05,20762.98426436981,0.02316482449219761,,-113.75331404
76.0,0.20318364,0.00424573,3.003e-05,20885.0831848028,0.021933523657245494,,-113.7169725
