Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20944622,0.00065618,1.15e-06,5.949937074448089,0.02672218922017173,,11.29749277
1.0,0.20941978,0.00067478,3.5e-07,11.851463730736725,0.02711476653585001,,11.29059584
2.0,0.20943086,0.00067354,-6.7e-07,9.160106670914507,0.02704323250653094,,11.18143866
3.0,0.20948852,0.00065442,-1.54e-06,-4.3729338737779795,0.02688081240094816,,10.97943818
4.0,0.2094928,0.00066099,-3.6e-07,-5.913998573652577,0.026920511353880783,,11.21446434
5.0,0.20944723,0.00066167,2.05e-06,5.38082397637333,0.026980725139546895,,11.57456364
6.0,0.20946066,0.00062909,2.2e-06,3.69186652735189,0.026966281569670056,,11.13886337
7.0,0.20945669,0.00060396,2.22e-06,6.006932218270331,0.026859414812020345,,11.11167356
8.0,0.20946737,0.00061446,2.18e-06,2.766090514457739,0.02692561395944777,,10.54333991
9.0,0.20944896,0.00063125,3.85e-06,6.418334148786873,0.02705380997912146,,11.16711426
10.0,0.20945445,0.00064288,6.11e-06,4.200396358634011,0.027028328286483168,,11.50227853
11.0,0.2094332,0.00061807,6.1e-06,10.873221292816696,0.026914818291235817,,11.37680739
12.0,0.20946839,0.00059686,6.56e-06,3.0723147143215694,0.027047743931643206,,11.53795687
13.0,0.20944683,0.00058524,5.18e-06,9.322977203318214,0.02713724707707362,,10.78645669
14.0,0.20945761,0.000605,5.63e-06,5.470122826760303,0.027096227636447527,,10.77584603
15.0,0.2094511,0.00063021,5.14e-06,5.821445938696545,0.02707739371472341,,11.026523
16.0,0.20945791,0.00063434,3.71e-06,3.9832914885137045,0.027004286884728133,,10.627562
17.0,0.20946524,0.0006074,2.89e-06,3.63642558093171,0.027067323073521676,,11.0161776
18.0,0.20947296,0.00061454,4.37e-06,1.1575337670885937,0.02696391711682049,,11.10132816
19.0,0.20947093,0.00060488,4.03e-06,2.224617655857833,0.027083907374508064,,11.06724141
20.0,0.20946859,0.00058973,2.3e-06,3.7708502002611493,0.02701466687531359,,11.10199133
21.0,0.20942527,0.0005852,1.97e-06,15.047467871788994,0.027033427135216233,,11.09562493
22.0,0.20946818,0.00057883,2.67e-06,4.438890240602142,0.027115246313348197,,11.08010684
23.0,0.2094151,0.00061173,4.47e-06,15.95954661811139,0.026966476343930304,,10.95145256
24.0,0.20946696,0.00061402,4.45e-06,2.688215724843734,0.02686090010480918,,10.74268777
25.0,0.20946198,0.00063494,2.36e-06,3.0190038172459546,0.026845179998318498,,11.18581555
26.0,0.2094692,0.0006141,3.42e-06,2.209860735190699,0.026878781005144445,,10.92426274
27.0,0.20947042,0.00059771,5.02e-06,2.6255403095746566,0.026835448702474136,,11.11339778
28.0,0.20948507,0.00059903,5.39e-06,-1.1694382833728958,0.02679830662916313,,10.97983608
29.0,0.20952626,0.00062139,4.28e-06,-12.681257826142922,0.0269111243741893,,11.0149839
30.0,0.20947622,0.00065229,4.99e-06,-1.7284049779114,0.02696963300553842,,11.03845999
31.0,0.20948446,0.00063438,6.79e-06,-3.0343410476131645,0.027069988824859736,,11.04403059
32.0,0.20944784,0.00063654,7.22e-06,6.12042483523271,0.027032861312341984,,11.07228147
33.0,0.20947602,0.00065807,6.01e-06,-2.0745055544219118,0.02697415713541658,,11.11419359
34.0,0.2094749,0.00066071,3.84e-06,-1.740805295120902,0.026974974735101638,,11.00172057
35.0,0.20947296,0.0006337,4.78e-06,0.10321280482799226,0.026772038973403665,,11.17958178
36.0,0.20947459,0.00060147,4.49e-06,1.4230205907512985,0.026866647375528848,,10.91219311
37.0,0.2094395,0.00060817,4.58e-06,9.910546110251655,0.026841929146298082,,10.83393948
38.0,0.20945903,0.0006036,6.5e-06,5.073632151378589,0.026920648952219513,,10.94574933
39.0,0.20946046,0.00059189,8.48e-06,5.200716326589864,0.027134814363284406,,10.98580458
