Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20950402,0.00059519,1.4e-07,-243791.11089745865,0.02846059962376497,,-208.660553
1.0,0.20951693,0.00059134,5.4e-07,-244806.8011926339,0.028571042981678885,,-208.66580491
2.0,0.20950473,0.00059457,4.25e-06,-244978.72164846997,0.028597927819700063,,-208.67394536
3.0,0.20951053,0.00056275,3.48e-06,-243889.4031232539,0.02847151430897817,,-208.68983238
4.0,0.20951734,0.00056358,4.01e-06,-245898.26503580614,0.02870124720164625,,-208.64702934
5.0,0.2094853,0.00057833,4.07e-06,-245754.66787382256,0.028703786762935994,,-208.69167055
6.0,0.20948713,0.00062568,3.83e-06,-243814.3945746904,0.028469435647123665,,-208.70322474
7.0,0.20953555,0.00062054,6.24e-06,-244575.08274610157,0.028526306490309378,,-208.71320337
8.0,0.20948123,0.0006292,7.46e-06,-244916.42051886997,0.028600727478364937,,-208.66147208
9.0,0.20951521,0.0006403,6.55e-06,-245905.4564083154,0.02869220272753349,,-208.6663301
10.0,0.20952772,0.00060596,5.86e-06,-246264.17932330756,0.028730669366485006,,-208.68983238
11.0,0.20952802,0.00058728,5.8e-06,-243776.07105088636,0.02844279524569425,,-208.66934994
12.0,0.20949049,0.00059859,7.32e-06,-247204.56940177467,0.028866054824405494,,-208.68576215
13.0,0.20950035,0.00061462,6.27e-06,-246100.69527191017,0.028728561996878756,,-208.69127666
14.0,0.20949252,0.0006089,5.23e-06,-244071.15882834594,0.02849786055560876,,-208.69219574
15.0,0.20949873,0.00058077,3.64e-06,-244466.31154625726,0.028544149904003443,,-208.72094993
16.0,0.20953168,0.0005739,2.31e-06,-241929.6498518689,0.028227580685147535,,-208.63718201
17.0,0.209521,0.00060733,1.06e-06,-245724.29694549422,0.02867305777563497,,-208.66475452
18.0,0.20952334,0.00061752,9.7e-07,-246050.05442566244,0.02870810349072167,,-208.65832094
19.0,0.20951561,0.00064805,1.6e-06,-245196.85015177063,0.028609296414512406,,-208.6889133
20.0,0.20951826,0.00063587,5.21e-06,-244382.515249955,0.028513402741039532,,-208.67512704
21.0,0.20952436,0.00062137,6.27e-06,-244981.78653657308,0.02858105079901694,,-208.6776217
22.0,0.20951622,0.0006171,4.86e-06,-243234.9999752733,0.0283835358758828,,-208.69337742
23.0,0.20951826,0.00061681,2.09e-06,-242883.30581882584,0.028341813233257098,,-208.72383848
24.0,0.20953474,0.0006125,8.7e-07,-244795.57167077973,0.028554891510119,,-208.67092552
25.0,0.2095383,0.00058723,1.63e-06,-243466.4734841041,0.028400831295105646,,-208.6717133
26.0,0.20953118,0.000585,5.54e-06,-242809.68968701953,0.028328334471384532,,-208.66107819
27.0,0.20953362,0.00060708,6.24e-06,-242871.1358442351,0.028330692423802473,,-208.6493927
28.0,0.20953443,0.00060078,2.44e-06,-243717.01492937535,0.02843055513892083,,-208.66948124
29.0,0.2095265,0.00059241,4.5e-07,-242324.75987869946,0.028274950523567734,,-208.70650719
30.0,0.20953341,0.00060169,1.28e-06,-245630.83765365923,0.028654625056723174,,-208.69377131
31.0,0.20951124,0.00064312,4.02e-06,-244346.3679511743,0.028513098066366874,,-208.70414383
32.0,0.20950981,0.00063972,6.09e-06,-243334.7525126076,0.02839600065032411,,-208.68484307
33.0,0.20948937,0.00061205,6.6e-06,-244416.647417379,0.02853954281273849,,-208.66304765
34.0,0.20952426,0.00059428,5.48e-06,-243507.5816701452,0.028413054556304353,,-208.67578353
35.0,0.20950198,0.00060476,3.74e-06,-244438.6685514366,0.02853540635696983,,-208.69600337
36.0,0.20949883,0.00062091,2.05e-06,-247243.85012424536,0.02886310694156557,,-208.69140795
