Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20820962,0.00067968,3.4e-06,0.49274030339620195,0.027414787016843262,,-208.84214376
1.0,0.20822315,0.00069433,2.94e-06,-0.4317774476198327,0.02724571498052337,,-208.81874273
2.0,0.2081904,0.00070363,4.34e-06,1.2685386420887772,0.02721690594690478,,-208.79639343
3.0,0.20828824,0.00066408,6.8e-06,-3.8071415357075313,0.027260431061531747,,-208.89696527
4.0,0.20817881,0.00064638,5.76e-06,2.585146272169658,0.027495336331554085,,-208.83333551
5.0,0.20823342,0.00063164,4.9e-06,-0.3138654568058646,0.027322404323047656,,-208.74459565
6.0,0.20822234,0.00060979,6.61e-06,0.5294050516980882,0.027164775397536107,,-208.83675364
7.0,0.20821756,0.00063334,9.65e-06,0.46919564956860477,0.02748450600848524,,-208.8200574
8.0,0.20822915,0.00065308,1.135e-05,-0.4527824332555505,0.027491359314406202,,-208.82452726
9.0,0.20822264,0.00065982,1.424e-05,-0.21949825623130875,0.027414519661482593,,-208.82597339
10.0,0.20825214,0.00066108,1.586e-05,-1.9347626487874656,0.027463709625965057,,-208.83990883
11.0,0.20824126,0.00064723,1.66e-05,-1.1769530324214363,0.027613268935703653,,-208.82728805
12.0,0.20826251,0.00063858,1.542e-05,-2.231917116460236,0.027273129962757006,,-208.81059181
13.0,0.20825214,0.00065288,1.429e-05,-1.8039795316814269,0.02741000217451003,,-208.85292401
14.0,0.20821837,0.00067387,1.21e-05,-0.10083578456927215,0.027078113724424573,,-208.79718223
15.0,0.20823454,0.00067626,1.226e-05,-1.0412638119264743,0.027285254938529215,,-208.77838253
16.0,0.20823515,0.00062352,1.117e-05,-0.4389348966340341,0.027409326458081213,,-208.8360963
17.0,0.20822213,0.00060131,1.08e-05,0.5598495429750316,0.027194681946296706,,-208.80441289
18.0,0.20823881,0.00059461,9.76e-06,-0.27562160264344854,0.027165182800712926,,-208.80625342
19.0,0.20825275,0.00062486,7.9e-06,-1.3834059328027286,0.027387687755091532,,-208.82557899
20.0,0.20823922,0.00064264,7.63e-06,-0.8277157987507485,0.02751002177396854,,-208.80796248
21.0,0.20824858,0.00061869,1.046e-05,-1.1262856236300494,0.027407983472705733,,-208.82163499
22.0,0.20822366,0.00059684,1.33e-05,0.4823671274615546,0.02743736977269555,,-208.83425577
23.0,0.20820962,0.00057057,1.359e-05,1.5722025416109655,0.02731851057805278,,-208.84266963
24.0,0.20823098,0.00058734,1.452e-05,0.15655444728476764,0.02737567495470044,,-208.81032888
25.0,0.20820973,0.00060581,1.351e-05,1.161721974075436,0.027486444062145458,,-208.8392515
26.0,0.20822712,0.00060123,1.126e-05,0.27473694208546046,0.027418326092924515,,-208.82768245
27.0,0.20822905,0.00057589,8.69e-06,0.5170402773890743,0.027589774140270758,,-208.84214376
28.0,0.20821837,0.00059128,6.59e-06,0.9734876734598243,0.02733178020401369,,-208.80993448
29.0,0.20821512,0.00063359,6.03e-06,0.6697304411331457,0.02727347555639412,,-208.80704222
30.0,0.20822203,0.00065828,7.17e-06,-0.029459312808822198,0.027431390837229022,,-208.83188938
31.0,0.20822386,0.0006195,9.56e-06,0.27429483355997597,0.027156487895504053,,-208.82202939
32.0,0.20820332,0.00058433,8.53e-06,1.8649363871365259,0.02734179410325211,,-208.82623632
33.0,0.2082199,0.00060127,1.02e-05,0.7006983612990191,0.027348527356604268,,-208.80677928
34.0,0.20826027,0.00061085,1.244e-05,-1.747236147558286,0.027643016463944986,,-208.81019741
35.0,0.20798637,0.00060305,1.312e-05,13.868613216032859,0.027549212373887636,,-208.83057471
36.0,0.2079523,0.00058588,8.99e-06,16.025779920847043,0.02745224252647168,,-208.80559609
37.0,0.20823505,0.00057065,7.23e-06,0.2648030656330491,0.02738380720010383,,-208.82820832
38.0,0.20816355,0.00056224,8.67e-06,4.330699841070138,0.02715994587398143,,-208.8145358
39.0,0.20818501,0.00056261,8.95e-06,3.1378550614172114,0.027304801598615123,,-208.83280964
40.0,0.20817311,0.00060123,1.084e-05,3.299558762679887,0.02715333768995898,,-208.81913713
41.0,0.20819762,0.00059952,1.269e-05,1.9203049921992343,0.027246918359285274,,-208.85042615
42.0,0.20816518,0.00060443,1.163e-05,3.735970275164297,0.027488950283570946,,-208.83294111
43.0,0.20816508,0.00060683,1.268e-05,3.669985630254113,0.027318587209070523,,-208.81479874
44.0,0.20817077,0.00062076,1.22e-05,3.2182739690285027,0.027508114332858737,,-208.81032888
45.0,0.20820078,0.00062762,1.292e-05,1.423668188523113,0.027507436678116615,,-208.85174081
46.0,0.20815175,0.00059505,1.287e-05,4.605879946062761,0.02763035729668954,,-208.8380683
47.0,0.2081606,0.00062823,1.132e-05,3.707865099658139,0.02739445498984185,,-208.82794538
48.0,0.20817464,0.00063655,9.74e-06,2.850382263646109,0.02740765431921538,,-208.81111768
49.0,0.20818511,0.00063363,9.65e-06,2.285802296471498,0.027289883194046446,,-208.80914568
50.0,0.20814657,0.00063753,1.127e-05,4.370779976506915,0.02726953060163482,,-208.80888275
51.0,0.20816304,0.00064601,1.224e-05,3.3282870970800733,0.027269651424001222,,-208.83294111
52.0,0.20814626,0.00066802,9.4e-06,4.093589163832586,0.027442165693672638,,-208.82965445
53.0,0.20816447,0.00065109,7.95e-06,3.276260820082701,0.02730879338266869,,-208.82557899
54.0,0.2081309,0.00063408,1.03e-05,5.3099717924860705,0.02727201807432663,,-208.8153246
55.0,0.20816202,0.00065349,1.075e-05,3.3341577941090184,0.027329195163712648,,-208.82820832
56.0,0.20815094,0.00066213,1.048e-05,3.8508206657509345,0.02725343392035256,,-208.82820832
57.0,0.20816833,0.00068418,1.176e-05,2.593373103341763,0.027261222542446725,,-208.83675364
58.0,0.20815124,0.00067172,1.412e-05,3.6535474558181926,0.027268250842283428,,-208.81506167
59.0,0.20816731,0.00069458,1.564e-05,2.4506780156775534,0.02722432316757317,,-208.79862836
60.0,0.2081486,0.00066611,1.554e-05,3.839529839495958,0.027265702824934988,,-208.84661362
61.0,0.20816497,0.0006236,1.288e-05,3.463465155466353,0.02722126747887283,,-208.81322114
62.0,0.2081725,0.00061889,8.72e-06,3.1848924290657177,0.02729082314516765,,-208.84188083
63.0,0.20816975,0.00063265,6.69e-06,3.1938730849121257,0.02708916540734245,,-208.81598194
64.0,0.20812266,0.00060326,9.88e-06,6.119374398201644,0.02717622723736231,,-208.82426432
65.0,0.20816233,0.00060033,9.85e-06,3.943915309745934,0.02723789042165918,,-208.82216086
66.0,0.20814067,0.00063046,1.042e-05,4.83080674473459,0.027438427546240166,,-208.86962025
67.0,0.20814046,0.00065803,1.35e-05,4.430944633240117,0.0272694317166687,,-208.80730515
68.0,0.20813843,0.00064955,1.222e-05,4.69322128669407,0.027412075646897033,,-208.84753388
69.0,0.20812917,0.00064528,1.33e-05,5.225620190844855,0.027311147740293522,,-208.86238959
70.0,0.20810741,0.00062941,1.217e-05,6.615851589730572,0.02714419617829218,,-208.83425577
71.0,0.20812175,0.00062275,1.33e-05,5.91649274644545,0.027357234333423124,,-208.81164354
72.0,0.20816518,0.00058462,1.521e-05,3.862093747800359,0.027223989408119324,,-208.80467582
73.0,0.20813538,0.00056196,1.707e-05,5.758562336030357,0.027214563607211514,,-208.83662217
74.0,0.20811127,0.00059457,1.614e-05,6.8333131298117005,0.027564428247960574,,-208.79705077
75.0,0.20812816,0.0006288,1.103e-05,5.517393504685352,0.02730167478726191,,-208.79100331
76.0,0.20813619,0.00063282,1.082e-05,5.0138764039312145,0.02725134227921105,,-208.81138061
