Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,-0.06243273,-0.025001,-0.0025481,10.269189779422767,0.025488508837963553,,-65.60790462
1.0,-0.06242277,-0.02499608,-0.00254721,9.865493419274548,0.02528146322536888,,-65.64636869
2.0,-0.06243578,-0.02499441,-0.00254779,10.401019445437653,0.025534902753560587,,-65.64957403
3.0,-0.06244879,-0.02499974,-0.00254762,10.737938737966138,0.025340190847768097,,-65.65785449
4.0,-0.06242266,-0.02499608,-0.00254787,10.031439684142667,0.02570928188194627,,-65.66867251
5.0,-0.06244472,-0.02499026,-0.00254695,10.722646168450552,0.025583746847409567,,-65.65705316
6.0,-0.06241799,-0.02499714,-0.00254759,9.77500338781813,0.025455614802845274,,-65.75227845
7.0,-0.06242937,-0.02500149,-0.0025479,10.199903425676935,0.025597910598985064,,-65.60723684
8.0,-0.06242785,-0.02499587,-0.00254756,10.163161079404874,0.02560716694731068,,-65.65972427
9.0,-0.06243395,-0.02499323,-0.00254758,10.3398533420778,0.025529712229178804,,-65.69551723
10.0,-0.06243476,-0.02499539,-0.00254785,10.312616988247687,0.025404654945625108,,-65.64316335
11.0,-0.06243202,-0.02499274,-0.0025482,10.203118168108627,0.025340202746731412,,-65.62713665
12.0,-0.06244208,-0.02499771,-0.00254796,10.47434343439783,0.025223446123720423,,-65.64075935
13.0,-0.06242714,-0.02499754,-0.00254758,10.008486400550764,0.025284364122178122,,-65.60483283
14.0,-0.06243608,-0.02499071,-0.00254783,10.279823878607612,0.02519473187788925,,-65.61004151
15.0,-0.06243354,-0.02499437,-0.00254759,10.23253354612755,0.025303516064666944,,-65.58626858
16.0,-0.06242795,-0.02499779,-0.00254754,10.102540612038085,0.025456086280841398,,-65.59601815
17.0,-0.06242643,-0.02499327,-0.00254792,10.03939545032717,0.02539635617436867,,-65.65892294
18.0,-0.06242165,-0.0249973,-0.00254748,9.86181183763047,0.025370013289175392,,-65.65251226
19.0,-0.06243618,-0.02499705,-0.00254743,10.459403959010178,0.025662323522051115,,-65.61110996
20.0,-0.06242683,-0.02499787,-0.00254787,10.15805936657065,0.025687063634476186,,-65.60309661
21.0,-0.06243161,-0.02499946,-0.00254758,10.276703508647488,0.02559688249961636,,-65.5994906
22.0,-0.06243618,-0.02499274,-0.00254744,10.395362783833178,0.02548370135590373,,-65.64610158
23.0,-0.06243334,-0.02499807,-0.00254727,10.197082301204414,0.02525353922606451,,-65.6581216
24.0,-0.06243883,-0.02499689,-0.00254753,10.362089087952533,0.025209195423920132,,-65.62646887
25.0,-0.0624312,-0.02499697,-0.00254754,10.165176326949094,0.02534057994994365,,-65.65411493
26.0,-0.062425,-0.02500039,-0.00254781,9.972103297002866,0.025382634289037972,,-65.6844321
27.0,-0.06242449,-0.02499779,-0.00254727,9.985961546328221,0.02545289558970832,,-65.631544
28.0,-0.06243547,-0.02499746,-0.00254781,10.341995667955377,0.02543002461909684,,-65.67161074
29.0,-0.06242887,-0.02499526,-0.00254802,10.188147740686704,0.02557707785456536,,-65.62299642
30.0,-0.06243934,-0.02499087,-0.00254758,10.545661030595385,0.02558437565902694,,-65.60469928
31.0,-0.06243598,-0.02499502,-0.00254743,10.316840116451152,0.025318643154491387,,-65.63661912
32.0,-0.06243019,-0.02499551,-0.00254769,10.111045728566243,0.025279407057037507,,-65.71141037
33.0,-0.0624308,-0.02499315,-0.00254782,10.167256211877843,0.025356606992261856,,-65.59361414
34.0,-0.06242592,-0.02499295,-0.00254741,10.014391580865173,0.025379092969167336,,-65.63621845
35.0,-0.06243446,-0.02499539,-0.00254757,10.369654947476622,0.025572453205935375,,-65.6258011
36.0,-0.06243629,-0.02499771,-0.00254827,10.447756506761584,0.025619769069404934,,-65.6581216
37.0,-0.06243852,-0.02499498,-0.0025479,10.465725681523137,0.025473240608023424,,-65.61765419
38.0,-0.06244401,-0.02499738,-0.00254751,10.59622946019923,0.025366756173432693,,-65.59121014
39.0,-0.06243771,-0.02499461,-0.002548,10.436185740744026,0.025463664277787745,,-65.63461578
40.0,-0.06244452,-0.02499384,-0.00254754,10.671899659338436,0.02549009511900157,,-65.65318004
41.0,-0.06242897,-0.02499229,-0.00254726,10.371571201534076,0.02602148737102689,,-65.60363083
42.0,-0.062437,-0.02499331,-0.00254779,10.488939572073491,0.02564561536205745,,-65.65277937
43.0,-0.0624312,-0.02499876,-0.00254704,10.210374100872786,0.025467266924722495,,-65.66439872
44.0,-0.06243842,-0.02499653,-0.00254764,10.355439480782515,0.025222836698271172,,-65.63434867
45.0,-0.06243893,-0.02499889,-0.00254761,10.402011249114372,0.025307336446457742,,-65.66920673
46.0,-0.06244178,-0.02499408,-0.00254801,10.600805740587214,0.025533701532924547,,-65.61484952
47.0,-0.06243679,-0.02499408,-0.00254762,10.499640319281825,0.0256944121364267,,-65.55381451
48.0,-0.06244493,-0.02499433,-0.00254783,10.732102455576543,0.02560096179864275,,-65.67134363
49.0,-0.06244208,-0.02499608,-0.0025475,10.53004977337083,0.02535410647871067,,-65.55608496
50.0,-0.06244066,-0.02498965,-0.00254792,10.504188018281877,0.025369124741349555,,-65.68550054
51.0,-0.0624309,-0.02499567,-0.00254705,10.22578451477905,0.02551475584096735,,-65.5982886
52.0,-0.06244391,-0.02499575,-0.00254728,10.698370617080924,0.025613510100515057,,-65.67975764
53.0,-0.06244269,-0.02499445,-0.00254794,10.549179683474154,0.025339772095477085,,-65.6971199
54.0,-0.06243364,-0.02499091,-0.00254747,10.269714145635824,0.025371267822803207,,-65.71047548
55.0,-0.06243293,-0.0249949,-0.00254795,10.300449077507658,0.02552047823413101,,-65.66733695
56.0,-0.06244086,-0.02499567,-0.00254767,10.587214465484017,0.025585583825794008,,-65.70019168
57.0,-0.06243923,-0.02499319,-0.00254806,10.528687243371714,0.02555878717950323,,-65.65478271
58.0,-0.06243313,-0.0249964,-0.00254754,10.283014077081024,0.025472493889425674,,-65.66813829
59.0,-0.06243374,-0.02499681,-0.00254787,10.19978150772312,0.025215683855168335,,-65.64944047
60.0,-0.06242968,-0.02499531,-0.00254767,10.103734025926578,0.025302169152313043,,-65.63461578
61.0,-0.06242887,-0.02499465,-0.00254789,10.123584478311919,0.0254132079001377,,-65.65197803
62.0,-0.06243273,-0.02499408,-0.00254752,10.36727954832104,0.025702738174057074,,-65.63768756
63.0,-0.06242968,-0.0249925,-0.00254802,10.209817119370577,0.02555003049327737,,-65.60670261
64.0,-0.06242399,-0.02499762,-0.00254737,9.984559676368324,0.025489559929731426,,-65.68977433
65.0,-0.06243151,-0.02499217,-0.00254753,10.177271340563925,0.025321391804923245,,-65.6179213
66.0,-0.06243354,-0.02499669,-0.00254763,10.319166550261107,0.025528978268182925,,-65.67935698
67.0,-0.06243761,-0.02498924,-0.00254797,10.36039985874018,0.025260755200035824,,-65.62646887
68.0,-0.06243923,-0.02499612,-0.00254778,10.426151184362144,0.025326888533083965,,-65.66920673
69.0,-0.06242958,-0.02499697,-0.00254739,10.129714277407787,0.025386654126045835,,-65.63328022
70.0,-0.06242846,-0.02499482,-0.00254726,10.205492658778404,0.02566032963783576,,-65.62927355
71.0,-0.06242826,-0.02499461,-0.0025478,10.150497095754838,0.025532183257658488,,-65.63354733
72.0,-0.06243923,-0.02499669,-0.00254796,10.54529918372592,0.025617374585012197,,-65.66907318
73.0,-0.06243273,-0.02499823,-0.00254836,10.246667892218971,0.02541615538551437,,-65.56276275
74.0,-0.06244391,-0.02499221,-0.00254791,10.646379512724385,0.02546585617627592,,-65.63541711
75.0,-0.06243263,-0.02499799,-0.00254806,10.28036513712033,0.02550972576731631,,-65.59815504
76.0,-0.062419,-0.02499819,-0.00254816,9.817794892711406,0.025479706356706284,,-65.60737039
77.0,-0.06242785,-0.0249964,-0.00254798,10.152687713350728,0.025579233455082624,,-65.58399813
