Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20954541,0.00062611,1.51e-06,8.399381627969044,0.02648091120233679,0.02383975753510312,61.34651214
1.0,0.20958711,0.00065829,2.66e-06,6.017219431285857,0.026373980555703284,0.027366787609632574,61.34803894
2.0,0.20954582,0.00064734,7.11e-06,8.093877657591642,0.026554927366915032,0.2160095353899799,61.56885162
3.0,0.2088587,0.00088031,1.443e-05,36.401929010566626,0.02489119836973588,0.593095898340002,61.42437867
4.0,0.20832638,0.00147781,2.373e-05,54.765249924858125,0.024922001302338667,0.40367749103876654,61.14383015
5.0,0.20706564,0.00220917,3.825e-05,105.05135903976105,0.02501682556090184,0.26041837989187744,61.12493606
6.0,0.20605368,0.00312344,6.476e-05,141.6447284159494,0.024978352076486247,0.21221291625982364,60.80220984
7.0,0.20502534,0.003864,9.405e-05,177.98421655762587,0.024608350212743324,0.2169973801586871,60.90545933
8.0,0.20411997,0.00445481,0.00011714,215.7141199950843,0.024996300881799785,0.2404753645998322,60.80812617
9.0,0.20346204,0.00501125,0.00013944,238.02894768522674,0.024811224820846873,0.25570989587229864,60.67033295
10.0,0.20282598,0.00543517,0.00015785,259.5626423689732,0.02456083803824278,0.27683358436708555,60.54437239
11.0,0.20269315,0.0057678,0.00017001,260.25778245798114,0.024375053401975978,0.30042298016246655,60.34588908
12.0,0.20228969,0.00602411,0.0001804,277.5566805173721,0.02456194421827951,0.3151888354325832,60.18691158
13.0,0.20210468,0.00626261,0.00018553,281.73083162774003,0.024410167785805965,0.3306036185968205,60.03575891
14.0,0.20190331,0.00650224,0.00018943,285.611429569711,0.024178912946435975,0.3455041114614683,59.84433702
15.0,0.20164691,0.00672284,0.00019274,296.4012049896412,0.024317083684961126,0.35463789697596815,59.68898566
16.0,0.2014134,0.00684274,0.00019397,304.012341060659,0.024200295160586506,0.3528578490497293,59.45481353
17.0,0.20143099,0.00693152,0.00019411,305.7645606414369,0.024463905990251448,0.35045195866503936,59.52695458
18.0,0.20133844,0.00704022,0.00019608,302.7236316137115,0.023981048350510497,0.36832983363084276,59.37389341
19.0,0.20109537,0.00715862,0.00019675,314.4951119865076,0.024164835910507866,0.3610669182872605,59.06147305
20.0,0.20078435,0.0073184,0.00019745,327.22707445371776,0.024217857650606595,0.3828311578118573,59.06758022
21.0,0.20065112,0.00743667,0.00019744,327.4341185475703,0.023888262026222556,0.3867111564584824,58.90955697
22.0,0.20064451,0.00757649,0.00019843,323.1072162803886,0.02364031641762251,0.3889623607517833,58.43472383
23.0,0.20069089,0.00770171,0.00019755,329.0835350489385,0.024304278878402093,0.38574584413879015,58.45247281
24.0,0.20113208,0.00764575,0.00019854,312.1721595230537,0.024443102611502638,0.3917899557793507,58.33872661
25.0,0.20113666,0.0074359,0.00019876,313.3920432859025,0.024409136463646494,0.3545459517115515,58.1703975
26.0,0.20118029,0.00726038,0.00019814,306.16175945595677,0.02387204518829328,0.3329639276497626,58.07516368
27.0,0.20114724,0.00722617,0.00019801,305.194500994279,0.023664611387972226,0.3274161158737103,58.07707217
28.0,0.20099661,0.00727567,0.00019851,316.8099898084893,0.024096448871014104,0.34209147007137436,57.82744124
29.0,0.20099132,0.00732911,0.00019797,317.88344789154536,0.024195684060959108,0.3497354267646261,57.55529008
30.0,0.20098064,0.00735597,0.00019868,314.62921991930233,0.023931723804599823,0.35126739699755294,57.46998043
31.0,0.20097444,0.00736043,0.00019798,311.3543501071594,0.023664827882514044,0.3557038326565325,57.35814272
32.0,0.2011273,0.00737423,0.00019861,313.08780377411927,0.024311269328019136,0.35467701292853054,57.15431563
33.0,0.20177292,0.00723339,0.00019822,285.779862005315,0.024271358500917023,0.358472570119182,57.06919682
34.0,0.20246747,0.00693318,0.00019811,259.8351600433859,0.024424025766956608,0.31767067937352156,56.94266371
35.0,0.20324754,0.00656266,0.00019816,229.01933527645508,0.024435155164140823,0.26360533153511617,56.97148196
36.0,0.20356039,0.00621014,0.00019848,216.86890577920855,0.024260466872150034,0.23268855059178292,56.8590717
37.0,0.20367785,0.00596085,0.00019187,215.10068765557472,0.024377414974695855,0.22239808601106573,56.91766245
38.0,0.20400565,0.0057792,0.00018696,200.4304870806817,0.024138086796207662,0.21530606622925766,56.70734648
39.0,0.20374864,0.00567695,0.00018509,212.66338343840124,0.02415184092846023,0.21774154176810515,56.58138592
40.0,0.20324836,0.00568146,0.00018855,236.90633172635623,0.0244206571797192,0.22083355582477518,56.54989578
