Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.1650996,0.00387434,0.00042115,1898.613752110707,0.026045116416628558,,256.03102281
1.0,0.17012338,0.00352471,0.00018534,1596.3064697376485,0.024484137035843005,,256.09843813
2.0,0.17513128,0.00361963,0.00022837,1475.2927365606724,0.02582505020438606,,256.11683607
3.0,0.18213475,0.00215048,5.858e-05,1230.9859477573486,0.026646716119565487,,256.02708039
4.0,0.1797269,0.00179105,5.927e-05,1275.9644349351286,0.025384211262198773,,255.44570538
5.0,0.17861817,0.00097131,0.00010277,1342.956323831692,0.025680466204509048,,254.32540209
6.0,0.19558375,0.00102508,-3.7e-07,633.3983758173038,0.026589230414112736,,254.23144114
7.0,0.19327872,0.00136257,2.31e-06,670.6994828496579,0.024224872902599455,,253.95573483
8.0,0.19181506,0.00074642,-4.7e-07,766.2115832692348,0.025203893854359862,,254.49203489
9.0,0.20629845,0.00069756,5.98e-06,130.56772911454587,0.026165369567185983,,254.22697306
10.0,0.20654243,0.00065253,9.86e-06,117.82613598962463,0.025814714961222167,,254.25667261
11.0,0.20960156,0.00069241,6.37e-06,-25.839703910116118,0.025779139662215705,,254.2385375
12.0,0.20886088,0.00067737,9.19e-06,8.921860171832071,0.025328123899035788,,254.43013892
13.0,0.20825241,0.00068305,6.14e-06,38.09700314756677,0.026116981376356794,,254.0983189
14.0,0.20937772,0.0006797,9.07e-06,-15.293755450946605,0.025894699995236515,,254.52357421
15.0,0.20955407,0.00070181,7.95e-06,-24.0514607419737,0.026136304412133524,,254.85079477
16.0,0.20957797,0.0006064,6.81e-06,-23.45763416883626,0.025315315695826276,,254.4640437
17.0,0.20953393,0.00062328,8.32e-06,-21.64650322855661,0.025357997328818504,,254.55025121
18.0,0.2095557,0.00062659,4.99e-06,-23.20484584101152,0.02599857139748788,,254.5179234
19.0,0.20955112,0.00057764,2.24e-06,-22.52037438331552,0.026073953874063804,,254.63264771
20.0,0.20956526,0.00062695,2.49e-06,-23.05135002817783,0.025371405825462344,,254.54657162
21.0,0.20957105,0.00064865,1.89e-06,-23.814588786909955,0.025688400419148806,,254.55629625
22.0,0.20951268,0.00066556,3e-07,-21.278613208001126,0.02576200432487306,,254.66786667
23.0,0.20949966,0.00067958,-1.47e-06,-20.65430019524666,0.02561133155070499,,254.54946273
24.0,0.20951776,0.00072109,-1.98e-06,-22.413505312900195,0.026212880714908692,,254.66918077
25.0,0.2095138,0.00071982,1.97e-06,-22.020480434201044,0.025911525136025074,,254.56050149
26.0,0.20948217,0.00073139,5.71e-06,-20.58291186472938,0.025764682987952408,,254.41607765
27.0,0.20944545,0.00077498,1.04e-05,-19.21362873058787,0.02556732935930788,,254.38703518
28.0,0.20933419,0.00093564,1.229e-05,-15.591488953540704,0.025515157189669988,,254.08622881
29.0,0.20902136,0.00123893,1.291e-05,-3.9755064380652807,0.02538884964845291,,254.59821728
30.0,0.20848612,0.00170893,1.576e-05,15.828239881257721,0.024803381639313928,,255.17275876
31.0,0.20782568,0.0023759,1.681e-05,38.41477637785509,0.02421254763792089,,255.42888441
32.0,0.20698909,0.00317685,2.043e-05,66.77556986912535,0.023829730593929056,,255.92799433
33.0,0.20624506,0.00403467,2.375e-05,91.03359885419044,0.02378296831435073,,255.87582301
34.0,0.2052185,0.00502663,2.856e-05,125.27788710360576,0.023578282978522644,,255.82378312
35.0,0.20392365,0.0058981,3.499e-05,168.6943946007098,0.02302947203255246,,255.64598014
36.0,0.20256921,0.00670141,3.962e-05,216.95386720702035,0.02292095564629927,,255.53375268
37.0,0.20162808,0.00741051,4.39e-05,247.31685618220388,0.02270389113376539,,255.36265181
38.0,0.20079791,0.00799859,4.879e-05,277.8338146312272,0.022841305133432577,,255.23688873
39.0,0.20049515,0.00853825,5.159e-05,281.4780789075038,0.02250329268574092,,255.1173021
40.0,0.20018903,0.00911329,5.379e-05,285.2880250751227,0.022207160105806256,,254.94988081
41.0,0.19944967,0.00967166,5.769e-05,304.7854561201207,0.021825827933227737,,254.74868616
42.0,0.19879645,0.01015035,6.109e-05,325.89540218445876,0.021790126081045774,,254.62358015
43.0,0.19821076,0.01055134,6.436e-05,344.8162277225608,0.02174916358589957,,254.43644679
44.0,0.19746174,0.01092589,6.684e-05,373.2735361395725,0.02189100344731393,,254.28453234
45.0,0.19676245,0.01125439,6.968e-05,393.8369358588214,0.02166982758281188,,254.06901358
46.0,0.19637416,0.01163797,7.351e-05,402.0762176108735,0.02147267283386156,,253.87281266
47.0,0.19605086,0.01198535,8.056e-05,402.96621203744945,0.02101941601894827,,253.67740022
48.0,0.19545795,0.01232239,8.629e-05,421.57068549927646,0.020975426781924007,,253.52049205
49.0,0.19493857,0.01272872,8.968e-05,445.39470618001627,0.02133957317962946,,253.3060246
50.0,0.19451631,0.01300027,9.161e-05,453.67290689769106,0.021080416198622522,,253.07329062
51.0,0.19423592,0.01316701,8.969e-05,464.1280161235805,0.021136591629084513,,252.8741986
52.0,0.19398543,0.01333984,9.42e-05,467.960171106039,0.02094986977857257,,252.65959974
53.0,0.19383034,0.01348661,9.745e-05,468.4254867314277,0.020765880061067277,,252.47102083
54.0,0.1937621,0.0135765,9.924e-05,468.7182270969841,0.020698143368409114,,252.31582104
55.0,0.19357274,0.0136965,0.00010113,476.7534584873359,0.020786216095235607,,252.0531247
56.0,0.19334981,0.01387828,9.924e-05,478.93933373574674,0.020584935704224195,,251.89463956
57.0,0.19317478,0.01408506,0.00010199,481.83041710236193,0.020502277391611156,,251.64508461
58.0,0.19272222,0.01428269,0.00010514,499.7434771672251,0.020628018596261417,,251.42260092
59.0,0.19259906,0.01438892,0.00010615,504.9211284223143,0.020688776632430263,,251.23638746
60.0,0.19245882,0.01449708,0.00010807,502.23876201832985,0.02040508466339145,,251.01548074
61.0,0.19231135,0.01461794,0.00010763,502.9722011777156,0.020255867704110152,,250.80180178
62.0,0.19224626,0.01463816,0.00010583,506.12422204307126,0.020294315994676845,,250.59403644
63.0,0.19218484,0.0146172,0.00010704,506.681620521294,0.020224111369326746,,250.39139625
64.0,0.19219013,0.01474251,0.00010874,509.4403925176323,0.020377439155703773,,250.15616541
65.0,0.19205537,0.01492245,0.00011069,511.07455339817733,0.020301850643542944,,249.98112213
66.0,0.1918357,0.01507114,0.00011196,525.4856410510121,0.020601445888016563,,249.7591641
67.0,0.19168457,0.01524662,0.00011184,510.0304096618954,0.01983615091293973,,249.51342016
68.0,0.19154931,0.01542893,0.00011126,518.6956183745006,0.020036724497436972,,249.27674377
69.0,0.19126659,0.01552577,0.00011482,519.9322832985871,0.01973396731794836,,249.04138153
70.0,0.19125489,0.0155699,0.00011842,527.6585564730609,0.02002466180143883,,248.8261256
71.0,0.19119214,0.01557075,0.00012125,527.7099637944475,0.01994498923765168,,248.59693981
72.0,0.19110061,0.01560487,0.00012063,529.1906246378238,0.01988904966209589,,248.39903052
73.0,0.19099749,0.01567069,0.00011749,534.5652331872727,0.019971101682683665,,248.19980709
74.0,0.19083091,0.01581255,0.00011439,540.775508227861,0.020019960425572157,,247.98954489
75.0,0.19076978,0.01591094,0.00011064,531.970595443596,0.019638975432328763,,247.73959571
76.0,0.1907949,0.01595115,0.00010916,530.2028015707671,0.019614745167918057,,247.52565393
77.0,0.19069402,0.01595891,0.00010976,542.259284897696,0.019932972612339575,,247.28043565
78.0,0.19066788,0.01596508,0.0001104,538.1365912417691,0.019750058271235802,,247.0752986
79.0,0.19052967,0.01605607,0.00011093,542.6527797756773,0.019763260949719832,,246.8375709
80.0,0.19022416,0.01624042,0.00011387,546.3553085456276,0.01956370914159479,,246.59708352
81.0,0.19012785,0.01633301,0.00011752,544.0980005564529,0.019389373810061235,,246.34174638
82.0,0.19013467,0.01631609,0.00011897,549.4379011434744,0.019584575346676476,,246.1325355
83.0,0.1901066,0.01636692,0.00011907,546.7848904475774,0.019467963427892615,,245.90466385
84.0,0.19009734,0.01637342,0.00011727,551.1041833598076,0.01961126884574661,,245.6484068
85.0,0.19010223,0.01633983,0.00011595,550.4941635500124,0.019587076754137317,,245.40437125
86.0,0.19010334,0.01628353,0.00011559,550.74179099784,0.019583863095398824,,245.22867091
87.0,0.19010385,0.01624287,0.00011419,552.0372933575659,0.01962041868614408,,244.98634374
88.0,0.19007619,0.01621407,0.00011188,539.2463910575145,0.019125503223297053,,244.74230818
89.0,0.19011046,0.01632087,0.00011328,540.4606731025799,0.019234463372258183,,244.52140147
90.0,0.19012297,0.01643266,0.00011706,540.3110784794171,0.01927147704859074,,244.26501302
91.0,0.1899153,0.0164385,0.00011976,551.4797647667395,0.01942136949245992,,244.03411885
92.0,0.18983394,0.01644136,0.00012061,557.9136164701551,0.019551293657922023,,243.82937605
93.0,0.18980435,0.01654523,0.00012258,554.3696385068321,0.01941656528793612,,243.57627294
94.0,0.18961488,0.01669121,0.00012076,556.1409050749397,0.019287982152937012,,243.35339503
95.0,0.18947606,0.01675495,0.00012158,564.025828638631,0.019413360513410787,,243.07124946
96.0,0.18931293,0.0169029,0.0001208,556.1080132685148,0.01898733431160821,,242.86545535
97.0,0.18942877,0.01695446,0.0001175,550.6045754424264,0.01893983457878288,,242.62089414
98.0,0.18922466,0.01702347,0.00011621,558.9779239222331,0.019010089226856233,,242.38303505
99.0,0.18916465,0.01715647,0.00011969,559.9432669574402,0.01900551124775897,,242.15674037
100.0,0.18902461,0.01720893,0.00011992,565.1111623549701,0.019034885435845958,,241.92111532
101.0,0.18901739,0.01722544,0.00012132,566.745842634046,0.019085944384799672,,241.70309972
102.0,0.18900295,0.01736697,0.00012477,560.227497162637,0.018881850789567535,,241.4460542
103.0,0.18877545,0.0175072,0.00012375,566.714184250921,0.018878099225100933,,241.21437156
104.0,0.18866246,0.01765878,0.00012182,575.084624571767,0.01906359424390762,,240.99228213
105.0,0.18857347,0.01773155,0.00012238,577.6503714375074,0.019066406602826616,,240.73195127
106.0,0.18858446,0.01766879,0.00012495,577.9791544354027,0.019077032454261563,,240.49488066
107.0,0.18857154,0.0175939,0.00012133,575.4639189273043,0.018962999450073122,,240.2392807
108.0,0.18851225,0.01755741,0.00011884,580.94983790474,0.019070461695379074,,240.0003703
109.0,0.18848723,0.0175693,0.00011863,579.5803553807928,0.019000785625491554,,239.76027717
110.0,0.18839204,0.01763222,0.0001166,573.6374259748083,0.018716622374916315,,239.54015895
111.0,0.18838075,0.0177465,0.00011859,572.9907083983247,0.018707496537162152,,239.28127365
112.0,0.18827946,0.01782924,0.00012602,580.7970087986321,0.018873558992137853,,239.06023553
113.0,0.18812904,0.01793862,0.0001286,575.6965378592622,0.01857301200094845,,238.80003609
114.0,0.18805999,0.01799648,0.00013094,574.6202806825241,0.0184790911103638,,238.56427962
115.0,0.18806141,0.01795917,0.00013137,581.8778623470724,0.01870665407046736,,238.30000635
116.0,0.18805958,0.01791852,0.00012976,574.9105587848807,0.01847219868954832,,238.04769174
117.0,0.18798188,0.01791852,0.00013236,581.0944362800813,0.01859122320809341,,237.82481383
118.0,0.18797649,0.0180263,0.00013203,577.7353154568269,0.018499302135126766,,237.53701748
119.0,0.1880071,0.01819309,0.0001314,584.1201898671851,0.018768794526895637,,237.31348251
120.0,0.18782821,0.01829928,0.00013176,586.9908834622657,0.018695798246074233,,237.07680615
121.0,0.18780381,0.01831072,0.00012904,591.3512350086496,0.018810642265922235,,236.84709473
122.0,0.18777604,0.01823913,0.00012898,590.305703247975,0.018734481176931796,,236.59898536
123.0,0.18777828,0.01827815,0.00013143,582.3515625648471,0.018492752958678582,,236.38162684
124.0,0.18770729,0.01838161,0.00013113,575.767111529102,0.018232126964252155,,236.10657764
125.0,0.18760559,0.01841082,0.00012729,586.9579434106282,0.018487585830024262,,235.88593377
126.0,0.18763692,0.0183906,0.00012348,579.587303705396,0.018281599271662757,,235.56725517
127.0,0.18762848,0.01837785,0.00012636,592.2501609905843,0.01867088101705256,,235.34332596
128.0,0.18759298,0.01835738,0.0001281,589.245629222579,0.01853680005812468,,235.13621772
129.0,0.18757661,0.01833862,0.00012737,588.996175775955,0.01850855810870226,,234.85131248
130.0,0.18757447,0.0184201,0.00012513,591.6027284242474,0.018603331369555113,,234.66352208
131.0,0.18753186,0.01852453,0.0001224,589.1898573447103,0.018503684959305527,,234.40489961
132.0,0.18748457,0.01857993,0.00012301,588.3699683354173,0.018441273809024113,,234.1477227
133.0,0.18747593,0.0185146,0.00012213,582.4422366856729,0.018234258198293128,,233.92247935
134.0,0.18747684,0.01847003,0.00012138,585.1451419668371,0.01831107031587397,,233.64756157
135.0,0.18745823,0.01849613,0.00012158,590.8683424671989,0.01847657654816562,,233.38644224
136.0,0.18741857,0.01861613,0.00012208,585.0269730450534,0.01827749415509053,,233.14792609
137.0,0.18742375,0.01872073,0.00012596,590.9739513408317,0.018489784366738173,,232.90717591
138.0,0.18735521,0.01869438,0.00013148,594.7995103430102,0.018537324974503538,,232.62187644
139.0,0.18736101,0.01861058,0.00013361,592.1599352797751,0.0184455966521992,,232.40570065
140.0,0.18728982,0.01863015,0.00013315,579.4875731483278,0.01798520574716697,,232.16127088
141.0,0.18723012,0.01872727,0.00013205,587.6060120438046,0.01819652683170575,,231.88766724
142.0,0.18692786,0.01891734,0.00013151,594.412961295934,0.01814816270868283,,231.66925742
143.0,0.18688668,0.019023,0.0001282,598.368674863881,0.01824757423619894,,231.4101093
