Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20941379,0.00068943,-1.02e-06,2.40712095607453,0.026836621631494757,-0.004875859781381294,-3.65665196
1.0,0.20944755,0.0007004,-5.9e-07,0.4035572167018617,0.026863057648710373,-0.005498668372286422,-3.63582872
2.0,0.20944358,0.00070482,-5.1e-07,0.5751195108288665,0.027073182830949574,-0.004930385876137072,-3.53037521
3.0,0.20940393,0.00068498,-3.3e-07,2.9799472260499345,0.02673569883903754,-0.004008045567585823,-3.65932651
4.0,0.20940576,0.00068098,-3.6e-07,2.910693509417324,0.026597306248350657,-0.004033112030629108,-3.64614482
5.0,0.20942833,0.00069296,-7.4e-07,1.5499521333719481,0.026730189406631726,-0.0025124765278640515,-3.61787106
6.0,0.20941389,0.00070631,-8.5e-07,2.2076477960907126,0.0268985286877215,0.032340831899867105,-3.66219209
7.0,0.20942101,0.00069846,-3.1e-07,1.8948134235684173,0.02691586734939636,0.04181671917248728,-2.65732721
8.0,0.20936284,0.00068251,-3.8e-07,5.275055520039574,0.026737960879394496,0.036085502259069875,-0.05881543
9.0,0.20927,0.00077573,-8e-08,9.092891098202092,0.026112892852177022,0.02993987286956347,-0.93511108
10.0,0.20892386,0.00104007,-4.5e-07,24.254777823419396,0.025592958120738994,0.03768141510638099,-2.48271761
11.0,0.20817961,0.00154897,2e-07,57.537104375441196,0.02545871205444623,0.027692958418245112,-3.44631808
12.0,0.20720403,0.00233841,5.3e-07,98.41971633982293,0.025070710574809883,0.020078908858023874,-4.01198441
13.0,0.20576068,0.00312809,2e-07,161.58229440961983,0.024685647305680274,0.03777865537580792,-4.07101545
14.0,0.20422389,0.00411711,4e-07,221.7580025798012,0.02393884187812097,0.0737985092913845,-4.24161323
15.0,0.20330393,0.00520432,2.2e-07,254.66316849764348,0.023841832711354222,0.11122468867789934,-4.31821985
16.0,0.20245759,0.00631348,4.8e-07,286.19314971044344,0.02396959532480322,0.15885763429230687,-4.47850153
17.0,0.20132906,0.00737017,3.6e-07,329.2387367037616,0.02387259926107564,0.22608479433953335,-4.34362803
18.0,0.20046686,0.00829346,-5e-08,355.63912550379337,0.023463134115365176,0.29247590573053583,-4.92476852
19.0,0.19965682,0.00905817,9e-08,388.50763904205604,0.023572870299864834,0.34845420520369924,-5.23558889
20.0,0.19956571,0.00959754,2.8e-07,391.1977684159129,0.023787448928634835,0.3907750417991197,-5.46846538
21.0,0.19960872,0.00984659,6.9e-07,394.035553302683,0.024237779946638064,0.395743318761025,-5.74948367
22.0,0.19958808,0.00981725,-4e-08,391.5189497055044,0.02400305899787332,0.39215395660860924,-5.89811198
23.0,0.19987901,0.00960872,3.1e-07,384.8140999187358,0.024342684169734015,0.3758061032969894,-6.17015145
24.0,0.20004659,0.00925929,-4.8e-07,380.6429442801988,0.024380449179734993,0.3587659275772956,-6.36042624
25.0,0.20067217,0.00873756,-8.7e-07,358.8765293860462,0.024646336927726685,0.33964073848802334,-6.47046468
26.0,0.20144092,0.00831151,-4.9e-07,326.57523822817825,0.02478126678824028,0.3196653731759454,-6.67010039
27.0,0.2020905,0.00780941,-4.4e-07,299.14603279484925,0.024790307884340272,0.2877630920346222,-6.53102403
28.0,0.20298402,0.00728728,-5e-07,261.2027779857544,0.02495609079862892,0.2780275370775397,-6.87374791
29.0,0.20344659,0.00679833,-2.3e-07,243.7925237550046,0.025061470263783296,0.26205931479597777,-7.13336985
30.0,0.20382131,0.00637099,-2.8e-07,227.5777778609158,0.02489252230387826,0.2445947854286355,-7.11541218
