Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20950085,0.00069926,5.952e-05,-3.3238458059114753,0.027610719780782472,0.0015856374560065131,60.49642002
1.0,0.20950959,0.00196698,6.728e-05,-17.331737529650432,0.027642963345046387,0.004579652062642811,60.43026208
2.0,0.20951549,0.00313543,7.826e-05,-30.023163737454944,0.027443041212686956,0.03368728633327337,60.38927085
3.0,0.20936324,0.00358622,8.354e-05,-25.740230893637744,0.02594826987513818,0.12382971525762147,60.33989071
4.0,0.20889773,0.00393861,8.526e-05,-7.015348251963527,0.02542712459299907,0.11052856430088236,60.11930067
5.0,0.20726442,0.00427467,9.504e-05,66.04439832906334,0.025683503464834345,0.1161056081346431,59.99365776
6.0,0.20583728,0.00459756,0.00010298,129.05774548604785,0.025623760274787535,0.13765438591837015,59.94809076
7.0,0.20486364,0.00488698,0.0001047,170.9943541627152,0.025564666491956534,0.15945646415847303,59.72864466
8.0,0.2046404,0.00511445,0.00013056,180.0399275852593,0.025752194875675555,0.17486072419808857,59.63941723
9.0,0.20417499,0.00530024,0.00014704,197.19202048590788,0.02543828226307627,0.19323330184324,59.5019536
10.0,0.20369158,0.00548103,0.00015808,218.88671430698304,0.025603769535682077,0.22057511669585508,59.55838805
11.0,0.20340324,0.00567208,0.00016094,227.78572350244377,0.025321629380002104,0.24249149041009246,59.2356059
12.0,0.20311958,0.00583781,0.0001699,239.06491778434423,0.025326581195772253,0.2458505112853226,59.20853262
13.0,0.20273228,0.00601368,0.0001739,253.2453510603156,0.02515337337906175,0.25773601439294186,58.92559777
14.0,0.2025245,0.00616595,0.0001672,262.81639345650507,0.025296712813723803,0.268052256607409,58.84609384
15.0,0.20225548,0.00626756,0.00017274,272.33718917565625,0.025143414179128493,0.29333897819057936,58.92025938
16.0,0.20211533,0.00631918,0.00018691,278.5884381960353,0.02520004033915162,0.30488070093949426,58.56563753
17.0,0.20197081,0.00636781,0.00020074,286.1245550958619,0.025348005131189223,0.3008204535230689,58.4971917
18.0,0.20189809,0.00639705,0.00019986,291.8675254815963,0.025584467512695518,0.3042660501782267,58.31873684
19.0,0.20187632,0.00644199,0.00019876,290.02437102497186,0.02537107921285096,0.3120062553897043,58.24056751
20.0,0.20186167,0.0064818,0.00019913,287.0272028151221,0.025083610255577496,0.29886224403912803,58.04686009
21.0,0.20187052,0.00648695,0.00020711,283.98347027667944,0.024866721527770454,0.30487114525648756,57.92369572
22.0,0.20189036,0.00647308,0.00021302,283.76627168276434,0.024922107134637026,0.3085787920776129,57.79271443
23.0,0.20175875,0.00647427,0.00021457,288.55922625872705,0.02483205867520145,0.30459859695539765,57.71015999
24.0,0.20176424,0.00647071,0.00021669,287.78921763518656,0.024786757887701245,0.3195971213994766,57.48537549
25.0,0.20182476,0.00648121,0.00022163,286.883198390748,0.02495634298382012,0.32042786823524155,57.29853173
26.0,0.20183788,0.00653105,0.00022716,283.2578255800264,0.024737835020115007,0.30737530831417326,57.29986632
27.0,0.20186971,0.00660998,0.00022902,283.89131926427604,0.02498274652196374,0.2987412922317838,57.16774109
28.0,0.20182465,0.00665626,0.00023482,283.11416216397447,0.024782782486619005,0.2999168875286962,56.88919134
29.0,0.2016901,0.00669257,0.00024308,286.09853256678565,0.024565080690555137,0.2817544094552348,56.7610699
30.0,0.20157985,0.00680675,0.00024773,291.2488188603635,0.02468294321994701,0.2772689721774031,56.64476919
31.0,0.2015233,0.00698327,0.00025372,294.51170557854215,0.024888964130399045,0.28479654595009773,56.54181446
