Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2094816,0.00044925,9.4e-07,46.03611456814463,0.02900691178306736,0.00499090240916202,-214.11563033
1.0,0.20950519,0.00044779,1.34e-06,-78.34069379599279,0.029198624259412134,0.005545579007639438,-214.1257708
2.0,0.20947937,0.00044804,9e-07,60.040675807741906,0.029397790248286915,0.007198968101059414,-214.08501762
3.0,0.20949848,0.00044084,1.7e-06,-35.37555065540244,0.029072593971013888,0.005650571611588203,-214.13725057
4.0,0.20944684,0.00044966,8.6e-07,229.82054599554857,0.029043980971213783,0.005819717661685957,-214.02895807
5.0,0.20949512,0.00045037,8.5e-07,-26.509503170779045,0.028977313530592026,0.005075227923466955,-214.14758236
6.0,0.20949421,0.00044721,9.2e-07,-18.34586357249687,0.02900078941592666,0.006241389632281052,-214.12883207
7.0,0.20948699,0.0004485,8.5e-07,18.533752664112978,0.02901419764328645,0.006073633004151345,-214.23119336
8.0,0.20946798,0.00044192,1.1e-06,126.95569469133773,0.029253148729815836,0.0049167246069860525,-214.05976212
9.0,0.20944999,0.00045108,8.2e-07,212.14819648725663,0.029113449140410502,0.0048474319642714805,-214.22507081
10.0,0.20944298,0.00044667,1.06e-06,254.50098528991563,0.029192467114781368,0.006995656436634953,-214.23444596
11.0,0.20945294,0.00045049,9.4e-07,195.8750674176871,0.028957626274773152,0.004910164877284993,-214.13648525
12.0,0.20947144,0.00044912,1.07e-06,100.65499924300437,0.029294211780963565,0.006826436385410594,-214.12366617
13.0,0.20944532,0.00044708,1.23e-06,237.8828289491926,0.028781440035919748,0.006010090898928723,-214.07545114
14.0,0.20942458,0.00045124,8.3e-07,344.1708190823253,0.028893430841367515,0.00617319068354349,-214.12940606
15.0,0.20944532,0.00045345,1.06e-06,234.64297692313946,0.0292114998066907,0.006642795152995146,-214.15791416
16.0,0.20945528,0.00045428,1.32e-06,180.33156347972772,0.029232128578800018,0.006814517184618847,-214.07238987
17.0,0.20945751,0.00045045,1.08e-06,172.299941278438,0.02908571117312391,0.006197986901015097,-214.15925346
18.0,0.20949299,0.00045424,1.11e-06,-19.953292769283596,0.02888572242816638,0.006792678783579114,-214.18144769
19.0,0.20950773,0.00045528,7.2e-07,-98.71547934756646,0.029091413993404307,0.004572811294252444,-214.09611473
20.0,0.20947693,0.00045898,8.4e-07,60.37623322684104,0.02912534062255398,0.005347462148008567,-214.28801822
21.0,0.20948181,0.0004552,6.7e-07,38.493691641548,0.028759479848528828,0.005064662055320726,-214.11352571
22.0,0.20950234,0.00044999,9.6e-07,-64.3100381334924,0.028922200335496487,0.006270227918223747,-214.26831128
23.0,0.20947479,0.00045004,7.8e-07,82.38599227741632,0.02933524368421048,0.005577491934513431,-214.13648525
24.0,0.20945375,0.00044504,8.1e-07,200.13856342207876,0.029290396214822184,0.004868405560569339,-214.05306559
25.0,0.20945172,0.00045357,1.45e-06,200.4813750249488,0.029323797798250374,0.006273499047869629,-214.13935519
26.0,0.20947591,0.00044887,9.1e-07,76.58263536679172,0.029000143184926736,0.006746431670512905,-214.22774943
27.0,0.20950387,0.00045353,1.12e-06,-77.0603305417919,0.02910293694893179,0.005169514504264919,-214.09439276
28.0,0.2094996,0.0004492,1.54e-06,-49.89286048089505,0.028833815415923027,0.006428520487596788,-214.04349911
29.0,0.2094811,0.00045033,1.19e-06,46.914464563032084,0.02893784890811793,0.005837896227226145,-214.015565
30.0,0.20949146,0.00044667,1.38e-06,-4.066882177981651,0.029133744886099492,0.005433302435759341,-214.11869161
31.0,0.20950976,0.00044329,1.32e-06,-97.9854767027822,0.029310648743521867,0.0058024616027486315,-214.05536154
32.0,0.2094506,0.00044804,1.41e-06,212.37998454326942,0.029274751696015743,0.006254509372774462,-214.00944246
33.0,0.20948181,0.00044904,8.6e-07,45.39039070057445,0.029061881767564978,0.006798263804302583,-214.18297832
34.0,0.2094687,0.00044721,1.29e-06,115.50328091801426,0.028914878926793865,0.005028025112482172,-214.16097543
35.0,0.20946361,0.00044317,1.17e-06,146.74271980787586,0.028861697885705286,0.004998015790460382,-214.12290086
36.0,0.20947561,0.00044983,1.54e-06,76.11779236172971,0.02906259813030195,0.005095482774497256,-214.15293959
37.0,0.20951057,0.00044617,9.4e-07,-102.91889049126226,0.028774033035137824,0.005997924248560227,-214.12557947
38.0,0.20951454,0.00044787,1.02e-06,-125.86191741681752,0.028797232082021524,0.0052808764166999795,-214.0725812
39.0,0.20943881,0.0004487,6.9e-07,274.3911313427525,0.029116562103839057,0.005699910508828453,-214.07334652
40.0,0.20942224,0.00044987,8.9e-07,360.5245279929809,0.029105627279509,0.006386003545106086,-214.16614132
41.0,0.20943607,0.00044904,8.7e-07,289.02923370423986,0.02919785908104865,0.005968691691296813,-214.04636905
42.0,0.2094073,0.00045008,1.4e-06,439.72738496987944,0.02917989039978928,0.006225675013318641,-214.25338758
43.0,0.20950021,0.00045503,1.1e-06,-58.92251214003142,0.02893135910874402,0.006401021203844691,-214.149113
44.0,0.20948262,0.00044979,1.28e-06,39.582327535788714,0.02912441373919822,0.004558252994194408,-214.13648525
