Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956527,0.00044499,0.00012585,-1.113374374169466,0.02700677719939398,0.0014937470585408511,99.45412177
1.0,0.20955347,0.00044196,0.00012602,-0.42276101990527776,0.026938327099553253,0.0015512929436934113,99.42904534
2.0,0.209549,0.00043828,0.00012625,-0.13515758492416796,0.026790950335164643,0.007197308415444623,100.11989137
3.0,0.20955632,0.00043614,0.00012547,-0.49645086918888526,0.02660053544605992,0.02601465099840117,99.9520133
4.0,0.20955927,0.00043703,0.0001265,-0.6913213341470648,0.026724877493069826,0.042388413846484584,99.86797855
5.0,0.20957321,0.00043364,0.00012481,-1.390838748351995,0.026770537460957405,0.037102409721752654,100.26250159
6.0,0.20954971,0.00043455,0.00012884,-0.18010516599682191,0.026711277284613477,0.03696744773403053,99.67961821
7.0,0.20956619,0.00043892,0.00013209,-1.2108686279353569,0.026939890028281028,0.04985436236589372,99.81342296
8.0,0.20957016,0.00044293,0.00013262,-1.4861695416230873,0.02689901016067656,0.05054198445265826,100.03489951
9.0,0.20961389,0.00044768,0.00012546,-3.8260355110967934,0.026863867422083812,0.0564351150127133,100.03489951
10.0,0.20959681,0.00044896,0.00012656,-2.9131148368412325,0.026843962800708252,0.0660731432293878,99.72192271
11.0,0.20957992,0.00044839,0.00012611,-1.951032057342358,0.0266878230314364,0.04302775092741913,100.66851003
12.0,0.20957931,0.00045723,0.00012766,-2.071342235365217,0.026978554569588312,0.025686070496086504,100.78776664
13.0,0.20956497,0.0004664,0.00011915,-1.213658399552838,0.026915267793246073,0.018051977722171066,101.12179998
14.0,0.20957189,0.00049613,0.00011195,-1.804313887654801,0.026891151446331262,0.016850841908339992,101.09595785
15.0,0.20955052,0.00054388,0.00011394,-1.215644492527015,0.026962872787306746,0.0285541810790388,100.8670158
16.0,0.20946762,0.00063818,0.0001175,2.2075279597610074,0.026721990068292737,0.029352398267033036,100.13348242
17.0,0.20931759,0.00078809,0.00011764,8.636704161228636,0.02639923791996801,0.026904790631343586,100.02743401
18.0,0.20883565,0.00098331,0.00013431,31.63314040765688,0.025838507436540276,0.02406531262760475,99.46484147
19.0,0.20843631,0.00121241,0.00015578,49.09602461121831,0.02540639348357793,0.009223374181594158,99.2043146
20.0,0.20796556,0.00146961,0.00018037,70.12558810871896,0.025293250250658695,0.010465719317081946,99.11606854
21.0,0.20735311,0.00175261,0.00019812,98.53298375289845,0.025289222214318053,0.02557363275526486,99.36070729
22.0,0.20702589,0.00205267,0.00020548,111.49692277818859,0.02514502263071363,0.04212221462900402,99.31419147
23.0,0.20648943,0.00236331,0.00022511,134.93934713469608,0.025048586657600798,0.06574095411100464,99.1388479
24.0,0.2060083,0.0026907,0.00025077,154.48715369146666,0.02485871597247056,0.08004235460461209,98.96771563
25.0,0.20538854,0.00301962,0.0002667,183.42425674712268,0.025021926336427473,0.10671132702419356,98.77054982
26.0,0.20476348,0.00336119,0.0002724,210.10479243024022,0.02484222155130365,0.13496644547280276,98.61281717
27.0,0.20423201,0.00367722,0.00027891,231.98518763245985,0.02467200122516589,0.1618544468093087,98.56113292
28.0,0.20393601,0.00399552,0.0002668,243.75447478408609,0.024670407412474935,0.18933220739993809,98.44283344
29.0,0.20366269,0.00428546,0.00026635,251.729527490905,0.024402819675265763,0.21369511656491808,98.27514679
30.0,0.20355355,0.0045548,0.0002646,253.64576308404568,0.024326806889281776,0.23766391362676498,98.01653415
31.0,0.20333597,0.00480444,0.0002588,263.8762451607896,0.024503456709513052,0.25443201389081577,97.83525646
32.0,0.20300305,0.00502985,0.00026283,275.03281915036524,0.024234973235094857,0.2640559688175426,97.62698811
33.0,0.20277561,0.00523235,0.0002673,285.2827764513926,0.024335031639052065,0.28020501845292933,97.57549529
34.0,0.20260971,0.00539842,0.00026695,293.5503503883974,0.024480537139917543,0.2843062562615873,97.43996772
35.0,0.2025205,0.00555561,0.00026793,296.3026526459191,0.02447480153684918,0.2719659537162894,97.46025857
36.0,0.20250118,0.00566831,0.00026181,299.3473110304895,0.024732729212771365,0.2858340013389848,97.08851487
37.0,0.20249528,0.00575229,0.00025468,292.8871407228544,0.02423462088238245,0.30268346233325294,97.00046024
38.0,0.20257746,0.00579469,0.00024546,289.9335938666766,0.024348540624734627,0.2982091219732344,96.86129563
39.0,0.20263087,0.00579352,0.00023889,287.47338109556546,0.024353277189445438,0.2877473149532737,96.76347842
40.0,0.20291761,0.00576314,0.00022872,276.24066869991736,0.024572689759934978,0.26698114192646666,96.6581957
41.0,0.20310731,0.00571616,0.00022484,268.79135199847366,0.02470846796145455,0.25238065519578745,96.57473522
42.0,0.20334787,0.00566012,0.0002243,258.0388577020779,0.024780369567408134,0.23739669800058902,96.60440581
43.0,0.20358386,0.00557721,0.00021331,248.73278571491642,0.0249356415210877,0.2164400103168639,96.36512691
44.0,0.20374569,0.00548006,0.00019915,243.81102195344573,0.02514585081760618,0.20294154619118757,96.1315907
45.0,0.2040365,0.00537932,0.00020414,227.21777836708623,0.02485434720745124,0.18184733346456836,96.11397977
46.0,0.20439262,0.00526414,0.0001948,211.88989555622666,0.025015291623302478,0.1721877385719677,96.03913333
47.0,0.20453238,0.00515011,0.00017809,204.7811069413642,0.024837915432096208,0.16040699887826979,95.96715824
48.0,0.20476541,0.00502732,0.00018168,196.31842360242288,0.025111298043844012,0.1490277625169246,95.93959331
49.0,0.20494861,0.00489345,0.00018132,188.2842147862104,0.025103860665004835,0.1408635036603778,95.67657795
50.0,0.20504524,0.00476037,0.00018864,184.99430019630972,0.025156850457704737,0.13891064550599544,95.57052954
51.0,0.20521135,0.00462817,0.00019424,177.88026452864423,0.025174662271959525,0.1387649656886398,95.76118697
52.0,0.20541448,0.00450382,0.00020125,169.18692619386283,0.02525955029426939,0.1280372963583911,95.51214549
53.0,0.20551172,0.00437385,0.00019335,164.0139213472161,0.02500428738361217,0.1117386132582675,95.60479428
54.0,0.20578025,0.00423985,0.00018376,151.97543552084812,0.025024005456773548,0.10604817162619327,95.49051468
55.0,0.20591757,0.00411629,0.0001868,146.7724466405992,0.025123050719048655,0.10326910206952053,95.41719962
56.0,0.20610768,0.00398657,0.00017669,139.281606968299,0.025256166718589046,0.09697936945308815,95.37680934
57.0,0.20634021,0.00386396,0.00016568,129.0298349512514,0.025310398785335562,0.08133338675842088,95.26731532
58.0,0.20654456,0.00374011,0.00016462,120.11382871359349,0.02538248700189839,0.07367471126550361,95.11934525
59.0,0.20665187,0.00362444,0.00016639,116.6377185339964,0.025578763572268338,0.06594554814191535,95.11762244
60.0,0.20679794,0.00351345,0.00015762,109.84023397250948,0.025463669188241455,0.0610739748788136,95.09522593
61.0,0.20688125,0.00340247,0.00015071,106.48268667573168,0.025384699155298767,0.05577284476743063,94.8928917
62.0,0.20698479,0.00329475,0.00014767,102.89748738978085,0.025531298173104806,0.0539897946633482,94.91260828
63.0,0.20709496,0.00319173,0.00014693,97.43109641514424,0.02531679759616754,0.04817973082453025,95.04947581
64.0,0.20721203,0.00309192,0.00013365,93.02157063694233,0.025415702894986514,0.042822451643865986,94.9508929
65.0,0.20727357,0.00300386,0.00013386,90.77926833102214,0.025420961622942495,0.03945408875608126,94.95701844
66.0,0.20736471,0.00291,0.00013618,87.40248762560972,0.025539552203896213,0.038278911333028076,94.87585504
67.0,0.20743164,0.00283216,0.00012918,85.26343771869901,0.025659107888644946,0.03224547810555148,94.79450021
68.0,0.20750935,0.00275391,0.00012643,82.59840187099061,0.025823066601872207,0.027299138689904013,94.99989722
69.0,0.20762246,0.00267345,0.00012131,76.49411080729816,0.02546268684776399,0.021357947996712787,94.91605389
70.0,0.20762257,0.00259046,0.00011846,77.51641586749459,0.025486402028337095,0.01804146329019397,94.77669786
71.0,0.2076541,0.00251287,0.00012199,77.2291784588061,0.02567992510378124,0.01633387564086174,94.6130311
72.0,0.20772215,0.00243462,0.00012958,74.556205204183,0.02574808238322615,0.012885452428151778,94.74434736
73.0,0.20783414,0.00237381,0.00013416,69.03705071544032,0.025682235675641554,0.010136163086139982,94.55062716
74.0,0.207915,0.00230832,0.00013037,66.02849716470588,0.025867439271534017,0.008579029815276577,94.45051287
75.0,0.20794328,0.00223919,0.00012713,64.28705981436745,0.02544672608079048,0.007516925445070691,94.58642328
76.0,0.2079978,0.00218161,0.00012994,62.58694880810344,0.025683130219291982,0.00527146094850259,94.6561013
77.0,0.20804327,0.00212511,0.0001418,60.56971855621584,0.02567414892502682,0.0013413253363304064,94.59140028
78.0,0.20810461,0.00207763,0.00014275,57.95565240662946,0.02572759958474153,0.002244023454371639,94.38045201
79.0,0.20811,0.00202844,0.00014407,58.46286347047391,0.025848517694022976,0.002053381319400776,94.55234997
80.0,0.20814397,0.00198011,0.00014874,56.912715027344746,0.02576071378639107,0.002304954340144767,94.45548987
81.0,0.20820114,0.00193038,0.00014491,54.34864813628674,0.02568815075067534,-1.1279033056690135e-05,94.58393478
82.0,0.20824508,0.00188767,0.00014608,52.44261664961001,0.025672022982877796,0.0010390111688089972,94.37681497
83.0,0.20826034,0.00184292,0.0001493,52.249764739772225,0.025760102638169552,0.0036073182799121043,94.16395246
84.0,0.20830001,0.00179969,0.00015108,50.50132841733348,0.025713743840724616,-0.00013264168084700396,94.20089712
85.0,0.20835493,0.00176219,0.00014886,48.440915987898,0.025923262808082926,0.0005617302500332537,94.33527615
86.0,0.20836897,0.00172276,0.00015354,48.58039924742948,0.026212226275143108,0.0016273918388377546,94.2918231
87.0,0.20836592,0.00169236,0.00015608,48.969935349528825,0.026174704979920565,0.0006851988016271091,94.41127113
88.0,0.20842583,0.00166338,0.00014819,45.85701602389166,0.025972162781302894,0.0004651110069686695,94.32225938
89.0,0.20844689,0.00163569,0.00014811,44.315851069568424,0.02555366209891867,0.0021531969907725586,94.4143339
90.0,0.20849632,0.00160738,0.00015033,42.418575776097065,0.025816909545753518,-0.00020998874260358318,94.21448816
91.0,0.20851656,0.00157964,0.00015878,41.73923211686742,0.025968426340429753,0.0008444619586067434,94.08948886
92.0,0.20851097,0.0015473,0.00017858,41.80236648755641,0.02582527871704447,0.0017064290082210976,94.11475672
93.0,0.20850517,0.00152346,0.00017633,42.7351897815384,0.02601909909357629,0.001884155733620945,94.23477901
94.0,0.20852592,0.0014935,0.00017998,42.13821055908072,0.026172400060027405,0.00039362941656981027,94.30349991
95.0,0.20858949,0.00146556,0.00017921,39.01373474280517,0.026154014459818367,0.0011976242318634902,94.01559954
96.0,0.20862052,0.00143963,0.0001668,37.638676241074414,0.025997736018228725,0.0008007854743243847,94.15227565
97.0,0.20863873,0.00141177,0.00016357,37.30354135308061,0.02618617024390301,0.0005943593631425127,93.99320303
98.0,0.20860994,0.00138402,0.00016861,38.72224075378751,0.025949782100764204,0.0028279369143935328,94.16720665
99.0,0.20864849,0.00136426,0.00016906,36.69643420288573,0.02582441314803687,0.0020443582145334973,94.13294191
100.0,0.2086607,0.0013429,0.00016535,36.550611064201455,0.02596509035634498,0.0033453596345613392,93.93271333
101.0,0.20864483,0.00132592,0.00016209,37.39279825497613,0.025788348788144455,0.0019261898021368162,94.0351247
102.0,0.20866049,0.00131341,0.00015855,37.01887051086863,0.025966493257709847,0.0025128507345280153,94.00507127
103.0,0.20868674,0.00130319,0.00015491,35.573573974076325,0.02580472289526663,0.002333887965140797,93.95338703
104.0,0.20869854,0.00128604,0.00015573,35.08773614154169,0.025779586607616253,0.000907375237254331,94.02670208
105.0,0.20871725,0.00127082,0.00016123,34.5035665907095,0.026036961858469532,0.0033281342857769698,94.02670208
106.0,0.20875204,0.00125669,0.00016594,32.591166932126775,0.025943084906243075,0.0019046697384951896,93.9051484
107.0,0.2087673,0.00124272,0.00016513,31.935332135885062,0.025933832229999274,0.001774487700755984,93.82053938
108.0,0.20875855,0.00123139,0.00017402,32.223990077236756,0.025820546203395175,0.0026733851535838747,93.86514097
109.0,0.20875947,0.00121881,0.00017537,32.29002243352211,0.025820435021928677,0.0016290760593865316,93.83374758
110.0,0.20878276,0.00120802,0.00017143,31.308495484464554,0.02587401719861988,0.0013783998614298664,93.87605209
111.0,0.20881643,0.00119842,0.00016984,29.85221970593102,0.026050363288482384,0.002243160879878903,93.86590666
112.0,0.20881154,0.00118807,0.00016757,30.178346954950708,0.02596904438407273,0.002740481969036918,93.80388557
113.0,0.208803,0.00117959,0.0001548,30.792897852147956,0.025823994605397707,0.004054673012433714,93.91682521
114.0,0.20880524,0.00117079,0.00016251,30.78000603309754,0.02595041602973085,0.001391480021820792,93.81785946
115.0,0.20884796,0.00115753,0.00017034,28.469141225575164,0.02592231773434074,0.0025789098901517534,93.78799745
116.0,0.20883179,0.00114551,0.0001751,29.40467540499862,0.025944830002758545,0.0010319961435601363,93.81154249
117.0,0.20882894,0.00114128,0.00018303,29.416397939700982,0.025908216687259244,0.002372206342941305,93.80694834
118.0,0.20882802,0.00112866,0.00017786,29.987648178370243,0.026157725863947986,0.0016183543392990773,93.88581466
119.0,0.2088383,0.00112393,0.00015995,29.725045723078455,0.026074287471524623,0.002197521944228156,93.66854942
120.0,0.2088445,0.00112086,0.00016191,29.206589171996,0.025911415956940388,-3.9331536226707074e-05,93.80120565
121.0,0.2088561,0.00112199,0.0001624,28.704281410843944,0.026037071113625895,0.0018936269265417427,93.7171709
122.0,0.20883982,0.00111488,0.00016177,29.771760139389137,0.026127334417531397,0.0030265334058220857,93.72348786
123.0,0.20885589,0.00110924,0.0001579,28.786631753441906,0.025897386193530537,0.0008713241905792524,93.71678805
124.0,0.20882833,0.00110946,0.00016176,30.37314212287612,0.026060250880825187,0.002794721806634405,93.73899313
125.0,0.20887756,0.00110753,0.00016808,27.431009827825644,0.02586808548465324,-4.288713276164512e-06,93.55560978
126.0,0.20887197,0.001103,0.00016882,27.91690332320554,0.026008860549468858,0.0026382743845782017,93.73554751
127.0,0.20885091,0.00109412,0.00016658,29.30404638124023,0.026113841172485455,0.002132713924413102,93.72253074
128.0,0.20885386,0.00108571,0.00016324,29.199843234185206,0.026022804386367598,-0.00029445042380430223,93.70740832
129.0,0.2089035,0.00108615,0.00017041,26.381245871746042,0.026003369758873927,0.0013284995373105404,93.36897224
130.0,0.20885823,0.00109126,0.00016557,28.85136471882385,0.02601479852992551,-0.00029504813911365165,93.5052655
131.0,0.20883718,0.00109113,0.00015821,29.93233576945762,0.025855285199239016,0.0015284636950359625,93.57992052
132.0,0.20879578,0.0010944,0.0001526,32.12587023900487,0.025792796034645567,0.000815016074829349,93.33585604
133.0,0.20883463,0.00109523,0.00014795,30.426002449550033,0.026039205183219106,0.0004095723763902853,93.54259301
134.0,0.20885681,0.00109697,0.00015123,29.2964927015538,0.026164603229847285,0.0013837972444327514,93.40361982
135.0,0.20880951,0.00109876,0.00014751,31.860670477913484,0.026136721344558786,0.0009769211617243793,93.31671373
