Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20958958,0.00045448,0.0002329,-1.077978516821159,0.026746693006100466,0.037266354904269175,255.19859346
1.0,0.20964631,0.00066403,0.00024988,-6.281507783751172,0.026758554668682693,0.03690823700790891,255.0536896
2.0,0.20958511,0.00220852,0.00027576,-19.564193102980624,0.026725677015485543,0.03927071414898239,255.20223522
3.0,0.20951231,0.0034,0.00029809,-28.032143743166003,0.026157422619891367,0.07651460219357027,255.21718562
4.0,0.20882563,0.00450582,0.00031927,-6.352276020894341,0.02517422137057122,0.07940324863689568,255.19686841
5.0,0.2078017,0.00486923,0.00033319,36.772708679643294,0.024966807552940413,0.07552711130510262,254.94021992
6.0,0.20676374,0.00522473,0.00033866,79.48704173342058,0.02463189865542894,0.11235222239094093,254.73628116
7.0,0.20587433,0.00550656,0.00033843,117.0553876834165,0.024707614721637166,0.1866677989114024,254.4650656
8.0,0.20503422,0.00568101,0.0003279,152.45409486288085,0.02458301956409834,0.26435810358014644,254.36079616
9.0,0.2044791,0.00576426,0.00032202,176.43989136187554,0.024580649159087118,0.3140864370243944,254.25844344
10.0,0.20396871,0.00575809,0.00031923,200.4966593166322,0.024743224775462074,0.3599699248467215,253.91094253
11.0,0.20381915,0.00570131,0.00030953,209.81414544538234,0.024978996367052756,0.3723678491510162,253.98166941
12.0,0.20381671,0.00560271,0.00029673,210.2839605699969,0.024890575205985453,0.35076651047238777,253.9050007
13.0,0.20382109,0.00547713,0.00028919,215.37538386674416,0.025363720920981655,0.3236460271795482,253.64988558
14.0,0.20385433,0.00533266,0.00029387,213.99734057999387,0.02522935593187142,0.2968548548533168,253.58548386
15.0,0.20392601,0.00520038,0.00029702,208.93041114387376,0.024872936896808882,0.28331373765968454,253.54868288
16.0,0.20415457,0.00504385,0.00029752,203.52274901471463,0.02529565755482504,0.26970161916982377,253.44019666
17.0,0.20434886,0.00490037,0.00029372,193.61940898881002,0.024979744499238912,0.25476379778642577,253.45840548
18.0,0.20455922,0.00477318,0.00028102,186.48625220732512,0.025110130796789837,0.23936021921226053,253.14042202
19.0,0.20466963,0.00465537,0.00027466,183.26507613062836,0.025190331554702496,0.23643712918732254,253.14693886
20.0,0.20483495,0.00454566,0.0002722,175.38524416151623,0.02498658122445108,0.21578474864934397,252.95507542
21.0,0.20495319,0.00445224,0.00027973,170.40395747493554,0.024928110162282135,0.19594757453595316,253.00893519
22.0,0.20501419,0.00437827,0.0002838,168.58699707832244,0.024973348457242705,0.19459828725114778,252.94932527
23.0,0.20503219,0.00432854,0.00027955,168.11007473166123,0.024944713129859544,0.1886920917178931,252.79234609
