Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2095956,0.0004599,0.00035502,-7.924756078295816,0.026378806453721197,,66.43758115
1.0,0.20956418,0.00064543,0.00034978,-8.126333363477398,0.026145046331743055,,66.36506443
2.0,0.20955971,0.00099091,0.00033437,-11.09243805245694,0.02608127828369015,,66.39376497
3.0,0.20940413,0.00124624,0.00031094,-5.793913647365364,0.02583961451653682,,66.29847914
4.0,0.20877398,0.00139206,0.00029046,21.881354772713802,0.024797370937718353,,66.43490243
5.0,0.2080753,0.00146768,0.00027434,53.99977149977742,0.025289926586488636,,66.34937479
6.0,0.20766897,0.00153267,0.00027378,72.66070547964257,0.02550434197299355,,65.9192492
7.0,0.20765331,0.00161131,0.00027514,72.75171336747637,0.025555367455850804,,65.90910834
8.0,0.20764446,0.0016892,0.00026499,73.08831393497415,0.025736974799799067,,65.69117548
9.0,0.20757145,0.00176702,0.00024827,76.06255677457068,0.02575426303100892,,65.82989481
10.0,0.20762403,0.00184877,0.00023319,72.9868830997505,0.02573122113641228,,65.78473928
11.0,0.20754613,0.00191148,0.00021622,76.00221064285763,0.02563448049502155,,65.6695544
12.0,0.20745472,0.00196186,0.00020065,79.27910727475505,0.02539819587500174,,65.69194083
13.0,0.20741455,0.00200755,0.00018808,80.70206771714335,0.025338581879943978,,65.69844629
14.0,0.20740469,0.00204551,0.0001788,80.62972800190443,0.025241624296538295,,65.73441765
15.0,0.20735639,0.00208026,0.00017318,82.8724454086595,0.02532506466606631,,65.49524639
16.0,0.20735385,0.00210339,0.00017216,83.3374000476337,0.02549423649192967,,65.36877263
17.0,0.20732588,0.00211702,0.00016872,83.86691511835637,0.025286851421860813,,65.22412185
18.0,0.20732456,0.00213642,0.000169,84.47732464627556,0.025510079263608668,,65.37489541
19.0,0.20728165,0.00215541,0.00016746,86.36250716803508,0.02552711949125709,,65.07373096
20.0,0.20729558,0.00216882,0.00016134,85.37384115344042,0.025434116725613135,,65.11965184
21.0,0.20728765,0.00217145,0.00015536,85.68989960696831,0.025398683358024848,,65.09267332
22.0,0.20728806,0.00217038,0.0001599,85.75034632219986,0.025440541370436803,,65.06473812
23.0,0.20729009,0.00215838,0.00015572,86.16826309400231,0.02553838537718742,,65.09267332
24.0,0.2072907,0.00215287,0.00015387,86.1203541468391,0.025508118725858276,,65.28114028
25.0,0.20728958,0.00212902,0.00015447,86.4691226945557,0.02553091921257194,,64.95644137
26.0,0.20731582,0.00209897,0.00014991,85.73188954497233,0.025565521203756214,,64.86383426
27.0,0.20736768,0.00206637,0.00015218,83.22574440889579,0.025449587940806127,,64.99528279
28.0,0.20739656,0.00202106,0.00014857,83.14658520826131,0.02568497229420729,,65.08042775
29.0,0.20746235,0.00196895,0.000146,80.0565182492821,0.025503267172470912,,65.04216035
30.0,0.20751837,0.00193297,0.00014553,78.12629887326331,0.025604353709176318,,64.81121659
31.0,0.20760379,0.00190572,0.00014354,74.35239705195569,0.025570050404779256,,64.78691678
32.0,0.2076468,0.00187704,0.00014872,72.26160426937484,0.025468330607245352,,64.50526871
33.0,0.20771768,0.00186164,0.00015601,69.26273704882946,0.025559311475765862,,64.67862004
34.0,0.20777686,0.00183391,0.00015606,66.40648989882224,0.025415201472073573,,64.70540722
35.0,0.2077676,0.00178681,0.00015779,67.57025732398012,0.025532820158941157,,64.50450336
36.0,0.20781957,0.00174578,0.0001542,65.97263517815345,0.025672394226040705,,64.55731237
37.0,0.20785627,0.0017153,0.00015511,64.36680191461083,0.02560239991552624,,64.4493983
38.0,0.20792593,0.00168184,0.00015536,61.57168975227102,0.025654233367238963,,64.44805894
39.0,0.20793295,0.00163706,0.00015558,61.79513022788766,0.025703884234682832,,64.39620661
40.0,0.20802975,0.00157824,0.00015121,57.69602649986849,0.025605660515010904,,64.2343355
41.0,0.20802355,0.00151514,0.00014796,59.07641521204746,0.02579254504434671,,64.41553165
42.0,0.20818085,0.00143889,0.00013681,52.47971560761444,0.02571940254643178,,64.29785939
43.0,0.20824634,0.0013353,0.00012818,50.20658942085526,0.025535986306741826,,64.17923045
44.0,0.20831996,0.00121494,0.00013501,47.91768717280414,0.02557456783434466,,64.19874682
45.0,0.20835514,0.0011136,0.00013439,47.37014218607878,0.02562601783035166,,64.05371337
46.0,0.20860448,0.00102915,0.00013116,36.74482667260416,0.02571016853145418,,64.16488017
47.0,0.20870362,0.00100572,0.00013001,32.17998751030174,0.025571281586432775,,64.10786174
48.0,0.20887455,0.0010084,0.00013522,24.104052580642072,0.025561114763252485,,64.17827376
49.0,0.20885777,0.00098748,0.00013525,25.12229931781176,0.025595871685950674,,63.94388593
50.0,0.20896729,0.000936,0.00013612,20.59837641546866,0.025712089554892237,,63.96397631
51.0,0.20894705,0.00089303,0.00013379,22.057229790620994,0.025773390579969236,,64.23529219
52.0,0.20899566,0.00087461,0.00013445,20.081622588485946,0.025949005532658526,,63.94752133
53.0,0.20904365,0.00086092,0.00013516,17.82011896949057,0.025779721327489107,,63.80995002
54.0,0.20907314,0.00085707,0.00012627,16.44997342352124,0.02552032066699157,,64.03400566
55.0,0.20906684,0.00085513,0.00012083,16.918904122960654,0.02562606618805299,,63.76804722
