Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20941502,0.00069317,0.00019811,-0.7856347293473797,0.026514608307236932,0.0349623405438807,35.53782749
1.0,0.20940658,0.00107736,0.00021193,-4.9860937534812235,0.026474321880088678,0.036061182528902926,35.61279163
2.0,0.20939906,0.00227683,0.00022191,-18.24134456515051,0.026052736607840448,0.035044555405440304,35.51526175
3.0,0.20893478,0.00267897,0.00023472,1.9365206174865146,0.02533313190122655,0.04280835943690692,35.4353255
4.0,0.20786975,0.00302038,0.00023741,53.369423492095336,0.025114472845917824,0.06606086041105827,35.5728235
5.0,0.20660568,0.00331563,0.00024121,113.92594140796079,0.024795218239047137,0.09829463078383244,35.50665617
6.0,0.20593342,0.00357759,0.00024368,144.13773659356525,0.024599527478815726,0.13238044283623276,35.52252868
7.0,0.20556342,0.00378522,0.00025308,162.05378814889778,0.024847125364488305,0.16743074493883014,35.29820996
8.0,0.20540599,0.00398362,0.0002603,167.9247869274364,0.024858771122516245,0.18666538420054277,35.09798686
9.0,0.2050904,0.00418115,0.000263,182.33681013830326,0.02492645836827707,0.20719880344071948,35.0687279
10.0,0.20489961,0.00433914,0.00026782,189.74369651312256,0.024852407734071505,0.2213566561669359,34.99414623
11.0,0.20464362,0.00450666,0.00027348,200.03675192701,0.024747712222624615,0.2320972027325902,34.86410639
12.0,0.2043501,0.00469507,0.00028073,213.16444689443048,0.024793168974500453,0.23399566336887248,34.6835805
13.0,0.2041471,0.00491535,0.00028656,222.0039922468394,0.024901519415870408,0.24312213910393715,34.59503867
14.0,0.20406645,0.00514676,0.00029054,221.7615013117417,0.024694804897762893,0.2461762255959521,34.54340521
15.0,0.20375565,0.00532714,0.0002891,235.1902729485652,0.024655611072431496,0.242140139786678,34.43726975
16.0,0.20357706,0.00549522,0.00028644,240.37937398532998,0.02444264594037783,0.25857194589565463,34.25521398
17.0,0.20336104,0.00565291,0.00028358,249.54420753637032,0.0244401768199316,0.2676148196186701,34.19593111
18.0,0.20300274,0.00574708,0.00027799,267.024406053351,0.024489094552483024,0.2761720439578693,34.05460841
19.0,0.20289412,0.00581376,0.00026652,271.6273360447576,0.024460290598987463,0.28374627930354207,33.78745304
20.0,0.20266834,0.00586156,0.00026206,279.8786646258824,0.024238893443684538,0.2772499728474287,33.71822595
21.0,0.20261322,0.00588411,0.00026694,283.56413537125985,0.024348927024223335,0.2876657331641406,33.54554069
22.0,0.20265247,0.00586724,0.0002723,279.8114795191531,0.02418537926667937,0.278267960690137,33.45087934
23.0,0.20267353,0.00584967,0.00027992,278.10359124792865,0.024122750625951893,0.2651088115927105,33.16460047
24.0,0.20259989,0.00588218,0.00027945,278.84201507177585,0.02390406207273412,0.26018223884976555,33.22024987
25.0,0.20273404,0.00593512,0.00027822,276.1128064146777,0.02428093807357671,0.24877044127607442,33.26060046
26.0,0.20275113,0.00596694,0.00027522,271.4461842631179,0.02396713618866323,0.24487923116814933,32.98636939
27.0,0.2027318,0.00598519,0.0002772,273.1050107488318,0.024049204857339343,0.22945910724181176,32.83758852
28.0,0.20266417,0.00602931,0.0002772,274.10466346904406,0.023886759781635847,0.22485277864830158,32.7098435
29.0,0.20267627,0.00612675,0.00027732,275.1233062231447,0.024112182021517586,0.22586161103378596,32.60542916
30.0,0.20269997,0.00625617,0.00028352,271.0225050739026,0.0239757323180999,0.23367153184714448,32.59070407
31.0,0.20265797,0.00634384,0.00028313,271.4080412127227,0.023905659914613898,0.22537156649849877,32.4321702
32.0,0.20237411,0.00635635,0.00027934,281.8023838013921,0.02362679236324418,0.22236766190747514,32.29658455
33.0,0.2022182,0.00631286,0.00027241,290.1556845549092,0.023654559264572307,0.2272206235851685,32.16979571
34.0,0.20220539,0.00624286,0.00026268,293.7300153470018,0.02382626578962889,0.23597119938344668,32.02311842
35.0,0.20228787,0.00617206,0.00025794,293.4843631429159,0.024069474792689605,0.22151206619620756,32.02120607
36.0,0.20237371,0.00616677,0.00025238,288.3491799209619,0.023978930546533068,0.21178279193319052,31.85617022
37.0,0.20250348,0.00615277,0.00024711,284.3065362199464,0.024152770529620563,0.2031588827541274,31.7322499
38.0,0.20261667,0.00609657,0.00025072,278.75752061780935,0.024109530005443768,0.19885927451669197,31.3394531
39.0,0.20259816,0.00599802,0.00025182,277.4776162002516,0.0238387846177964,0.19292971003145584,31.3989272
40.0,0.20266285,0.00590514,0.00025142,276.14998106482096,0.023914987638628028,0.19495470241912233,31.46719812
41.0,0.20266936,0.00585212,0.00025019,280.3658519259119,0.024259941126601996,0.199139771053151,31.17881565
42.0,0.20277879,0.00591875,0.00025346,271.10696941177656,0.02398190089300656,0.1775542562099319,31.10805868
43.0,0.2027557,0.00615371,0.00025239,270.07619818526973,0.02399636020101509,0.16057743646156777,30.98299095
44.0,0.20276099,0.0065094,0.00025462,264.61858258343375,0.02385026495269176,0.15468771337174458,30.89368418
45.0,0.20254447,0.00687966,0.00024656,267.8717832712484,0.023524039944450542,0.15476815643918285,30.80342124
46.0,0.2018838,0.00720404,0.00023717,290.1167111146639,0.023022915559621094,0.15219525247517166,30.6330308
47.0,0.20097864,0.00744811,0.00023967,322.92847930677823,0.022530561769990774,0.15522799899428194,30.58923797
48.0,0.20029408,0.00762181,0.00024069,357.94232021333636,0.022879815275448776,0.1532938425931139,30.50949295
49.0,0.19989937,0.00774067,0.00023785,371.1335641684381,0.02263812661363514,0.14883905387222268,30.2811583
50.0,0.19979492,0.00785314,0.00023023,378.0624738928543,0.022824014394928222,0.135423357659492,30.16928579
51.0,0.19969993,0.00791797,0.00022964,384.86119330094016,0.02300460857118141,0.1304680887416555,30.07672802
52.0,0.19971112,0.007913,0.00022904,381.7722001476022,0.022847444144584707,0.12840581123391603,29.7852858
53.0,0.19972912,0.00787265,0.00022249,385.4378383247373,0.023088116243586563,0.12977242175439388,29.74531767
54.0,0.19973898,0.00789834,0.00022261,379.97251255708477,0.022802225278575675,0.1325655964979784,29.57932564
55.0,0.19980743,0.00785768,0.00022502,382.41717179332085,0.023119698991728214,0.13559479917721823,29.45961249
56.0,0.19982726,0.00772367,0.00021697,381.7298027067154,0.023050337919832888,0.13373083929778085,29.28883959
57.0,0.19994564,0.0075652,0.00021306,370.24602286755913,0.022590897877722112,0.12607511819849046,29.27258461
58.0,0.20010928,0.00742713,0.00021289,371.15673855056883,0.02303098229642495,0.12752726169710332,29.13757266
59.0,0.20039609,0.00727062,0.00021369,360.14889567914463,0.023086135713483776,0.12920892566086883,29.03354079
