Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20670236,0.00079824,1.578e-05,464.9447609013212,0.004525800806524917,-0.005171980750340316,-153.5410572
1.0,0.20672035,0.00079396,1.611e-05,561.702578435668,0.0056315636011436175,-0.0042706078949613195,-153.65088529
2.0,0.20668843,0.00079343,1.588e-05,617.7198805648673,0.00586528743438246,-0.0021537130332830046,-153.54144054
3.0,0.20666881,0.00079918,1.55e-05,660.8171995879718,0.006088181192075969,-0.002743515104623688,-153.51211472
4.0,0.20670775,0.00079579,1.538e-05,595.0398226284373,0.005838998060201666,-0.003189591611614765,-153.58763351
5.0,0.20667064,0.00079636,1.538e-05,474.33211654310816,0.004378517888031248,-0.0010920271615430864,-153.66909414
6.0,0.20667704,0.00079347,1.558e-05,578.4585668345677,0.005390425662283344,-0.0010928538134431362,-153.71969556
7.0,0.20669982,0.0007962,1.568e-05,569.7867188186974,0.0055183875001281295,-0.0012647163220301815,-153.60392564
8.0,0.2067109,0.00079473,1.578e-05,615.6231893627636,0.00607272896089969,-0.0004703048201912577,-153.60910078
9.0,0.20667491,0.0007953,1.524e-05,693.4648196691588,0.006442647302053571,-0.0005010620344849697,-153.62845966
10.0,0.20667857,0.00079649,1.521e-05,584.4940039070904,0.005464596880131528,0.0007443268743531319,-153.61753435
11.0,0.20667003,0.00079518,1.541e-05,524.2969713022877,0.004833202385869337,0.0011802385080547319,-153.53684042
12.0,0.2066866,0.00079298,1.532e-05,588.3478449937027,0.005566981374859398,0.0013133302946388623,-153.64801021
13.0,0.20667491,0.00079624,1.572e-05,587.7203428436272,0.005463392505441636,0.0015244349528383187,-153.53262363
14.0,0.20668172,0.00079473,1.597e-05,660.1317573623487,0.006202435744450963,0.0016447486570711927,-153.60833409
15.0,0.20671232,0.00079122,1.558e-05,628.947457625833,0.006210816140816698,0.0021466728933500195,-153.58341673
16.0,0.20670836,0.00079445,1.555e-05,475.47129547626406,0.004668809899025637,0.0027361200100507795,-153.60085888
17.0,0.20672747,0.00079282,1.616e-05,499.90475179492194,0.005072947056697733,0.004809939624719798,-153.64168503
18.0,0.20672706,0.0007942,1.574e-05,562.4943724653778,0.00570539387140344,0.005400479219176765,-153.70647018
