Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947938,0.00040074,-2.04e-06,-23.024947425613444,0.005035220500989113,-0.0034885432051462127,-159.98219678
1.0,0.20948772,0.00040473,-2.55e-06,-32.45894785049546,0.0052834625745866596,-0.003645536675524773,-160.08397465
2.0,0.20945235,0.00040237,-1.72e-06,0.315460023015108,0.004822344454303538,-0.0039806810034003805,-159.98660524
3.0,0.20950327,0.00040424,-1.75e-06,-47.319950187909704,0.005324133292282071,-0.004734012589588801,-160.19284438
4.0,0.20946048,0.00040257,-1.94e-06,-6.7871951551024265,0.005037335294301032,-0.0038708471349978148,-160.07994953
5.0,0.20946444,0.00040791,-2.68e-06,-12.050181913306245,0.005504619535386268,-0.003346917172787042,-160.05004869
6.0,0.20946699,0.00040436,-1.82e-06,-13.188599408769356,0.005159559538999419,-0.0035744113357399276,-160.1295926
7.0,0.20948579,0.00040795,-2.45e-06,-32.45929847318732,0.005473314626058818,-0.003622878693244457,-159.90706133
8.0,0.20940743,0.00039984,-2.63e-06,44.36003733099788,0.00550999995430723,-0.004850682135319542,-160.00634746
9.0,0.20943954,0.0004018,-2.24e-06,12.527051571632745,0.005323963069143819,-0.0011450247643267528,-159.95133758
10.0,0.2094618,0.00040025,-2.36e-06,-8.591118288303473,0.005853970372214478,-0.0023886844526112097,-159.8668102
11.0,0.20946322,0.00040094,-2.36e-06,-9.726787743386662,0.00558815439849028,-0.003684643629309667,-159.97203816
12.0,0.20945509,0.00040285,-3.09e-06,-1.9157464553461947,0.005510064551976137,-0.003401504757899902,-160.04698194
13.0,0.20945377,0.00040184,-2.16e-06,-0.7795798083148284,0.005712323877225998,-0.004076206248803181,-159.99848891
14.0,0.20949626,0.00039935,-2.86e-06,-41.70179766290584,0.005621317236812338,-0.002800306751921529,-160.02800641
15.0,0.2094554,0.00039992,-2.1e-06,-1.9668197561766483,0.005550827312773834,-0.0026776790083091833,-159.99618884
16.0,0.20945367,0.00040025,-2.63e-06,-0.19057727899012358,0.005855379902947084,-0.003165168698163187,-160.04199847
17.0,0.20946556,0.00040322,-2.68e-06,-12.261244470768382,0.005540429636946147,-0.0038592708446627227,-160.06902423
18.0,0.20943853,0.00040212,-2.49e-06,14.764554662547527,0.005829873433844755,-0.004187796060199917,-160.17981068
19.0,0.20946231,0.00039947,-2.67e-06,-9.020966335071229,0.005976692996426033,-0.0021211343719591555,-160.04238181
20.0,0.20948558,0.00040383,-2.57e-06,-33.39124013389696,0.005821462272020418,-0.0012729434319472756,-159.86585184
21.0,0.20945997,0.00040424,-2.74e-06,-8.03309443230075,0.006319246067407789,-0.0040085328774584275,-160.18939429
22.0,0.20944696,0.00040057,-2.57e-06,7.209028855867907,0.0064191734938279475,-0.0022310344514064493,-160.03643998
23.0,0.20945733,0.00040155,-2.36e-06,-4.609845432773567,0.006271438837361573,-0.0023431488458465956,-160.00174733
24.0,0.20945753,0.00040163,-2.55e-06,-5.092206841433557,0.006687731048851828,-0.0010675174253363799,-159.93715385
25.0,0.20946719,0.00039984,-2.57e-06,-15.309536510673846,0.0064311331388360185,-0.004002772191385717,-160.06710751
26.0,0.20948823,0.00040237,-2.42e-06,-37.77105512066809,0.006137614860540914,-0.0019166681702384033,-160.00136399
27.0,0.20940418,0.00040347,-2.48e-06,54.444077816789694,0.006423213352811759,-0.002545186843366373,-160.02608968
28.0,0.20953904,0.00040151,-2.72e-06,-88.58202513469814,0.005916077517525502,-0.0011155665317686496,-160.01152261
29.0,0.20910547,0.00040269,-2.33e-06,362.05389896716093,0.0059761837127331385,-0.0011425988058108205,-160.0939416
30.0,0.20932948,0.00040041,-2.49e-06,125.66763694616851,0.005812620155100638,-0.0023875311231383173,-159.82694241
31.0,0.20949148,0.00040147,-2.7e-06,-34.36552719957101,0.005151137803082986,-0.004307982448217251,-160.1069753
32.0,0.20950977,0.000402,-2.35e-06,-49.18835519840278,0.0049664100460999824,-0.0013286801884205381,-159.86182673
33.0,0.20948081,0.00039679,-2.6e-06,-24.67717518959023,0.005313647681357065,-0.002137621980650469,-160.09854172
34.0,0.20947308,0.00040355,-2.15e-06,-20.083192319780974,0.005626433401951786,-0.0024912647843853483,-160.01823113
35.0,0.20947369,0.00040477,-2.68e-06,-20.6182496472408,0.005589795511995056,-0.0032582263727541218,-159.90821136
36.0,0.20946465,0.00040285,-2.19e-06,-12.013367600759686,0.005802840033698945,-0.004119252472680659,-160.00308904
37.0,0.20946739,0.00040774,-2.47e-06,-17.27259662968348,0.00637278532881759,-0.003009296359769795,-160.08244127
38.0,0.20944859,0.0004055,-2.83e-06,4.254564718187907,0.006312170788787005,-0.002570567272306759,-160.00251402
39.0,0.20945957,0.0004007,-2.39e-06,-6.156748516061261,0.005632572019353426,-0.004539587079486566,-159.98852196
40.0,0.20945835,0.00040448,-2.52e-06,-5.323019030047897,0.005267467977803615,-0.0012291207482990913,-160.00500576
41.0,0.20951435,0.00040269,-2.63e-06,-53.84344226378564,0.005026472192581077,-0.0030377264617276576,-160.07343269
42.0,0.20946119,0.00040795,-2.8e-06,-9.054966992203642,0.005602754602713269,-0.0032196801462879075,-160.12575916
43.0,0.20948182,0.00040306,-2.53e-06,-29.798395696634916,0.0058960972394674835,-0.0020015080880307515,-159.89364429
44.0,0.2094617,0.00040383,-2.64e-06,-9.515219627292117,0.006083313711961992,-0.0015900694811568044,-159.98258013
45.0,0.20947908,0.00040176,-2.28e-06,-29.38328105213958,0.0064674521500486725,-0.003223657039370846,-159.91108645
46.0,0.20947095,0.00040257,-2.28e-06,-18.72084067067324,0.005935522283405376,-0.0038296830739688176,-160.09068317
47.0,0.20948121,0.00040518,-2.52e-06,-25.51161823671591,0.005076333621616702,-0.004918556844260302,-160.12997594
48.0,0.2094804,0.00040151,-2.79e-06,-24.485158408519084,0.0051724900008096476,-0.004299547147735363,-160.07439105
49.0,0.20945408,0.00040501,-2.53e-06,-1.5959320846369673,0.00561601496828435,-0.004130374491589747,-160.13572611
50.0,0.20949524,0.00040171,-2.95e-06,-42.20326996930698,0.005764384157520713,-0.0027503068040927604,-160.11809228
51.0,0.2094681,0.00040554,-2.04e-06,-16.45375569242629,0.005919153706708067,-0.0030921365404201254,-160.08454966
52.0,0.20949727,0.00040102,-2.85e-06,-48.45728090096754,0.00632892605597429,-0.005587939223226703,-159.96590466
53.0,0.20946607,0.00040343,-2.74e-06,-13.62750002429857,0.005909293749179851,-0.0031201966380773392,-159.97893836
54.0,0.20948477,0.00040436,-2.5e-06,-27.21432739901003,0.004844023286143957,-0.0037542637494020906,-160.15182656
55.0,0.20977849,0.00040139,-2.67e-06,-308.4209375999729,0.005430947738656757,-0.005015380977675964,-160.05503217
56.0,0.20944503,0.0004042,-2.77e-06,7.078946592708795,0.005286086361310358,-0.0030000632733223555,-160.03797335
57.0,0.20947634,0.00040184,-2.76e-06,-25.98001364808943,0.006432210978549411,-0.003865745769908989,-160.07649944
58.0,0.20949504,0.00040375,-2.31e-06,-46.37307098830456,0.006266891139074148,-0.003647392961804723,-160.00788084
59.0,0.20949138,0.00040167,-2.54e-06,-35.70790597041001,0.005352742679179301,-0.003669352772223458,-160.04544856
60.0,0.20946709,0.00040518,-2.46e-06,-13.437081903707773,0.005238633490606582,-0.0039507633349909164,-159.97740498
61.0,0.20949199,0.00040383,-2.16e-06,-38.92960863084029,0.005658914863655056,-0.00472210281896298,-160.03394824
62.0,0.20947562,0.00040057,-2.4e-06,-23.163150336504316,0.005956596284053338,-0.002913674407239073,-159.94692912
63.0,0.20950845,0.00040253,-2.5e-06,-60.15912404063158,0.00621211968363167,-0.004052576139195313,-159.98928865
64.0,0.20948762,0.0004053,-2.47e-06,-34.65944317691547,0.005634106975627095,-0.004189981695658912,-160.10448356
65.0,0.2094741,0.00040448,-3.24e-06,-20.035884217491052,0.005392177472792885,-0.003488372510886566,-160.03337322
66.0,0.2094804,0.00040025,-2.27e-06,-26.44515597101769,0.005603973312826202,-0.004704175295145163,-160.16332688
67.0,0.20949209,0.00040379,-2.35e-06,-40.46541760464863,0.0058782916846978625,-0.0060924295861905,-160.1708021
68.0,0.20950571,0.00039919,-2.92e-06,-57.1674314805952,0.006310985450959446,-0.0038402746851166434,-160.0349066
69.0,0.20949605,0.00040196,-2.4e-06,-44.84333839078731,0.005975073769740854,-0.00425630665878538,-160.02551467
70.0,0.20946546,0.00039956,-2.62e-06,-10.504578800767328,0.005086043150983813,-0.0038659300156492714,-160.03816502
71.0,0.20950012,0.00039772,-2.69e-06,-43.22406452230515,0.00537423041918305,-0.0042424640228756975,-159.91108645
72.0,0.20943324,0.00040086,-2.59e-06,19.58619832652621,0.005583722043717032,-0.004815446530375863,-160.04180679
73.0,0.20946749,0.00040147,-2.68e-06,-15.884553706789044,0.006389951159254309,-0.004780574136091234,-160.04429853
74.0,0.20949768,0.00039903,-2.2e-06,-46.19166973588464,0.0060032500625698025,-0.003458703268576783,-159.94424571
75.0,0.20951038,0.00039801,-1.76e-06,-55.51682175225586,0.005607592085075599,-0.004789689740090918,-160.00098064
76.0,0.20953193,0.0003998,-2.21e-06,-68.24642198371046,0.004981425656551303,-0.004006540488377046,-159.97951337
77.0,0.20942399,0.00040171,-2.24e-06,26.822815010914198,0.005290937466204028,-0.0014583462485661107,-160.03394824
78.0,0.20949056,0.000404,-2.45e-06,-40.1141262101504,0.006060916033145524,-0.0035280478410996074,-160.02877309
79.0,0.20949178,0.00040184,-3.13e-06,-42.35592574040359,0.006311036486060344,-0.004247277491446189,-159.99963894
80.0,0.20953091,0.00040318,-2.68e-06,-81.53404526408721,0.005987466112225185,-0.001813993321085083,-159.92143674
81.0,0.20948335,0.00040318,-2.78e-06,-29.052504587606844,0.005471018753316688,-0.002123665704361897,-160.02493965
82.0,0.20949189,0.00040371,-1.96e-06,-36.81817527115489,0.0053596117082840775,-0.004238709103864928,-160.21527001
83.0,0.20948274,0.00039642,-2.57e-06,-27.995252377489187,0.00563373562882935,-0.003165244738027311,-160.09202487
84.0,0.20946617,0.00040131,-2.49e-06,-12.95673839237904,0.005730251623575691,-0.0024115695216415677,-160.0623157
85.0,0.20952685,0.00039862,-2.5e-06,-83.82177271575716,0.006572826439876556,-0.0022789110299990247,-160.00615579
86.0,0.20945936,0.00040127,-2.59e-06,-5.905694368942422,0.005544214661730471,-0.002799244627569926,-160.02723972
87.0,0.20947024,0.00040204,-2.66e-06,-14.570757259795409,0.0048766986828694,-0.0037377529571856177,-160.03203152
88.0,0.20948995,0.00040102,-2.72e-06,-33.80620385315003,0.005293179362836615,-0.004088034550953447,-160.01037258
89.0,0.20948569,0.00040184,-2.41e-06,-33.39473010178165,0.0058670139416216625,-0.001760357143438859,-160.04257348
90.0,0.20945784,0.00040379,-2.57e-06,-5.694210215954132,0.006374348316798334,-0.0031292068479619427,-159.96245456
91.0,0.20948934,0.00040265,-2.47e-06,-34.1372534917757,0.005371731560392489,-0.0030103030217742523,-160.01765611
92.0,0.20947044,0.00040143,-2.43e-06,-15.247418355244704,0.00505836848418634,-0.003320236554660177,-160.09815838
93.0,0.2094866,0.00039951,-2.24e-06,-34.60726748976851,0.005991774113971651,-0.0017286031201415686,-159.98181344
94.0,0.2094495,0.0004009,-2.77e-06,4.378225292624829,0.006440412024589131,-0.002317679275097282,-160.03452326
95.0,0.20946902,0.00040102,-2.5e-06,-14.38059154311756,0.0052345045193819915,-0.0007846204616554427,-160.0383567
96.0,0.20948193,0.00040204,-2.55e-06,-27.895592950598015,0.005540771385005111,-0.0034935292012476305,-159.86182673
97.0,0.20947268,0.00039764,-2.36e-06,-19.839666805971284,0.006065636349932087,-0.004020261040492005,-160.01899782
98.0,0.20953498,0.00039858,-2.33e-06,-83.30555019186237,0.005874572312798563,-0.0048601373887753605,-159.97855501
99.0,0.20952817,0.00040114,-2.34e-06,-69.15222795923566,0.005284831934214565,-0.0028546687918225735,-160.09106652
100.0,0.20949615,0.00040159,-2.24e-06,-43.45275242522613,0.005779339194356825,-0.003294580986946707,-160.00845585
101.0,0.20950337,0.00040277,-2.64e-06,-55.4906212736978,0.006307309973961653,-0.004868620124725767,-160.07419937
102.0,0.20951668,0.0004022,-2.63e-06,-58.785809055197724,0.0052956653171652495,-0.002139616012022983,-160.04506522
103.0,0.20948873,0.00040269,-3.01e-06,-34.639725157374734,0.005571400608559084,-0.0029604500394916963,-160.001939
104.0,0.20948497,0.00040029,-2.35e-06,-34.39713463321214,0.006239034286254475,-0.0025719342854018815,-160.03241486
105.0,0.20946699,0.00039862,-2.96e-06,-13.790686245673557,0.006055179138093115,-0.005381233776605232,-160.08914979
