Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.207335,2.885e-05,5e-07,-26.86469583449073,0.02707695871896035,,-60.74843079
1.0,0.20735097,2.8e-05,8.2e-07,-101.87327759454821,0.027094794513077284,,-60.66198675
2.0,0.20732411,2.973e-05,3.9e-07,23.921694200033752,0.027253223236052906,,-60.56308404
3.0,0.20733052,2.736e-05,1.9e-07,-3.7822091560696505,0.026970201255403677,,-60.59260151
4.0,0.2073472,2.719e-05,1.9e-07,-82.1525703540798,0.027051770256718514,,-60.70722133
5.0,0.20734446,2.719e-05,3.6e-07,-69.55474892819453,0.027062129496457345,,-60.53337489
6.0,0.20733103,2.848e-05,4e-07,-7.645151640785574,0.027114536335757066,,-60.58416795
7.0,0.2073353,2.506e-05,2.4e-07,-24.063515261959402,0.026975040908258027,,-60.5387417
8.0,0.20731669,2.675e-05,4.7e-07,62.182189187162564,0.027372857182112072,,-60.48929034
9.0,0.20732299,2.953e-05,2.2e-07,29.514810965070694,0.02707685719739318,,-60.60812694
10.0,0.20732411,2.796e-05,4.4e-07,25.316534290161872,0.02697190200746357,,-60.46533135
11.0,0.20732971,2.977e-05,5e-07,-2.811369321710956,0.026832595575986846,,-60.5592506
12.0,0.20731099,2.575e-05,2e-07,89.94239902116972,0.027125805244994312,,-60.51133262
13.0,0.20732777,2.647e-05,3.6e-07,9.807550121669701,0.027223307115920616,,-60.47529829
14.0,0.20731821,2.422e-05,5.4e-07,56.95214862622674,0.027194362938655757,,-60.47874839
15.0,0.20731445,2.486e-05,2.9e-07,75.34541901211647,0.02749426067986586,,-60.46398965
16.0,0.20733245,3.07e-05,4.4e-07,-16.54124838711547,0.02704749571923479,,-60.52072454
17.0,0.20731669,2.772e-05,7e-07,60.273416560061705,0.027114467180887326,,-60.47836504
18.0,0.20735961,2.655e-05,5e-07,-140.227190478312,0.02700780461437427,,-60.50404908
19.0,0.2073413,2.844e-05,4.7e-07,-55.991373115356055,0.027023648980153046,,-60.38559583
20.0,0.20734273,2.78e-05,4.8e-07,-61.8124166219858,0.026894781715946624,,-60.47433993
21.0,0.20733835,2.985e-05,3.4e-07,-43.92969653170708,0.02742759085076973,,-60.41549665
22.0,0.2073414,2.671e-05,4.1e-07,-55.079965361379315,0.027222457930618685,,-60.42891369
23.0,0.20731791,2.715e-05,4.5e-07,55.6501640034041,0.02719758352701276,,-60.45651444
24.0,0.20734313,2.498e-05,6.4e-07,-61.42009235657178,0.026989209018960552,,-60.38847091
25.0,0.20734496,2.607e-05,5.8e-07,-71.32437557152647,0.027120093485057808,,-60.29052656
26.0,0.20732696,2.651e-05,4.1e-07,13.410079554304009,0.02699374410485048,,-60.39364605
27.0,0.2073294,2.728e-05,8.9e-07,0.42564009302588457,0.02713046136454744,,-60.39652113
28.0,0.20733927,2.724e-05,2e-07,-45.136564410476325,0.027203581499485468,,-60.39632946
29.0,0.20732961,2.707e-05,2.6e-07,0.6599075547221348,0.02704627167770097,,-60.3564617
30.0,0.20738504,2.518e-05,5.6e-07,-260.56721760651016,0.027220993347117018,,-60.42105514
31.0,0.20734974,2.651e-05,2e-07,-93.09413366740782,0.02694501058387998,,-60.38942927
32.0,0.20738758,2.925e-05,2.5e-07,-277.33448339099,0.027343071276156723,,-60.33921122
33.0,0.20736683,2.603e-05,3.8e-07,-175.91793052965426,0.02738985861067732,,-60.32311078
34.0,0.20735208,2.623e-05,6.4e-07,-105.13208460495127,0.027106927277151742,,-60.318894
35.0,0.20737121,2.703e-05,5.9e-07,-195.43281931984401,0.027016926452732425,,-60.27327608
36.0,0.2073588,2.756e-05,3.1e-07,-137.79052852126156,0.027144360873307592,,-60.36240353
