Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956101,0.00046072,-9.54e-06,0.2950999062187104,0.026434209681368195,,266.69257441
1.0,0.20958063,0.00045894,-1.021e-05,-0.6163204546127168,0.02621841824730604,,266.76310962
2.0,0.20957352,0.00046679,-1.009e-05,-0.35413052008296303,0.026001230319950466,,266.75697612
3.0,0.20960005,0.00045997,-1.022e-05,-1.5771970674271705,0.026594242970920473,,266.86929578
4.0,0.20960554,0.00045848,-1.065e-05,-1.832776572027993,0.026765096359292643,,266.87102082
5.0,0.20960981,0.00045977,-1.026e-05,-2.0468275928265207,0.026581456960892046,,267.11099388
6.0,0.20959883,0.00046394,-1.023e-05,-1.5550064918126594,0.026539113644799744,,267.00499939
7.0,0.20961561,0.00046865,-1.015e-05,-2.3931670098081397,0.026285739743344385,,267.2507226
8.0,0.20960534,0.0004584,-1.028e-05,-1.8046680182744543,0.026417147437726475,,267.25053093
9.0,0.20959761,0.00046477,-9.91e-06,-1.4938101519408733,0.02625908227315931,,267.28445683
10.0,0.20958724,0.00046725,-1.027e-05,-1.027419793410896,0.02654883262618691,,267.07208451
11.0,0.20959802,0.0004639,-1e-05,-1.5216765037377395,0.026581534863424846,,267.11789406
12.0,0.20959964,0.00045419,-9.28e-06,-1.5046003242474368,0.02642402207683197,,267.42054379
13.0,0.20958877,0.00046394,-9.86e-06,-1.0601247505205986,0.026187592345698382,,267.19283772
14.0,0.20959314,0.00045923,-9.73e-06,-1.2296074055981934,0.026312167539230432,,267.17961237
15.0,0.20956721,0.00046204,-9.83e-06,-0.012172905166184578,0.026315740419859613,,267.00059094
16.0,0.20957972,0.00045815,-9.94e-06,-0.5780708970538792,0.026619573947525392,,267.01151623
17.0,0.20958165,0.00045927,-9.4e-06,-0.6859796664680706,0.02638016840022583,,267.23155542
18.0,0.20959131,0.0004608,-9.49e-06,-1.1540022515217123,0.026140510066637347,,267.50813779
19.0,0.20956589,0.0004591,-9.75e-06,0.07870560129639464,0.026081954747544628,,267.52002144
20.0,0.20956853,0.00045886,-1e-05,-0.040704925815896215,0.02631954051994757,,267.46136987
