Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20966415,0.00046727,9.9e-07,-19.980864869470683,0.026361257773204423,,102.33594693
1.0,0.20941505,0.00046474,1.47e-06,7.153401653699124,0.026375202558561774,,102.3572225
2.0,0.20945277,0.0004691,1.08e-06,2.9926994988236557,0.026613280305815126,,102.36431436
3.0,0.20939187,0.00046914,1.12e-06,9.693374094861962,0.026667097738069422,,102.6914981
4.0,0.20949618,0.00047028,7.8e-07,-1.7730831716349862,0.026389763230271954,,102.35453909
5.0,0.209339,0.00047195,1.15e-06,15.419401357623691,0.026631003380911296,,102.28208716
6.0,0.20929182,0.00047183,1.15e-06,20.60854879242935,0.02664029605772631,,102.42143255
7.0,0.20939095,0.00047309,1.46e-06,9.644925416995122,0.026541322766323903,,102.60812088
8.0,0.20948622,0.00047606,1.43e-06,-0.8454870276427378,0.026398195066820646,,102.66983919
9.0,0.20946151,0.00047321,1.49e-06,1.9142039456748456,0.026487380310704023,,102.54122742
10.0,0.2098071,0.00047497,1.22e-06,-35.94709430550478,0.02652617388429345,,102.62307128
11.0,0.20966211,0.00047179,1.6e-06,-20.207125996098398,0.026788289909964114,,102.57246992
12.0,0.20917073,0.00047692,1.65e-06,33.66340247074408,0.02655952725233741,,102.83199353
13.0,0.20925339,0.00047195,1.49e-06,24.661083892373135,0.02647788554541667,,102.51477671
14.0,0.20961982,0.00047126,1.9e-06,-15.322709268649218,0.02642953493346007,,102.42622435
15.0,0.20925491,0.00047273,1.74e-06,24.428760832902242,0.02643544155725578,,102.54391083
16.0,0.20930311,0.0004744,8.4e-07,19.324794983750863,0.026644839142378966,,102.59489552
17.0,0.20942989,0.00047664,1.09e-06,5.297801770475235,0.026451977589797886,,102.64032174
18.0,0.20961331,0.00046442,1.49e-06,-14.365666044669062,0.02629209713389832,,102.55598615
19.0,0.20952384,0.0004713,8.1e-07,-4.823966739255322,0.02647418572961878,,102.53336888
20.0,0.20925258,0.0004702,1.22e-06,24.70327771471382,0.02637502149404469,,102.50634315
21.0,0.20931531,0.00047,8.1e-07,18.07147000461441,0.026621656871707103,,102.60639583
22.0,0.20916412,0.00046894,7.4e-07,34.962992551734104,0.02683524110180775,,102.73922438
23.0,0.20935974,0.00047256,7.9e-07,13.023012502907154,0.026389901603133877,,102.61578775
24.0,0.20942511,0.00046629,1.2e-06,5.972507243234549,0.026106104556083677,,102.45555013
25.0,0.20941678,0.00046837,9.8e-07,6.886698565499942,0.026320774687373368,,102.5230186
26.0,0.20942328,0.00046971,1.1e-06,6.186461629461952,0.026493099341145344,,102.47260892
27.0,0.20944281,0.00046796,9.7e-07,4.128190243489392,0.026690366656640034,,102.44864994
28.0,0.20968662,0.0004711,1.26e-06,-22.505882903165176,0.02634070823376071,,102.69993166
29.0,0.20937275,0.00046959,7.6e-07,11.735764372472772,0.02652427608791661,,102.69264814
30.0,0.20950798,0.00046808,1.16e-06,-3.0540211271553543,0.026672043639035026,,102.7275324
31.0,0.20946161,0.00046633,1.56e-06,2.062607390170367,0.02654484454659532,,102.78369224
32.0,0.20950259,0.00046926,1.84e-06,-2.5193707203373674,0.02672837964934937,,102.63917171
33.0,0.20951875,0.00046356,1.74e-06,-4.13453200981692,0.02652909616400358,,102.66044727
34.0,0.20942278,0.00046849,1.75e-06,6.303098182947592,0.02674179850448516,,102.56250299
35.0,0.20946304,0.00046727,2.11e-06,1.8588216270929092,0.026475658874650768,,102.36929782
36.0,0.20950625,0.00046841,2.03e-06,-2.8911133219440512,0.02655033451565297,,102.40264871
37.0,0.20948195,0.00046731,2.41e-06,-0.2180550325427001,0.026436819240042715,,102.58377856
38.0,0.20946283,0.00046613,2.45e-06,1.8894713300209907,0.026398254557229283,,102.40169035
39.0,0.20940203,0.00046829,2.64e-06,8.52372327930627,0.02662237013095373,,102.51266832
40.0,0.20940173,0.00046527,2.63e-06,8.63498718423884,0.026648596915344568,,102.67788941
41.0,0.20942389,0.00046629,2.75e-06,6.181049035702688,0.0266883678511919,,102.363356
42.0,0.20938312,0.00046442,2.73e-06,10.569619551683896,0.026334699924954005,,102.76280001
43.0,0.20941973,0.00046299,3.41e-06,6.6549813274169765,0.026549152230900066,,102.4482666
44.0,0.20945856,0.0004636,4.06e-06,2.383686070347813,0.026759276264490192,,102.38904002
45.0,0.20941647,0.00046572,3.73e-06,6.960997235095421,0.026640374353186533,,102.46973384
46.0,0.20942288,0.00046417,4.22e-06,6.274541569329015,0.026643122012534423,,102.31812145
47.0,0.20943782,0.0004647,5.08e-06,4.566671638805577,0.026518120718433836,,102.39996531
48.0,0.20945094,0.0004654,5.35e-06,3.1306125478846436,0.026731840569372122,,102.38252318
49.0,0.20943609,0.00046609,5.69e-06,4.714954435487571,0.026597036134722155,,102.29550418
50.0,0.20944301,0.00047032,6.04e-06,3.82619729489768,0.02646399811103853,,102.41204063
51.0,0.20943742,0.00047476,7.03e-06,4.3101142630965485,0.026542178675559278,,102.28975403
52.0,0.20942776,0.00046833,7.43e-06,5.514855386344172,0.026614653885415514,,102.35358074
53.0,0.20947483,0.00047264,9.09e-06,0.18456423963026225,0.02639784884293679,,102.37677302
54.0,0.20940712,0.00046788,9.95e-06,7.67318103838111,0.02653946453054052,,102.27863706
55.0,0.20942603,0.00046898,1.027e-05,5.5199011008919,0.026318135555174812,,102.14159173
56.0,0.20945582,0.00046821,1.163e-05,2.2163617486217513,0.025889720435671715,,102.2797871
