Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948459,0.00044776,2.5e-06,-18.70426140529742,0.025446606609649872,-0.0037066988196211184,122.4300505
1.0,0.20949781,0.0004498,2.62e-06,-19.533145863677138,0.025700761342909613,-0.004112481528771514,122.51917788
2.0,0.20948774,0.00045217,2.9e-06,-18.896104233890657,0.025441515557432605,-0.005223669756184896,122.60178842
3.0,0.20950503,0.00045139,3.04e-06,-19.641709906747888,0.025374517289088176,-0.005926117614570903,122.61769718
4.0,0.2095094,0.00044682,2.79e-06,-19.795713186728523,0.025374495653572762,-0.07092702638605723,122.7248417
5.0,0.20947117,0.00045103,2.82e-06,-18.145777217836994,0.025485588242913526,-0.18737583057620483,122.72714176
6.0,0.20947158,0.00044184,2.68e-06,-17.974715088122384,0.025346955297031376,-0.14888429478946677,122.60083006
7.0,0.20947941,0.00044021,2.47e-06,-18.542145488939855,0.02565748066932259,-0.08829767974642655,122.75761758
8.0,0.20946141,0.00044409,2.05e-06,-17.693381770473863,0.025603554534403623,-0.05535831033402785,122.67289865
9.0,0.20946304,0.00043789,2.77e-06,-17.569690669995982,0.025385719139035055,-0.02640844876130478,122.83179456
10.0,0.20946385,0.00043776,2.5e-06,-17.64359247625781,0.025446239551808546,-0.012519971863217532,122.55636221
11.0,0.2094792,0.00044091,2.52e-06,-18.5261135398846,0.025638276340179934,-0.00864285788619641,122.52435302
12.0,0.20945938,0.00044433,2.6e-06,-17.803963976521093,0.025885907090699708,-0.0007566091311699231,122.71813319
13.0,0.2094732,0.00044593,2.48e-06,-18.125910723717976,0.02540275174996246,-0.0011577490152418733,122.69762431
14.0,0.20946243,0.00043976,2.77e-06,-17.680089720129615,0.0255599299886466,-0.0027786989698052535,122.79154348
15.0,0.20947626,0.0004358,3.85e-06,-18.482008947408378,0.025808715917036068,-0.0034718083112655986,122.56230403
16.0,0.20944504,0.00043948,4.46e-06,-16.865480015325108,0.025517507578972084,-0.0003366922799972424,122.64817299
17.0,0.20948835,0.00043736,6.18e-06,-18.76080530195424,0.025344085432651823,0.0057820548679593485,122.59699662
18.0,0.209461,0.00043797,7.12e-06,-17.65235272142816,0.025540196842458736,0.017706069318368888,122.38232422
19.0,0.20944179,0.00044217,8.95e-06,-16.623621850273075,0.02523064772153321,0.041541152125998376,122.52147794
20.0,0.20941413,0.00044527,1.11e-05,-15.579160994542196,0.025500369544125805,0.07032472908132702,122.35012337
21.0,0.20940722,0.0004496,1.332e-05,-15.37474753241169,0.025565532863535276,0.09765395599462304,122.19851098
22.0,0.20945053,0.0004525,1.568e-05,-17.418363448736297,0.025502479835351966,0.10888008814635802,122.04958201
23.0,0.20943325,0.00045744,1.822e-05,-16.759078033494383,0.02558773733646647,0.12432768336626114,122.11379206
24.0,0.20945134,0.00046294,2.064e-05,-17.62793916437122,0.025488489571975168,0.15298838724912248,121.77031622
25.0,0.20942623,0.00046952,2.385e-05,-16.539934441696012,0.025433397847992537,0.18292311958472002,121.4661331
26.0,0.20943091,0.00048388,2.816e-05,-16.943882296353777,0.025400423869492476,0.20100770952346994,121.38333089
27.0,0.20943752,0.00049343,3.206e-05,-17.39058107461996,0.025378684015066245,0.23335516954666108,121.23631863
28.0,0.20940193,0.00050388,3.581e-05,-15.769763812934857,0.02516482842516947,0.27515283669342067,120.92006019
29.0,0.20941891,0.00051755,4.016e-05,-16.77740287633222,0.025205957076205984,0.31080498390177075,120.85297506
30.0,0.20936228,0.00052931,4.311e-05,-14.464110636761873,0.025436538274408237,0.3324144783543246,120.63542759
31.0,0.2093821,0.00054131,4.693e-05,-15.53309001375962,0.025389409138984975,0.3549196190498878,120.33181948
32.0,0.20935872,0.00055526,5.014e-05,-14.469261351820517,0.025098923148419234,0.35434471093355474,120.14398113
33.0,0.20936756,0.00057081,5.821e-05,-15.088126523961225,0.024994803514576457,0.357478254358988,120.12615565
