Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,55.563178,0.2095518489,0.00043637879999999996,1.78948e-05,-1.4759998449668361,0.026242889512604763
1.0,54.544515,0.209508556,0.0004241133,1.62739e-05,1.0141355181512381,0.025670846226614717
2.0,54.185959,0.2094959152,0.0004292592,1.55679e-05,1.6581626445880293,0.02596859656062905
3.0,54.241907,0.2095314613,0.0004446079,1.6522100000000002e-05,-0.43410382567137507,0.025882716911977764
4.0,54.106629,0.20956101060000001,0.0004609447,1.89486e-05,-2.2447161933515387,0.02594522313927575
5.0,54.13922,0.2095671105,0.00045141479999999997,2.00815e-05,-2.490890456720864,0.0260045812662815
6.0,54.010075,0.2095463377,0.000431042,1.78776e-05,-1.1131991022610181,0.02615838747725389
7.0,54.034787,0.2095017908,0.0004181012,1.52523e-05,1.471722735492242,0.025918114188491655
8.0,54.139123,0.20950185950000003,0.0004232793,1.39754e-05,1.4200153730442626,0.025672054812869046
9.0,54.081506,0.2095386798,0.0004454081,1.37242e-05,-0.7789772244257763,0.025955242170352087
10.0,53.982986,0.2095638823,0.0004613082,1.50252e-05,-2.3029653461848913,0.02564505100240381
11.0,53.886784,0.2095657689,0.00043889369999999995,1.45355e-05,-2.1636663989534606,0.02586573918186517
12.0,53.864287,0.2095399751,0.00042023749999999996,1.24672e-05,-0.5334583178333838,0.02551858207442537
13.0,53.940021,0.2094951429,0.00041579530000000005,1.07991e-05,1.9048701330414552,0.025513080700471077
14.0,53.732431,0.2095070869,0.000423505,1.0962800000000001e-05,1.1813803832614218,0.02536089279034328
15.0,52.370537,0.2095437831,0.00044613819999999996,1.22648e-05,-0.9866886890011937,0.024782526037617617
16.0,52.774167,0.2095660127,0.00045254919999999997,1.5534500000000002e-05,-2.254978705090558,0.024842505972933696
17.0,52.668539,0.2095629755,0.0004415006,1.7652900000000002e-05,-1.9867697959080042,0.024456302648899537
18.0,52.718807,0.2095310209,0.0004397877,1.84819e-05,-0.3645661363878169,0.024021960305795412
19.0,52.841678,0.20949308120000001,0.0004572039,2.26237e-05,1.257046923140134,0.023902636112068273
20.0,52.708315,0.2094965855,0.0004903678000000001,2.87018e-05,0.644613956227186,0.024147315799308428
21.0,52.584753,0.20951603030000002,0.0005750481,4.20318e-05,-1.4519008117383572,0.02438780801469947
22.0,52.563577,0.20951448460000002,0.0006865230999999999,5.962839999999999e-05,-2.888235860928744,0.024661473418445046
23.0,52.563215,0.2094824443,0.0009424823999999999,7.43931e-05,-4.228823810712679,0.024544274397478395
24.0,52.41211,0.20938675539999999,0.0014685064,9.597069999999999e-05,-5.306494737668988,0.024353175112310214
25.0,52.365865,0.2092309878,0.0022288828,0.0001269613,-5.998619242691754,0.024217352235826665
26.0,52.285323,0.2088003522,0.0031183234,0.00018010269999999999,5.280147351025582,0.024093957052322347
27.0,52.185353,0.2077353996,0.0038419557,0.00025632599999999997,50.20401287669834,0.024474145049641037
28.0,52.090542,0.20636525179999998,0.0041801823,0.0003347095,114.5301370920542,0.024524091333563352
29.0,51.986525,0.20523045159999997,0.0042129335,0.0004026122,171.7127499998445,0.024766251591789735
30.0,51.884201,0.20443764560000002,0.0041106905999999995,0.0004559209,213.49926982093845,0.02494905530228961
31.0,51.939236,0.2040720888,0.0039568372000000004,0.00048434680000000003,229.55656839511522,0.024560969909289063
32.0,51.884565,0.20409581710000002,0.0038127935000000003,0.00048655700000000004,231.07417463945703,0.024696185403787704
33.0,51.785869,0.20433019430000002,0.0036400418,0.0004656267,222.87245619939193,0.024856474264399533
34.0,51.765186,0.2046338712,0.0034286562999999996,0.0004266537,209.9929122790719,0.02481149950186688
35.0,51.690139,0.2049521339,0.0032063616000000002,0.00037437310000000004,197.89442666071807,0.02490930154823798
36.0,51.586216,0.205228082,0.0029963563999999996,0.00032241359999999995,189.21458050248555,0.025207209903604807
37.0,51.561473,0.20557331690000002,0.0028020268,0.0002719003,172.7039765838099,0.024960972011428734
38.0,51.532397,0.20596228239999997,0.0026450599000000003,0.0002326019,153.68011063935413,0.02471462493639825
39.0,51.478165,0.2063340347,0.0025100751999999997,0.00019990199999999998,135.3460391800462,0.024439366380635017
40.0,51.305802,0.20667015190000002,0.0023752248000000003,0.0001715303,121.4097131225274,0.024641096639950455
41.0,51.326935,0.20694755059999997,0.0022815193,0.0001454599,109.22548077882537,0.024728697345947074
42.0,51.277698,0.2071110831,0.0022279229,0.00012537100000000002,101.44136048072514,0.024629733461577243
43.0,51.257322,0.2072601444,0.0022039694,0.0001113482,94.20984792513306,0.024578594109892913
44.0,51.257704,0.2074064851,0.002188868,0.00010001690000000001,89.54491152895235,0.02524434863913448
45.0,51.183531,0.2075058718,0.0021731485,9.22783e-05,83.72125237523171,0.024952238394453506
46.0,51.087128,0.2075583735,0.0021506786,8.532180000000001e-05,79.88669918229148,0.024490379509478157
47.0,51.064053,0.20758368310000003,0.002109504,7.65255e-05,78.56771157826671,0.02429580461491541
48.0,51.063498,0.2075914617,0.0021006367,6.96155e-05,79.75121024413036,0.02471757109616727
49.0,50.905938,0.20764325809999998,0.002124825,6.566619999999999e-05,77.19736858669499,0.02480183369319854
50.0,50.861286,0.2076883169,0.0021629829000000002,6.29116e-05,73.88455661023488,0.02458205690788005
51.0,50.861163,0.2077104658,0.0021786683,6.2179e-05,71.27606382815284,0.024129254763402917
52.0,50.784279,0.20771354760000002,0.0021766387,6.03026e-05,71.89168641289186,0.02437178929565115
53.0,50.687107,0.2076740119,0.0021905197,5.73994e-05,73.85955624793903,0.024399074697339682
