Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,56.024461,0.20951860249999998,0.0004358422,2.22215e-05,0.09739810052992283,0.02553897788864641
1.0,55.634739,0.20951066959999998,0.0004388934,2.22016e-05,0.4855487507437279,0.0257320516554726
2.0,55.131387,0.2095460938,0.0004619115,2.38325e-05,-1.685403273300686,0.025806696919269255
3.0,54.711008,0.20957528490000002,0.000472336,2.66603e-05,-3.485321792922647,0.026393867355539887
4.0,54.232939,0.2095800398,0.00045855479999999996,2.73053e-05,-3.5799597672497745,0.026254085900959998
5.0,54.035353,0.20954194399999998,0.000443392,2.5631400000000003e-05,-1.2964990923707826,0.025918075341942563
6.0,53.944091,0.20949418269999998,0.0004349882,2.44213e-05,1.3644628679374189,0.025756149017017817
7.0,53.848089,0.20949732940000002,0.0004478951,2.37581e-05,1.0614993329281173,0.025652061090198578
8.0,53.776191,0.20953386810000002,0.00047504659999999995,2.50746e-05,-1.2109119099190628,0.02595381753598511
9.0,53.733945,0.2095587778,0.0004832523,2.77517e-05,-2.6762643653985165,0.025858347023816643
10.0,53.726047,0.209544099,0.0004643469,2.8196e-05,-1.6821274899334477,0.025737224559844816
11.0,53.725645,0.20951113259999998,0.0004475168,2.6893300000000002e-05,0.2791672957448503,0.025746288277138464
12.0,53.650598,0.2094683961,0.0004434722,2.55056e-05,2.5878097557629745,0.025442481402402378
13.0,53.630102,0.2094837283,0.0004423231,2.5246600000000003e-05,1.8127611626933453,0.025612373710937553
14.0,53.629747,0.2095346113,0.00046535529999999997,2.6613e-05,-1.1550710166900489,0.025614018907445506
15.0,53.550146,0.2095608101,0.0004723653,2.89364e-05,-2.6770643166594192,0.025784330153891467
16.0,53.529017,0.20955683560000002,0.0004589285,2.92993e-05,-2.3453086525255618,0.02603768914032474
17.0,53.528932,0.2095101596,0.000439973,2.7731000000000003e-05,0.3937530842992714,0.025380658508981906
18.0,53.450822,0.2094679495,0.0004369641,2.6230300000000002e-05,2.689888590771965,0.025635290737062416
19.0,53.507171,0.20949108460000002,0.0004497531,2.6850300000000003e-05,1.3372924606827288,0.02609226692037929
20.0,53.529218,0.2095257978,0.0004713208,2.8984100000000003e-05,-0.8203815093352728,0.02630615122792464
21.0,53.52959,0.2095426831,0.0004723554,3.24022e-05,-1.8147848540397487,0.026339819973801793
22.0,53.291082,0.2095196087,0.0004550128,3.3314e-05,-0.37411840768576576,0.02588068804183169
23.0,53.386079,0.2094733845,0.0004438885,3.3099800000000005e-05,2.171376228928301,0.02529715178760805
24.0,53.190135,0.20944788639999998,0.0004444092,3.44721e-05,3.473569495085525,0.025315779795652846
25.0,53.126854,0.20947697229999998,0.0004642165,3.68543e-05,1.733655644617875,0.02588505479529745
26.0,53.205796,0.20949580510000002,0.00048488499999999995,3.89703e-05,0.4581200129748277,0.025892677148578506
27.0,53.224957,0.20950327829999998,0.0004803758,4.1477800000000005e-05,0.06229386223406782,0.02551025112053586
28.0,53.148108,0.2094785163,0.0004608343,4.0126399999999996e-05,1.6071358451582185,0.025542021055539595
29.0,53.204313,0.2094268356,0.0004566547,3.7811799999999996e-05,4.42346218393184,0.025577454075830217
30.0,53.096885,0.20942101130000002,0.00046865169999999996,3.69317e-05,4.640303189940687,0.025722808854371216
31.0,53.112076,0.2094639085,0.0005047239,3.81776e-05,1.9480123675598844,0.025813423126946417
32.0,53.126492,0.2094963392,0.0005431213,4.132420000000001e-05,-0.2638094460022319,0.025699798019125364
33.0,53.051349,0.20950351569999998,0.0005507109,4.40836e-05,-0.7825819509786,0.02581317390102737
34.0,53.031371,0.2094680053,0.0005561746,4.45826e-05,1.023736885313767,0.025459160580303924
35.0,53.031155,0.2094178715,0.0005634955,4.43904e-05,3.6202199937174995,0.02575250673769886
36.0,52.951862,0.2094054835,0.0005815511000000001,4.53167e-05,4.072795731823958,0.025832574124076725
37.0,52.929058,0.2094350198,0.0006225677999999999,4.92201e-05,1.9502604466865934,0.025581004093952447
38.0,52.928955,0.209459154,0.0006492837,5.40179e-05,0.29866371489499033,0.026000157425110942
39.0,52.850804,0.2094481772,0.0006422136000000001,5.69008e-05,0.9038602763933193,0.025727559740242847
40.0,52.828883,0.2094074336,0.0006338299,5.75876e-05,3.1227025299725097,0.025532393445441108
41.0,52.829096,0.2093553864,0.0006258446,5.72891e-05,6.006556348935081,0.025746311626521086
42.0,52.829438,0.2093645222,0.0006261152000000001,5.77882e-05,5.430399399851397,0.02537721429156091
43.0,52.829039,0.20940135510000002,0.0006424469,5.89975e-05,3.38115602702879,0.025986711475823876
44.0,52.750212,0.2094238181,0.0006391576,6.04205e-05,2.181813093817642,0.0259156338351404
45.0,52.728959,0.2094217913,0.000609907,5.9241500000000005e-05,2.629543485226627,0.025817025506227102
46.0,52.728919,0.2093904586,0.0005882699000000001,5.66468e-05,4.553534710039544,0.025629329254563606
47.0,52.729471,0.20936566169999998,0.0005782078999999999,5.48132e-05,5.910653621742325,0.025210406148137902
48.0,52.729088,0.2093905359,0.000583677,5.32777e-05,4.632047101967259,0.02546559943320487
49.0,52.729272,0.2094255707,0.0005958251,5.24806e-05,2.7102310999948354,0.025820870756609122
50.0,52.649588,0.2094441256,0.0005913097,5.32278e-05,1.7448428981229724,0.025616707339494917
51.0,52.627816,0.2094506101,0.0005613418,5.15982e-05,1.7699216606922434,0.025705116647678144
52.0,52.56458,0.2094183278,0.0005422297999999999,4.9175199999999996e-05,3.717633530932853,0.02556539067096287
53.0,52.531823,0.20938843389999998,0.0005413288,4.73386e-05,5.3934652340977935,0.02583628773527808
54.0,52.60693,0.2094173214,0.0005487872,4.76078e-05,3.7536139812452642,0.02574933623398365
55.0,52.548023,0.2094670897,0.0005664587,4.802e-05,0.9049150326821577,0.025705225128250683
56.0,52.527243,0.2094842624,0.0005561197,4.85339e-05,0.10050355783149391,0.02586081864924954
57.0,52.52708,0.2094716254,0.0005341848,4.57154e-05,1.0760578055476586,0.02596455989201208
58.0,52.526624,0.20944480869999998,0.0005174713,4.2382499999999996e-05,2.7433115917651616,0.025795631593561394
59.0,52.526512,0.20943048569999997,0.0005172923,4.01673e-05,3.547708628032727,0.02579406967359325
60.0,52.526914,0.20946336070000002,0.0005283075000000001,3.91414e-05,1.6750564060661024,0.02548995455218255
61.0,52.527091,0.20949473059999998,0.0005499244,4.09118e-05,-0.24793415115903644,0.02584094190541344
62.0,52.527042,0.20948831210000002,0.0005379849999999999,4.23941e-05,0.20046911841989182,0.025865858660456067
63.0,52.526754,0.20946604740000002,0.0005164363,4.1511400000000004e-05,1.6515087310804415,0.025960682879505505
64.0,52.527087,0.209421608,0.0005060832,4.01691e-05,4.114531141947644,0.025605742398872172
65.0,52.527194,0.20941464459999998,0.0005076578000000001,4.00245e-05,4.4529634333856025,0.025522995718033792
66.0,52.449408,0.2094493868,0.0005315518000000001,4.1817099999999996e-05,2.293583685504285,0.025142272826334452
67.0,52.427863,0.20947783050000002,0.0005451489000000001,4.5177000000000005e-05,0.6213856570057636,0.025583124680812946
68.0,52.427834,0.209497956,0.0005246066,4.6484200000000005e-05,-0.23629352791853353,0.025483302460260353
69.0,52.427816,0.20947815150000001,0.0005126585,4.58266e-05,0.9470053026779947,0.025450370571426857
70.0,52.427682,0.20943359109999998,0.0005055651,4.45242e-05,3.408966240599658,0.02561217932086631
71.0,52.42751,0.2094391998,0.0005070138,4.3969300000000006e-05,3.1101660476201616,0.0256396397169892
72.0,52.427609,0.2094770912,0.0005268224,4.44429e-05,0.8889113064093178,0.02594617122567039
73.0,52.427645,0.20948550999999999,0.0005307523,4.61054e-05,0.365045966832649,0.026052794958556936
74.0,52.301942,0.20948075119999998,0.0005164264,4.49889e-05,0.7926715617461843,0.025722547336284145
75.0,52.393078,0.2094517089,0.0005024932,4.25631e-05,2.5385023003571363,0.025781339248732885
76.0,52.427103,0.2094107815,0.0004978345,4.11261e-05,4.858856049528235,0.026137891404215473
77.0,52.423944,0.2094266293,0.0005062839,4.09945e-05,3.8299452241780627,0.025591114314262083
78.0,52.426327,0.2094633201,0.000529971,4.30307e-05,1.6089657118368255,0.02582303604986357
79.0,52.272842,0.2094837953,0.0005335392,4.54785e-05,0.43074995981254943,0.025654512527707767
80.0,52.308793,0.2094780362,0.0005164169,4.54586e-05,0.9217271218159895,0.0255430716973227
81.0,52.250967,0.2094477933,0.000500308,4.32575e-05,2.7563969659532934,0.025763834158132208
82.0,52.22962,0.2094103618,0.0004986896,4.23062e-05,4.722046057854454,0.025449124623127484
83.0,52.229725,0.2094337883,0.0005085504,4.18951e-05,3.4362566387107196,0.025783018182654924
84.0,52.229743,0.20946807620000002,0.0005312174,4.32573e-05,1.321787256727742,0.02551809368431019
85.0,52.230077,0.2094847523,0.0005247277,4.43161e-05,0.505031288311562,0.02595953791522934
86.0,52.229427,0.2094737253,0.0005124729,4.28697e-05,1.2601393833293981,0.025968234756266695
87.0,52.229435,0.209433015,0.0004947039000000001,3.98627e-05,3.6392086593017967,0.025573884642378888
88.0,52.229896,0.20940932199999998,0.0004937802,3.85628e-05,4.850147438953468,0.025198195863480218
89.0,52.229726,0.20944004700000002,0.0005106675,3.89653e-05,3.1395790558771246,0.025831125508596623
90.0,52.229589,0.2094879812,0.000527583,4.0895899999999996e-05,0.36419197089030164,0.026017430636833934
91.0,52.229641,0.2095044324,0.0005214257,4.38028e-05,-0.5015946398799468,0.025929551176384437
92.0,52.149148,0.20948852880000002,0.0004981574,4.34308e-05,0.6019634602539061,0.025310282557425897
93.0,52.210308,0.2094443828,0.0004900229,4.33788e-05,3.04007730032455,0.02568104291777441
94.0,52.229727,0.2094409877,0.0004922066,4.3715000000000004e-05,3.1534344539241044,0.025390770761446507
95.0,52.150487,0.20948301570000002,0.0005109271,4.44775e-05,0.7365792913988163,0.02549813520338068
96.0,52.170831,0.2095156279,0.0005260887999999999,4.6952599999999995e-05,-1.177956604595835,0.025224021494705557
97.0,52.220365,0.209507735,0.0005222714,4.75431e-05,-0.7446196537121706,0.02551055727919942
98.0,52.230545,0.20948451810000002,0.0004991345,4.48822e-05,0.7915986861436634,0.025870519194901694
99.0,52.148916,0.20942627219999999,0.0004895198,4.2476600000000006e-05,4.066950465177098,0.025973123802845076
100.0,52.129668,0.2094188361,0.0004942570999999999,4.10049e-05,4.376675019942737,0.02560695485750118
101.0,52.13035,0.2094553365,0.0005089926,4.09062e-05,2.2526283137041525,0.025210290377251594
102.0,52.130038,0.2094811696,0.0005204251,4.2873499999999995e-05,0.7583567331194004,0.025506204226675582
103.0,52.130214,0.20948213070000002,0.0005020445,4.23747e-05,0.9350222167417582,0.025935772038611554
104.0,52.129797,0.20945754390000001,0.00048682209999999996,4.04707e-05,2.434180601714142,0.025705876469837755
105.0,52.04808,0.2094124585,0.0004811057,3.9197600000000006e-05,4.8893371388918405,0.02559375782736114
106.0,52.108728,0.2094238712,0.0004960631,3.9393199999999994e-05,4.154886621210667,0.025822256254014426
107.0,52.129597,0.20946155430000002,0.0005165894,4.06263e-05,1.9051813651551628,0.025939663311676818
108.0,52.129802,0.2094830826,0.0005164484,4.29966e-05,0.708205580430684,0.02582983739846049
109.0,52.12958,0.2094794624,0.000496197,4.25625e-05,1.131298594310976,0.02574143852193686
110.0,52.047215,0.209447957,0.0004841876,4.08745e-05,2.949629135213899,0.02557913146592355
111.0,52.027524,0.2094087814,0.0004809581,3.9990399999999996e-05,5.125325566771895,0.0258702296100539
112.0,52.027246,0.20943176189999999,0.0004975099,4.04567e-05,3.661533649553923,0.025560442741559983
113.0,52.027353,0.20946705000000002,0.0005191804,4.2732200000000004e-05,1.5158891200922693,0.025480598356778506
114.0,52.027195,0.20948430550000002,0.0005157042,4.49017e-05,0.6156077940044477,0.02580102617587588
115.0,51.947587,0.2094772389,0.0004987125,4.5019500000000005e-05,1.1839534103325342,0.02590940582847371
116.0,51.927495,0.2094374518,0.0004835056,4.33415e-05,3.4516744389724248,0.025471117015911003
117.0,51.927444,0.20940847810000002,0.0004836124,4.24202e-05,5.040026739538851,0.025732197093035786
118.0,51.815877,0.20943843709999999,0.0004991883,4.29994e-05,3.238945040468907,0.025513846189950055
119.0,51.899227,0.2094710556,0.0005198355,4.5043499999999997e-05,1.235171202815832,0.025053991249717064
120.0,51.847222,0.20950004660000002,0.0005106274000000001,4.6047900000000003e-05,-0.18674804159676273,0.025831922304363448
121.0,51.80772,0.2094767847,0.0004928318,4.45844e-05,1.2772885811285275,0.025811763903830727
122.0,51.822603,0.20942783739999998,0.00048308570000000004,4.2079099999999995e-05,3.9575474299866946,0.025300966193298226
123.0,51.748898,0.2094100964,0.0004870169,4.0322500000000006e-05,4.833436488184658,0.025102041092331894
124.0,51.730274,0.2094598472,0.0005038553,3.99472e-05,2.1155099301355764,0.025501888738668373
125.0,51.730494,0.2094949578,0.0005204577,4.18057e-05,0.05237761181816239,0.025671473108604088
126.0,51.730207,0.2095041034,0.0005106615,4.33367e-05,-0.3524782870229033,0.025767264467652498
