Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,46.626595,0.2094968763,0.0004687684,2.2751799999999998e-05,0.2052012676707764,0.026103622424083064
1.0,46.377287,0.20945075089999998,0.00045795049999999994,2.0851500000000002e-05,2.828886994772908,0.02595060373160925
2.0,46.079719,0.2094526071,0.0004566767,2.0877e-05,2.7101338613769066,0.02563617847573879
3.0,46.194151,0.2094865089,0.00048293379999999995,2.23834e-05,0.6019693022709852,0.025745147151546216
4.0,46.227563,0.2094989365,0.00048517369999999995,2.5344299999999997e-05,-0.13432589392339228,0.02521257533137648
5.0,46.307038,0.2094975727,0.0004649197,2.55975e-05,0.15740441421606938,0.025972318759506487
6.0,46.366355,0.20947312929999998,0.0004457797,2.3577300000000002e-05,1.7004442525919696,0.025693462823554756
7.0,46.419173,0.2094278799,0.0004407777,2.15233e-05,4.1530169141810465,0.025461676298436105
8.0,46.42851,0.2094394927,0.0004488918,2.11414e-05,3.5294235404878704,0.025964692620825233
9.0,46.41729,0.2094756693,0.000474246,2.19456e-05,1.2702284068677667,0.02550467680962545
10.0,46.425651,0.2094986477,0.00047978880000000004,2.31858e-05,-0.022197466687854113,0.025639212664034797
11.0,46.508275,0.2094951453,0.000457245,2.26252e-05,0.42998859155982927,0.026055932374054926
12.0,46.444928,0.20946205280000002,0.0004438315,2.0372099999999998e-05,2.3673918876125555,0.025691106463752052
13.0,46.508909,0.2094367877,0.0004418999,1.89479e-05,3.7701032304895783,0.02580630900472966
14.0,46.525389,0.2094621778,0.0004538289,1.90541e-05,2.280487818735342,0.02576547738970608
15.0,46.525468,0.2095012531,0.00047826069999999996,2.15847e-05,-0.11461965718552032,0.025829173129204665
16.0,46.525417,0.2095297227,0.000477971,2.47107e-05,-1.6910276153827946,0.025911546869389165
17.0,46.446275,0.2095302521,0.00046173270000000004,2.4429999999999998e-05,-1.5184988867828244,0.025679912633929127
18.0,46.428644,0.20949313579999998,0.0004438609,2.2912499999999998e-05,0.6772206446089636,0.025821159322491887
19.0,46.429002,0.2094616453,0.0004434278,2.1342900000000002e-05,2.3417993026680057,0.025324590596808003
20.0,46.343625,0.20949208200000002,0.0004608061,2.09619e-05,0.5721342662014332,0.025466563649733855
21.0,46.244608,0.2095266183,0.0004804793,2.27144e-05,-1.5090279851805064,0.025786647056742
22.0,46.228134,0.20952440679999998,0.0004760856,2.5025899999999997e-05,-1.3912853983227655,0.025905617038166937
23.0,46.144274,0.2095058761,0.000458967,2.50438e-05,-0.20376050778509291,0.025165705541889315
24.0,46.289745,0.2094657711,0.00044949169999999996,2.5315099999999998e-05,1.9461617767382753,0.02478774085166419
25.0,46.735414,0.2094460882,0.00045883729999999996,2.7415600000000002e-05,2.783888814449543,0.02451358479144645
26.0,46.335343,0.2094778378,0.00048031829999999997,3.0591e-05,0.8646302430212446,0.02365849342882466
27.0,46.14361,0.2095108531,0.0005018811000000001,3.54256e-05,-1.075930022205583,0.02427861604542326
28.0,45.948684,0.20950416489999998,0.0004965068,3.96307e-05,-0.7453125878509862,0.023892808448233945
29.0,45.759332,0.2094819047,0.0004864086,4.1283400000000005e-05,0.42725934629378404,0.02386086457150497
30.0,45.478336,0.2094350106,0.000520975,4.38524e-05,2.3838845368566517,0.024363636276049618
31.0,45.220595,0.2094164154,0.0007429471,4.7292699999999995e-05,0.9127238014524117,0.024146916193517543
32.0,45.218045,0.20942166360000003,0.0013074622,5.3362499999999996e-05,-5.370121743684699,0.024229300633880586
33.0,45.141689,0.20937505860000002,0.00207031,5.99691e-05,-11.40111644010717,0.024746534450183266
34.0,45.124899,0.2091358542,0.0030096272,6.471990000000001e-05,-9.214842833231197,0.024443875799911426
35.0,45.046437,0.20860324219999998,0.0038746413000000004,6.72989e-05,8.445488998546384,0.02427553203836717
36.0,44.863172,0.20775753760000001,0.0045683431,7.1052e-05,43.610289106264034,0.02432347960543055
37.0,44.827369,0.206656906,0.005083402900000001,7.69978e-05,94.67463142333364,0.024681358560774583
38.0,44.745533,0.2057192057,0.0053684039,8.45679e-05,141.67080324720445,0.025138912704116542
39.0,44.642899,0.205064124,0.0054385362,9.385360000000001e-05,168.83350195912345,0.024322479175925806
40.0,44.544844,0.2045981508,0.0053425471,9.95705e-05,193.527159635147,0.02440278349779306
41.0,44.443566,0.2042649085,0.0051553654,0.000100486,209.39107517880277,0.024099745957520076
42.0,44.345245,0.2040895838,0.0049189932,9.91537e-05,224.85445195301946,0.024585920242791978
43.0,44.24519,0.20416424960000001,0.004721421,9.696069999999999e-05,223.48736994156357,0.024619493212812617
44.0,44.147962,0.204409834,0.0045527861,9.56814e-05,214.38817743351174,0.024788478833533883
45.0,43.882681,0.2046835265,0.0043847669,9.43635e-05,198.93596400602416,0.02437345904212809
46.0,43.828301,0.2049302836,0.0042120197,8.95817e-05,190.59498768160034,0.02464253328924212
47.0,43.744215,0.2050884199,0.0040707356,8.53428e-05,186.53318607479835,0.02495780884633692
48.0,43.562135,0.2052128279,0.0039369374,8.109999999999999e-05,178.48709015680515,0.024520248213499816
49.0,43.5272,0.2053991196,0.0038327472,7.869849999999999e-05,169.00913566864617,0.024338142396273056
50.0,43.446254,0.2056124531,0.0037475913,7.85538e-05,159.8093187273173,0.024419944949102365
51.0,43.34605,0.2057940036,0.0036446861000000003,7.9166e-05,153.91017285909308,0.02476042509826628
52.0,43.328706,0.2059135427,0.0035303636,7.63193e-05,150.09343371619153,0.024925203502813922
53.0,43.280382,0.20597543940000002,0.0034263010999999997,7.30568e-05,145.9005926587226,0.024556555134047586
54.0,43.151669,0.2060490988,0.0033233434,7.10894e-05,145.43095567419354,0.02492121824270351
55.0,43.208005,0.2061834735,0.0032545702999999997,6.98074e-05,137.69822443159646,0.024630206102209826
56.0,43.145378,0.20631815280000002,0.0032331879,7.01842e-05,132.0764090257911,0.024809314897767904
57.0,43.127773,0.2064144156,0.0031979192,7.0582e-05,126.36653957475907,0.024579361292752015
58.0,43.207719,0.206477459,0.0031452466,6.84531e-05,122.41140200641664,0.024307969426623943
59.0,43.144469,0.20649595099999998,0.0031027655999999997,6.50785e-05,122.08551042853315,0.024327702697459354
60.0,43.044327,0.20653655319999997,0.0030827251999999998,6.331650000000001e-05,123.14976349858402,0.02490425451433734
61.0,43.110823,0.2066176487,0.0030738668,6.28053e-05,118.12433373525737,0.024697460937257564
62.0,43.044288,0.2066797782,0.0030527262,6.40416e-05,114.32813664366122,0.024514965824967833
63.0,42.946763,0.2067042774,0.0030029997000000004,6.35802e-05,112.3622084718159,0.02424294109895656
