Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,77.458003,0.20950189489999999,0.0004617231,1.70281e-05,-1.9059751170531927,0.025795970523625415
1.0,77.309866,0.2094678044,0.00044720419999999994,1.49836e-05,0.10629269054820056,0.0255764790910129
2.0,77.642223,0.2094338861,0.00044071569999999997,1.31429e-05,2.006296601512027,0.025651095884343045
3.0,77.609979,0.2094577216,0.0004523929,1.31226e-05,0.6195568549652852,0.02577977535382724
4.0,77.481756,0.2094927789,0.0004752715,1.59036e-05,-1.5298450127244505,0.02543815144907039
5.0,77.457591,0.2095085993,0.0004769264,1.9313799999999998e-05,-2.4627814757221587,0.025675953965756455
6.0,77.383934,0.20948469490000002,0.0004582918,1.96548e-05,-0.994315504460176,0.025626920711909106
7.0,77.285518,0.20943817509999998,0.000447151,1.84802e-05,1.6142488007750024,0.025709509038751174
8.0,77.33869,0.2094137439,0.00044979810000000004,1.69494e-05,2.907208068408435,0.02570224134005635
9.0,77.518916,0.2094457499,0.00046399999999999995,1.59066e-05,1.0651642619204473,0.0255306138113624
10.0,77.482472,0.2094783078,0.0004779499,1.6872700000000002e-05,-0.8220677178688915,0.025576709877735443
11.0,77.269657,0.20948875569999997,0.0004677078,1.76995e-05,-1.2776805396355875,0.025629537482543378
12.0,77.327016,0.2094733998,0.00044985589999999996,1.61328e-05,-0.24030876972418633,0.025705671795035627
13.0,77.285907,0.2094295289,0.0004393917,1.43779e-05,2.216982081650788,0.02551439343057009
14.0,77.152819,0.209417059,0.00044318870000000003,1.4144400000000001e-05,2.827277082499063,0.025441376642229657
15.0,77.229346,0.2094514737,0.0004611407,1.52062e-05,0.8088099937136969,0.025553059578032458
16.0,77.26423,0.20949662830000002,0.0004774127,1.73537e-05,-1.8101800900980358,0.02584540501501278
17.0,77.182406,0.20950758449999998,0.0004651444,1.95539e-05,-2.2766475226595055,0.02560863352888166
18.0,77.158142,0.2095004693,0.0004467017,1.89271e-05,-1.6561946028442949,0.025168015074274408
19.0,77.15785,0.2094610381,0.0004403171,1.7914300000000002e-05,0.4749943221794032,0.02500265887365002
20.0,77.239299,0.2094616751,0.0004518872,1.74351e-05,0.33043760467543387,0.02536872349710153
21.0,77.182467,0.2094979626,0.00047726739999999994,1.81065e-05,-1.8647194000072735,0.025451828703699823
22.0,77.084061,0.2095242772,0.0004962586000000001,2.0481100000000003e-05,-3.5008835729420196,0.025470191597810728
23.0,77.063003,0.20952585240000002,0.0004888796,2.1286399999999997e-05,-3.428507974824294,0.024829382518626552
24.0,77.06248,0.2094985178,0.00047520500000000003,1.9902499999999998e-05,-1.883111673494852,0.02517587519592002
25.0,77.06259,0.2094559197,0.000469965,1.85695e-05,0.4060670964122901,0.0249526168205825
26.0,77.061971,0.20945254829999999,0.000472733,1.86637e-05,0.5512082604735066,0.025097239491575662
27.0,77.06139,0.20948433179999998,0.0004924412999999999,1.93884e-05,-1.3467390240561592,0.025592083567180603
28.0,76.986762,0.20950636500000003,0.0005000451,2.17091e-05,-2.6270615270106785,0.02550231798943388
