Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,23.128995,0.2095229335,0.0004432386,1.22738e-05,-2.579927390180547,0.027219545327625893
1.0,22.889573,0.2094816558,0.00042976060000000005,9.3768e-06,-0.04806514724346382,0.027353139313707756
2.0,23.228123,0.2094580678,0.0004330066,8.013700000000001e-06,1.2673494819076037,0.027281757446298238
3.0,23.327461,0.2094749565,0.000450486,8.132000000000001e-06,0.10976639721004063,0.02752316963332553
4.0,23.406467,0.209502768,0.0004727199,1.04377e-05,-1.7840106156971676,0.027605233525682907
5.0,23.426025,0.20951397830000001,0.0004603565,1.18107e-05,-2.2603500025675927,0.027108428404785116
6.0,23.40895,0.20949672490000001,0.00044628800000000003,1.04641e-05,-1.1289385992696483,0.027701385185110755
7.0,23.421664,0.20945333659999998,0.00043622059999999995,8.3291e-06,1.4867451587208012,0.02723139801168737
8.0,23.588306,0.2094413242,0.0004424519,7.025100000000001e-06,2.09467522379073,0.026992090516947346
9.0,23.497137,0.20947597689999997,0.0004607507,7.1105e-06,-0.049562225227230645,0.027160227096993086
10.0,23.513213,0.20950546159999997,0.0004750485,8.7626e-06,-1.9086905683244588,0.027269148436037643
11.0,23.366958,0.2095126681,0.000462784,1.06413e-05,-2.2496132085204863,0.02780891986840301
12.0,23.327435,0.2094785254,0.0004432064,1.00535e-05,-0.04420397180351636,0.02771496819157145
13.0,23.406217,0.2094267634,0.0004355652,8.7495e-06,3.0140745058743232,0.027557628847196956
14.0,23.346993,0.20942705379999998,0.00044238569999999997,8.628000000000001e-06,2.890606828223873,0.027291818784219227
15.0,23.327054,0.20946418179999998,0.00046648910000000003,9.6889e-06,0.49157400168375154,0.027035011703699527
16.0,23.327107,0.2094748118,0.0004746548,1.06152e-05,-0.21292214746240726,0.026853268567460568
17.0,23.008587,0.2094721181,0.00046206219999999997,1.03622e-05,0.08483596803213125,0.026108711166560074
18.0,22.929108,0.2094442363,0.00044379580000000003,8.168099999999999e-06,1.8627103177287871,0.026532994959779947
19.0,22.92878,0.2094013574,0.00044241919999999995,5.5044e-06,4.12780801963525,0.025621739907733823
20.0,22.849196,0.2094138775,0.0004519288,4.890199999999999e-06,3.4473130229033684,0.026190937813578598
21.0,22.67055,0.2094501319,0.000473573,6.1317999999999995e-06,1.2037605848358974,0.025815078557570266
22.0,22.631015,0.2094860959,0.00048288570000000003,8.4047e-06,-0.8692767884750795,0.02619524896510832
23.0,22.469128,0.20948908060000002,0.0004815088,9.2094e-06,-1.0385586007263268,0.02641380040896545
24.0,22.109156,0.20944146830000002,0.0005619517,8.4342e-06,0.648513771076975,0.026296256935566486
