Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0.0,-1.587603,0.2094410364,0.0005109347,1.511e-05,3.6033521393414745,0.026733059835064764
1.0,-1.587274,0.2094759779,0.0005283846,1.50818e-05,1.4922241558417637,0.027024387021770135
2.0,-1.587542,0.2095087896,0.000541473,1.63817e-05,-0.5099841238778979,0.026788847863999477
3.0,100.698864,0.2095191694,0.0005343097,1.67908e-05,-0.9877750258104466,0.026242305052780614
4.0,120.409326,0.20951070649999998,0.0005228221000000001,1.4533700000000001e-05,-0.3603824216382634,0.0264796095600974
5.0,134.819463,0.20947535299999998,0.0005097918,1.16391e-05,1.8019107250679613,0.026895977345561123
6.0,150.695278,0.20946553550000002,0.0005122625,1.04499e-05,2.354888997697221,0.02706152158350851
7.0,151.575483,0.2095030114,0.0005283759,1.03269e-05,0.07745806488141802,0.02710119595941315
8.0,142.645609,0.20954507020000002,0.0005425797,1.2885399999999999e-05,-2.4843649588370624,0.0270455054570628
9.0,129.159247,0.2095568393,0.0005239306,1.45354e-05,-2.949778182795252,0.027001055674577574
10.0,121.055849,0.2095347014,0.0005091485,1.34862e-05,-1.5379911417287462,0.027249278692656732
11.0,120.148386,0.20948820340000002,0.0005014504,1.17911e-05,1.2046502942876025,0.027382949484434146
12.0,120.179754,0.20948772170000002,0.0005030747,1.13881e-05,1.2124591948916095,0.02720276149310371
13.0,120.17937,0.20952646789999999,0.0005327105,1.22594e-05,-1.3370531025758219,0.02741375573538286
14.0,120.180625,0.20955415349999998,0.0005428591,1.39455e-05,-3.020705514807721,0.027098131605317075
15.0,120.010312,0.2095562685,0.0005206861000000001,1.43896e-05,-2.8811126040812827,0.02703694574362918
16.0,120.063211,0.2095295617,0.0005048567000000001,1.32861e-05,-1.1978395134616293,0.027321709813399903
17.0,120.077309,0.20948259589999998,0.0005006382,1.26821e-05,1.5069079357974524,0.027263203760692935
18.0,120.164978,0.2095102821,0.0005080252999999999,1.32673e-05,-0.1483545223756597,0.027297569043214905
19.0,120.264931,0.20955417780000002,0.0005361874,1.5944100000000002e-05,-3.0080167782273994,0.02733016899084499
20.0,120.195443,0.20957618409999998,0.0005376327,1.83087e-05,-4.352202756527596,0.027585464108576707
21.0,120.263926,0.2095736709,0.0005182300000000001,1.77869e-05,-3.9302559831581276,0.02732737491792508
22.0,120.280481,0.2095430256,0.0005113762,1.6080000000000002e-05,-2.09136385959442,0.027365360161813065
23.0,120.280252,0.20950083849999998,0.0005082852,1.4247100000000001e-05,0.3594154084145524,0.027164749879760808
24.0,120.280321,0.2095238805,0.0005255136,1.41392e-05,-1.1470555837551368,0.027530962981609328
25.0,120.194373,0.20957569450000002,0.0005457427,1.4625499999999999e-05,-4.357540052617153,0.027641690042139302
26.0,120.179811,0.20959685390000002,0.0005440855,1.60905e-05,-5.531815209019963,0.027435937785359972
27.0,120.180209,0.209574076,0.0005231694,1.4898699999999998e-05,-3.9413781910061845,0.027231812060126585
28.0,120.180933,0.20953068649999998,0.0005095103,1.1869599999999999e-05,-1.286188384156459,0.027270227084444047
29.0,120.181054,0.2094995774,0.0005099988,1.0529400000000001e-05,0.481874033839496,0.027162457087796937
30.0,120.181721,0.2095321676,0.0005304298000000001,1.04599e-05,-1.5887447852777936,0.02726963118225125
31.0,120.181675,0.2095642058,0.0005482505,1.1731700000000002e-05,-3.668029305752728,0.02758667888193099
32.0,120.180641,0.2095786253,0.0005397691,1.28785e-05,-4.351925320292328,0.02722331164409237
33.0,120.180295,0.2095657997,0.0005198019000000001,1.1374e-05,-3.3855398255065565,0.02737090347440817
34.0,120.095176,0.2095228763,0.0005027445,9.4249e-06,-0.7255995662058535,0.02749741698055691
35.0,120.166337,0.2095018494,0.0005048521999999999,8.9692e-06,0.4452588001079353,0.027163971744103232
36.0,120.180618,0.2095369962,0.0005271121,1.0470900000000002e-05,-1.8123640934497043,0.027133818958797937
37.0,120.181307,0.20956981859999999,0.0005413424,1.3232000000000001e-05,-3.9184233525190884,0.02747373020772406
38.0,120.181115,0.20957819099999997,0.0005353002999999999,1.475e-05,-4.347087198416053,0.027449721646432
39.0,120.181054,0.2095431972,0.0005168252,1.30717e-05,-2.124406964205873,0.02759338803621172
40.0,120.094127,0.2094935107,0.0005084339000000001,1.07784e-05,0.8459513235910489,0.02750987289220779
41.0,120.078238,0.20948508489999998,0.0005127689,9.8811e-06,1.2841392077438631,0.02738471305145686
42.0,120.07888,0.2095261722,0.0005342236,1.0413899999999999e-05,-1.2800812428120925,0.026947969900139535
43.0,120.078661,0.2095548048,0.0005487218,1.25285e-05,-3.0902203077303105,0.027026121720344493
44.0,120.079928,0.20955822189999998,0.0005325634,1.30014e-05,-3.0909058687818725,0.026938542882870776
45.0,120.079683,0.2095337036,0.0005137051,1.1008199999999999e-05,-1.4613340253246683,0.026770497050855418
46.0,119.996425,0.20947086120000002,0.0005082776,9.5717e-06,2.113167705826728,0.026958591384919683
47.0,119.980185,0.20947488520000002,0.0005188646,9.8303e-06,1.7610141467401135,0.02695656685289867
48.0,119.979759,0.2095139854,0.000530766,1.12776e-05,-0.588888389275577,0.027407513853423958
49.0,119.978698,0.20953729070000002,0.0005413155,1.46312e-05,-2.087205956880783,0.027280503855912037
50.0,120.064195,0.2095202576,0.0005256673,1.5029399999999999e-05,-0.9378353082943054,0.02687772419032074
51.0,120.061861,0.2095045996,0.000511152,1.28766e-05,0.14026829894866663,0.026914698161841957
52.0,120.07647,0.2094646612,0.0005093983,1.16029e-05,2.386707894640136,0.02674513445062884
53.0,120.080249,0.20947667160000003,0.0005113747,1.09071e-05,1.7434407695477834,0.02719288374618594
54.0,119.977373,0.20950101459999998,0.0005380001,1.2555100000000001e-05,0.033330185063257294,0.02715140086515974
55.0,120.062416,0.2095361077,0.0005373866,1.44374e-05,-1.9639367220435926,0.027189447211300607
56.0,119.9947,0.2095336133,0.0005192247,1.41393e-05,-1.5978171643144734,0.027072510041500106
57.0,119.87325,0.2095138451,0.0005094048,1.12503e-05,-0.317832703610193,0.02661465598505438
58.0,119.96078,0.20948093629999998,0.0005089661,1.0029500000000001e-05,1.532848123518969,0.02689881715386149
59.0,119.98032,0.2095251441,0.0005217573,1.05817e-05,-1.087991718032667,0.027124836508625697
60.0,119.856343,0.2095640782,0.0005471311999999999,1.2979e-05,-3.6513586538559624,0.02743202596908478
61.0,119.957982,0.2095790418,0.0005415173,1.5386099999999998e-05,-4.368779187987897,0.026759009191635014
62.0,119.981404,0.20956989490000003,0.0005205321999999999,1.47458e-05,-3.600227974019059,0.026696218144344728
63.0,119.874522,0.2095316296,0.000509998,1.3094199999999999e-05,-1.3502104447467809,0.02690007645734292
64.0,119.962817,0.2095016972,0.0005107248,1.2530799999999999e-05,0.31855751839716057,0.027394481882520874
65.0,119.89702,0.2095351157,0.0005263889,1.25807e-05,-1.7365945784869814,0.027089473327316062
