Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956599,0.00061004,9.23e-06,0.9541445273537928,0.02680142779700744,,56.70259433
1.0,0.20956975,0.0006049,1.159e-05,0.5621156636221271,0.02655045154580435,,56.66526493
2.0,0.20954565,0.00059926,1.178e-05,3.3529121464030207,0.02678275660533091,,56.68392963
3.0,0.20946591,0.00060045,9.93e-06,12.159057208799288,0.026685070652103016,,56.68077503
4.0,0.20957362,0.00060016,8.9e-06,0.35598018910763674,0.027085043538271986,,56.72349354
5.0,0.20957148,0.00066052,8.36e-06,-0.7915844293278842,0.026854369610652525,,56.67288854
6.0,0.20952968,0.00063526,7.58e-06,4.432516366930583,0.02671574670252772,,56.70075415
7.0,0.2095067,0.00065801,6.25e-06,6.520823767612252,0.026843536709088928,,56.65264654
8.0,0.20951839,0.0006634,7.78e-06,5.070240142025854,0.026989266123279763,,56.69470784
9.0,0.20946825,0.00065999,8.48e-06,10.669010247042413,0.02690086635944711,,56.67788332
10.0,0.2094711,0.00067538,8.22e-06,10.027362271761499,0.026961205152896576,,56.68866153
11.0,0.20952633,0.00066287,6.94e-06,4.179149676040485,0.02665843323242322,,56.65895573
12.0,0.20951544,0.00065267,7.21e-06,5.631484611369188,0.026801216635826627,,56.69470784
13.0,0.20957036,0.00066382,8.75e-06,-0.757021708086764,0.026780599055494365,,55.60768605
14.0,0.20954606,0.00067447,9.9e-06,1.6373351202446194,0.026786077200885786,,54.48675234
15.0,0.20955785,0.00066933,9.36e-06,0.4758456129802815,0.02687595006410877,,53.95047074
16.0,0.20952338,0.0006332,8.29e-06,5.148559332871477,0.026722376405550002,,54.25383788
17.0,0.20952327,0.00063407,9.42e-06,5.128716606915606,0.02688583447815864,,55.13081614
18.0,0.20952683,0.00062201,1.043e-05,4.984076843349755,0.026931514084361743,,54.37910181
19.0,0.20958216,0.00064876,9.69e-06,-1.7512781181826451,0.026835480325179243,,54.98517878
20.0,0.20960057,0.00063213,9.04e-06,-3.3690299328632234,0.026760128640892708,,56.13910448
21.0,0.20952124,0.00061424,6.83e-06,5.940464989133056,0.027005668658037125,,55.57245973
22.0,0.20958704,0.00059638,5.06e-06,-0.8984850643481475,0.026843027048679226,,55.2685668
23.0,0.20950883,0.00062004,4.22e-06,7.182185497610413,0.026614614292578533,,55.42866272
24.0,0.20954809,0.0006397,3.08e-06,2.483116117775541,0.026829637487932326,,54.48412365
25.0,0.20952266,0.00064769,5.41e-06,5.023618848422543,0.026833689398007295,,55.14961221
26.0,0.20956406,0.00066554,6.94e-06,-0.031779199861856684,0.02683791728490614,,55.28986033
27.0,0.20956396,0.00068003,7.21e-06,-0.36571518696807975,0.026709095125141812,,54.52408193
28.0,0.20956243,0.00065604,8.21e-06,0.3208276959758035,0.02685205044173088,,55.57390561
29.0,0.20955348,0.00064221,9.49e-06,1.5882902902207472,0.026916787407221355,,55.37398294
