Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20960632,0.00058446,1.005e-05,-9.93574922599164,0.025896201420397204,-0.11959853679639586,-8.12930962
1.0,0.20946851,0.00059111,8.4e-06,3.2753370569540188,0.025974292847630177,-0.11164475387359749,-8.11760294
2.0,0.20951441,0.00056711,8.15e-06,-0.6660044881751624,0.02597567218235272,-0.1075901470932281,-8.05657036
3.0,0.20950404,0.00053845,7.85e-06,0.9313447765418477,0.026099802415216405,-0.11882806035923432,-8.025791
4.0,0.2094913,0.00052597,8.08e-06,2.4049902564812533,0.02599456802025617,-0.10564485320438305,-8.0677509
5.0,0.20956555,0.0005325,5.93e-06,-4.894610837243329,0.026303533787228904,-0.10329664453093802,-8.09247962
6.0,0.20953536,0.00054571,3.62e-06,-2.1047612135090517,0.025960723994155638,-0.11662823386178184,-8.04670518
7.0,0.20950342,0.00055515,3.12e-06,0.7998270107291701,0.025761278718716318,-0.10813587782786269,-8.07011854
8.0,0.2095101,0.00056192,7.13e-06,-0.11050111249480164,0.02604379451734054,-0.10997208908320781,-8.11273612
9.0,0.20951369,0.00059877,9.8e-06,-1.2920149023901402,0.025954945381954867,-0.11031797749575042,-8.05814879
10.0,0.2095177,0.00062106,9.93e-06,-2.1344431649878186,0.025948238525015033,-0.10218056865917237,-8.04709979
11.0,0.20949397,0.00059686,6.52e-06,0.765800043149807,0.026131597281390504,-0.11173542139392054,-8.01921421
12.0,0.20949582,0.00057323,7.14e-06,1.046917653168011,0.02613703145064825,-0.11168295247511717,-8.03000014
13.0,0.20951451,0.00057226,9.52e-06,-0.831304217137749,0.02614945557855084,-0.10104215913971276,-8.00369299
14.0,0.20948874,0.00057254,7.06e-06,1.7510803553506034,0.026120759339979083,-0.1048530011162594,-8.04565289
15.0,0.20949202,0.00060833,5.93e-06,0.7418543851790286,0.026145980123467312,-0.09602469289141789,-8.05762265
16.0,0.20952612,0.0006245,8.76e-06,-2.9724051437560224,0.025898578701358296,-0.10184189520352342,-8.11773448
17.0,0.20947847,0.00062613,9.74e-06,1.566846927493455,0.026110321602476175,-0.09771284515090049,-8.01671503
18.0,0.20948576,0.00059804,4.73e-06,1.58922567732914,0.025953360908657665,-0.11318885800826904,-7.97436052
19.0,0.2094875,0.00057696,1.98e-06,1.9372553201072675,0.025921469500292813,-0.10415066320480539,-8.07274926
20.0,0.20952704,0.00056804,2.9e-06,-1.7115911565800932,0.02569576326060204,-0.10404380787977227,-7.9948801
