Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947886,0.00063841,5.49e-06,0.5124117813732939,0.028542968882506358,,28.44894456
1.0,0.2094918,0.00065172,3.25e-06,-0.26518810237668045,0.02846625458528506,,28.4557792
2.0,0.20949385,0.00063944,9.5e-07,-0.19606414752240203,0.02837038577275621,,28.44657872
3.0,0.2095071,0.00063164,1.4e-07,-0.7768941224754726,0.028171093434751004,,28.44250422
4.0,0.20947886,0.00061279,1.99e-06,0.8522061007024918,0.02845634250619091,,28.44250422
5.0,0.20946982,0.00062938,4.68e-06,1.0930419749220182,0.028468863423229924,,28.42699483
6.0,0.20948471,0.00062088,4.69e-06,0.4112491623233106,0.028381303365379116,,28.42489186
7.0,0.20948851,0.00061065,2.51e-06,0.36540748036797654,0.02844712737921759,,28.4431614
8.0,0.2095149,0.00060971,2.16e-06,-0.9820976199186624,0.02831086019771515,,28.43934977
9.0,0.20949786,0.00062347,4.06e-06,-0.2856660446577652,0.028346155042098562,,28.45906509
10.0,0.20948841,0.00062482,2.55e-06,0.21603984579594077,0.028475171863935583,,28.44237278
11.0,0.20950381,0.00060765,3.76e-06,-0.4174465514042333,0.0284161155076233,,28.44999604
12.0,0.20952024,0.00061303,5.73e-06,-1.3597889997905066,0.028361417712947944,,28.40754237
13.0,0.20949324,0.00060318,5.88e-06,0.14025989641897918,0.028316295750929758,,28.45052178
14.0,0.2095226,0.00058885,7.9e-06,-1.2567977667419492,0.02832388533483365,,28.42357751
15.0,0.20950258,0.00057336,7.03e-06,-0.03973799266118246,0.02832542150269809,,28.4413213
16.0,0.20950494,0.00056835,4.39e-06,-0.06006643194701791,0.028232706568391084,,28.42962354
17.0,0.20952383,0.00056388,2.99e-06,-0.9596439591218173,0.02824419986158894,,28.42173741
18.0,0.20949857,0.0005546,3.56e-06,0.4335919636635875,0.028408302524998482,,28.45117896
