Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2093744,0.00060567,7e-07,-0.2196688529898928,0.02722948095596419,,114.78377599
1.0,0.2093124,0.00058374,2.7e-07,3.0805675677459607,0.027121388924579746,,114.79962035
2.0,0.2093896,0.00055802,5.5e-07,-0.47507541979294066,0.027173017066140077,,114.77997858
3.0,0.20939617,0.00056526,4.3e-07,-0.8755401789707193,0.027233242649413198,,114.80289398
4.0,0.2093821,0.00055449,2.41e-06,-0.0987742000200087,0.027173462011123816,,114.786133
5.0,0.20933888,0.00056669,4.03e-06,1.89466572823475,0.02727508049272789,,114.7376833
6.0,0.20936198,0.00058079,3.26e-06,0.6087940198610905,0.027103283497029604,,114.74593285
7.0,0.20940582,0.00059347,5.12e-06,-1.7127405324629779,0.026984284472438055,,114.75418239
8.0,0.20931712,0.00061692,6.27e-06,2.406509720572524,0.027180097420541897,,114.71136333
9.0,0.20940643,0.00063174,7.39e-06,-2.1851899508271795,0.02710002486808308,,115.26107099
10.0,0.20939042,0.00063325,6.78e-06,-1.3963751623056826,0.02704226702086954,,114.68425769
11.0,0.20940304,0.00064458,6.13e-06,-2.1507657008351235,0.027375579961076233,,114.66592537
12.0,0.20935274,0.00064728,6.89e-06,0.3161673374446972,0.027188184508149804,,114.61786851
13.0,0.20936414,0.00064776,3.97e-06,-0.2047102181768119,0.02730273671376398,,114.64549793
14.0,0.20937553,0.00061282,2.23e-06,-0.3766472727467254,0.027250660943548697,,114.59914336
15.0,0.20929002,0.0006193,1.34e-06,3.800371794210326,0.027121301630975442,,114.61524961
16.0,0.20935182,0.00061127,3.43e-06,0.7929763621229171,0.027123258327425324,,113.76397534
17.0,0.20933118,0.00059816,5.37e-06,1.9184944685442982,0.027158176542884098,,113.57567624
18.0,0.20935038,0.00058823,4.7e-06,1.085889908764784,0.02724351948739029,,113.24071866
19.0,0.20935911,0.00058127,5.57e-06,0.7031325280615861,0.026985890150410637,,113.03958696
20.0,0.20941115,0.00058902,5.22e-06,-1.9328830953087148,0.027013575817006745,,112.50441418
21.0,0.20933406,0.00059379,5.88e-06,1.8353476740460655,0.027500175084739755,,111.86972324
22.0,0.20938282,0.00058719,6.14e-06,-0.541129082814,0.027350685546571708,,111.67435322
23.0,0.20938662,0.00061207,5.65e-06,-0.9762859877253249,0.027189566003420276,,111.56894241
24.0,0.20935243,0.00061239,4.59e-06,0.7314999253165149,0.027126785485104787,,112.59948033
25.0,0.20932082,0.00059462,4.24e-06,2.4829214959955537,0.027110094002558236,,110.83028145
26.0,0.20940602,0.00058103,2.95e-06,-1.576140361927058,0.027307850657366423,,113.18886441
27.0,0.20925635,0.00058381,1.58e-06,5.884918285831713,0.027388098921761844,,113.21439872
28.0,0.20933211,0.00061418,1.72e-06,1.7785136837778024,0.02730778994634763,,113.33552307
29.0,0.20930337,0.00062808,3.1e-06,3.020357638109214,0.027128396944264572,,112.29594953
30.0,0.20938303,0.00061628,4.78e-06,-0.8238582770016982,0.02708109749805981,,112.64360884
31.0,0.20947542,0.00061517,6.07e-06,-5.397335666414967,0.027085023635407962,,113.03762275
32.0,0.20953167,0.00061112,4.84e-06,-8.13130515765129,0.02714557125490936,,112.31009182
33.0,0.20946423,0.00058445,3.5e-06,-4.504493918073554,0.027216486211965655,,113.23875453
34.0,0.20912054,0.00059983,4.97e-06,12.356032770444939,0.02721428626305064,,113.03173037
35.0,0.20934042,0.00063504,6.1e-06,1.0708353634356564,0.02727642519372948,,112.32397181
36.0,0.20940756,0.00063091,4.34e-06,-2.1859075574842457,0.027168935237490734,,112.49184348
37.0,0.20937132,0.00061779,4.14e-06,-0.25236504224085266,0.027289132070446507,,112.86569178
38.0,0.20948127,0.00060706,3.74e-06,-5.553206248796376,0.02703947294822443,,112.38276615
39.0,0.20936968,0.00061167,2.6e-06,-0.07979159503852776,0.02703909875660479,,111.83240392
40.0,0.20930491,0.0006135,2.39e-06,3.0878111856437815,0.02695809754983376,,111.99739488
41.0,0.20933622,0.00062777,2.83e-06,1.411239581766346,0.027270647191450875,,112.37359999
42.0,0.20940777,0.00061771,3.66e-06,-2.039621505341623,0.027062294934835383,,111.94095747
43.0,0.20932492,0.00059212,6.6e-06,2.2567866329451167,0.027000684692718685,,112.40502696
44.0,0.2094168,0.0005616,6.68e-06,-1.9617940552723672,0.02713489788849051,,111.71141074
45.0,0.20938118,0.00056057,5.24e-06,-0.16384720508102488,0.027028731907286833,,112.13541094
46.0,0.20944226,0.00055067,4.82e-06,-3.0788340246667234,0.027157610944126328,,112.39337271
47.0,0.20945293,0.00057324,6.16e-06,-3.866526002419537,0.02717304750700663,,112.09782981
48.0,0.20912926,0.00059776,7.59e-06,11.85954051733429,0.0271206884315548,,113.08698916
49.0,0.20923253,0.00058755,6.21e-06,6.911579732997408,0.027218290176905916,,112.34872042
50.0,0.20944934,0.00058831,5.55e-06,-3.8231298535963143,0.02709111315661448,,112.58507642
51.0,0.2094091,0.00060961,5.3e-06,-2.0429271200105164,0.026976062993302394,,112.24304786
52.0,0.20934258,0.0006011,8.75e-06,1.2606415205914143,0.02704542791007513,,112.43043029
53.0,0.20923407,0.00057642,1.023e-05,6.839540080732173,0.027050694370287703,,112.32711447
54.0,0.20956729,0.00057273,9.33e-06,-9.487897042545914,0.026903198722239674,,112.2833788
55.0,0.20920287,0.00057126,7.66e-06,8.477209151632445,0.027060659314850587,,112.37962357
56.0,0.20926117,0.00057607,5.94e-06,5.606487035202493,0.027176641487671818,,112.09782962
57.0,0.20937717,0.00060162,4.71e-06,-0.3843175892080016,0.02726507906260548,,112.00184678
58.0,0.20929567,0.00059407,5.86e-06,3.742291130106088,0.02739353632042422,,112.26897485
59.0,0.20924947,0.00062045,8.07e-06,5.67095704548241,0.027089115763534777,,112.41118124
60.0,0.20938806,0.00060698,6.39e-06,-1.0036955996337307,0.02708755931853776,,111.55807417
61.0,0.20936321,0.0006075,4.14e-06,0.25727173226642713,0.027178289117039938,,112.11563847
62.0,0.2093626,0.00060229,3.26e-06,0.3549772243028589,0.027052484715435823,,111.80228646
63.0,0.20932677,0.0005769,4.26e-06,2.3746603891182456,0.027140817623624167,,112.14169618
64.0,0.20938652,0.00056641,3.56e-06,-0.46064148196539695,0.027146687203872213,,112.24278581
65.0,0.20949297,0.00057197,6.59e-06,-5.845159284703616,0.027174965142303234,,112.15086233
66.0,0.20929443,0.00059892,8.98e-06,3.674376358106689,0.027206115519189115,,112.2845573
67.0,0.20934597,0.00061358,9.33e-06,0.9572017893796917,0.027114426474034996,,112.40620536
68.0,0.20936403,0.00060754,8.38e-06,0.14310378537451213,0.027072796959242612,,112.12231634
69.0,0.20932143,0.00060818,8.38e-06,2.227709100093864,0.02693985794020797,,112.01441752
70.0,0.20932893,0.00060508,9.97e-06,1.873989285292193,0.027079043886927202,,112.40227701
71.0,0.20932852,0.00063834,1.041e-05,1.5525481907737404,0.027249063659659845,,112.09036573
72.0,0.20931825,0.00064462,9.47e-06,2.0109068189736563,0.027214817272567624,,112.03261889
73.0,0.20932492,0.00062105,1.01e-05,1.917541188939538,0.027263148228474525,,112.12624465
74.0,0.20936219,0.0006199,1.054e-05,0.06940307425254423,0.027115085012728468,,112.18556279
75.0,0.20933375,0.00063917,1.155e-05,1.2486516878354108,0.02690586375766525,,112.92095075
76.0,0.20931394,0.00062475,1.258e-05,2.350417609408768,0.02690077957656823,,112.22759618
77.0,0.20934935,0.00064879,1.326e-05,0.359775820602538,0.027213505053403305,,111.77845443
78.0,0.20934309,0.00066472,1.391e-05,0.49441578134473585,0.027256387158110112,,111.94423102
79.0,0.2093706,0.00064931,1.475e-05,-0.726308503874184,0.027247010157498763,,111.90547119
80.0,0.20934628,0.00062212,1.552e-05,0.7482537144143523,0.027131932281660796,,112.26373703
81.0,0.20935346,0.00061644,1.671e-05,0.43122527912792624,0.027104730309420025,,111.63559342
82.0,0.20934997,0.00063349,1.723e-05,0.41804874019415494,0.027087887737430455,,111.04503105
83.0,0.20938159,0.00064501,1.572e-05,-1.238812270913403,0.027130362403150293,,111.87928225
84.0,0.20935634,0.00066381,1.608e-05,-0.1912943779666334,0.027192189664501595,,111.77753778
85.0,0.20935839,0.00066663,1.436e-05,-0.29440276422319944,0.027345520744224004,,112.11838794
86.0,0.20931763,0.00063079,1.391e-05,2.1008361416621706,0.02710592458060223,,112.24239297
87.0,0.20937081,0.00062232,1.561e-05,-0.4668451804693651,0.02702900845937532,,111.70879189
88.0,0.20934463,0.00064108,1.442e-05,0.6495765790039311,0.02702218902516481,,112.22576304
89.0,0.20936106,0.00065018,1.417e-05,-0.2505036787919514,0.027137002072554137,,111.1271335
90.0,0.20935572,0.0006745,1.552e-05,-0.2626973034277518,0.027265335059174726,,111.20727192
91.0,0.20935356,0.00068674,1.733e-05,-0.3120096224263575,0.027103074597111896,,112.15505257
92.0,0.20936095,0.00069783,1.969e-05,-0.8261576153691734,0.026903699327881215,,111.90206659
93.0,0.20938826,0.00069131,1.887e-05,-2.100910122989043,0.02711007132330333,,111.89447187
94.0,0.20933704,0.00067049,1.826e-05,0.6534315856430988,0.026972819663898404,,111.2758873
95.0,0.20934186,0.00064736,1.644e-05,0.6907288270168085,0.027174882309759906,,111.61634443
96.0,0.20939052,0.00063261,1.877e-05,-1.6014051268905383,0.027084150824533613,,111.27012571
97.0,0.20935736,0.00061032,2.116e-05,0.22666275982345288,0.027194227084385323,,111.57195393
98.0,0.20934432,0.00060496,2.111e-05,0.9273242745331864,0.027127714915076137,,112.0303929
99.0,0.20933293,0.00062419,2.109e-05,1.2829536452478318,0.02694403944193707,,111.51499283
100.0,0.20931733,0.00064724,2.309e-05,1.7837750214696129,0.027030575007273915,,111.30665921
101.0,0.20933375,0.00066719,2.483e-05,0.7426117156322958,0.027156247784050673,,111.0761957
102.0,0.20934617,0.00067891,2.261e-05,0.043905379404878285,0.027001778801653428,,109.49765262
103.0,0.20931846,0.00068622,2.138e-05,1.361162893678372,0.027155670022875455,,111.46313853
104.0,0.20931733,0.00066643,2.291e-05,1.5888959608930802,0.027032446408361093,,111.70983922
105.0,0.20933652,0.00063865,2.359e-05,0.9203260680006036,0.027087721749262317,,111.72162426
106.0,0.20930018,0.00064084,2.233e-05,2.7076645138935236,0.027030032863736928,,111.9307437
107.0,0.20930716,0.00068118,2.234e-05,1.9570876967559265,0.027165629775368915,,111.10893201
108.0,0.20928448,0.0007208,2.358e-05,2.6511415036299906,0.027197625348571546,,110.99291469
109.0,0.20929834,0.00082499,2.55e-05,0.8432030575381342,0.027012464411875128,,111.70158961
110.0,0.20925758,0.00101117,2.788e-05,0.8809586571515784,0.026757539893564785,,111.52939677
111.0,0.20911859,0.00136552,2.811e-05,3.976488925909808,0.026351195147141456,,111.13394255
112.0,0.20890609,0.00179681,2.76e-05,9.760096480061971,0.026089389712076607,,110.43548148
113.0,0.20843644,0.00235455,2.857e-05,26.10511751334986,0.025667564683960926,,110.20213715
114.0,0.20796279,0.00287315,3.186e-05,43.06190261980764,0.02562384491744879,,111.63101019
115.0,0.20760657,0.00333853,3.309e-05,55.104164585918426,0.025610722455565078,,112.28259312
116.0,0.20724697,0.003687,3.401e-05,68.77688370571875,0.025728091123081727,,112.16696858
117.0,0.20690913,0.00399931,3.403e-05,80.70212411207315,0.025463647851811256,,112.15125516
118.0,0.20659408,0.00422642,3.415e-05,93.14485168588996,0.025478345367937097,,112.0387733
119.0,0.20630347,0.00436937,3.21e-05,104.39254880097978,0.025271995253569157,,111.81511903
120.0,0.2059916,0.00453206,3.166e-05,117.09265686140566,0.025260163745708216,,111.72686201
121.0,0.20578629,0.00466045,3.13e-05,125.08773885176791,0.025221363620843883,,111.61883229
122.0,0.20562902,0.0047875,3.277e-05,130.05537997954696,0.02503007969311635,,111.30600438
123.0,0.20551548,0.0048857,3.314e-05,134.53358814566914,0.025078115965247887,,111.30220698
124.0,0.2054078,0.00492536,3.275e-05,140.1258937019514,0.02527108102822013,,111.11456261
125.0,0.20528677,0.00495095,3.403e-05,145.35182044560065,0.02526296402395958,,111.04424508
126.0,0.20533358,0.00497046,3.417e-05,142.49252154558954,0.025168718652928784,,110.88331352
127.0,0.20524098,0.00496104,3.595e-05,147.60798154487634,0.025312499371138712,,111.0744934
128.0,0.20525433,0.00497332,3.808e-05,145.91746826029689,0.025152222887538947,,111.05904188
129.0,0.20518093,0.00497058,3.658e-05,148.57963673364955,0.025029915271344575,,110.95886886
130.0,0.20516461,0.00501187,3.65e-05,149.43876805352613,0.02511471591101105,,110.82268593
131.0,0.20514859,0.00503941,3.908e-05,149.53172121813526,0.025058322409571572,,110.65887358
132.0,0.20516214,0.00501409,4.029e-05,148.68701521263705,0.024982968899609454,,110.48759736
133.0,0.2051914,0.00499482,3.968e-05,147.82271156732497,0.025028463572024765,,110.36909203
134.0,0.20512621,0.00496653,3.797e-05,150.16290167077756,0.024879223725200558,,110.21208882
135.0,0.20515003,0.0049223,3.682e-05,150.17120092884832,0.024987686489353407,,110.10733272
136.0,0.20522004,0.00488478,3.625e-05,147.36254875123214,0.024987038958372468,,109.97992312
137.0,0.20522107,0.00484047,3.593e-05,148.16270816698983,0.025059569485186003,,109.82580071
138.0,0.20524899,0.00480948,3.653e-05,146.69605857315932,0.02497754185232572,,109.67586855
139.0,0.20529909,0.00481548,3.779e-05,144.68015711259432,0.02503337197645484,,109.54819705
140.0,0.20532896,0.00482068,3.785e-05,142.39294568715047,0.024878717234455953,,109.38896778
141.0,0.20533922,0.00481881,3.832e-05,142.21363568836375,0.024926449637778673,,109.28264034
142.0,0.20539312,0.00477375,3.81e-05,139.52417166774552,0.024805270211326266,,109.12864888
143.0,0.20544978,0.00472539,3.814e-05,137.71795689119114,0.02485749552043208,,108.98762099
144.0,0.20548192,0.00469725,3.841e-05,136.26274018044455,0.024808937132053933,,108.84122434
145.0,0.20549454,0.00465231,3.975e-05,136.06737073615867,0.024804431158103355,,108.73109949
146.0,0.20553735,0.00459667,3.915e-05,135.08277505516907,0.02488032157767917,,108.60408273
147.0,0.20558868,0.00454465,3.745e-05,133.42689065973053,0.02490745010858926,,108.49330315
148.0,0.20562071,0.00449868,3.879e-05,133.22149452303452,0.02506382579098048,,108.35607267
149.0,0.20566865,0.00448258,3.895e-05,130.48251133386634,0.024927703581497665,,108.2223777
150.0,0.20572819,0.00446681,3.586e-05,128.92279354600387,0.02510927042860765,,108.10649127
151.0,0.20578547,0.00441761,3.39e-05,126.83598022074045,0.02511410594461567,,107.94922618
152.0,0.20579368,0.00437604,3.156e-05,126.17797957665584,0.024973195699597,,107.8680402
153.0,0.20586862,0.00436758,3.078e-05,123.67858739874109,0.025135470647273738,,107.73054783
154.0,0.20585291,0.00434024,3.239e-05,124.05916019286498,0.02502116689143794,,107.63050575
155.0,0.20592416,0.00431035,3.447e-05,120.68595679472742,0.024940138533341708,,107.4791332
156.0,0.20590578,0.00429303,3.306e-05,122.059448981306,0.02501381632361233,,107.39100713
157.0,0.20600484,0.00429362,3.26e-05,117.07100548094617,0.024907140065213378,,107.26804966
158.0,0.20598667,0.00425623,3.362e-05,119.2841909408654,0.025130459809478384,,107.14522314
159.0,0.20595054,0.00420437,3.452e-05,120.58675522967346,0.02496147099312459,,107.03431262
160.0,0.20602045,0.00418064,3.511e-05,117.63233609795198,0.024960148247836114,,106.89904632
161.0,0.20611509,0.00417878,3.731e-05,113.06579561235593,0.024900774033471525,,106.75841126
162.0,0.20607455,0.00415819,3.754e-05,115.42010062114016,0.024973547210912928,,106.67395166
163.0,0.20611417,0.0041413,3.517e-05,113.49163439349196,0.024901008905529987,,106.58320669
164.0,0.20611427,0.00412096,3.295e-05,113.91494374211939,0.02494555850831227,,106.4595945
165.0,0.2061462,0.00408122,3.209e-05,112.23986345620847,0.024809194336259652,,106.35339801
166.0,0.20615759,0.00405443,3.272e-05,112.78148223834276,0.02498957785525688,,106.23973764
167.0,0.20620379,0.00404831,3.258e-05,110.26333916096242,0.02488004945287877,,106.1296128
168.0,0.20623274,0.00402491,3.426e-05,108.95209292746834,0.02483486636026164,,105.98819207
169.0,0.20625091,0.00399415,3.347e-05,109.6569719630809,0.025115165891255325,,105.85240198
170.0,0.20626867,0.00396506,3.189e-05,108.66473650893347,0.025004092065384616,,105.74856251
171.0,0.20634668,0.00393116,3.043e-05,105.93452314863272,0.02511427103983291,,105.6199744
