Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20939427,0.00072042,1.122e-05,1.9228018289474984,0.02675809648224182,0.08712662265052994,32.00252072
1.0,0.20934254,0.00094965,2.184e-05,1.941234684799423,0.026996977233670574,0.5468944335229337,31.97820024
2.0,0.20931155,0.00127307,3.304e-05,-0.058269249168141114,0.025846799466821023,0.8722127918348245,31.10697771
3.0,0.20915504,0.00169961,6.46e-05,2.5759585913726637,0.0256764390289519,0.6478631564760592,31.91949117
4.0,0.20878073,0.00213879,0.00010689,15.294985793704704,0.025977868656528548,0.35319306126200517,32.58189748
5.0,0.20833982,0.00254017,0.00014953,31.245278351252274,0.025764283061180546,0.19993116204751948,32.5294646
6.0,0.20774373,0.00291933,0.00018628,54.39382540603451,0.02552500816971406,0.15909428023933903,32.39073322
7.0,0.20728589,0.00321806,0.00021466,72.70746689958347,0.02566743493408683,0.14382196904578534,32.30443472
8.0,0.20694812,0.00347119,0.00023523,85.39446860575147,0.025583778038633518,0.13605734228238345,32.17890963
9.0,0.20661406,0.00366212,0.00025237,97.99017254598678,0.025375789323277605,0.13305552556417946,32.13576038
10.0,0.20637779,0.0038244,0.00026858,106.65160195274139,0.02527904683464845,0.1399572875579956,31.99127577
11.0,0.2061246,0.00394389,0.00027835,118.44362633601813,0.025598537487000406,0.15251328699316768,31.87294221
12.0,0.20598297,0.0039951,0.00028791,124.39723103344777,0.025604581747021866,0.17644948296585164,31.74101011
13.0,0.20589511,0.00401651,0.00029461,127.08726826038085,0.025390429179164353,0.16308093905873514,31.64477421
14.0,0.20578324,0.00402135,0.00029678,130.7391451117483,0.02511950640323149,0.14008190233368964,31.59038
15.0,0.20575728,0.00405997,0.00030242,132.65153942189303,0.025345563489202545,0.13659006893023135,31.44942578
16.0,0.20569334,0.00409515,0.00031554,134.97924293082943,0.0253333432793159,0.1465631511778346,31.33946057
17.0,0.20568738,0.00415565,0.00032882,134.51048294048658,0.025340928154702434,0.15025006173219307,31.18974574
18.0,0.20554739,0.00424704,0.0003443,139.84293939344695,0.025345014381565615,0.1547223291985103,31.08265715
19.0,0.20540987,0.00437279,0.00036332,143.8546951244418,0.025204203350904324,0.17380106234465229,30.99099768
20.0,0.20529564,0.00445514,0.00037971,147.37240535573,0.02509213720384685,0.18616025361258168,30.87357942
21.0,0.20517042,0.00451008,0.00039081,152.92690310255574,0.025184447578565597,0.209056716366079,30.73092538
22.0,0.20498774,0.00455999,0.00039856,159.16633680667397,0.024951557644231792,0.2093640799684359,30.60265442
23.0,0.20498846,0.00456208,0.00040489,160.0051195780265,0.025106666200895016,0.19738665317945747,30.46274625
