Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20951656,0.00061147,4.92e-06,0.2579560229343659,0.02684727665214026,-0.08465884055480681,33.52004642
1.0,0.20947569,0.00060567,3.07e-06,2.3360107848381255,0.02669768833871168,0.0013232745674064145,33.57438968
2.0,0.20950568,0.00063232,5.67e-06,0.5578224127490303,0.02655933964230996,-0.01857133345052764,33.04287367
3.0,0.20909531,0.0006377,9.37e-06,19.003208663041487,0.0248656728007926,-0.03160794356265564,32.55129669
4.0,0.2079756,0.00069363,1.489e-05,67.11422308313658,0.02419680581416868,-0.017043887513105493,33.3284702
5.0,0.20606727,0.00079418,2.552e-05,147.17170384696146,0.02382610669839615,-0.02097971339861127,33.20734375
6.0,0.20429129,0.00087091,3.26e-05,223.74474368468026,0.023978723483925355,-0.01731423636939917,33.29966174
7.0,0.20323827,0.00096475,3.89e-05,264.8355500251752,0.023703825829070213,-0.021796561350617145,33.12432302
8.0,0.20266688,0.00108459,4.746e-05,283.7343051589474,0.023369475486213064,-0.02258457195505694,32.99311361
9.0,0.20216644,0.00128724,5.109e-05,301.6821594218082,0.02328636196144522,-0.022392816391733013,32.84553576
10.0,0.20174224,0.0014322,5.349e-05,319.04002208939215,0.023365095642349145,-0.02479080455484097,32.73527795
11.0,0.20140038,0.00156379,5.458e-05,331.26073097779545,0.023307375857849397,-0.02278657138474477,32.58233125
12.0,0.20130818,0.0016842,5.626e-05,334.2475869837338,0.023321798412766062,-0.022560227369723903,32.38433861
13.0,0.20114808,0.00180732,6.054e-05,339.3148326606983,0.02329025245278604,-0.022812203949713287,32.20114303
14.0,0.20091499,0.00198756,6.033e-05,346.90370534313854,0.02325497658282407,-0.02764034839417785,32.08263553
15.0,0.20077471,0.00213174,6.446e-05,349.1612834797181,0.023105261711383673,-0.026355665885827037,31.88686899
16.0,0.20067855,0.00224853,6.679e-05,349.83393769363994,0.02295663869367594,-0.017714400164772093,31.76836149
17.0,0.20061928,0.00236679,6.762e-05,355.42461178102565,0.02322859828528606,-0.02512580353775414,31.64487798
18.0,0.20062457,0.00249103,7.069e-05,352.26980455874155,0.023106083590622623,-0.027943209023256883,31.46678936
19.0,0.20061369,0.00260045,7.103e-05,351.7067873248782,0.0230993012180193,-0.028569776054914446,31.34173449
20.0,0.20061196,0.00278209,6.957e-05,350.3872411047543,0.023104793967049928,-0.024689525443244032,31.14256332
21.0,0.20056307,0.00296061,6.945e-05,350.28134919940914,0.023062776979228816,-0.02525088165162268,31.00794927
22.0,0.20051865,0.00312115,7.352e-05,351.9627995574744,0.023144505540931958,-0.01638101732738422,30.86102616
23.0,0.20053755,0.00322733,7.573e-05,347.5365994425652,0.022963103265571994,-0.014635473610530173,30.71135315
24.0,0.20051641,0.00330764,7.652e-05,349.17554999369145,0.023058679192510177,-0.02206521339107077,30.5505496
25.0,0.20051417,0.00344466,7.904e-05,346.3289696315666,0.02294096582006445,-0.016322205489111268,30.38450815
26.0,0.20052271,0.00355195,8.031e-05,344.71962313355823,0.0229165571560084,-0.010283476627976103,30.24819179
27.0,0.20054253,0.00366249,7.938e-05,344.50363926165545,0.02301540984038607,-0.0016794515850317411,30.09707836
28.0,0.20070101,0.00375769,8.075e-05,335.41009903012946,0.022890843344498462,0.0026099550401244556,29.93444154
29.0,0.20084963,0.00383286,8.575e-05,329.3886480896256,0.022939532346753708,0.001173867277948328,29.79760139
30.0,0.20091194,0.00397186,9.031e-05,327.6123362169173,0.023078035809421964,-0.0027931429028620488,29.68826022
31.0,0.20107967,0.00403947,8.998e-05,320.6161479626141,0.02310939520832799,0.010244738957902596,29.54788448
32.0,0.20133085,0.00410658,8.852e-05,311.7454471580614,0.023257635774771034,0.0165088747520752,29.40868727
33.0,0.20151586,0.00419314,8.72e-05,304.79195254334337,0.02336579010340547,0.017678017009675466,29.27446607
34.0,0.20166102,0.00427325,8.686e-05,296.8344992279854,0.0232681129882624,0.01808759339656488,29.13657834
35.0,0.20196527,0.00436355,9.091e-05,282.34293418792004,0.023181635297183655,0.014460608903577775,29.02671337
36.0,0.20210423,0.00439041,9.416e-05,276.99291717258905,0.023237845051815555,0.01295482812227614,28.89524207
37.0,0.202207,0.00445555,9.609e-05,272.15151115755344,0.02323775561119634,0.012674857898713561,28.78380574
38.0,0.20222113,0.00450243,9.332e-05,270.8846186561103,0.02320996860123216,0.0120978234881013,28.66411971
39.0,0.20220253,0.00452755,9.337e-05,272.5553175419602,0.023305039320903206,0.016314409256500725,28.53827915
40.0,0.20227023,0.00456378,9.364e-05,271.92885459967266,0.023521500436643788,0.02312290473091637,28.38952277
41.0,0.20231434,0.00464134,9.205e-05,265.4816258977157,0.0231763838840529,0.023886408207912244,28.29406204
42.0,0.20232786,0.00472515,9.002e-05,268.2008443735383,0.023523403102767276,0.024686134839728462,28.15997178
43.0,0.20245503,0.00479061,8.808e-05,264.0709195000108,0.023680474410339044,0.028034700790458996,28.04146428
44.0,0.20253198,0.00483067,8.902e-05,257.65665279117013,0.023426322234384157,0.019239397974251005,27.92976605
45.0,0.20265397,0.00482409,9.1e-05,252.09992505479394,0.02338274335006268,0.008014180380337185,27.83103163
46.0,0.20262601,0.00486266,8.795e-05,252.39439711246888,0.023328152428052435,0.006474360622823929,27.67913251
47.0,0.20268619,0.00487989,8.64e-05,251.45668688373817,0.02348695505160001,0.01036706199933381,27.57411261
48.0,0.20290241,0.00491353,8.271e-05,242.69610972675423,0.023542428996590082,0.02283538211669632,27.43858193
49.0,0.2031601,0.00496859,7.891e-05,229.76975497212106,0.023376694807107017,0.01930600963002553,27.32740749
50.0,0.20320116,0.00500885,7.804e-05,228.8402537325742,0.023492190702090677,0.006718777776022579,27.2665169
51.0,0.20331451,0.00503135,7.81e-05,224.42120724819142,0.023550430851930846,0.0015009661913469186,27.16738963
52.0,0.20333433,0.00505355,7.644e-05,223.03431791712143,0.023510267732794708,-0.007096748818914266,27.04495371
53.0,0.20338119,0.00506988,7.317e-05,223.61517796485,0.023792528385614884,-0.006890891387423838,26.96298057
54.0,0.20339319,0.00510451,7.276e-05,221.57392681624995,0.023660972499041345,-2.9195750305599027e-05,26.84198506
