Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20945807,0.00062009,4.18e-06,-2.0924492242472184,0.026987724730774397,,53.58631836
1.0,0.20939016,0.0006103,4.11e-06,1.3365015813120005,0.0267006619715341,,50.35220728
2.0,0.20941476,0.00060283,4.52e-06,0.20934890167096362,0.026815595507384667,,50.41636579
3.0,0.20905891,0.00059949,8.46e-06,17.12280959819403,0.026147115213864553,,49.75147445
4.0,0.20775903,0.00063135,1.474e-05,73.04886363096668,0.024353249058746296,,49.81419263
5.0,0.2067603,0.00071663,2.058e-05,116.45038022000158,0.024412883619057604,,49.80332497
6.0,0.20509379,0.00083549,3.045e-05,189.6431976318062,0.02456827161434426,,49.7582831
7.0,0.20419114,0.00092922,4.31e-05,229.41711380596325,0.02468484191495593,,49.62669276
8.0,0.20383681,0.00107309,5.313e-05,242.62695679659004,0.02458581847992724,,49.51696867
9.0,0.20371562,0.00119399,6.356e-05,247.78246693937507,0.024692711726162334,,49.56502206
10.0,0.20370748,0.00131905,7.305e-05,247.01987937883084,0.024707371626962724,,49.43749072
11.0,0.20369508,0.00143416,8.263e-05,247.07580247574876,0.024776522403859226,,49.30354353
12.0,0.20371714,0.00154657,9.331e-05,245.81097246251193,0.024866457384001842,,49.16972728
13.0,0.20377998,0.00170146,0.00010189,241.13598307547028,0.024830890547178897,,49.06196723
14.0,0.20394774,0.0018468,0.00010784,230.7857644164292,0.02467181989908228,,48.95525466
15.0,0.20405276,0.00197933,0.00010956,228.0324300971662,0.025012829225974722,,48.87053929
16.0,0.20430125,0.00208436,0.00011158,216.24356258731163,0.025052722180470718,,48.75570871
17.0,0.20445894,0.00218596,0.00011297,210.71054277076388,0.025354792825135485,,48.65907819
18.0,0.20459214,0.00227989,0.00011441,201.9251098761227,0.02512782951452195,,48.52905907
19.0,0.20473671,0.00235648,0.000116,194.3470600589321,0.025086718894044912,,48.43818972
20.0,0.20487824,0.00241878,0.00011467,187.7761337866588,0.025135931423700304,,48.34443978
21.0,0.20498703,0.00248378,0.00011331,181.90680983070985,0.02508514994985245,,48.28276909
22.0,0.20519343,0.00257237,0.00011003,170.85626810422747,0.024945052456564688,,48.19229254
23.0,0.20532245,0.00264932,0.00010603,165.05540912586125,0.025043149644134025,,48.11923044
24.0,0.20545838,0.00268768,0.00010281,158.4042813249258,0.025010176338831357,,48.03805033
25.0,0.20556097,0.00272856,0.0001012,154.39213440626884,0.02516827720771934,,47.94901408
26.0,0.20568715,0.00279707,9.814e-05,148.59969534599014,0.025258585783208526,,47.89179519
27.0,0.20574337,0.00286162,9.436e-05,145.44867201861774,0.025251705216210105,,47.79385531
28.0,0.20587016,0.00286317,9.174e-05,138.53672513675892,0.02504259529366585,,47.72197163
29.0,0.20597793,0.00289071,9.098e-05,133.13264825261385,0.024989533200131052,,47.64249368
30.0,0.20613196,0.00292593,8.831e-05,126.66216704400604,0.02514332671970718,,47.60596263
31.0,0.20611417,0.00296159,8.657e-05,127.56703729897465,0.025223228725490168,,47.52648469
32.0,0.20616887,0.00297481,8.167e-05,126.2598981167657,0.025472558451733695,,47.51181989
33.0,0.20625346,0.00300064,7.692e-05,122.6316207227804,0.025564378491327228,,47.40157206
34.0,0.20631996,0.00300235,7.315e-05,120.01385878108943,0.025653050829052688,,47.37800364
35.0,0.20636042,0.00300712,7.042e-05,117.66162486069207,0.025550666875377315,,47.3436985
36.0,0.20643383,0.00302773,6.919e-05,113.50969064913465,0.02542107258463971,,47.26500616
37.0,0.20643607,0.00299904,6.643e-05,113.29124607600657,0.0253244060246028,,47.2162981
38.0,0.20645823,0.00303001,6.226e-05,112.58093323734053,0.025445126627027442,,47.13747483
39.0,0.206517,0.00304915,6.069e-05,109.74357884261576,0.025451743483072137,,47.11285892
40.0,0.20652025,0.00307551,5.879e-05,108.7656090955066,0.02531060349396055,,47.05708033
41.0,0.20650063,0.00307804,5.872e-05,109.3372617850117,0.025240230435618627,,46.99213624
42.0,0.20649737,0.00308694,6.078e-05,110.09559742668071,0.02540776716515494,,46.91658636
43.0,0.20652879,0.00308163,6.207e-05,108.63318432456173,0.025396849482021994,,46.86787829
44.0,0.20653916,0.00310734,5.97e-05,108.72078481399316,0.025578534834525442,,46.77491397
45.0,0.20654008,0.00308355,5.662e-05,108.59291329299133,0.02549338756737788,,46.76077292
46.0,0.20653611,0.00306825,5.555e-05,108.39265452770353,0.0253653920373119,,46.69281731
47.0,0.20653011,0.00306258,5.525e-05,108.85504192274698,0.02539525642910172,,46.64594234
48.0,0.20648334,0.00307918,5.51e-05,110.65026410389957,0.02534940945970543,,46.57916515
49.0,0.20650022,0.00307221,5.403e-05,110.06321507458047,0.025373551667976127,,46.53752761
50.0,0.2064624,0.00305694,5.336e-05,111.50107085806869,0.025270233090098806,,46.44390861
51.0,0.2064869,0.00307645,5.415e-05,109.07834820227511,0.025016983256704744,,46.40973441
52.0,0.20644288,0.00310277,5.42e-05,112.05284328514244,0.02529418460294757,,46.36678751
53.0,0.20640343,0.00312684,5.351e-05,113.41853435013707,0.025244397546682625,,46.31218734
54.0,0.20637191,0.00314573,5.245e-05,115.20761715663588,0.0253567716575217,,46.22707915
55.0,0.20638106,0.00316054,5.194e-05,114.1704661768059,0.025249650464794493,,46.20063015
56.0,0.20635503,0.00315536,5.302e-05,116.57634919974231,0.025508708227808333,,46.12809179
57.0,0.20637466,0.00315251,5.269e-05,115.48498493865841,0.025460797844002684,,46.05751747
58.0,0.20635036,0.0031301,5.145e-05,116.4539963222492,0.025377000674243533,,46.02137923
59.0,0.20634161,0.00311721,5.001e-05,116.85679488767342,0.025345668946662868,,45.96821935
60.0,0.20633389,0.00313349,4.924e-05,117.01510318541293,0.02533410688826411,,45.93875882
61.0,0.20632921,0.0031361,4.903e-05,117.33213364610407,0.025360883819201117,,45.87931403
62.0,0.20632738,0.0031381,4.821e-05,117.05189417201862,0.025283516724842813,,45.83152252
63.0,0.20629555,0.00313855,4.969e-05,118.12285837710876,0.02520709301676908,,45.73764164
64.0,0.20626404,0.00314071,5.024e-05,120.20021068286304,0.02534815394012519,,45.67714937
65.0,0.20626709,0.00315581,5.112e-05,119.6955219742332,0.025304272739132803,,45.63223844
66.0,0.20623587,0.00317825,5.023e-05,120.2838892948739,0.025169798012866867,,45.55485546
