Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20939189,0.00067065,1.45e-06,0.031053698487249724,0.026765100758968048,,30.31263549
1.0,0.20925239,0.00078637,3.1e-06,5.681271297066217,0.02702630884890268,,30.28094906
2.0,0.2084322,0.00112634,1.093e-05,39.34278735271948,0.025077430775181823,,29.78784548
3.0,0.2070095,0.00155135,2.062e-05,96.41165049215329,0.024206455987884415,,29.61998588
4.0,0.20641685,0.00218053,2.978e-05,116.67762585104704,0.02424027690442321,,29.54050794
5.0,0.20485709,0.00278022,3.915e-05,179.5747491513115,0.024275826106830066,,29.50580999
6.0,0.20362981,0.00327132,4.94e-05,228.2226497335269,0.024243037733964214,,29.59209659
7.0,0.20324782,0.00365528,5.823e-05,244.43020880989752,0.024559806511620517,,29.53854391
8.0,0.20301571,0.00404438,6.721e-05,249.18514505539125,0.02438090615669357,,29.41598814
9.0,0.20281938,0.00435665,7.529e-05,254.96442787304238,0.02439118940751251,,29.27772009
10.0,0.20260627,0.00462191,8.469e-05,264.0433619913,0.024603001275486924,,29.1694363
11.0,0.20260424,0.00487204,9.439e-05,260.3487938410545,0.024471844488105764,,29.06154532
12.0,0.20261959,0.00503958,0.00010457,257.804436803699,0.02445058913357115,,28.87731886
13.0,0.20265396,0.00507773,0.00010772,255.10945177211178,0.024373950867954904,,28.76091707
14.0,0.20278959,0.00519161,0.00010998,251.33783908242916,0.02468833921442814,,28.63260013
15.0,0.20299029,0.00522086,0.00011582,241.437070184877,0.024620908810971207,,28.54015956
16.0,0.2031124,0.00519667,0.0001175,236.73575020284784,0.024673172527932646,,28.41144981
17.0,0.20325514,0.005191,0.00011314,228.4481609164456,0.024450415148137693,,28.29858328
18.0,0.20337685,0.00514562,0.00010998,225.50958315882693,0.02466392878986752,,28.16948072
19.0,0.20355538,0.00516048,0.00010952,216.74534426768346,0.024581986631518404,,28.0871222
20.0,0.20374663,0.00509519,0.00011005,208.66413735767287,0.024557391499770327,,27.97661251
21.0,0.20396766,0.00503823,0.00011009,201.859011649876,0.024858877753331492,,27.8895403
22.0,0.20418961,0.00495409,0.00010606,191.86705551463092,0.024744126531452068,,27.79238605
23.0,0.20440262,0.00487922,0.00010246,182.1642386533317,0.024616486244129664,,27.73503623
24.0,0.20460678,0.00481834,9.82e-05,175.0371209570518,0.024802936650579616,,27.63670356
25.0,0.20477637,0.00468765,9.399e-05,169.2025442840199,0.024874580553841466,,27.56730766
26.0,0.20502536,0.00457017,8.939e-05,159.40637331145095,0.0249102435682573,,27.47761674
27.0,0.20510304,0.00447967,8.749e-05,156.99569455134062,0.02494456416874896,,27.39591289
28.0,0.2052464,0.00442336,8.767e-05,150.79643274938226,0.024901799612998727,,27.34091992
29.0,0.2053071,0.00436204,8.428e-05,149.28200792490503,0.02500157608025013,,27.27728519
30.0,0.20532194,0.00429198,7.896e-05,149.24122275214486,0.02498390335526342,,27.17423883
31.0,0.20548248,0.00419397,7.377e-05,143.8801134299044,0.025140286535636266,,27.13836246
32.0,0.20558568,0.00412395,7.162e-05,140.20667847357242,0.025199070701804202,,27.07485867
33.0,0.2057509,0.00403875,7.014e-05,133.33915236772464,0.025168454375837444,,27.00559371
34.0,0.20588276,0.00397269,6.564e-05,127.78735337903773,0.0251215301759625,,26.96107559
