Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2094677,0.00060261,2.89e-06,-0.9788072804656783,0.02536176154865787,,-84.53176615
1.0,0.20945804,0.00057492,5.28e-06,-0.21623345648762773,0.025727539334907727,,-84.58852494
2.0,0.20944635,0.00056137,7.53e-06,0.5126408233207671,0.025688216175824955,,-84.54045775
3.0,0.20945733,0.00054714,8.99e-06,0.0623227919912634,0.025725355436881692,,-84.53571688
4.0,0.20945397,0.0005316,7.46e-06,0.4424037183223678,0.025784275462743998,,-84.56692763
5.0,0.20948508,0.00056859,5.75e-06,-1.5941070964253534,0.025806421294464723,,-84.55652404
6.0,0.2094802,0.00060691,4.19e-06,-1.722104844740095,0.025641268092150428,,-84.59458272
7.0,0.20947878,0.0005853,4.75e-06,-1.4299774963715732,0.025863664227204777,,-84.56758608
8.0,0.20944665,0.00057244,6.78e-06,0.39128750059942446,0.025934022274519873,,-84.56653255
9.0,0.20947542,0.0005664,9.03e-06,-1.122955492428492,0.0259709670856577,,-84.59115876
10.0,0.20946048,0.00060501,9.7e-06,-0.7632046873184771,0.02578969679851697,,-84.55981632
11.0,0.20945753,0.00061344,8.27e-06,-0.675462961369719,0.02584611882591325,,-84.58839325
12.0,0.20944177,0.00060375,8.9e-06,0.26117593751418894,0.02583569727166259,,-84.58483759
13.0,0.20945519,0.00059929,7.47e-06,-0.37938105908655606,0.025947267375300807,,-84.58549605
14.0,0.20945489,0.00059171,4.46e-06,-0.22030685086951432,0.025673447530509808,,-84.54914935
15.0,0.20946546,0.00058635,4.48e-06,-0.7258157546587992,0.02584983162319219,,-84.58220377
16.0,0.20945133,0.00056753,6.34e-06,0.2037262666847342,0.025879825297657633,,-84.52333793
17.0,0.2094557,0.0005548,6.77e-06,0.10521994015216585,0.025945840295199807,,-84.57219526
18.0,0.20945347,0.0005679,4.17e-06,0.12555702361013538,0.025914149900970497,,-84.54203804
19.0,0.2094373,0.00058047,3.35e-06,0.8566565734463302,0.02569203538231702,,-84.60696167
20.0,0.20944096,0.00058493,3.46e-06,0.6155895996038728,0.02587626246673817,,-84.57087835
21.0,0.20947176,0.00055569,1.7e-06,-0.6664819074676225,0.025795498243353723,,-84.56942975
22.0,0.20944228,0.00054057,1.5e-06,1.0736407530769043,0.025787452149232025,,-84.59102707
23.0,0.20943506,0.00054126,4.05e-06,1.400298273433707,0.02573731273216287,,-84.59682147
24.0,0.20947278,0.00053087,6.68e-06,-0.5313198959382188,0.025591772688033365,,-84.57430232
25.0,0.20946902,0.00055752,6.89e-06,-0.637902363535547,0.025851332764082382,,-84.6035377
26.0,0.20944462,0.00055699,5.46e-06,0.6900315800570938,0.025659683251930895,,-84.53927253
27.0,0.20942724,0.00055926,4.88e-06,1.5998446009420637,0.025736120401142988,,-84.51490971
28.0,0.2094435,0.00059406,7.73e-06,0.2941151909912854,0.025435745997556557,,-84.60854196
29.0,0.20945255,0.00059722,8.79e-06,-0.23790137854034527,0.025796026565530067,,-84.54519862
30.0,0.20947593,0.0005709,6.4e-06,-1.1373976984599308,0.025639183204611584,,-84.52781542
