Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20937961,0.00065221,1.069e-05,-14.556727092245763,0.027007773653136308,,73.72272319
1.0,0.20943593,0.00063717,1.078e-05,-17.199785660681407,0.027041506925536356,,73.67753375
2.0,0.20940106,0.00060143,1.017e-05,-15.164881310814723,0.027158819651959522,,74.05834076
3.0,0.20937046,0.00061024,1.072e-05,-13.531866130467954,0.026728698072792514,,73.59151523
4.0,0.20934352,0.00074668,1.006e-05,-13.335396690816909,0.02620684647421977,,73.84494613
5.0,0.20896271,0.00108645,9.56e-06,1.4110211604650347,0.025090943809984792,,73.48646958
6.0,0.20824052,0.00153158,1.277e-05,30.235964110310686,0.025193680006587074,,73.37904554
7.0,0.20733992,0.00198945,1.693e-05,67.84865628500518,0.025499226364978315,,73.26025807
8.0,0.20681322,0.00240918,2.029e-05,88.93717650903811,0.02573445619335681,,73.17503235
9.0,0.20672203,0.00275217,2.233e-05,90.22419321002504,0.025844104425359858,,73.08346425
10.0,0.20669093,0.00298725,2.302e-05,89.45324438430487,0.025863342907623082,,72.99691721
11.0,0.20676768,0.00310616,2.454e-05,84.53174033369736,0.02582077880354306,,72.93891087
12.0,0.20685256,0.0031446,2.683e-05,79.44333996204688,0.025595141928493728,,72.88407572
13.0,0.20691183,0.00315243,2.811e-05,76.6369211973091,0.025609687073683694,,72.82752284
14.0,0.20698594,0.00311738,3.118e-05,74.05162621655795,0.02580894475125186,,72.75445335
15.0,0.20699834,0.00308285,2.923e-05,73.51915718853049,0.025697515822572705,,72.70979243
16.0,0.20703037,0.00305507,2.757e-05,72.74589660385618,0.025848755055503582,,72.64319745
17.0,0.20717279,0.00304989,2.813e-05,65.83325987770992,0.025744505667862478,,72.57224209
18.0,0.20712227,0.00299574,2.848e-05,69.32774682221395,0.02597337456490213,,72.53907673
