Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20949307,0.0006752,2.87e-06,-3.5007901635301124,0.02667117051926156,,52.06640605
1.0,0.20947568,0.00072646,8.05e-06,-3.2909614950378745,0.026885897864644334,,51.96228532
2.0,0.20928416,0.00094309,1.036e-05,3.642200297144083,0.025542852258472186,,51.97880194
3.0,0.20854082,0.0014605,1.38e-05,31.999700275100107,0.02466723103994492,,51.9493363
4.0,0.20798434,0.00209498,1.824e-05,51.10502769157893,0.024738021023137685,,51.71493254
5.0,0.207308,0.00275104,2.409e-05,75.94377487578748,0.024958447486096335,,51.59165255
6.0,0.2063894,0.00329378,2.804e-05,113.58926221139853,0.025232203353501844,,51.46824043
7.0,0.20579988,0.00368573,3.178e-05,136.67118884612276,0.02521841216598377,,51.35169921
8.0,0.20561679,0.00393255,3.74e-05,141.96605957220817,0.025105064458247794,,51.2339688
9.0,0.20564058,0.00409166,3.81e-05,139.37246969904055,0.025102966772586523,,51.13724752
10.0,0.20564556,0.00417291,4.119e-05,140.08209402786568,0.02541973523768482,,51.02929495
11.0,0.20575302,0.00417532,4.054e-05,135.35798489017458,0.02546304201618114,,50.96507836
12.0,0.20589036,0.00410316,3.834e-05,129.82535933329424,0.02547762036563151,,50.88104184
13.0,0.20599924,0.00403418,3.741e-05,124.39907949452858,0.02525895875073824,,50.79224853
14.0,0.20610903,0.00400105,3.613e-05,119.53261718973637,0.02522141846193735,,50.69645218
15.0,0.2062666,0.00392604,3.435e-05,113.72877878230003,0.025368351422381426,,50.64333476
16.0,0.20628785,0.00381593,3.388e-05,114.74587443072616,0.025577502191852106,,50.53604285
17.0,0.20634874,0.00372375,3.303e-05,113.37062077879933,0.025701831078572743,,50.46601241
18.0,0.2064138,0.00368034,3.169e-05,110.1528587563469,0.025556182907068875,,50.37272659
19.0,0.20643881,0.00362386,3.333e-05,109.23578294226861,0.025492101256164273,,50.32370528
20.0,0.20649127,0.00354462,3.737e-05,106.36608332108005,0.025221685014518144,,50.26860586
21.0,0.20651983,0.0034631,3.829e-05,106.97718182911207,0.02549788706376255,,50.19144025
22.0,0.2065547,0.00344433,3.664e-05,105.24022133346304,0.02541783084637889,,50.12762006
23.0,0.20659425,0.0034342,3.403e-05,103.30158031081558,0.02535536613890751,,50.03605197
24.0,0.20663593,0.00342386,3.215e-05,102.04611569972471,0.02548829359902377,,50.00539714
25.0,0.20669601,0.00338829,3.026e-05,99.8832809543634,0.025550409978598917,,49.90695813
26.0,0.20671034,0.00335042,3.014e-05,99.36977446739941,0.025495142654432562,,49.85991882
27.0,0.20671726,0.00330564,2.943e-05,98.83013372195255,0.02532591017669111,,49.7935881
28.0,0.20672956,0.0032859,2.882e-05,99.17658887766974,0.025509466037640805,,49.75725156
29.0,0.20673484,0.00327573,3.024e-05,98.88385598417314,0.02547764812623433,,49.66409786
30.0,0.20675528,0.00326057,3.211e-05,98.04933924196492,0.02547614444797962,,49.62934691
31.0,0.20677917,0.00323862,2.843e-05,97.2976103486158,0.025497921911659366,,49.58072201
