Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20940137,0.00070285,7.32e-06,22.53536955967952,0.026654311242005537,,58.30738422
1.0,0.2093798,0.00075097,6.36e-06,23.22214787858717,0.026784798018651596,,58.23693177
2.0,0.20931267,0.00091315,9.87e-06,23.65311443083152,0.02556681306037729,,58.08138224
3.0,0.20869539,0.00119368,1.557e-05,48.96973176194072,0.025269629694782955,,58.14391869
4.0,0.20806905,0.00172496,2.483e-05,72.39941970228736,0.02524000857379448,,58.06238383
5.0,0.20739796,0.00239474,3.616e-05,95.34126423131019,0.02492052908640272,,57.96910689
6.0,0.20652273,0.00296832,5.299e-05,130.33347791086058,0.02513836853443913,,57.84165919
7.0,0.20574545,0.00349332,6.968e-05,158.33442598345363,0.024807179236019456,,57.74640325
8.0,0.20515533,0.00405385,8.741e-05,179.5762407175529,0.02484556785364273,,57.60351933
9.0,0.20464972,0.00448831,0.0001036,196.81372354328593,0.02470147352681111,,57.44546307
10.0,0.20439839,0.00484963,0.00011817,201.84353125295397,0.02438438757551362,,57.33952052
11.0,0.20409549,0.0051679,0.00012692,211.64369318596852,0.024327460498798643,,57.22487037
12.0,0.20385901,0.00544482,0.0001365,221.05490246569656,0.024514895317031514,,57.09095793
13.0,0.20362925,0.0056749,0.00014605,225.4392124780669,0.024137722215470746,,56.93448487
14.0,0.20340314,0.00588733,0.0001534,231.8765761309673,0.023995184553220257,,56.8032111
15.0,0.20314795,0.00608019,0.00015993,242.50660294812823,0.02413705150148122,,56.65069605
16.0,0.20272992,0.00624868,0.00016486,257.4751210586903,0.0239899317975571,,56.50187513
17.0,0.20252578,0.00643571,0.00017123,262.293295599965,0.023787689315454833,,56.38366277
18.0,0.20224231,0.00657926,0.0001761,273.5434316203069,0.023829682404892024,,56.20674003
19.0,0.20215321,0.00670726,0.00018135,274.1098800331595,0.023652933539870257,,56.07638979
20.0,0.20195305,0.00683542,0.00018631,282.09830946179943,0.023710559834328317,,55.88917624
21.0,0.20177515,0.00699665,0.00018897,290.2246890534498,0.02387551627800305,,55.73455025
22.0,0.20167019,0.00707124,0.00018875,291.325613025797,0.02365310410129265,,55.56132165
23.0,0.20158699,0.00713729,0.00018771,290.6852998001094,0.023363076475078827,,55.4573581
24.0,0.20142476,0.00719936,0.00018619,295.3374387553829,0.023235469010355517,,55.2841295
25.0,0.20131399,0.00730545,0.00018575,300.5418279673255,0.023351291597351442,,55.11063703
26.0,0.20115299,0.0073763,0.00018629,304.4110634203889,0.023180500733918113,,54.96023291
27.0,0.20101964,0.00746028,0.00018626,309.30148109829975,0.023185927267496263,,54.79610771
28.0,0.2008326,0.0075841,0.00018723,312.49862733745266,0.022929456295070216,,54.64385653
29.0,0.20060313,0.00774045,0.00019048,323.52706020301554,0.023142420660186864,,54.46086485
30.0,0.20047722,0.00788227,0.00019402,323.46233946151665,0.022857653171882698,,54.30491952
31.0,0.20028295,0.00799956,0.00019545,333.6989520047779,0.02308615953892131,,54.11902531
32.0,0.20010566,0.00815677,0.00019622,335.95065537594206,0.02283281373146452,,53.980891
33.0,0.19981609,0.00829372,0.00019768,352.221241129859,0.023204058864736754,,53.78589338
34.0,0.19980206,0.00836112,0.00019489,348.36227931605373,0.02294608405776996,,53.61345638
35.0,0.1997926,0.00841499,0.00019293,354.2965656298456,0.02333897059596358,,53.41595202
36.0,0.19983949,0.00842672,0.00019188,353.40055113815345,0.02341428278456303,,53.2687143
37.0,0.19996968,0.00832526,0.00019011,348.7944326044205,0.023410674039451424,,53.10999838
38.0,0.20016873,0.00820276,0.00018606,339.8948992129966,0.02329533993275296,,52.97766914
39.0,0.20024664,0.00810127,0.00018139,338.04438922954876,0.02332765933322277,,52.79375393
40.0,0.20028651,0.0080081,0.0001773,331.66020447570736,0.022942609830175542,,52.62976066
41.0,0.20033289,0.00796022,0.00017358,333.39267807082115,0.023163721913145426,,52.48384228
42.0,0.20037215,0.00790102,0.00016886,332.74775876275635,0.02319274917801642,,52.37842746
43.0,0.20043501,0.00782028,0.00016542,324.56528480290956,0.022750742611206288,,52.18184664
44.0,0.20046837,0.00780724,0.0001649,325.5498814936028,0.022907238542751444,,52.07089062
45.0,0.20046979,0.00780268,0.00016548,331.7499695556422,0.023345544281977906,,51.91520916
46.0,0.20059551,0.00778947,0.00016298,325.4626004848212,0.02325991375712683,,51.71889221
47.0,0.20072946,0.00770529,0.00016252,320.2712435567636,0.023234930283220517,,51.61347739
48.0,0.20082771,0.00763891,0.00016278,318.5124821962621,0.023364249163603797,,51.45080346
49.0,0.20086646,0.00759255,0.00015999,316.088963304682,0.02327308656507292,,51.30330188
50.0,0.20091264,0.00751637,0.0001594,316.7377117304404,0.023414909022535454,,51.18060378
51.0,0.20097784,0.00742988,0.00015657,312.49988226551454,0.023244989725478057,,51.04458041
52.0,0.20121462,0.0073697,0.00015342,302.87047015340244,0.02321831701097699,,50.91132763
53.0,0.20126426,0.00728002,0.00015204,296.6598715591613,0.02283916153103703,,50.77385299
54.0,0.20124361,0.00720896,0.00014973,295.97460536848854,0.02267458430503421,,50.64218342
55.0,0.20124605,0.00718968,0.00014739,295.26965528987347,0.022613564163264793,,50.52251979
56.0,0.20112237,0.00722451,0.00014585,297.9653759554668,0.022460056108131052,,50.34915925
57.0,0.2008149,0.0073699,0.00013827,303.69207899014145,0.022058781301898162,,50.23978643
58.0,0.20030787,0.00759317,0.00013379,321.10557034554876,0.02200302764516119,,50.08238984
59.0,0.19963678,0.00786738,0.00013065,345.46754959160097,0.02201601214605743,,49.88343422
60.0,0.19911784,0.00819058,0.00012868,364.943201498686,0.022118528207283106,,49.75651425
61.0,0.19890578,0.00844764,0.0001246,369.30482481211044,0.02199978488283591,,49.59146552
62.0,0.19885207,0.008585,0.00011973,368.38497557762327,0.021880666795332522,,49.39673176
63.0,0.19882471,0.00872567,0.00011162,364.82037439746443,0.021664629939604187,,49.28089421
64.0,0.198818,0.00882684,0.00010672,372.28915856389114,0.022135990907241106,,49.13959349
65.0,0.19885289,0.00882717,0.00010419,367.6673429088321,0.021940164936337818,,49.01109032
66.0,0.19892917,0.00878799,0.00010224,365.70936930773445,0.021981156653646004,,48.85659627
67.0,0.19898898,0.00876251,9.775e-05,367.68527819579356,0.022226091194458564,,48.73970324
68.0,0.19904146,0.00872251,9.358e-05,368.3655187769857,0.022370590479560092,,48.58375792
69.0,0.19905844,0.00865113,9.224e-05,371.6853653174927,0.022577538641152133,,48.39878724
70.0,0.19919962,0.00859858,9.442e-05,358.1378620533011,0.02206749340866858,,48.3146137
71.0,0.19932625,0.0085194,9.255e-05,360.11627762833615,0.02246019476012969,,48.17779873
72.0,0.19940935,0.00843808,9.02e-05,352.32470756487874,0.022136126242480417,,48.03042908
73.0,0.19952672,0.00830766,8.942e-05,354.5710579380406,0.022505752796078162,,47.89823177
74.0,0.19996347,0.00812834,8.936e-05,345.7344524581707,0.022985027690914095,,47.76484707
75.0,0.20038181,0.00789023,8.931e-05,325.47966576173417,0.022631133941405604,,47.65323138
76.0,0.20055157,0.00764043,8.772e-05,321.7372136768347,0.022705182910592148,,47.53567868
77.0,0.20076526,0.00745282,8.531e-05,319.4618098460066,0.02305221614476168,,47.4296042
78.0,0.20101496,0.00728588,8.352e-05,313.3794289060553,0.023258193012134335,,47.32498098
79.0,0.20130525,0.00712199,8.241e-05,297.6255263667982,0.022867049883032217,,47.23473851
80.0,0.20151325,0.00695403,7.958e-05,293.16501422661935,0.023072289829476768,,47.15056498
81.0,0.20172125,0.00678935,7.614e-05,288.28134847508454,0.023255349261168116,,47.02892235
82.0,0.20208242,0.00658812,7.643e-05,272.7752885282198,0.023071356926600017,,46.94145048
83.0,0.20221007,0.00645725,7.615e-05,266.20503462402036,0.022865099867817894,,46.89382251
84.0,0.20228991,0.00632979,7.601e-05,268.61010972496155,0.023264351258836698,,46.78972702
85.0,0.2024617,0.00616872,7.436e-05,268.4178353368542,0.023757857822380612,,46.73457885
86.0,0.2028477,0.00595436,7.145e-05,254.73215278327706,0.023837211338950753,,46.6333859
87.0,0.20332595,0.00565713,6.774e-05,238.43444494021395,0.02398896026848687,,46.61240848
88.0,0.20370279,0.00538583,6.309e-05,224.8506102217481,0.024009780228422577,,46.52836688
89.0,0.20415723,0.00509943,5.677e-05,210.1557251806637,0.024275302389068946,,46.47559351
90.0,0.20441121,0.00479391,5.137e-05,203.15688839993595,0.024428793641143868,,46.45118582
91.0,0.20478388,0.0045023,4.678e-05,189.65238893571592,0.024452647666819413,,46.41279319
92.0,0.20525958,0.00419691,4.303e-05,172.60501978554277,0.024608789118777886,,46.37123416
93.0,0.20545476,0.00390317,3.977e-05,166.58086817196434,0.024594442159439563,,46.36701229
94.0,0.20573162,0.00366715,3.644e-05,156.457970093386,0.024587283043776872,,46.31028091
95.0,0.20608273,0.00342756,3.443e-05,143.33436246014483,0.0246286403121934,,46.31028091
96.0,0.20641502,0.00324299,3.262e-05,130.46701874031507,0.02466654640286106,,46.23098891
97.0,0.20657094,0.00311663,2.954e-05,124.80262899699639,0.024682017523927322,,46.27690175
98.0,0.20679532,0.0030114,2.891e-05,116.8384252222767,0.024911413736722805,,46.27861688
99.0,0.20682868,0.00290851,2.884e-05,116.79318765541433,0.02501759534214927,,46.2613336
100.0,0.2070856,0.00275199,3.34e-05,106.50145012251784,0.02500560112733672,,46.24695286
101.0,0.20716423,0.00260758,3.918e-05,104.46656680338766,0.025067718043506923,,46.2167401
102.0,0.2073826,0.00248951,4.481e-05,96.7904678706526,0.02538741620577385,,46.18217354
103.0,0.20763128,0.0023785,4.883e-05,86.0571758135592,0.02530449286416657,,46.24339065
104.0,0.20765163,0.00226043,5.249e-05,86.95462626467193,0.02552800956203642,,46.23732172
105.0,0.20787539,0.00215364,5.849e-05,77.235354716467,0.025433426075398148,,46.2139695
106.0,0.2078699,0.00205505,6.151e-05,78.06733167204305,0.02532904971472954,,46.23771752
107.0,0.20802135,0.00194002,6.454e-05,72.2761842742268,0.025370738033704213,,46.2104073
108.0,0.20815306,0.00179376,6.611e-05,67.55576957769543,0.0253586420666133,,46.2131779
109.0,0.20845301,0.00167651,6.678e-05,54.765343614208426,0.02531878181961572,,46.19681815
110.0,0.20813262,0.00155175,6.798e-05,71.36019965341919,0.02556262247382301,,46.25091086
111.0,0.20859144,0.00143335,6.82e-05,51.15783888689439,0.02554299841757499,,46.21819137
112.0,0.20848617,0.00135491,6.949e-05,56.947750674381524,0.025616195654355984,,46.27307568
113.0,0.20861778,0.00127101,6.779e-05,51.603319610914845,0.025586231507357848,,46.21898297
114.0,0.2088981,0.00117263,6.489e-05,39.72807296865116,0.025692454038122012,,46.2218855
115.0,0.20856967,0.00110617,6.176e-05,56.186891470820534,0.025885234463128307,,46.23402338
