Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948864,0.00057906,3.9e-07,1.4225876807548938,0.026571951502134372,,117.02612495
1.0,0.20948478,0.00058457,-1.46e-06,1.6053922359335477,0.026564524340919108,,117.00563964
2.0,0.20949749,0.00059,-2e-07,0.8277631219959336,0.026720902439848492,,116.71398657
3.0,0.20951334,0.00057103,3.48e-06,0.10205309728164315,0.026376092366496757,,116.30913902
4.0,0.20947949,0.00059899,4.15e-06,1.620790435459675,0.02652167087562255,,116.03363784
5.0,0.20953134,0.000653,6.92e-06,-1.8806566350170018,0.026430666935009624,,116.01249596
6.0,0.20946943,0.00069004,7.61e-06,1.067143373508626,0.026656202554125655,,115.0244736
7.0,0.20946485,0.00068562,7.06e-06,1.3730551405335087,0.02651595216756314,,115.24692307
8.0,0.20942693,0.00069616,7.08e-06,3.3352423594287193,0.026594072146257933,,115.25178176
9.0,0.20936726,0.00075029,7.76e-06,5.964781780622672,0.026559886794204016,,115.15723416
10.0,0.20939105,0.00081261,6.21e-06,3.96150691635012,0.02646332425813468,,115.15841601
11.0,0.2093388,0.00084288,6.63e-06,6.470910665471323,0.026513036506028098,,115.21724563
12.0,0.20943242,0.00085382,4.97e-06,1.254544179129975,0.026444020345994575,,115.48998917
13.0,0.20937245,0.00087521,2.43e-06,4.334578939392798,0.026479416387937226,,115.80357202
14.0,0.20935405,0.00084721,3.88e-06,5.637341291138001,0.026502783282635976,,115.93659524
15.0,0.20938739,0.00081796,4.66e-06,4.158740288559192,0.02665205647360171,,115.94145394
16.0,0.20942012,0.00079636,5.06e-06,2.596441728496142,0.026606044892824893,,116.01065752
17.0,0.2093939,0.00074863,7.26e-06,4.507392681158709,0.026402051452263445,,116.01157673
18.0,0.20940498,0.00071139,3.97e-06,4.392878895576155,0.026413845049056556,,116.11781146
19.0,0.20941189,0.00067881,3.09e-06,4.437258210380225,0.026607664949456104,,116.28760318
20.0,0.2094064,0.0006731,4.25e-06,4.7708928803781205,0.02654526026126587,,116.21249037
21.0,0.20941402,0.00072549,5.91e-06,3.717216720697006,0.026514923557143563,,116.14066046
22.0,0.20937885,0.00074806,3.96e-06,5.413954032118242,0.02649331399857211,,116.17598449
23.0,0.20941026,0.0007278,5.7e-06,3.883701071269478,0.026402078513992316,,116.38359525
24.0,0.20937743,0.0007214,7.52e-06,5.770579631397376,0.02668333835118449,,116.11662962
25.0,0.20938983,0.00070252,8.73e-06,5.21533989068514,0.02634151763102122,,116.22023802
26.0,0.20940132,0.00068364,1.038e-05,4.761008354885158,0.026263275140671855,,116.05307262
27.0,0.2093699,0.00072128,1.443e-05,6.020069646022201,0.026529890017324923,,116.05727474
28.0,0.20942053,0.00074972,1.639e-05,2.8774124957978224,0.0264398589821911,,116.14433731
29.0,0.20939695,0.00075507,1.421e-05,4.152561059425418,0.026500555113431835,,116.04545629
30.0,0.20941311,0.000768,1.319e-05,3.142668484788426,0.02651810760344291,,115.95589871
31.0,0.20942561,0.00077055,1.784e-05,2.3591802441780247,0.026713362391240898,,115.87277561
32.0,0.20930251,0.00083453,2.054e-05,8.195787037482294,0.02621911598483096,,115.9077057
33.0,0.20931816,0.00112088,2.045e-05,4.064383626971128,0.02594645027198408,,116.00645541
34.0,0.20908414,0.00156299,2.038e-05,11.535627625041633,0.025727256039003533,,116.78502859
35.0,0.2086766,0.00205031,2.236e-05,27.32960721863453,0.02537464844062385,,116.70597629
36.0,0.20843364,0.0025357,2.281e-05,34.54175405969845,0.025242809111888788,,116.59251918
37.0,0.20799752,0.0029981,2.013e-05,52.032627188912215,0.025137448656702956,,116.50125448
38.0,0.20732048,0.00344767,2.136e-05,81.48705769307333,0.024923666580156757,,116.36560495
39.0,0.20694994,0.00383467,1.916e-05,96.35748128091295,0.024916708320178244,,116.24151123
40.0,0.20637263,0.00407713,1.884e-05,124.01489713686234,0.025057901878309953,,116.11216487
41.0,0.20608473,0.00431024,2.198e-05,135.67329664173525,0.024948328942700677,,115.97021216
42.0,0.20589362,0.00450988,2.542e-05,143.40317550732206,0.024971370923626637,,115.80081439
43.0,0.20584014,0.00464574,2.534e-05,143.4612499243672,0.02475707123880496,,115.68052883
44.0,0.20574682,0.0047453,2.275e-05,146.3977456275133,0.024622947751884415,,115.49773682
45.0,0.20567942,0.004766,2.061e-05,148.76800578997796,0.024483041411909514,,115.44074563
46.0,0.20555469,0.00479048,2.056e-05,155.29763026828584,0.024566839677098554,,115.27187312
47.0,0.2055189,0.00482208,2.217e-05,156.37642970172666,0.024509631216451142,,115.1257183
48.0,0.20546482,0.00484712,2.204e-05,158.95741078683793,0.02452895396835249,,114.96288633
49.0,0.20538858,0.00489903,2.226e-05,161.98683350318214,0.024490284517853886,,114.81279202
50.0,0.20534294,0.00498084,2.349e-05,163.64057732291104,0.024525349381642466,,114.70668861
51.0,0.20525866,0.00504984,2.626e-05,166.23360324733255,0.02439710760082287,,114.58863544
52.0,0.20520549,0.00516739,2.693e-05,168.92412860867552,0.02458024655379773,,114.44589483
53.0,0.20507893,0.00524073,2.793e-05,174.46398012037378,0.024573841794375995,,114.32915482
54.0,0.2049361,0.00526127,2.677e-05,180.72463048505392,0.024475966809109042,,114.15135281
55.0,0.2049298,0.00526508,2.503e-05,180.3829005020407,0.024388424023741355,,114.03277437
56.0,0.20493031,0.00525301,2.424e-05,180.7093694728897,0.02441739784701947,,113.91761015
57.0,0.20495389,0.00516006,2.251e-05,182.41034538097705,0.024673377814102622,,113.77618271
58.0,0.20497676,0.00500746,2.087e-05,181.89488389120285,0.024541712088412607,,113.69818094
59.0,0.20512142,0.00480409,1.919e-05,179.87462513310004,0.02497266694974589,,113.55399586
60.0,0.20531315,0.00460077,1.984e-05,172.85249022122605,0.02506495326900371,,113.49700467
61.0,0.20550488,0.00433273,2.318e-05,164.78454591869516,0.0249111609081085,,113.40547735
62.0,0.20571866,0.00410372,2.371e-05,155.9840541950523,0.02486209239076987,,113.34914274
63.0,0.20597982,0.00389018,2.475e-05,145.14546135024182,0.02490011065856554,,113.28348469
64.0,0.20623224,0.00370391,2.525e-05,134.32253986764687,0.02491704360549968,,113.17475496
65.0,0.20626182,0.00352903,2.462e-05,135.0899129478562,0.024994462768142545,,113.12524879
66.0,0.20644318,0.00336278,2.22e-05,128.87647501792173,0.025242544043908074,,113.02649908
67.0,0.2064627,0.00323802,1.865e-05,129.98234580954457,0.02538231963884886,,112.97804344
68.0,0.20645436,0.00311208,1.796e-05,131.19564008880442,0.02526893662250048,,112.91711276
69.0,0.20688488,0.00295179,1.945e-05,110.68809427353224,0.025289921578339758,,112.91238539
70.0,0.20696732,0.00285118,2.284e-05,106.70284834090886,0.02511761190670686,,112.81442357
71.0,0.20708667,0.00278193,2.438e-05,101.1186203115997,0.025080799763083764,,112.77135189
72.0,0.2071495,0.00271856,2.391e-05,99.49715230187401,0.02531644168084862,,112.71882545
73.0,0.2072727,0.00262739,2.479e-05,94.0906090046887,0.02532337932166352,,112.64844002
74.0,0.20729802,0.00254048,2.56e-05,93.1427437994788,0.025173066663821988,,112.62362128
75.0,0.20741625,0.00245004,2.533e-05,88.14287214906786,0.025211116596056307,,112.5911862
76.0,0.20743892,0.00239538,2.287e-05,88.03692841853216,0.02533638727185317,,112.50359836
77.0,0.20746382,0.00236819,1.845e-05,87.02486478020451,0.025310164631956657,,112.5022852
78.0,0.20756792,0.00234854,1.706e-05,82.46919498497864,0.0255010250891958,,112.41128314
79.0,0.20760472,0.00229367,1.671e-05,81.0767569517213,0.02547922913450082,,112.37477726
80.0,0.20768117,0.00220384,1.694e-05,78.39079140538567,0.025590444393985563,,112.32001845
81.0,0.20772407,0.00211664,1.566e-05,77.38772736483082,0.025681597288653456,,112.30531105
82.0,0.2077384,0.00207953,1.6e-05,76.95835208846714,0.025656665389997346,,112.32317004
83.0,0.20774928,0.00210064,1.659e-05,76.17462464332826,0.02566745119717077,,112.27970441
84.0,0.20781749,0.00209241,2.245e-05,72.34605720937411,0.025591225366636838,,112.20761187
85.0,0.20782643,0.00212418,2.945e-05,71.29051887729673,0.025551576827284556,,112.14024671
86.0,0.20780844,0.00211065,3.001e-05,72.3108420439245,0.025529660026783082,,112.14484277
87.0,0.20786872,0.00205185,3.417e-05,70.05178570350576,0.025652715155634522,,112.10912479
88.0,0.20789109,0.00203261,3.948e-05,68.12167064742104,0.025330840677980186,,112.07183102
89.0,0.20791295,0.00206608,4.284e-05,66.73844652002052,0.025398668585015487,,112.05121439
90.0,0.20793053,0.00207284,4.278e-05,66.03848000268351,0.025510823530804538,,112.00669823
91.0,0.20795717,0.00204667,4.393e-05,64.82518261403692,0.025478820324417267,,111.98306133
92.0,0.20795534,0.00200274,4.822e-05,65.03951356799242,0.025368214876304584,,111.95469705
93.0,0.20796876,0.00197519,5.403e-05,64.56645156072496,0.02538071193422737,,111.9395957
94.0,0.20798309,0.00197244,5.947e-05,63.85991510948484,0.025424132567049167,,111.91162537
95.0,0.20800068,0.00199594,5.85e-05,63.2580173706783,0.025649599062554766,,111.86028078
96.0,0.20801653,0.00199808,6.004e-05,61.654219646040055,0.025354985739417763,,111.80919881
97.0,0.20806025,0.00197321,6.42e-05,59.9366794959726,0.025510903805305685,,111.79974405
98.0,0.20805018,0.00196984,6.801e-05,60.775759929842415,0.02565563490807877,,111.73605574
99.0,0.20804856,0.00199492,7.059e-05,59.94013765630565,0.025402078056326733,,111.75050052
100.0,0.20801592,0.0019871,7.146e-05,62.035464750145266,0.025534175214613233,,111.69101432
101.0,0.20800535,0.00199938,6.966e-05,62.570283341963794,0.025567558586481617,,111.68904458
102.0,0.20806543,0.00203451,6.849e-05,59.233616516499964,0.025648100539925486,,111.61721467
103.0,0.20807143,0.00204176,7.024e-05,59.17218372597252,0.025808013399201933,,111.58714329
104.0,0.20802924,0.00203881,7.334e-05,61.55446375893679,0.025878241273082827,,111.57690063
105.0,0.20809583,0.0020132,7.294e-05,58.22053905934582,0.02584211793409281,,111.53041473
106.0,0.20808038,0.00200988,7.023e-05,58.90942684763802,0.02574650580832208,,111.51294969
107.0,0.20807478,0.00201729,6.753e-05,59.17666438602597,0.025747911510222064,,111.46646379
108.0,0.20808343,0.00203727,6.93e-05,58.26876796977692,0.025661215034379528,,111.43521056
109.0,0.20806543,0.0020303,7.169e-05,59.35728513585044,0.02570680776376454,,111.38347201
110.0,0.20812063,0.00205331,6.884e-05,56.358294988654016,0.025762398550869276,,111.3474914
111.0,0.20811392,0.00206097,6.94e-05,56.204140615388496,0.025573629541192768,,111.35143088
112.0,0.20810762,0.00207134,6.926e-05,56.926518384689395,0.025801238943828037,,111.27290385
113.0,0.20808759,0.00202276,7.137e-05,58.222802961147764,0.02568396222757111,,111.27290385
114.0,0.20815306,0.00201016,7.247e-05,55.191700511665516,0.025828615368674618,,111.24033746
115.0,0.20812084,0.00199039,7.324e-05,56.81718294181023,0.025696798588177684,,111.20921555
116.0,0.2081128,0.00196972,7.265e-05,57.279997776679686,0.025607052934454595,,111.19345761
117.0,0.20814025,0.0019651,7.124e-05,56.252768285395256,0.025763806191162336,,111.11125373
118.0,0.20813497,0.00199938,7.19e-05,55.96307090013663,0.025681876418161068,,111.13712301
119.0,0.20811901,0.00200335,7.237e-05,56.740806750470746,0.02567594286800581,,111.13095115
120.0,0.20813751,0.00196182,7.227e-05,56.22964116607363,0.02567896762277037,,111.02891854
121.0,0.20813598,0.00197231,7.059e-05,56.103045690367416,0.02562304758841542,,111.0383733
122.0,0.20819108,0.00197086,6.862e-05,53.95519948018068,0.025962209630445814,,110.95236125
123.0,0.20818203,0.00195862,6.831e-05,54.332230467568905,0.02584402168226327,,110.95879574
124.0,0.20818539,0.00197361,6.894e-05,53.88731170670824,0.025801674718714418,,110.94986625
125.0,0.20819444,0.00199302,6.465e-05,53.455560890126485,0.025891335362709902,,110.94080544
126.0,0.20818498,0.0020008,6.282e-05,53.91713886206545,0.025896369345199233,,110.91060273
127.0,0.20818325,0.0019871,6.283e-05,54.23817745055705,0.025933073980710927,,110.84980338
128.0,0.20818,0.00194197,5.822e-05,54.7389176152608,0.025810593104823993,,110.85531865
129.0,0.20818031,0.00188864,5.616e-05,54.73901905486976,0.025525299853510302,,110.79136771
130.0,0.20820602,0.00186733,5.519e-05,53.733356011190715,0.025569704688631973,,110.79254956
131.0,0.20819545,0.00183848,5.576e-05,54.53480932191526,0.025541271964175834,,110.73844732
132.0,0.20823164,0.0018249,5.843e-05,52.963739687017586,0.025652604933603787,,110.72150755
133.0,0.20823957,0.00185165,5.866e-05,51.99810142708098,0.025530632367352202,,110.73371994
134.0,0.20821568,0.00184152,5.708e-05,53.77194019363771,0.02571208353843336,,110.65335449
135.0,0.20827098,0.00183386,5.596e-05,51.0545675957061,0.02576400122199942,,110.64862711
136.0,0.20828552,0.00183329,5.493e-05,50.32601723215803,0.025772753291766502,,110.63037417
137.0,0.20827597,0.00179893,5.765e-05,51.341204788836166,0.02586256774921313,,110.62827311
138.0,0.20826356,0.00179229,6.094e-05,52.05402397664949,0.025882032412665134,,110.58703986
139.0,0.20827159,0.0018121,6.381e-05,51.21671321305592,0.02581303388944009,,110.56090795
140.0,0.20830941,0.00177049,6.243e-05,50.1936401925045,0.0260722937644575,,110.52006865
141.0,0.20834296,0.00172762,5.876e-05,48.683418573245625,0.02593470843402551,,110.48592646
142.0,0.20834672,0.00172713,5.7e-05,48.51443874143513,0.02593140637317946,,110.45532981
143.0,0.2083456,0.00171878,5.62e-05,48.380882766760415,0.025771053244470533,,110.46347141
144.0,0.20832476,0.00171141,5.305e-05,49.6238792008102,0.025770417979204256,,110.46031982
145.0,0.20835912,0.00171307,5.042e-05,47.59327951400094,0.025641978178025115,,110.40858128
146.0,0.20831948,0.00170853,5.321e-05,49.61537491032412,0.0256066090690164,,110.36971171
147.0,0.20833432,0.00174196,5.362e-05,48.58664531856656,0.025674340164100962,,110.36918645
148.0,0.20830524,0.00175716,5.256e-05,49.83849612060353,0.025604433574754656,,110.3255895
149.0,0.20830595,0.00179922,5.123e-05,49.064980423516324,0.025449940584026033,,110.31232658
150.0,0.20828735,0.00181692,5.16e-05,49.68729278200705,0.02537254118565813,,110.26413357
151.0,0.20829884,0.00185181,5.599e-05,49.02559939049928,0.025579874175515334,,110.21528398
152.0,0.20826763,0.00189922,6.034e-05,50.20013409406579,0.025647057337624863,,110.20596053
153.0,0.20826621,0.00189877,6.167e-05,50.63614893073268,0.025841148915697013,,110.22040531
154.0,0.20824567,0.00186307,5.94e-05,52.3250732548921,0.02591996054517143,,110.15540384
155.0,0.20827302,0.00189067,5.832e-05,50.1446005423487,0.025697275083392347,,110.12388797
