Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20941678,0.00072139,2.2e-07,-4.641693985351828,0.02661211767539931,,-6.1464894
1.0,0.20942735,0.00070615,7.9e-07,-5.0250204014813775,0.026441485797812397,,-5.83333053
2.0,0.20944586,0.00072541,1.2e-07,-6.308108375882968,0.02672017575179429,,-5.6844078
3.0,0.20944454,0.0007398,4e-07,-6.39448540000764,0.02666820385093528,,-5.88654457
4.0,0.20945725,0.00073273,5.3e-07,-7.0144771146826415,0.02666713050342605,,-5.94550113
5.0,0.20944627,0.00072212,1.06e-06,-6.329941462004204,0.026802063704861715,,-6.04408109
6.0,0.20943935,0.00073663,3.3e-07,-6.051425376363165,0.026582055841820582,,-5.97995626
7.0,0.20939359,0.00073894,3e-08,-3.570701618472916,0.02664029056541633,,-5.42274021
8.0,0.20944525,0.00075646,4e-07,-6.5990742833240725,0.02656107824157624,,-5.84596408
9.0,0.20939674,0.00072407,1.2e-07,-3.573203254492817,0.02663226838505107,,-5.8296936
10.0,0.2094663,0.00068514,2e-08,-6.945959417183771,0.026636804906753308,,-4.34199757
11.0,0.20948308,0.00066475,2.4e-07,-7.70372545650067,0.026868036409783178,,-3.76487411
12.0,0.20943874,0.00066422,4.9e-07,-5.1711088120372315,0.026491632336471393,,-3.66399714
13.0,0.20945298,0.00068604,3.9e-07,-6.276085443288948,0.026828022078922962,,-4.16493647
14.0,0.20954644,0.00069628,2.2e-07,-11.390670512566054,0.02642253579933304,,-4.46086777
15.0,0.2094243,0.00070184,5.9e-07,-4.840777737416148,0.026634968746188648,,-5.15820136
16.0,0.20919527,0.00072143,7e-07,7.274799645439651,0.025798515850960376,,-5.99335548
17.0,0.20846954,0.00100925,1.4e-07,42.18772878987512,0.025526361024686195,,-6.27990733
18.0,0.20808206,0.00161803,1.6e-07,55.66835654235522,0.025438251628584027,,-6.41102825
19.0,0.20736844,0.00230658,3.9e-07,84.45336308684269,0.025136564468474027,,-6.51898766
