Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20952707,0.00063102,6.76e-06,-0.5375760605666069,0.026347553609613758,,47.3022811
1.0,0.20952483,0.00060759,4.41e-06,-0.10530051355995958,0.026484573323685003,,47.34777728
2.0,0.20953286,0.00060991,4.56e-06,-0.5621404424767105,0.025966711390567294,,47.38724227
3.0,0.20953611,0.00062325,6.11e-06,-0.9269745596956419,0.026314984392670753,,47.32483252
4.0,0.20955137,0.00064866,3.45e-06,-1.9964937871904007,0.026339576839368543,,47.34253276
5.0,0.20950338,0.00063956,1.72e-06,0.7431635386810339,0.02620609578617376,,47.33243707
6.0,0.20953642,0.00064541,4.1e-07,-1.0928820492559463,0.026406990069437065,,47.28353195
7.0,0.20950937,0.00065062,2.51e-06,0.2814214373847253,0.026403177316317278,,47.16880815
8.0,0.20954028,0.00063342,3.53e-06,-1.229758643605813,0.026510942363867532,,49.49737354
9.0,0.20952595,0.00061349,3.16e-06,-0.20945166362507392,0.02635853812521009,,52.03480181
10.0,0.20948446,0.00062028,5.44e-06,1.9103740867627979,0.026147128709362793,,51.80220749
11.0,0.20952107,0.00063565,6.84e-06,-0.2635123173885156,0.02612461111207827,,50.8258096
12.0,0.20951303,0.00068286,7.52e-06,-0.3776862988109319,0.026221270321287665,,49.91470595
13.0,0.20939713,0.00086669,1.113e-05,3.6636126075654216,0.025691726215915013,,49.40808564
14.0,0.20893908,0.00133679,1.73e-05,22.009196211520855,0.02502242254977006,,46.59191132
15.0,0.20829976,0.00216109,2.13e-05,45.95274863155056,0.024991588176788315,,44.35932059
16.0,0.20753232,0.00300268,2.221e-05,76.4542550904026,0.025017622349607856,,46.73325104
17.0,0.20675625,0.003575,2.46e-05,109.77874540664119,0.024927106635315475,,47.13917663
18.0,0.20660018,0.00388118,2.878e-05,116.38093194242447,0.025350113579015718,,46.81821221
19.0,0.20661075,0.00396515,3.006e-05,115.60812028318227,0.025505877885427703,,46.38986631
20.0,0.20662295,0.00385321,3.375e-05,117.7848997642901,0.02587190384928692,,45.77835568
21.0,0.20679478,0.00357317,4.017e-05,111.8649265733706,0.025926405926923274,,45.66913862
22.0,0.20696529,0.00323795,4.367e-05,105.35526638448945,0.025664359146678847,,45.79054918
23.0,0.20718622,0.00297405,4.456e-05,96.09811652170434,0.025534199500061472,,45.91890872
24.0,0.20737198,0.00278379,4.508e-05,88.57947118803358,0.0255795744664361,,45.99560978
25.0,0.20745719,0.00267632,4.591e-05,86.07341158413718,0.025823046350438337,,46.00937663
26.0,0.20748047,0.00266713,4.939e-05,84.57113921232944,0.02573019952544758,,46.07585088
27.0,0.20748321,0.00269523,5.187e-05,84.38001870060641,0.025824435418723916,,46.11321806
28.0,0.20744671,0.00279196,5.349e-05,84.2818825200537,0.025540389285991897,,46.11951148
29.0,0.20737636,0.00292835,5.392e-05,86.38997205692877,0.025514737833322396,,46.08791327
30.0,0.20718622,0.00312462,5.549e-05,92.98060002276956,0.025187628455539415,,46.0485794
31.0,0.20695898,0.00334253,6.07e-05,102.91730319160438,0.025339943870361308,,45.99534755
32.0,0.20673337,0.0035743,6.863e-05,111.2568859466178,0.02517034128647337,,45.955227
