Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.16871502,0.00080073,1.339e-05,3970.4036581614623,0.025698084156173074,-0.009737667759713206,78.83344629
1.0,0.17381669,0.00070298,3.58e-06,3654.3874627478212,0.02681870701097507,-0.009725317024628803,78.96377982
2.0,0.18048753,0.00068857,5.13e-06,2874.131895377017,0.025702767691238734,0.013104782890981227,79.14183843
3.0,0.18196335,0.00072335,4.96e-06,2914.940316078054,0.027419226076167594,0.04283616914572905,78.99080486
4.0,0.19807568,0.00073688,7.6e-07,1214.6038894333785,0.02734371444750065,0.020971991454518318,79.02223824
5.0,0.20141145,0.00071953,3.9e-06,841.2241589770621,0.02700525784694361,0.010603488180243788,79.14854677
6.0,0.19682263,0.00074731,6.02e-06,1292.6630003895368,0.02619351505041268,-0.008395422926697193,79.47725561
7.0,0.18655095,0.00066989,6.07e-06,2322.4267415395802,0.02606647261274902,0.002628856888857132,79.28539698
8.0,0.1698606,0.00069618,4.26e-06,4042.6249663744543,0.02686263835687093,-0.0030384192666418784,79.2579886
9.0,0.18448704,0.00064766,6.9e-06,2451.1020849788188,0.025293525717845707,-0.008870086019382117,79.05328829
10.0,0.19392548,0.00064786,5.8e-06,1567.649859576353,0.025794981243120622,0.00027046815250424995,78.99789654
11.0,0.20934825,0.00069634,4.6e-06,-29.129985334122875,0.026426959871246183,0.0038300211731162495,79.24265525
12.0,0.20804019,0.00070213,1.72e-06,115.22968821302959,0.026909077827027644,0.008811360903504583,79.12593007
13.0,0.2095391,0.00072673,4.7e-07,-51.40951677462886,0.02690629538285042,0.012557961748156762,79.51405566
14.0,0.20948755,0.00073495,2.3e-06,-46.49852900390048,0.027231774183479072,0.006611978137459454,79.09449669
15.0,0.20944301,0.00065861,1.56e-06,-38.45312984655281,0.026401578229476884,0.006358551886054178,79.29038032
16.0,0.20948114,0.00065821,3.26e-06,-43.14243984688288,0.02669738360580835,-0.005227664768476836,79.37643878
17.0,0.20946284,0.00065406,-1.41e-06,-40.72041829346071,0.02661174531805409,0.0007796529035540619,79.73293931
18.0,0.20947921,0.00062946,8e-07,-42.78689189073467,0.02708684857741392,-0.006117536516641069,78.99962154
19.0,0.20947748,0.00064923,3.29e-06,-40.966625747574355,0.025714418243584048,-0.002697747562129328,79.1245884
20.0,0.20948541,0.00068812,1.45e-06,-44.84119022148903,0.027062993586430585,-0.0017571950631566872,79.09603002
21.0,0.20949924,0.00070898,5.8e-06,-47.270756175077224,0.027193715917249332,-0.005374327091247072,79.07590499
22.0,0.20948134,0.00072077,4.78e-06,-44.86197995385384,0.02681324216306116,-0.0035194171376764162,79.17902182
23.0,0.20952689,0.00069686,3.74e-06,-48.77230706562154,0.026520308866760735,-0.0051699849189708455,79.05597163
24.0,0.20948216,0.00070395,6.64e-06,-44.26848389464302,0.026593951083045065,-0.006763094429995252,79.13072174
25.0,0.20947595,0.0007306,9.24e-06,-44.192245028044795,0.026530045229270487,0.0007528292766749067,79.03431326
26.0,0.20951846,0.00075109,1.108e-05,-49.812531619728105,0.02675679720440997,-0.005571523390425182,79.1257384
27.0,0.20949385,0.00073869,8.09e-06,-46.97503183767406,0.02691934376325264,-0.006858576674014033,79.05539663
28.0,0.20953533,0.0007087,6.03e-06,-50.596348388148016,0.02680691816293252,-0.005686413867873085,79.07322166
29.0,0.20949324,0.00067818,5.82e-06,-45.25377054256272,0.026826857244756086,-0.007144863556927248,79.1013967
30.0,0.20944423,0.00070032,4.54e-06,-40.49237489642846,0.02696164855244446,-0.009646597142587799,79.12535507
31.0,0.20948673,0.00073692,-2.5e-07,-45.88728824127749,0.02695778883334928,-0.006521735076126201,79.25300527
32.0,0.20949243,0.00070507,2.25e-06,-45.35871681703677,0.026654584805662157,-0.006434052059123062,79.03335493
33.0,0.20947443,0.00067617,5.53e-06,-41.962418312278736,0.026111335104100627,-0.0074445529705975694,79.1878385
34.0,0.20952018,0.00063422,8.4e-06,-47.70553111984433,0.027047700185665595,-0.006926748542256369,79.11366338
35.0,0.20946264,0.00061956,7.86e-06,-39.42877736944862,0.026064985278291077,-0.007066040007116133,79.08088833
36.0,0.20954428,0.00065108,6.08e-06,-50.646724943727335,0.027017757228868396,-0.0063101570886078245,79.0404466
37.0,0.2094845,0.00065962,1.025e-05,-44.58901701169687,0.02717107073103229,-0.006317613217282179,78.93675478
38.0,0.20949283,0.00067121,1.101e-05,-45.73715485352711,0.027118576548200754,-0.007789789595455163,79.24054691
39.0,0.20951866,0.0006591,1.126e-05,-46.617838193340106,0.026144245258009284,-0.009386211456888671,79.17633848
40.0,0.20947321,0.0006382,8.28e-06,-42.640260033282615,0.027106211717424295,-0.009372596026602667,79.05290496
41.0,0.20952354,0.00058486,3.05e-06,-46.47414879861903,0.02690622666455187,-0.006748117473271468,79.14452176
42.0,0.20954428,0.0005357,3.16e-06,-48.0481994087342,0.02713817229835091,-0.0050698511441729785,79.06095497
43.0,0.2095213,0.00055506,1.52e-06,-45.08708502172923,0.026678182056138585,-0.006890011953094974,78.99789654
44.0,0.20951154,0.00058377,3.32e-06,-43.85247293059085,0.026146922746090696,-0.008429896732181502,79.06632164
45.0,0.2095332,0.00060132,4.56e-06,-47.86824735970917,0.026838629911664892,-0.006294290456317474,79.1019717
46.0,0.20954459,0.00061107,6.39e-06,-48.91638868068332,0.0265612085224068,-0.005675165805337897,78.87963802
47.0,0.20953696,0.0006783,4.27e-06,-49.976770438866765,0.02679247200251159,-0.0066808017761387645,78.89420471
48.0,0.20950575,0.00062274,4.3e-06,-45.214275753526266,0.026779683413676134,-0.005229634497989003,78.9528548
49.0,0.20951042,0.00056843,6.16e-06,-44.06460966459458,0.026492186865815726,-0.006654400973606872,78.84245463
50.0,0.20953981,0.00061425,8e-08,-48.417023012756715,0.026666404208247646,-0.009040011484084192,78.86967134
51.0,0.20952283,0.00062165,-2.31e-06,-46.84541053829905,0.026791262538729675,-0.006418706023525868,78.97566317
52.0,0.2094846,0.00063099,-5.12e-06,-43.347605715986724,0.027181414423390525,-0.0021647103746335883,79.05079662
53.0,0.20951978,0.00059782,-4.94e-06,-45.64197208447757,0.026666938271059544,-0.005097563893129249,79.03124659
54.0,0.20949934,0.00060104,1.77e-06,-43.83226258582074,0.026734821781768312,-0.007897873946519056,79.13896342
55.0,0.20954713,0.0006041,3.85e-06,-49.854640089588976,0.027058487055196687,-0.008752766580885958,79.08989668
56.0,0.20953177,0.0005789,2.86e-06,-45.257076571844635,0.025775513288348918,-0.005546541736470285,79.14950511
57.0,0.20953828,0.00057548,7.3e-06,-48.132115817954094,0.026948565006653158,0.0005104641933026411,79.09430502
58.0,0.20954916,0.00059488,7.22e-06,-49.197721245760704,0.026626666288605428,-0.008641521595648996,79.3415554
59.0,0.20953025,0.00063321,4.3e-06,-47.657205219875294,0.026496606004001732,-0.008398946629286653,79.06478831
60.0,0.20958739,0.00063252,7.09e-06,-53.916443373847414,0.026455619330414182,-0.008812952627347862,78.84820464
61.0,0.20953594,0.00067967,5.29e-06,-48.8445372114208,0.026207548376490974,-0.014299992215489141,78.95400481
62.0,0.20953523,0.00067045,8.05e-06,-49.29083041640849,0.026546392408443146,-0.006539916703041444,78.90397973
63.0,0.20971571,0.00069565,6.05e-06,-69.00929764445077,0.02632505923951335,-0.005537685985829869,79.19684685
64.0,0.20952415,0.00064066,1.283e-05,-48.41925572968475,0.027018952817744874,-0.006884021575094325,78.85587132
65.0,0.20954174,0.00063744,7.34e-06,-49.266622377076345,0.026572176341912734,-0.008197863301359467,78.93656311
66.0,0.20950951,0.00064062,1.146e-05,-45.03632668716907,0.026038563345254364,-0.008104283276709456,78.92142142
67.0,0.20957072,0.00061743,1.078e-05,-51.16467558517135,0.02608661604508402,-0.006672328877683467,79.13014674
68.0,0.20955902,0.00064267,9.92e-06,-52.17702031058473,0.02698372941849671,-0.0062641149522383805,79.05232995
69.0,0.20954906,0.00066868,6.85e-06,-51.62149612121302,0.027017693205052554,-0.009399701763005051,79.15851345
70.0,0.20954672,0.00068309,1.86e-06,-50.39062847412598,0.02643306787676474,-0.006234548994589926,78.92582976
71.0,0.20956858,0.00068301,1.57e-06,-53.71583676679141,0.026909631293082163,-0.00477038025995306,79.20719686
72.0,0.20952822,0.00066292,-1.06e-06,-48.38918312318948,0.026759374398425757,-0.004587510751388185,78.91279641
73.0,0.20954581,0.00065479,-3.42e-06,-49.803987661794814,0.026625392794284213,-0.005877834420175669,79.10293004
74.0,0.20954032,0.00066356,-4.36e-06,-49.961020623452264,0.026945888935140206,-0.008329953582157655,78.80872125
75.0,0.20950869,0.00066687,-5e-06,-46.30984851685344,0.026839243615292947,-0.00782488793523567,79.04926328
76.0,0.20954001,0.00066989,-3.59e-06,-49.9539312630755,0.026865267127906906,-0.006245540235020697,78.68011271
77.0,0.2095514,0.00064951,2.51e-06,-50.12431584675249,0.02641565781284113,-0.005133221448544366,79.01303823
78.0,0.20952842,0.00065471,8.35e-06,-48.78703742054267,0.026873188086672693,-0.00738342633730457,79.02779658
79.0,0.20960417,0.00062508,8.85e-06,-56.42623850859902,0.026826508311582994,-0.003631567542400067,78.84513797
80.0,0.20955455,0.00061952,9.23e-06,-50.596807570048256,0.02671211834776348,-0.0008975189645283806,78.92985477
81.0,0.20954906,0.00065129,1.002e-05,-51.085730859291786,0.026885543014756545,-0.0024194169381834447,78.91528808
82.0,0.20953727,0.00063168,9.68e-06,-49.26661797290636,0.026863528117218653,-0.0033907309307897532,79.01227156
83.0,0.20949212,0.00064094,5.35e-06,-43.32362722900406,0.026267069658397986,-0.002212145017892058,78.86775467
84.0,0.20951093,0.00065583,2.09e-06,-46.333919873168675,0.026701392865350965,-0.0014830741522127923,78.72342945
85.0,0.20948948,0.00066638,7e-07,-43.973345795940276,0.02658868947569959,-0.004758684378471081,78.95189647
86.0,0.20955475,0.00062777,-2.4e-07,-50.31158363708659,0.026639529255239568,-0.0030604649284557686,78.80277957
87.0,0.20953035,0.00059347,-2.38e-06,-46.57183158462516,0.026535299961276796,-0.0037060704649223147,79.21371352
88.0,0.20950341,0.00061328,6.3e-07,-43.501732523970595,0.026122576946383,-0.0027232124534379886,79.15238011
89.0,0.20950442,0.00064859,2.56e-06,-46.118094896606166,0.02708396177494325,-0.0006565998554598624,78.94633812
90.0,0.20949171,0.00068953,2.82e-06,-45.65384588120348,0.027076437022915595,-0.008421589432618878,78.79664623
91.0,0.20950778,0.00063236,-6.8e-07,-45.21815038944106,0.02663049236941519,-0.00031658475636169855,78.95419647
92.0,0.20952649,0.00060193,-3.74e-06,-47.038057215591216,0.026963108089508882,-0.0037036330490410555,78.74489615
93.0,0.20948826,0.00055728,-9.6e-07,-41.584914770073155,0.026794264936930295,0.0013430021945096656,78.93886311
94.0,0.2095149,0.00053429,1.26e-06,-43.876211861185766,0.026668197186184812,-0.0018567988819276431,78.88366303
95.0,0.2095209,0.00055772,5.22e-06,-45.443595539779764,0.02679511452565509,0.00041147135980570975,78.86008799
96.0,0.20950442,0.00061167,8.51e-06,-44.59499046601098,0.026555506756859453,-0.0018598025437373002,78.93982145
97.0,0.20945481,0.0006632,1.13e-05,-40.26308230469182,0.02643575004255369,-0.004187746899424845,78.84187963
98.0,0.20943752,0.00072875,1.493e-05,-40.21021023948476,0.02656644545633017,-0.006766317101213766,78.78361288
99.0,0.2093212,0.00081422,1.773e-05,-29.610883905466114,0.026645611746149184,-0.005766762327744259,78.76348784
100.0,0.20913554,0.00096644,1.6e-05,-12.595160742620628,0.026562589337121655,-0.0016381960253104805,78.74278781
101.0,0.20885726,0.00120788,1.551e-05,12.218673910428297,0.026220382704760143,0.016405037042883226,78.79472956
102.0,0.20852122,0.00143784,2.156e-05,42.79862634434107,0.026027123599352987,0.041237723414086824,78.71787111
103.0,0.20831268,0.00177454,3.231e-05,56.844190459970655,0.025854152210390464,0.07068389946600415,78.70292108
104.0,0.20792438,0.00209919,4.299e-05,90.20045832769911,0.025745455696443247,0.10029790389841271,78.4788624
105.0,0.20743349,0.00241326,5.649e-05,134.44712619979623,0.02568442418279008,0.13952666403270372,78.55188752
106.0,0.2069607,0.00274995,7.012e-05,175.7345146455197,0.025579243725234284,0.1769967595113439,78.35887888
107.0,0.20642335,0.00312497,8.527e-05,219.4884842332064,0.02512885619557102,0.20904899437957053,78.39606228
108.0,0.20628253,0.00348993,9.605e-05,227.54154114040705,0.025319311854255816,0.23129689670872344,78.59692925
109.0,0.20593998,0.00377175,0.00010351,255.3268333026703,0.02517637598394547,0.2573690014727286,80.91571616
110.0,0.2056378,0.00401483,0.00011795,280.81927948817986,0.025178242805926294,0.29204673190846747,78.17142859
111.0,0.20517416,0.00426771,0.00013309,321.57170004391173,0.02509183492522559,0.32167295911602983,77.91766153
112.0,0.20465684,0.00455327,0.00014495,369.08501245773493,0.02515399148626912,0.3531148655306676,77.79518634
113.0,0.2042058,0.0047972,0.00015299,404.5481887525794,0.024821927173466384,0.37338620278875373,77.71257788
114.0,0.20387037,0.00502918,0.00015985,437.00901032213267,0.02502632653058906,0.37636172689897546,77.7415196
115.0,0.20344161,0.00524244,0.00016781,469.94863884135066,0.024709138226183466,0.3759098998552028,77.61195273
116.0,0.20313922,0.00541137,0.00017606,493.8898932666744,0.02457468539376924,0.3815738007145502,77.36566068
117.0,0.20296638,0.00560341,0.00018874,507.42618731029535,0.02460461628547486,0.3974974110921359,77.30969392
118.0,0.20278621,0.00576094,0.00019873,518.687906573491,0.0244537086463831,0.3886493051914265,77.36796068
119.0,0.20260095,0.00591784,0.00020556,527.6672534359438,0.024178005438249137,0.37732932305325956,76.99708511
120.0,0.20239618,0.00601229,0.00021022,546.6241435799287,0.02421771708166494,0.38980364706788656,77.06761855
121.0,0.20232735,0.00611873,0.00021209,551.3481144659238,0.024224341285719608,0.3881305098379292,77.01740181
122.0,0.20218541,0.00620255,0.00021142,559.9138620901061,0.024063818473725733,0.3848042432740863,76.76382641
123.0,0.20206136,0.00630059,0.00021139,572.8930422493214,0.02418259002626999,0.39788140682687706,76.74964306
124.0,0.20186198,0.00643357,0.00021209,586.1533175199786,0.024034166566476133,0.4091358079836663,76.61432618
125.0,0.20172339,0.00655793,0.00021412,597.3560216740143,0.02404334594306912,0.42877097885470716,76.61260118
126.0,0.20161755,0.00666631,0.00021968,598.3370459452411,0.023765164849895607,0.4280089459731913,76.30650903
127.0,0.20150794,0.00675621,0.00022646,611.2289744975941,0.023934167284883796,0.4164258468863507,76.24498394
128.0,0.20140677,0.00683443,0.00023339,612.1419633368038,0.02365863187152069,0.4050146023152441,75.99639189
129.0,0.20120495,0.00696576,0.00023761,627.1021088803284,0.0235951326579379,0.41797268873491406,75.88618338
130.0,0.20100211,0.00708271,0.00023737,648.7413882507319,0.02376076295168952,0.43130458536396943,75.56629122
131.0,0.20096306,0.00718683,0.00024226,651.0368414052299,0.023787366300844118,0.44027835609420707,75.56456621
132.0,0.2008927,0.00725958,0.00024615,654.6743573739076,0.023729743634485812,0.44190651349656723,75.46259939
133.0,0.20077272,0.00728353,0.000251,661.0323820937294,0.023568024205455396,0.4521857296854552,75.26824909
134.0,0.20069901,0.00731755,0.00025631,666.9172071594256,0.023556982979938648,0.45540840107127883,75.40414096
135.0,0.20045133,0.00738329,0.00025878,690.7562834582193,0.02361169112424292,0.4516805641454216,75.15267391
136.0,0.20025123,0.00748584,0.00025967,705.7713100198293,0.023542792862311826,0.4641624936723173,74.81284838
137.0,0.20007818,0.00761539,0.0002628,721.2002660612364,0.023594036744830228,0.49040431012155955,74.78659
138.0,0.19994112,0.00769885,0.00026834,732.7345126415389,0.023602577147254965,0.5160289123961916,74.6374731
139.0,0.19989099,0.0077443,0.00027885,733.7320463757184,0.02352038077065293,0.5252022802090671,74.44005613
140.0,0.19971835,0.00779362,0.00028546,749.5147627004905,0.023537962235969868,0.522985165227127,74.31221426
141.0,0.1997214,0.00787076,0.00028443,748.6773544670552,0.023566089497015143,0.5029822181054416,74.17843072
142.0,0.19973838,0.00793332,0.00028049,738.0738468904673,0.023315927129593055,0.49729781307617055,74.04598884
143.0,0.19965419,0.00801397,0.00027982,743.400942274685,0.02328197454978244,0.48718354832183114,73.84684687
144.0,0.19962349,0.00802528,0.0002817,746.1906423960895,0.023287622056759168,0.47859494144253084,73.7410467
145.0,0.19966548,0.0079791,0.00028059,740.1654228967697,0.02319391378032855,0.48477751819814763,73.59959648
146.0,0.19957377,0.00802004,0.0002797,741.5912938533492,0.02299519088311297,0.4906714014528143,73.46389627
147.0,0.19942125,0.00813631,0.00028042,757.144431390593,0.023105251622088797,0.4956066466037423,73.29177933
148.0,0.19928602,0.00829313,0.00028417,769.3637467546123,0.023186102099657463,0.508535029592928,73.19019584
149.0,0.19915964,0.00838512,0.00028986,777.9175774824434,0.02314610789681784,0.5178089934995572,73.17773749
150.0,0.19915069,0.00837441,0.00029715,789.3271525309793,0.023461320871385746,0.5272194572083992,72.83599529
151.0,0.19912395,0.00833081,0.00030214,786.6212375028169,0.023286643192623403,0.5584676037447954,72.7146701
152.0,0.19904953,0.00838774,0.00031055,789.0737155108942,0.023192981625270455,0.5541312757221813,72.55616151
153.0,0.19893026,0.00849861,0.00031894,798.2613006892368,0.023204450248352153,0.5775650551913312,72.65257
154.0,0.19883763,0.00854097,0.00032374,803.0882577261816,0.02312156420767487,0.6031883875030918,72.31274447
155.0,0.19876951,0.00857088,0.00032565,806.3384991658952,0.023050966146140685,0.6073726483523781,72.00952732
156.0,0.1987747,0.00863707,0.0003279,810.8035512458885,0.023230000981609437,0.5995985042777815,72.05629406
157.0,0.19875345,0.00863127,0.00033349,806.7401578681113,0.023059028338089926,0.5864318013968293,71.73103522
158.0,0.1987626,0.00863421,0.00033799,809.1547047811022,0.023158049086666892,0.6016043445262957,71.62427672
159.0,0.19875995,0.00862547,0.00034117,807.2578613817082,0.023094914905316004,0.6045156951164748,71.61143503
160.0,0.19872172,0.00860808,0.00034317,799.1871598561568,0.022756504394474422,0.6052385304599812,71.27927618
161.0,0.19874552,0.00864343,0.00034358,797.3281389291659,0.022784575131734867,0.6122603861339492,71.21104274
162.0,0.19872711,0.00861432,0.00034187,798.3474722938072,0.022748756767049953,0.6103069753106797,70.9965674
163.0,0.19870973,0.0086076,0.0003353,795.4796379451102,0.022612715482593655,0.5952702521271059,70.83499215
164.0,0.19871471,0.00860256,0.00032906,802.1596928309887,0.022807445068311647,0.6010144968391615,70.64773352
165.0,0.19871695,0.00859628,0.00032965,795.6005448734072,0.022624006736542437,0.593063501809182,70.53886668
166.0,0.19865218,0.00859926,0.00033026,804.9813412979067,0.022724480566911006,0.5833636511567395,70.45184988
167.0,0.19861995,0.00861327,0.00032818,800.1335764545673,0.022510628676906272,0.5756877805624745,70.26823292
168.0,0.19858883,0.00862805,0.00032916,807.3326429722744,0.02264187976353949,0.5852510678182173,70.17680778
169.0,0.19865553,0.00869858,0.00033104,806.4691022924011,0.022827471113576716,0.5840859064997411,69.92380738
170.0,0.1986594,0.00875024,0.00032916,793.5212597093259,0.022495796976261275,0.5821103300366091,69.64914861
171.0,0.19861669,0.00874782,0.00032457,799.8300454662774,0.02255950489055217,0.581155630928826,69.54181511
172.0,0.19853881,0.008738,0.00032337,806.2149246946857,0.022534424710880144,0.5968799355869905,69.54277345
173.0,0.1983803,0.00880978,0.00032213,822.6552311558413,0.022626392731186492,0.5861525602815939,69.37525652
174.0,0.19833343,0.00892235,0.00032794,820.548182449851,0.022512782747980922,0.5937980876481338,69.13778114
175.0,0.19817146,0.00897972,0.00033508,824.2759538261881,0.02225177093875755,0.6140429978161435,69.01338928
176.0,0.19796302,0.00909152,0.00033674,843.7388107832599,0.022328030713566996,0.6379489790996253,68.83494733
177.0,0.19775753,0.00919909,0.00034039,861.6041828939528,0.022366559110241144,0.6609497795517532,68.75406387
178.0,0.19765413,0.00931549,0.00034744,858.5048270775059,0.02210699935124046,0.6739302064525378,68.50777182
179.0,0.19750101,0.00942713,0.00035335,875.6302127559106,0.02225181905094262,0.679862180593998,68.44816339
180.0,0.19733833,0.00954311,0.00035622,883.450293115289,0.022137907028985496,0.6693346402821772,68.14916291
181.0,0.19721052,0.00963853,0.00036198,896.0036072063435,0.022214050923319434,0.6771782624287142,68.09127949
182.0,0.19710691,0.00981487,0.00037137,897.4968397007896,0.022107604999344534,0.6731294399652421,67.89482085
183.0,0.19684825,0.00996963,0.00038019,914.519078766179,0.022037823403678374,0.6936413865494685,67.71733723
184.0,0.19656061,0.0100311,0.00038649,942.3088844232879,0.022124209231255288,0.7162511297883941,67.40549507
185.0,0.19650662,0.0100886,0.00038901,950.6250199637183,0.022232335223649913,0.7163545195111596,67.15747801
186.0,0.19647225,0.01014226,0.00039544,953.8395613419035,0.022262639904665902,0.7248254769450794,67.03711115
187.0,0.19634679,0.01017954,0.00040252,948.4645250497429,0.02190068065691384,0.7306807493821627,66.82819416
188.0,0.1961172,0.01030761,0.00040746,972.3682221946783,0.022040573955095243,0.736926891906863,66.57826043
189.0,0.19603251,0.01047376,0.00040959,980.3220110745979,0.022118610610179446,0.7393047677378589,66.6016438
190.0,0.19593388,0.01054945,0.00041332,970.2286072825315,0.021729494320895472,0.7288547136465301,66.25070157
191.0,0.19589067,0.01059877,0.00041463,973.5159840318232,0.02173893121396029,0.7303146403340282,66.12036803
192.0,0.19573836,0.01065062,0.00042088,990.5945831090055,0.02184760080675039,0.7336765109485494,65.79875086
193.0,0.19559957,0.01071979,0.00042676,987.5807388057862,0.02154751275624911,0.7358389989963059,65.73205075
194.0,0.19548153,0.01080055,0.00043006,1000.7819568956729,0.02164524477855752,0.7437680769457874,65.58312551
195.0,0.19546465,0.01088534,0.00043495,993.9551451695124,0.021500440991545598,0.7633660384409651,65.43113361
196.0,0.19532068,0.01099843,0.00043761,1010.5473741653886,0.021633919939880755,0.7648915194044621,65.10855809
197.0,0.19517009,0.01103124,0.0004365,1029.3275770390937,0.021767406515814103,0.7610253709365445,64.90634944
198.0,0.19515464,0.01109972,0.00043674,1021.2428362783204,0.021593077368842833,0.7842203030645012,64.87606606
199.0,0.19506954,0.01122936,0.00044039,1026.5063831319571,0.021598245562776546,0.7826824495374036,64.52780717
200.0,0.19497294,0.01137095,0.00044509,1034.8745051319886,0.021652475890373026,0.8002944317968625,64.45056538
201.0,0.19497986,0.0113941,0.00044292,1043.0494001481047,0.021843124318701036,0.8045931949656763,64.1916233
202.0,0.19495647,0.01126628,0.00044217,1045.667465334999,0.02180896721588591,0.8046453741925137,63.95108125
203.0,0.19497681,0.01114215,0.00044219,1034.8783166129338,0.021576503889942724,0.7959581562427217,63.7360309
