Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20952606,0.00065136,8e-07,-0.5833938650518529,0.02668805947386268,-0.010417742638010947,317.36900782
1.0,0.20951447,0.00061272,1.59e-06,0.3615999140833691,0.026693959082940606,-0.010573429318577137,317.15570753
2.0,0.20952423,0.00061739,1.43e-06,-0.158543620838267,0.026720033212034467,-0.027568448461489516,318.05255995
3.0,0.20949891,0.00069048,4.74e-06,0.2698581097933612,0.02643479515174332,-0.1204351999512833,317.77406869
4.0,0.20924281,0.00102963,1.394e-05,8.677093074050557,0.025390901007756796,-0.1382176270270408,317.61547544
5.0,0.20841898,0.00166706,2.484e-05,40.52191243094577,0.025447999132950625,-0.05993750113805655,317.62100333
6.0,0.20737881,0.00252355,3.359e-05,79.4419927133335,0.025198542815416964,0.010293059709180331,317.499771
7.0,0.20666855,0.00324304,4.191e-05,105.8867676067001,0.025425197727455214,0.0437674845076204,317.23386045
8.0,0.2061054,0.00371504,5.191e-05,126.78327818770248,0.02534998100250564,0.07480557651829049,316.98701159
9.0,0.20569984,0.00412963,6.397e-05,140.65212187913372,0.025240220283441483,0.10036832500149805,316.90523695
10.0,0.20527334,0.00445217,7.205e-05,156.93427111194555,0.025237995487980114,0.1259697060138178,316.7443563
11.0,0.20502344,0.00481228,7.891e-05,164.71016526809632,0.02521867275888794,0.14223967326843176,316.62445829
12.0,0.20451275,0.00514164,8.299e-05,186.61054578916023,0.0254646697233916,0.16505882656269508,316.59224404
13.0,0.20428746,0.00533628,8.829e-05,192.343237996829,0.025113059149917714,0.16802042306813098,316.38218424
14.0,0.20412011,0.0054944,9.551e-05,196.3835516737141,0.024865671449396682,0.1686914762676872,316.46700875
15.0,0.2039491,0.00568538,0.00010096,201.9079726672458,0.024828936316681306,0.1864505337770682,316.21367892
16.0,0.20362091,0.00589209,0.00010746,216.26183755653335,0.025022439999500466,0.20849078113640318,316.03316473
17.0,0.20327259,0.0060669,0.00011935,230.89792819509452,0.0251036925458039,0.22557435144541954,315.87781198
18.0,0.20313931,0.00613203,0.00012639,235.28838868171022,0.025006338667211067,0.22793417021279447,315.67118328
19.0,0.20297582,0.00621137,0.00013263,240.67405469279234,0.024888652793721718,0.2181660170674667,315.7617263
20.0,0.20281976,0.00630181,0.00013856,247.10858355954537,0.024926251050342872,0.21799323292906886,315.69806026
21.0,0.20277523,0.00634199,0.00014391,246.8896747968817,0.024749463152867118,0.22551945255464295,315.53050802
