Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20961579,0.00044803,0.00013459,-3.7213722510003455,0.02708601268316885,-0.0022799028022310523,56.43700131
1.0,0.20957786,0.00044974,0.00013895,-1.9404860379514954,0.027097589689267496,-0.002215197037619039,56.17874535
2.0,0.20958752,0.0004501,0.00014696,-2.555566731895867,0.027066738085444922,-0.0014473862165301956,56.32482376
3.0,0.20957613,0.00044641,0.00014152,-1.8733471143759037,0.027228010167423534,-0.001528176559182113,56.2684493
4.0,0.20958986,0.0004517,0.00014997,-2.75918776057268,0.02726603148828764,0.309712549637628,56.459094
5.0,0.20958793,0.00045317,0.00015933,-2.8169161632705753,0.02704974249372276,0.41757646163882084,56.31701513
6.0,0.20957918,0.00046388,0.00015945,-2.496682891206374,0.027034629321878233,0.18966741716498006,55.8900167
7.0,0.2095679,0.00047007,0.00015524,-1.912652530752893,0.026753771751990583,0.0851120596788402,56.06732961
8.0,0.20954675,0.00047785,0.00014912,-0.8644390352930406,0.026984483336468253,0.03640443144575011,56.1901726
9.0,0.20955783,0.00048686,0.00015447,-1.582128364066171,0.026787983532567478,0.013089867703436594,56.21112257
10.0,0.20953679,0.00049058,0.00015489,-0.6064173568170323,0.02710183101925108,0.009688638122976634,56.34234555
11.0,0.20950872,0.00049135,0.00015502,0.7752526644513057,0.027261029130811295,0.007506782208962175,56.14846312
12.0,0.20949398,0.00050503,0.00015074,1.4350924769371864,0.027187994639701278,0.004159177016645991,56.26406885
13.0,0.20947863,0.00053665,0.00015281,1.8319512477818707,0.027187507249672928,0.001858143630097427,56.05342645
14.0,0.20951279,0.00066144,0.00016003,-1.2710389974474003,0.026933319734296912,0.0007355776534036789,55.96010387
15.0,0.20946826,0.00092388,0.00016853,-1.9479498502533839,0.027159658635975272,-0.0012193987901209034,56.10199228
16.0,0.20945809,0.00127284,0.00017483,-5.04402746846123,0.026444901189508378,-0.0003118023563753477,56.01933514
17.0,0.20906216,0.00162747,0.00018076,9.96801343464623,0.025399660980469023,0.002760582495647988,55.7176556
18.0,0.20829929,0.00193943,0.00017178,42.55443938481319,0.025492683357613895,0.006288924806865199,55.82316726
19.0,0.20786148,0.00219208,0.00016705,60.1281118957323,0.025341376448612618,0.004343313929091365,55.62357121
20.0,0.20710765,0.00238355,0.00017051,93.947811227101,0.025621033216546706,0.009994434215329636,55.49272914
21.0,0.20657904,0.00251575,0.00017859,118.20034721737153,0.025865772947311228,0.021527476851819168,55.46397055
22.0,0.20626141,0.00260784,0.00017981,132.56378967513825,0.0259464108138582,0.029316755219269443,55.44435376
23.0,0.20621962,0.00264433,0.0001721,132.7476048837657,0.025647553921365262,0.034020949432677965,55.23085454
24.0,0.20620223,0.00265975,0.00016611,134.55385864395828,0.025849729577460706,0.03654393777794088,55.19695369
25.0,0.2062731,0.00266498,0.00016477,129.71847901125255,0.0255554218466884,0.03736744314377446,55.08268114
26.0,0.20635261,0.00266831,0.00015247,128.00717918872613,0.025919941940648675,0.03419748233546283,55.21961774
27.0,0.20640396,0.0026681,0.00014897,126.51711678361508,0.02609720123450067,0.03528645139496267,55.15810102
28.0,0.20645622,0.00266024,0.0001514,123.15711878096462,0.025901676144918617,0.034138898195982204,54.93736454
29.0,0.20652241,0.00264701,0.00015455,120.8135633262477,0.02604861484269229,0.03293893383033359,54.91355776
30.0,0.2065885,0.00263598,0.00016222,117.45546402527667,0.025998778752006572,0.032086236727041674,54.92784183
31.0,0.20663791,0.00262665,0.00016045,115.16414310510096,0.025979582809430864,0.032441919436028255,54.90098778
32.0,0.20668743,0.00260925,0.00015542,112.7385752495301,0.025899890250581398,0.03078920063865479,54.7248176
33.0,0.20673735,0.00258933,0.00015716,110.26017585955555,0.02582905760694556,0.026872711382882487,54.71624716
34.0,0.20671946,0.00257135,0.00015486,112.8170223989975,0.02617911530148124,0.026183089555638677,54.66939541
35.0,0.20676887,0.00254993,0.00015336,110.87029005757766,0.026217205228705097,0.023999221559570724,54.51550838
36.0,0.20686892,0.00252,0.00016176,104.00665233843806,0.025657420065075088,0.020375792090194342,54.52236473
37.0,0.20689535,0.00249219,0.00016351,104.01395781930438,0.025905442514527907,0.018777488838133516,54.51303247
38.0,0.20690003,0.00246164,0.00015534,104.89547251803133,0.026072413405332964,0.017662150300182863,54.47684616
39.0,0.20701706,0.00242437,0.00015231,99.8756890708595,0.02609733056265889,0.016707216634993513,54.34619455
40.0,0.20704156,0.00239453,0.00015767,97.93459849221384,0.02583671557404589,0.013498252984086813,54.19992568
41.0,0.2070556,0.00236602,0.00016239,98.61905921163894,0.026139110890141787,0.014423164819938614,54.2119243
