Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20951116,0.00048856,0.00012958,-0.6768548038023794,0.026967705999081354,0.0008838560356801479,65.43823739
1.0,0.20949388,0.00054822,0.00013052,-0.42922070630121717,0.026953125073324237,-0.000638457219402695,65.61422774
2.0,0.20949734,0.00073072,0.0001363,-2.8723398964805242,0.02706143787543995,0.0011801526478028596,65.46313265
3.0,0.20942059,0.00100725,0.00013396,-1.7644369948392609,0.026838494270749167,0.0016653161946052278,65.43325833
4.0,0.20922938,0.00133959,0.00012703,4.9566079715930424,0.026077973695656745,0.0006608475913544784,65.59354552
5.0,0.20867182,0.00168857,0.00012224,31.17568546370139,0.026139060753243203,-0.0013632522374342224,65.42215122
6.0,0.20816853,0.00202024,0.00012616,53.937993342949575,0.02588548225501051,0.0015358745751466144,65.51081665
7.0,0.20785056,0.00234437,0.00013007,66.61491371751396,0.025659735162439135,0.0028338297224705616,65.70499969
8.0,0.20753025,0.00262673,0.00013645,79.85518558291835,0.025519037892768968,0.0009461988497118097,65.23620276
9.0,0.20720375,0.00286227,0.00013661,94.99545966271195,0.025679505300119435,-0.0017146751603576197,65.05197783
10.0,0.20687968,0.00301471,0.00013429,110.45122117272204,0.025679598470643123,-0.0016797188386767916,64.85300723
11.0,0.20664069,0.00311366,0.0001317,121.74751347822537,0.025625622235568923,-0.00015623434104374635,64.93784263
12.0,0.20656374,0.00313453,0.0001202,125.7082670728999,0.02561301832153773,-0.0004277629184842988,64.75840524
13.0,0.20656435,0.00310092,0.00012853,126.18049334885264,0.025671800287571562,0.0008421364165256843,64.62033229
14.0,0.20658051,0.00301068,0.00014073,126.97883478023788,0.025852033560429952,0.0031295660656728715,64.59830955
15.0,0.20665319,0.0028639,0.00014896,125.20414659637267,0.02597943754599435,0.0015925716754590308,64.57322279
16.0,0.20680638,0.00269925,0.00016094,118.57329092342425,0.02596366986562544,0.004174787641710572,64.57571232
17.0,0.20707648,0.00251283,0.00017777,106.51869317862824,0.026104703324202887,0.0022357579069500733,64.42002118
18.0,0.20739546,0.00231864,0.00020109,91.69127725414972,0.026256864367830673,0.0021141344712406053,64.36563461
19.0,0.2076682,0.00211887,0.00022421,79.65760539466918,0.026544920512896517,-0.0007466777497811887,64.48666388
