Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947897,0.00047967,5.332e-05,-33.41384123668007,0.026205589594106647,,67.40938181
1.0,0.20948548,0.00050326,5.541e-05,-34.08412469517544,0.026272984860070504,,67.3271069
2.0,0.20946982,0.00055594,7.488e-05,-34.47802958955467,0.02649792372568468,,67.18149943
3.0,0.2094929,0.00070694,0.00011296,-37.8466624287597,0.026555075880658956,,67.1327085
4.0,0.20946799,0.00100574,0.00015557,-40.08436987998711,0.026351514875009804,,67.15012017
5.0,0.20945579,0.00140107,0.00020078,-44.03899985721796,0.0262276349284836,,67.09539778
6.0,0.20900583,0.00184846,0.00023493,-26.82984185175597,0.025571610127104794,,66.99073644
7.0,0.20844757,0.00228944,0.00025469,-5.247437249668545,0.02496287321502334,,66.91439297
8.0,0.20781306,0.00271454,0.00026468,19.566991272111835,0.02510863611063732,,66.89698131
9.0,0.20745685,0.00311677,0.00026559,32.06036654752375,0.02514168768764988,,66.4486787
10.0,0.2068686,0.00351101,0.00026775,54.753546588198084,0.024938908157548983,,66.53803308
11.0,0.20627303,0.0038977,0.00026231,78.01727167500843,0.024880585299538446,,66.1886517
12.0,0.20581636,0.00428499,0.00026141,94.60856471926195,0.02476854723270585,,66.14024344
13.0,0.20526777,0.00461175,0.00025409,115.19593624801045,0.02452813263822172,,65.93072942
14.0,0.20457997,0.00485261,0.00023573,143.4052608803034,0.024460472318602336,,65.73920107
15.0,0.20412666,0.00499933,0.00022411,161.07309304454674,0.024278949554606785,,65.66821504
16.0,0.2037733,0.00507066,0.00020752,177.48262814805074,0.024461764043771414,,65.475156
17.0,0.20351553,0.00507981,0.00018923,187.5478820933485,0.024269102211109488,,65.5009865
18.0,0.20354959,0.0050582,0.00018492,188.32668290439454,0.024530893501878995,,65.21340697
19.0,0.20357278,0.00501466,0.00018596,187.4742946794555,0.02450399296070981,,65.11486842
20.0,0.20363125,0.00497619,0.0001815,184.88330573027332,0.02444776796708509,,64.83838644
21.0,0.20375429,0.00494728,0.00017865,180.379538697249,0.024531008203859,,64.71420872
