Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20944057,0.00046922,1.08e-06,3.2323380148683394,0.02651378200723739,,100.2411659
1.0,0.20942999,0.00047309,9.2e-07,4.365165794403784,0.026874484957365143,,100.35386892
2.0,0.20943813,0.00047688,5.7e-07,3.348716663903166,0.02655989841090228,,100.49091425
3.0,0.20945206,0.00047749,-3e-08,1.8139713303709075,0.026305168067243468,,100.41098711
4.0,0.20943284,0.00047904,7.5e-07,3.8840194101721157,0.026643905224908553,,100.34869378
5.0,0.20944403,0.00047378,2.1e-07,2.7925654393327037,0.02661081091710713,,100.23944086
6.0,0.20946731,0.00048225,7.3e-07,0.022940030068719565,0.026583991644576418,,100.45775503
7.0,0.20942664,0.00047725,1.9e-07,4.626137829502193,0.026634652548186318,,100.47443048
8.0,0.20942572,0.00047301,1.13e-06,4.749914981590027,0.026416729900765584,,100.46388853
9.0,0.20945399,0.00047883,7.2e-07,1.55481020247646,0.026455038598744374,,100.37878625
10.0,0.20940915,0.00048274,4.5e-07,6.4095649821553975,0.026628770448209296,,100.33393505
11.0,0.20941393,0.00047989,8.6e-07,5.9784554029946015,0.02682516453182899,,100.43667113
12.0,0.20943081,0.00047883,8.5e-07,4.081716322921871,0.026472683528559627,,100.61569259
13.0,0.20939654,0.00048523,5.2e-07,7.645575118744038,0.026323304700227406,,100.64233497
14.0,0.20943742,0.00048348,9e-07,3.2646165470494526,0.026577013804440067,,100.48458908
15.0,0.20941525,0.00048653,6.5e-07,5.644864217530424,0.026628453764809584,,100.48056397
16.0,0.2094671,0.00048458,9.5e-07,-0.01588049750300698,0.026534840123999873,,100.66993571
17.0,0.20946161,0.00048384,9.5e-07,0.5984661034001677,0.026381295366828015,,100.48305571
18.0,0.20948825,0.00048258,8.6e-07,-2.2853700441129265,0.026579955411629295,,100.46944701
19.0,0.20943904,0.00048633,8.9e-07,3.0217121104382714,0.02657473259499955,,100.3132345
20.0,0.2094363,0.00048136,1.16e-06,3.402620127822243,0.026393939595658698,,100.41117878
21.0,0.20946487,0.00048128,7.6e-07,0.309536953822619,0.02640496834339966,,100.68929456
22.0,0.20943559,0.00047822,1.05e-06,3.579366020927365,0.02656990630383752,,100.43360439
23.0,0.20948388,0.00048352,1.08e-06,-1.8495262528429006,0.026773214132251064,,100.43322104
24.0,0.20946294,0.00047855,7.8e-07,0.5797934936831977,0.02633713363508377,,100.38396139
25.0,0.20945755,0.00047912,7.4e-07,1.1514564702519814,0.0262831513748143,,100.37955294
26.0,0.20944901,0.00047419,1.07e-06,2.21187132594515,0.026706173411159974,,100.36019409
27.0,0.20943518,0.00047203,6e-07,3.7723088970705447,0.026491652624568155,,100.41462888
28.0,0.20950015,0.00047057,6.4e-07,-3.2646426657821084,0.026249132956333247,,100.52484016
29.0,0.20944291,0.00046702,4.8e-07,3.044279923376386,0.026468025942562076,,100.35425226
30.0,0.20951794,0.00046645,7.6e-07,-5.165204925955236,0.026574476381779677,,100.42363745
31.0,0.20946568,0.0004656,7.9e-07,0.5750321646128367,0.026266555659134334,,100.43935454
32.0,0.20949151,0.00047106,8e-07,-2.371748309681788,0.026534617214896455,,100.34371031
33.0,0.20948358,0.00047069,7.2e-07,-1.4948064483826937,0.026579498352792795,,100.40006182
34.0,0.2094242,0.00046707,1.16e-06,5.135632511322754,0.026864905336509842,,100.32933493
35.0,0.20952516,0.00046389,9e-08,-5.863730033451171,0.026534718625684448,,100.59441702
36.0,0.20953726,0.00046263,1.03e-06,-7.149181158491109,0.026365932898295863,,100.48880586
37.0,0.20947819,0.00046633,7.1e-07,-0.7976137532451809,0.026390608582214484,,100.40485361
38.0,0.20958606,0.0004643,9e-07,-12.668189124206144,0.026739724752743062,,100.53461542
39.0,0.20939421,0.00046495,6.4e-07,8.46023790350017,0.026654448170188673,,100.40370358
40.0,0.20956908,0.00046397,9.1e-07,-10.747369307604307,0.026640348369377606,,100.48631413
41.0,0.20930107,0.0004632,3.9e-07,18.608735373065283,0.026460955275482787,,100.5612578
42.0,0.20959491,0.00046356,1.36e-06,-13.424373466158729,0.02630714533011842,,100.47174707
43.0,0.20935201,0.00046083,5e-07,13.166265875773606,0.026590288171064444,,100.27317509
44.0,0.20961829,0.00046198,1.05e-06,-16.119244955225398,0.026644872943002593,,100.49570605
45.0,0.20957793,0.00046588,1.22e-06,-11.850540484178405,0.02680901689363203,,100.52177341
46.0,0.20945521,0.00046975,1.61e-06,1.5990767793653409,0.02651012914722903,,100.42881259
47.0,0.20958189,0.00046421,1.19e-06,-11.89900131118375,0.026043582873187195,,100.39047823
48.0,0.2094123,0.00046992,1.92e-06,6.279115904930981,0.02652854502507277,,100.19305628
49.0,0.20956634,0.00046914,1.59e-06,-10.48034645398666,0.026361590948541628,,100.37207774
50.0,0.20938882,0.00046768,2.29e-06,8.919837282720302,0.026632692277452012,,100.46293017
51.0,0.20953675,0.00046552,2.4e-06,-7.2470896031673755,0.026497504711270926,,100.59614206
52.0,0.20941485,0.00046535,2.07e-06,6.125824214116302,0.026644211687950836,,100.48803917
53.0,0.20954031,0.00046625,2.71e-06,-7.544558033900389,0.026082139544151707,,100.35712734
54.0,0.20942176,0.00046283,2.61e-06,5.331270885457481,0.026285096920113434,,100.49934781
55.0,0.2095091,0.00046519,3.27e-06,-4.252699625686572,0.026515003395281067,,100.34524369
56.0,0.20944413,0.00046474,3.54e-06,2.8481044529906185,0.02647037586297454,,100.55129087
57.0,0.20948378,0.00046556,3.93e-06,-1.5174406893725683,0.026526693009114043,,100.51142313
58.0,0.20947117,0.00046116,3.91e-06,-0.035933742030473864,0.026420925484388392,,100.52771524
59.0,0.20948998,0.0004634,4.11e-06,-2.149556407395319,0.026482968730790216,,100.49647273
60.0,0.20947117,0.00046136,4.32e-06,-0.0555487328378339,0.026236509587164555,,100.33412672
61.0,0.20946477,0.00045868,5.4e-06,0.660171171167656,0.026346740132150406,,100.40274522
62.0,0.20941851,0.0004621,5.24e-06,5.661002028574149,0.026563646933931626,,100.29310896
63.0,0.20944189,0.00046442,5.59e-06,3.005758528502098,0.0263225461260813,,100.36326084
64.0,0.20942959,0.00046511,6.09e-06,4.348256181146767,0.02657749631681255,,100.54113226
65.0,0.20943193,0.00046788,6.76e-06,3.9753721917878937,0.026395430242523023,,100.49589772
66.0,0.20945633,0.00046882,6.9e-06,1.2887747080646335,0.026320041206250467,,100.30499261
67.0,0.20943315,0.00047061,7.52e-06,3.7707946943966495,0.026529657887046414,,100.35406059
68.0,0.20942522,0.00047028,8.5e-06,4.587076890408065,0.026403891106228164,,100.3866448
69.0,0.20946355,0.00047549,8.91e-06,0.27924856240746265,0.026451419684390663,,100.60438395
70.0,0.20941637,0.00047338,9.44e-06,5.458035139805374,0.026468850316578817,,100.40121185
71.0,0.20941352,0.00047236,1.088e-05,5.723513415998919,0.02640136089317524,,100.41558724
72.0,0.20939654,0.00047765,1.11e-05,7.480105773895976,0.026532238971774758,,100.32032635
73.0,0.20940142,0.00047908,1.312e-05,6.836694801453828,0.026530825787570805,,100.34946047
74.0,0.20935964,0.00047684,1.415e-05,11.287461083749612,0.026223680685709475,,100.17063068
75.0,0.20935282,0.00048026,1.479e-05,11.914900056942988,0.026204805955505832,,100.34696873
76.0,0.20932405,0.00047887,1.494e-05,15.253500946403596,0.026561044331985074,,100.41846231
77.0,0.20927911,0.00048234,1.503e-05,20.078492520084165,0.026544571237823784,,100.16698892
78.0,0.20916778,0.00048828,1.402e-05,31.634427732981628,0.026111656936718745,,100.3845364
79.0,0.20908075,0.00049972,1.281e-05,40.983816271921484,0.02624000428886659,,100.27605017
80.0,0.20898203,0.00050762,1.174e-05,51.46247171776231,0.026214423578365398,,100.30115917
81.0,0.20891584,0.00052306,1.052e-05,58.44541734335774,0.026278527001148824,,100.14302995
82.0,0.20882891,0.00053996,9.01e-06,67.78992227572186,0.026382873852678835,,100.11868763
83.0,0.20878671,0.0005637,8.56e-06,70.99262771529276,0.026068171644850896,,99.99850941
84.0,0.20869236,0.00058626,7.62e-06,79.37522017458616,0.025659124078260088,,100.08361169
85.0,0.20868768,0.00061452,6.87e-06,79.94520011131968,0.025876494854609414,,99.9183906
86.0,0.2086038,0.00064164,5.87e-06,88.13441779265149,0.025826079642023245,,100.0964537
87.0,0.20850661,0.00067683,5.66e-06,99.04460478552129,0.02618611522400687,,99.91014872
88.0,0.20843371,0.00071075,5.02e-06,104.6271186026648,0.025809524430395015,,99.96956697
89.0,0.20836071,0.00074907,4.64e-06,111.2866234762537,0.02575169622260971,,100.18213099
90.0,0.2083726,0.00078091,4.71e-06,109.6064725816736,0.02581843968035911,,100.05083581
91.0,0.20831638,0.0008176,4.43e-06,115.58055120319881,0.026000791883899352,,99.96439183
92.0,0.20828415,0.00084806,4.55e-06,118.27514238649843,0.025986306202445696,,99.86242244
93.0,0.20822019,0.00088927,4.29e-06,122.80084447160587,0.025694314794012747,,99.81028771
94.0,0.2081296,0.00092625,5.24e-06,130.93510723206228,0.025581189148959033,,99.97090867
95.0,0.20805366,0.00095854,5.77e-06,138.17603116544907,0.02557916427294494,,99.89021485
96.0,0.2079411,0.00099201,6.85e-06,150.31769198454816,0.025766414925037024,,99.82523811
97.0,0.20776816,0.0010342,7.55e-06,166.7885134208205,0.02563414936847149,,99.72058531
98.0,0.20769882,0.00107061,8.81e-06,172.8975603270457,0.025583824572475627,,99.78575372
99.0,0.20754123,0.00111304,1.002e-05,187.20891753784971,0.025413931716893635,,99.8137378
100.0,0.20742593,0.00115266,1.238e-05,198.65595860258193,0.025462528203971983,,99.83290498
101.0,0.20721913,0.00119754,1.442e-05,217.93825487271536,0.0253181255113198,,99.77789518
102.0,0.20695031,0.00124999,1.681e-05,244.19633080987373,0.02527802622865735,,99.78671208
103.0,0.20674137,0.00130704,1.964e-05,260.85058931961544,0.02493162252195637,,99.70889333
104.0,0.20652084,0.00136751,2.186e-05,281.701674385553,0.024908019246024767,,99.5630311
