Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20944917,0.00062078,2.78e-06,0.916493663934056,0.0272413710947757,,71.31353909
1.0,0.20947765,0.00060991,3.33e-06,-0.565911396119082,0.0272261617315232,,70.37001432
2.0,0.20948466,0.00061113,1.53e-06,-0.94083455643046,0.0272800283645851,,70.3746124
3.0,0.20944877,0.00064859,-1.02e-06,0.6834541845462877,0.0271684547698558,,70.38472816
4.0,0.20942375,0.00065051,-2.25e-06,2.084929751855072,0.0271474783924511,,70.3651535
5.0,0.20947663,0.00063052,1.87e-06,-0.71986454613665,0.02711227596843,,70.40482831
6.0,0.20944978,0.00058011,1.14e-06,1.3872908299468452,0.0271320945098904,,70.39681453
7.0,0.20947561,0.00059041,-7.4e-07,-0.1433450787941977,0.0273128344493305,,70.39024585
8.0,0.20946006,0.00063634,-1.72e-06,0.2101661997364996,0.0274153948395912,,70.00413902
9.0,0.20946738,0.00062632,-4.54e-06,-0.0298132999895459,0.027359221772742,,69.77449807
10.0,0.209475,0.00064888,-5.71e-06,-0.7062562928064345,0.0274547120882884,,69.62302438
11.0,0.20941623,0.00060816,-5.9e-06,3.107024898924025,0.0274456507829538,,69.55707486
12.0,0.20947724,0.00058267,-4.78e-06,-0.0655534760561837,0.0274840667778675,,69.57743776
13.0,0.20946829,0.0005959,-2.11e-06,0.2327661117805946,0.0275427010281916,,69.64365003
14.0,0.20943951,0.00060535,1.12e-06,1.6740784459445752,0.0272582322703057,,69.87749493
15.0,0.20942416,0.00060148,3.49e-06,2.5386701167764087,0.0272823372669636,,69.67938363
16.0,0.20946382,0.00057335,-0.0,0.7101961748506281,0.0274076574563358,,69.57402206
17.0,0.20946697,0.00057204,-3.22e-06,0.6081668435012502,0.0273001191597295,,69.68963077
18.0,0.20948121,0.0005784,-1.04e-06,-0.3102975009402963,0.0272381234839156,,69.79604334
19.0,0.20943595,0.00056125,-1.38e-06,2.4439379595420507,0.0272779945125777,,69.34516936
20.0,0.20948995,0.00058658,1e-08,-0.9185719560891348,0.0272559373841649,,69.17136218
21.0,0.20949951,0.00061598,1.98e-06,-1.8472212349406412,0.0273521662603578,,69.59425358
22.0,0.20944622,0.00064114,3.6e-06,0.8300746342341062,0.0273564223550642,,69.66401293
23.0,0.20948141,0.00067246,5.92e-06,-1.5679816233766055,0.0273023630880146,,69.51516671
24.0,0.20943534,0.00067168,6.05e-06,1.0262745190344542,0.0271249106702609,,69.28211007
25.0,0.2094329,0.00065385,4.01e-06,1.412590592724467,0.0271510686974089,,69.53736884
26.0,0.20943616,0.00062933,5.26e-06,1.4907621068153116,0.0270995314921092,,69.55891409
27.0,0.20944033,0.00064721,4.06e-06,1.0750684209738666,0.0271903793634964,,69.54446301
28.0,0.20945161,0.00068683,2.2e-06,0.012928940646246,0.0272586167043874,,69.65429128
29.0,0.20943026,0.00069351,-9e-07,1.2037977418740051,0.0274657043883226,,69.19763688
30.0,0.20943646,0.00069188,-1.94e-06,0.8847065355885007,0.027231776450528,,69.62998718
31.0,0.20941775,0.00067694,-3.9e-07,2.092152763597364,0.0273748054699051,,69.59280847
32.0,0.2094447,0.00064245,-5.8e-07,0.987367955945376,0.027510881563351,,69.623944
33.0,0.20943789,0.00060861,2.04e-06,1.7113597841011514,0.0272979725167049,,69.65442266
34.0,0.20944206,0.00058743,5.9e-07,1.758042860540261,0.0273502591276388,,69.68109149
35.0,0.20943311,0.00059766,-1.73e-06,2.1802649003838344,0.0272647436299802,,69.66979336
36.0,0.20943514,0.00061972,-2.99e-06,1.828296242436193,0.0272289100890876,,69.57139458
37.0,0.20944663,0.00061867,-1.37e-06,1.149717318749354,0.0268935841727273,,69.67452281
38.0,0.20943687,0.00064892,3.46e-06,1.255871687443523,0.0270880796487479,,69.55287092
39.0,0.20942436,0.00064403,6.6e-06,1.951977202369282,0.0270969564296689,,69.69619944
40.0,0.209439,0.00067156,6.31e-06,0.8215261108968768,0.027244834716242,,69.65363442
41.0,0.2094447,0.00064521,3.34e-06,0.8677144102131837,0.0271978398827352,,69.69068175
42.0,0.20938623,0.00063699,4.72e-06,4.218887047716106,0.0272112707865916,,69.67715028
43.0,0.20936945,0.00062864,5.13e-06,5.28010898815332,0.0273647544558802,,69.42898567
44.0,0.20939894,0.00062021,3.67e-06,3.712919026375767,0.0271346914116507,,69.68752879
45.0,0.20935389,0.00060914,4.2e-06,6.376599619948849,0.0272370327644178,,69.50951765
46.0,0.20934097,0.00062005,3e-06,6.992214782473654,0.0272184767606778,,69.74191743
47.0,0.2093367,0.0006784,7.9e-07,6.59025122267955,0.027224428528594,,69.49375283
48.0,0.20937738,0.00070377,3.09e-06,3.967964024064473,0.0272523651818993,,69.6845072
49.0,0.20935694,0.00074323,6.93e-06,4.575240124630675,0.0272393328828862,,69.53539823
50.0,0.20935958,0.00074534,8.78e-06,4.386323876022361,0.0273647191761157,,69.78684718
51.0,0.20940453,0.00070756,5.19e-06,2.3656788371540305,0.0273551095649161,,69.69107588
52.0,0.20938918,0.00069803,5.07e-06,3.357031852134522,0.0274406182089252,,69.59609281
53.0,0.20941846,0.00068956,4.83e-06,1.7904562852637438,0.0272153067274101,,69.78960603
54.0,0.20939772,0.00067787,4.24e-06,3.089947683035968,0.0270976466724659,,69.72812321
55.0,0.20942934,0.00067046,2.57e-06,1.4418589603170615,0.0270943901872225,,69.48442531
56.0,0.20943768,0.00064876,7.3e-07,1.266437725536506,0.0271147706720155,,69.74218018
57.0,0.20943717,0.00069579,1.48e-06,0.7274250305018732,0.0270454391147649,,69.64496376
58.0,0.2094266,0.00069249,4.39e-06,1.3062783582421873,0.0271866457922386,,69.75833913
59.0,0.20941134,0.00069253,2.89e-06,2.1928648319480644,0.0272166812116936,,69.57967112
60.0,0.20939701,0.00071106,7.7e-07,2.825205278963013,0.0272637532174689,,69.5887359
61.0,0.20940901,0.00071949,9.8e-07,2.052637232885404,0.0273373380943232,,69.7311448
62.0,0.20942619,0.00069628,4.11e-06,1.2907333951657214,0.0271987984916705,,69.71301526
63.0,0.20941897,0.00066822,4.76e-06,2.0104399639157533,0.02716473355051,,69.75071946
64.0,0.20935114,0.00068878,9e-07,5.633992582365213,0.0271204605889442,,69.7311448
65.0,0.20937646,0.00071057,1.21e-06,3.983530605441081,0.027303306517858,,69.74126057
66.0,0.20936365,0.0007122,5.45e-06,4.585915092384495,0.0272018501802866,,69.72208003
67.0,0.20933355,0.00070963,9.17e-06,6.240253108594434,0.0272369899543714,,69.6393147
68.0,0.20932613,0.00071395,1.013e-05,6.63238148447048,0.0274226575592819,,69.68082874
