Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20946142,0.0006399,8.97e-06,1.604533564179398,0.0271673599058289,,89.52547546
1.0,0.20943295,0.00065856,9.3e-06,2.957895917593498,0.0270198687412401,,89.54737386
2.0,0.20940122,0.00067221,9.14e-06,4.571761379587742,0.0270335964587202,,89.54016181
3.0,0.20944159,0.00068437,7.89e-06,2.19825039079933,0.0269711645063305,,89.55668395
4.0,0.20945806,0.00070377,6.37e-06,1.0905496727973982,0.0271051492113466,,89.57569753
5.0,0.20944322,0.0007094,3.73e-06,1.888045783081426,0.0268616711682308,,89.23423993
6.0,0.20945064,0.000717,4.83e-06,1.3673498285532857,0.0268552258508387,,88.13473071
7.0,0.2094605,0.00071298,4.57e-06,0.8757514335914223,0.0269438295678967,,87.88860324
8.0,0.20942878,0.0007244,1.99e-06,2.542740598587492,0.0268153842434848,,88.12856768
9.0,0.20942034,0.00069267,1.5e-06,3.4430650130890457,0.0272629429533403,,88.14836803
10.0,0.20946487,0.00071109,-4.2e-07,0.7517624136852717,0.0269803853051674,,88.39554452
11.0,0.20945948,0.0007041,1.49e-06,1.094112893795472,0.0269216415846266,,88.17236447
12.0,0.20944749,0.00068084,1.67e-06,2.033332249256315,0.0270050475011888,,88.4112799
13.0,0.20943406,0.00068778,2.75e-06,2.6749280513826683,0.0269592704269254,,88.28933075
14.0,0.20945674,0.00070624,3.31e-06,1.2003453410825218,0.0272375452237065,,88.4430129
15.0,0.20943122,0.00071047,3.83e-06,2.5446144109024407,0.0269266881947064,,88.43055573
16.0,0.20945877,0.00073192,9.39e-06,0.6598493985793896,0.0269907466917524,,88.46766498
17.0,0.20943661,0.00072177,4.45e-06,2.095478467293592,0.0268445288990086,,88.39095505
18.0,0.20944403,0.00070077,3.76e-06,1.947609772727345,0.0269281462969314,,88.21878384
19.0,0.20943478,0.00068741,2.58e-06,2.6324104056024704,0.0268565748040373,,88.23229002
20.0,0.20942644,0.0006794,2.96e-06,3.1684698426173297,0.0267592349545587,,88.07991916
21.0,0.20943274,0.00067673,3.51e-06,2.8375306664865496,0.0267244746712515,,88.08227947
22.0,0.2094182,0.00069892,3.32e-06,3.394327183755855,0.0267889501526582,,88.28238097
23.0,0.20945064,0.00068277,5.28e-06,1.759909575819003,0.0269134075309234,,87.93462922
24.0,0.20943488,0.00067644,5.91e-06,2.694627770303694,0.026898010311561,,87.6504746
25.0,0.20941597,0.00069395,5.7e-06,3.5647498240508,0.0270555493490734,,87.51606828
26.0,0.20943884,0.00071902,4.53e-06,2.009209852742673,0.0269358389083521,,88.11047201
27.0,0.20939746,0.00072498,2.68e-06,4.2314278689081775,0.026668357508228,,88.02995935
28.0,0.20939268,0.00073336,2.1e-06,4.441722919454247,0.0268678704305716,,87.81163105
29.0,0.20937631,0.0007198,4.4e-06,5.435969856140289,0.0267397859100527,,88.08188608
30.0,0.20935414,0.0007473,3.86e-06,6.309275995716457,0.0265645978927419,,88.13407507
31.0,0.2093636,0.00075605,2.13e-06,5.807265533648604,0.0269535734299525,,87.94289029
32.0,0.20938892,0.00079004,1.4e-06,3.9821352054268577,0.0267119237736523,,87.98026179
33.0,0.20934428,0.00076678,3.11e-06,6.697573634855059,0.0267950403759303,,87.82671078
34.0,0.20937326,0.00077076,3.78e-06,5.03343143884163,0.0267728427631736,,87.77098133
35.0,0.20935435,0.00075572,2.79e-06,6.300668477777746,0.0269030643537827,,87.78068481
36.0,0.20933818,0.00074516,1.77e-06,7.349029845618149,0.026936796802713,,88.31306494
37.0,0.20934408,0.00076304,2.16e-06,6.830883902904243,0.0270358459532605,,88.23491258
38.0,0.20935506,0.00075482,4.8e-06,6.186703139854052,0.0267022718097106,,88.25772888
39.0,0.20934886,0.00074236,6.28e-06,6.696300841595275,0.0269140539751519,,88.26559656
40.0,0.20935821,0.00074224,5.01e-06,6.20536143746293,0.026923406299243,,87.91574679
41.0,0.20934489,0.0007461,4.98e-06,6.885069397020232,0.0268634586541729,,87.69689395
42.0,0.20934235,0.00076369,5.74e-06,6.763269200106571,0.0266904796377638,,87.82789093
43.0,0.20935831,0.00077253,4.96e-06,5.797228043376536,0.0266875141220401,,88.20291732
44.0,0.2093033,0.00076579,5.59e-06,8.87963380112591,0.0266573816157101,,88.07742772
45.0,0.209315,0.00076953,8.15e-06,8.1896052741232,0.0268033380034588,,88.11073427
46.0,0.20931774,0.00076896,1.034e-05,8.037587016992195,0.0269192044255627,,87.93987434
47.0,0.20930035,0.00078922,8.98e-06,8.812012691991567,0.0269767596005025,,88.11493036
48.0,0.20930615,0.00078737,8.5e-06,8.481930224370817,0.0268555146776179,,88.08660669
49.0,0.20927992,0.00079925,8.13e-06,9.780799610270517,0.0267935961984059,,88.15715361
50.0,0.20931927,0.00081774,1.013e-05,7.339587774204239,0.0267371655160164,,88.15217075
51.0,0.20928104,0.00086439,1.198e-05,8.84996694623039,0.0266674748974212,,88.12712528
52.0,0.2092488,0.00091774,1.47e-05,9.81494934763131,0.0262884115711537,,87.99455476
53.0,0.20912241,0.00096455,1.494e-05,16.189668364200173,0.026388955529924,,88.12397821
54.0,0.20903243,0.00105382,1.466e-05,20.006912348342585,0.026303538492243,,89.29875496
55.0,0.20879988,0.00116413,1.437e-05,31.20317379992808,0.0261706973609057,,89.27043128
56.0,0.20858422,0.00126088,1.508e-05,41.53989351775045,0.026058740288037,,89.29036276
57.0,0.20843912,0.0013966,1.653e-05,47.92515997113012,0.0261416945974842,,89.22624111
58.0,0.20833937,0.00157608,1.785e-05,50.92092648175558,0.0259736584179702,,89.22138937
59.0,0.20817912,0.00175667,1.74e-05,57.24195330728028,0.0258673543318016,,89.17995289
60.0,0.20795431,0.00192436,1.759e-05,67.31715983005309,0.0258606422062848,,89.16238172
61.0,0.20778491,0.00208946,1.995e-05,74.36358632989906,0.0258311307584132,,89.14323701
62.0,0.20752532,0.00224046,2.122e-05,86.32551737073891,0.025795405464331,,89.08200019
63.0,0.20740706,0.00242217,2.165e-05,90.38970405527635,0.0257414349792582,,89.0498738
64.0,0.20717716,0.00260029,2.3e-05,99.94213541612376,0.0255845885787559,,89.00778167
65.0,0.20703024,0.00273449,2.266e-05,106.02919711770424,0.0255442770379404,,88.95808412
66.0,0.20684294,0.00288339,2.512e-05,112.56872007164766,0.0251844132344796,,88.91546748
67.0,0.20658193,0.00304726,2.676e-05,123.85427884238376,0.0251026426420019,,88.84059333
68.0,0.20644445,0.00320068,2.738e-05,127.9450638224138,0.0248437333348729,,88.80177941
69.0,0.20601323,0.00339834,2.99e-05,147.5502472584488,0.0248101399662688,,88.71602163
70.0,0.20565989,0.00362106,3.396e-05,161.16221583814422,0.0245198837955394,,88.64429455
71.0,0.20540731,0.00385401,3.592e-05,170.1750970038514,0.0243482762171463,,88.58279546
72.0,0.20522429,0.0040494,3.841e-05,176.99181262085253,0.0243154785737103,,88.50529875
73.0,0.20498198,0.00425531,4.026e-05,187.27947461359275,0.0243671153716082,,88.45678135
74.0,0.20487868,0.0044452,4.271e-05,187.7186188503724,0.0240200636776724,,88.33653687
75.0,0.20463668,0.00462661,4.568e-05,198.04986592874403,0.0240627029490262,,88.26140046
76.0,0.20439244,0.0047728,4.901e-05,207.43917067994948,0.0239399901881398,,88.18403488
77.0,0.20406818,0.00497436,5.229e-05,219.21953187056263,0.0237276088945603,,88.07192034
78.0,0.20368749,0.00518319,5.472e-05,236.86596630722823,0.0238654970902882,,87.99809521
79.0,0.20330598,0.00537307,5.78e-05,250.32120733654412,0.0235716842880325,,87.86827838
80.0,0.20307629,0.00554471,5.947e-05,260.03717106973727,0.0236101832881785,,87.78947039
81.0,0.20277735,0.00575091,5.97e-05,273.4344480649232,0.0237046543405142,,87.68601031
82.0,0.20256412,0.00593413,6.065e-05,278.79029846863267,0.0234450600430897,,87.56379891
83.0,0.20228125,0.00610453,6.087e-05,285.76962393459496,0.0230566501133904,,87.49810372
84.0,0.20198465,0.00627793,6.338e-05,298.1438639346045,0.0230726652084683,,87.36343515
85.0,0.20177996,0.00645968,6.508e-05,301.7555073303368,0.0227560668865652,,87.26626922
86.0,0.20159491,0.00660636,6.538e-05,309.05858242137884,0.0227676338040502,,87.14261542
87.0,0.2014918,0.00677187,6.529e-05,314.8635749070818,0.02295727224493,,87.00847136
88.0,0.20119733,0.00691326,6.709e-05,326.79150046225953,0.0229303285676326,,86.90081518
89.0,0.20096083,0.00702402,7.03e-05,337.3167568195745,0.0229750533362498,,86.78135747
90.0,0.20076509,0.00712427,7.413e-05,339.7567704557358,0.0225998651656117,,86.64065701
91.0,0.200457,0.00724518,7.606e-05,350.7394254378052,0.022476577972996,,86.50598844
92.0,0.20012715,0.00741287,7.857e-05,363.5124382596858,0.0224394201185878,,86.36568136
