Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20949875,0.0006037,5.27e-06,1.4801031362398245,0.0270471296868759,,61.01883471
1.0,0.20952397,0.0005813,5.14e-06,0.3404291565009059,0.0272631161085252,,60.91811452
2.0,0.20949519,0.00058065,5.28e-06,1.962527100495109,0.0272488798449657,,60.93774533
3.0,0.20941352,0.00055734,3.07e-06,6.857915847040937,0.0272072880424232,,60.93633397
4.0,0.20946244,0.00055586,1.26e-06,4.1647797272487646,0.0271971200926629,,60.92594118
5.0,0.2094842,0.00056901,2.39e-06,2.7618473840663387,0.0271364542425151,,60.90887649
6.0,0.20958336,0.00057691,5.78e-06,-2.9381987868948705,0.0270618249376576,,60.82008876
7.0,0.20940935,0.00058085,6.49e-06,6.723987104088088,0.0271055237817574,,60.4020679
8.0,0.20941352,0.00059737,5.75e-06,6.318885485568247,0.027135883836477,,60.09310711
9.0,0.2095197,0.00060769,3.18e-06,0.306745372277442,0.0271944015400723,,59.83790654
10.0,0.20950454,0.00063128,1.31e-06,0.9105576884643556,0.0270355593256277,,59.57372454
11.0,0.20952814,0.00063888,3.5e-07,-0.4762447722267907,0.0270609717186906,,59.55460695
12.0,0.20947474,0.00063033,-4.8e-07,2.610487087975568,0.0269610173553607,,59.6351831
13.0,0.20949152,0.00061611,2.11e-06,1.8039610498225973,0.0271187424212278,,59.78594262
14.0,0.20949915,0.00061615,1.27e-06,1.3910563829204767,0.0270810166683214,,59.92541121
15.0,0.20947485,0.00061578,-2e-08,2.787708067435653,0.0271814843364293,,59.76040973
16.0,0.20949508,0.00062339,6.1e-07,1.5555438005619309,0.0272421399225459,,59.90616531
17.0,0.20947627,0.00063301,-1.11e-06,2.5374747056226044,0.0272964820858957,,59.71075533
18.0,0.20947932,0.00065647,-2.66e-06,2.122368735300683,0.0273384899896949,,59.69818134
19.0,0.2094903,0.00065273,-2.16e-06,1.5250167955487637,0.0271121454682777,,60.60543289
20.0,0.20950983,0.00061496,1.7e-07,0.8272492375357648,0.0270004072717016,,60.19241594
21.0,0.20948369,0.00062392,-8e-07,2.209290720745773,0.0271524263902063,,60.03434298
22.0,0.20948278,0.00064147,-4e-07,2.0482471248482983,0.0271754771670139,,60.0176632
23.0,0.20949478,0.00065166,1.5e-06,1.2163952352998528,0.0271137262658319,,59.8219966
24.0,0.20946864,0.00062877,3.08e-06,2.932940529837765,0.0272726643339773,,59.47788
25.0,0.20946742,0.00061603,1.91e-06,3.155015818476554,0.027105519767118,,60.1594413
26.0,0.20948695,0.0006058,3.33e-06,2.162329588694266,0.0271878425475523,,60.02164069
27.0,0.2094722,0.00059581,4.74e-06,3.082502084347305,0.0272153292967855,,59.95838585
28.0,0.20948085,0.00059495,3.18e-06,2.638488292695742,0.0272263564577533,,59.82918174
29.0,0.20949214,0.00058599,3.39e-06,2.0828798817809404,0.0269277781567827,,60.14738054
