Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948824,0.00042135,8.74e-05,1.6784713644120628,0.0260992164380709,0.0053637472367643,66.6629185
1.0,0.2094855,0.00041906,0.00011677,1.3397010719588378,0.0259239525978132,0.0051276821314067,66.59608807
2.0,0.2094859,0.00042488,0.00025105,-0.9346454342468676,0.0260386008066752,0.0067601188731932,66.86992049
3.0,0.20952901,0.00046695,0.00028676,-3.988951275528677,0.0260488988445073,0.0058479385426575,66.71442963
4.0,0.20951651,0.00068311,0.00029355,-5.706659836259449,0.0262575533185255,0.00859051658313,66.88389934
5.0,0.20950888,0.00097968,0.00029395,-8.30954657217192,0.0261939344266124,0.0100170027578322,66.67115262
6.0,0.20943425,0.00120977,0.00028661,-6.733112782118863,0.0254588185770936,0.0233507542944452,66.55242807
7.0,0.20891449,0.00135401,0.0002718,16.152337530545857,0.0253159109522748,0.0643870349066624,66.5844071
8.0,0.20813089,0.00144994,0.00025848,51.78878523550209,0.025432327665176,0.2539737820494562,66.33125574
9.0,0.20790019,0.00146018,0.00025056,62.19262937441805,0.0253166006645219,0.4090529275659847,66.09323217
10.0,0.20783716,0.00147708,0.00025008,65.2114653694328,0.0254239166646372,0.2897495841039604,66.15221146
11.0,0.20784193,0.00152436,0.00025467,65.13724071363113,0.0256895575811419,0.1757664107196675,65.99729508
12.0,0.2078398,0.00158889,0.00025022,64.09649467272165,0.0254573366277039,0.1345776298572496,65.98714605
13.0,0.20785048,0.00164635,0.00024314,62.957741900429575,0.0253749555549586,0.1580990342559969,65.96512456
14.0,0.20784641,0.00170213,0.00022947,62.70146788922132,0.0253242731301023,0.2088106098365568,65.94808184
15.0,0.20782628,0.00175978,0.00021637,63.14769792322458,0.025270212827554,0.1442229105267764,65.68018565
16.0,0.20773813,0.00181178,0.00021445,66.89599071347281,0.0253342099137627,0.1097212403749541,65.60895092
17.0,0.20759263,0.00185344,0.00020004,73.56259015182782,0.0253840776824286,0.094480653239394,65.74529266
18.0,0.20759558,0.00188259,0.00019436,72.76221225191173,0.0252193927665907,0.0825856256923701,65.84927238
19.0,0.20750824,0.00190477,0.0001984,76.02572767775538,0.0250679072715533,0.0755042915200611,65.75161187
20.0,0.20751566,0.00191804,0.00019606,76.31203768379261,0.0253042512986352,0.0743314719247074,65.77248441
21.0,0.20747794,0.00191687,0.00018551,78.25170756972088,0.0253138364153203,0.0720301392117677,65.58290812
22.0,0.20751048,0.00191426,0.00018378,76.92544029372671,0.0253521194245255,0.0683908549698204,65.58175917
23.0,0.2075481,0.0019035,0.00018027,76.07334577442319,0.0255944308319135,0.0636784336307295,65.54729076
24.0,0.20756691,0.00190001,0.00017977,74.53106456482918,0.025352842430781,0.0568725258972604,65.40731069
25.0,0.207585,0.00189304,0.00017601,74.23867218821096,0.0254949339966314,0.050525776880008,65.4048213
26.0,0.20757474,0.00188132,0.00017306,74.06392100616813,0.0252193355463659,0.0514870107838909,65.28590526
27.0,0.2075847,0.00185874,0.00018822,73.830983222872,0.0253039690116092,0.0518529334245941,65.41075753
28.0,0.20764936,0.00183038,0.00019781,70.69594840269487,0.0252026150072924,0.0476609989431765,65.24799001
29.0,0.20765384,0.00180737,0.00019644,71.07429158026626,0.0253247040790667,0.043680843677013,65.09843538
30.0,0.20770681,0.00177853,0.00018681,68.65033147256696,0.0251718043136345,0.0456300722989508,65.18345747
31.0,0.207749,0.00174556,0.00018027,67.24188359134902,0.0252104990119871,0.043928585930895,65.09632898
32.0,0.20777381,0.00171157,0.00017704,66.26100069902255,0.0251270713642117,0.0442438275829493,65.074116
33.0,0.20789043,0.00169108,0.00017851,61.822109871188665,0.0254196669562979,0.042351347196029,64.94543391
34.0,0.20787518,0.00166703,0.00017451,63.2567126456671,0.0255958789079532,0.0425950627693188,65.0369667
35.0,0.20788301,0.00164713,0.00017989,62.36813505697606,0.0253394867328688,0.0433449437918351,64.86634804
36.0,0.20795235,0.00162408,0.00019153,59.62735574118532,0.0255169608156853,0.0628449931789928,64.76849604
37.0,0.2079975,0.00160121,0.00019574,57.4042079649581,0.0253915595028785,0.0579823472490107,64.74149578
38.0,0.20803196,0.00158333,0.00020671,55.66344309673505,0.0253241382436344,0.0511412121526101,64.81560287
39.0,0.20801692,0.00157339,0.00020831,56.01976251048054,0.0251420159443457,0.0489800798165499,64.65015447
40.0,0.208028,0.00156144,0.00020297,55.42849322542988,0.0250143330285481,0.0450946719578745,64.62621807
41.0,0.20807731,0.00155285,0.000199,53.85054459212844,0.0252582734332029,0.0468589627795339,64.65302684
42.0,0.20810242,0.00153408,0.00019981,52.91034560025415,0.0252801261627709,0.0519133900158378,64.45885476
43.0,0.20809358,0.00148582,0.00019974,53.99457879153149,0.0253810327137354,0.0494104858733999,64.61894141
44.0,0.2081007,0.00141449,0.00019352,54.38396766007079,0.0253498134743539,0.04469837586065,64.46842932
45.0,0.20814431,0.00133763,0.00018586,53.80295783399556,0.0256203630347831,0.0451133737484298,64.45789731
46.0,0.20820898,0.00126887,0.00018045,51.54593802751421,0.0256201933621679,0.0471945864854734,64.45713134
47.0,0.20832631,0.00118824,0.00017207,47.01863514723544,0.0256305014725759,0.0566968813591134,64.36923688
48.0,0.20842138,0.0010959,0.00016311,43.78944118637544,0.0257239490070207,0.1198643027010993,64.29206592
49.0,0.20854033,0.0010109,0.00016006,39.00996514503085,0.0256619047801007,0.1481490550001012,64.36827942
50.0,0.20875253,0.00093493,0.00015698,29.83210434318009,0.0256095290483802,0.1442697964264408,64.31274697
51.0,0.20888267,0.00089325,0.00014807,24.35585019652745,0.0256528337914284,0.2116581884966129,64.21029918
52.0,0.20897468,0.00084646,0.00013366,20.781231547793784,0.0256946937177023,0.237733508212118,64.21010769
53.0,0.20899888,0.00080298,0.00012923,19.808189915071647,0.0252638009756561,0.24746565650194,64.08257455
54.0,0.20901271,0.00076698,0.00013293,19.576448729473825,0.0254154579866919,0.2535278390068959,64.15361779
55.0,0.20909883,0.00075478,0.00012832,15.937441568103338,0.0256664083288558,0.2315538612187097,64.09214911
56.0,0.20912191,0.00075459,0.00011677,14.94147939867565,0.0254870455629382,0.2002191712636969,64.07357446
57.0,0.20913533,0.00075441,0.00011563,14.363753163696074,0.0255321681257212,0.2208863689674491,64.08353201
58.0,0.20914041,0.00073982,0.00011936,14.202411844761924,0.025519259070534,0.238138811233089,63.92727518
59.0,0.20919257,0.00071762,0.00011616,12.048098983392016,0.0255266366058513,0.2361659270259446,63.96595641
