Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20958511,0.00061333,5.75e-06,-5.74039591051681,0.026916848653634667,,41.89136437
1.0,0.20954921,0.00062757,4.38e-06,-2.02180231868498,0.02677217482926542,,41.88636959
2.0,0.20957759,0.00062135,2.69e-06,-4.986981178706577,0.026983913542114484,,41.85429785
3.0,0.20956864,0.00061588,1.62e-06,-3.810971385620385,0.026908016810771054,,41.87322544
4.0,0.2095723,0.00061218,2.42e-06,-4.1344686064473155,0.026731047861601645,,41.88728968
5.0,0.20956813,0.0006281,2.48e-06,-4.086810005090183,0.027007024941872168,,41.86323588
6.0,0.20955114,0.00063341,1.45e-06,-2.262265868443425,0.026818368694233152,,41.88742113
7.0,0.20959782,0.00064505,2.69e-06,-7.776037882575011,0.026926127794463697,,41.87453985
8.0,0.20954616,0.0006093,2.24e-06,-1.1954493667863784,0.027118784103951642,,41.88558094
9.0,0.20957708,0.00058078,1.59e-06,-3.897615362203637,0.02668856628380849,,41.89635915
10.0,0.20956121,0.00058218,1.94e-06,-2.2141172967448033,0.026909224639011874,,41.86533894
11.0,0.20955216,0.00056861,5.51e-06,-1.031853328321145,0.026940907752269573,,41.85929263
12.0,0.20954646,0.00056877,8.04e-06,-0.495337084717523,0.026726932196103077,,41.73692059
13.0,0.20955114,0.00058124,6.89e-06,-1.2554040158802975,0.02671955394779091,,40.485334
14.0,0.20952114,0.00055281,6.87e-06,2.720126741685871,0.026832554135765654,,39.93078206
15.0,0.20956152,0.00059914,5.27e-06,-2.733451312224675,0.02654387478886057,,40.57366294
16.0,0.20957118,0.00061897,5.2e-06,-4.307934130181986,0.026943610862521148,,39.85770056
17.0,0.20958796,0.00064785,7.63e-06,-6.891190743467251,0.026754075044126722,,38.94181595
18.0,0.2095546,0.00065538,8.21e-06,-3.4052358455430096,0.026754938607507574,,40.6488473
19.0,0.20957077,0.00063065,8.69e-06,-4.671486915584719,0.02695954525928803,,40.48270517
20.0,0.20957901,0.00060625,8.97e-06,-5.022911192479717,0.026923493816468597,,40.89819198
21.0,0.2095426,0.00062345,7.95e-06,-1.3310810317038855,0.026741282677451315,,40.00333792
22.0,0.20954097,0.00065513,8.28e-06,-1.9149559613651026,0.02699934971018557,,41.40581936
23.0,0.20954565,0.0006532,6.29e-06,-2.305838272601339,0.026897581400607162,,40.20128889
24.0,0.20950853,0.00065962,6.7e-06,1.6369395705550958,0.026717835071065864,,41.13386673
25.0,0.20946947,0.00064946,6.64e-06,6.224823708289179,0.026918253638277698,,40.67894742
26.0,0.20946683,0.00060852,8.2e-06,7.414034998835899,0.02693034787210351,,40.80039947
27.0,0.20942319,0.00061053,9.5e-06,12.136292721583237,0.026869642748488024,,40.56183313
28.0,0.20943601,0.00060605,9.35e-06,10.791646137192043,0.026785240862828425,,40.2802852
29.0,0.20945513,0.00059601,9.01e-06,8.97141631901399,0.026924034368052345,,40.55355217
30.0,0.20949307,0.00057412,1.034e-05,5.211791200571998,0.026896189436489748,,40.39187908
31.0,0.20951809,0.00056663,1.058e-05,2.6112060708337825,0.026998653731076853,,40.20234039
32.0,0.20950161,0.00059564,9.47e-06,3.811049096406591,0.026992910360462294,,40.86441149
33.0,0.20951087,0.00062107,8.25e-06,2.2111539756584926,0.02672317216361132,,40.78672957
34.0,0.20950415,0.00060786,1.008e-05,3.183091398297836,0.0266869348653779,,40.67329546
35.0,0.20954077,0.0005891,8.41e-06,-0.35265485677716385,0.026772109107860077,,39.92236984
36.0,0.20952795,0.00057827,6.75e-06,1.3877549404475864,0.026977486047310442,,40.76293859
37.0,0.20950181,0.00059226,6.34e-06,3.967805627570422,0.026855631114284715,,41.05145289
38.0,0.20951676,0.00063456,4.86e-06,1.3961251399433585,0.02704934767543122,,40.79119852
39.0,0.2095426,0.00063148,2.17e-06,-1.2904271074150608,0.02661706956600946,,40.47863048
40.0,0.20952612,0.00062415,1.26e-06,0.7291343978449383,0.026866744227787086,,40.76241285
41.0,0.20952785,0.00065086,1.68e-06,-0.09937190368901268,0.026877069643794785,,39.962591
42.0,0.20953233,0.00066851,9.5e-07,-0.9795152752858313,0.02690643295636363,,39.80604413
43.0,0.20952795,0.00065316,-2.7e-07,-0.08966974633950597,0.027017036009053187,,39.5460527
44.0,0.20952236,0.00064242,7.8e-07,0.7422492564432839,0.026958883538456668,,40.41659007
45.0,0.20954748,0.00062074,3.94e-06,-1.6546210481498465,0.026753687449555665,,40.84969009
46.0,0.20953446,0.00064456,4.94e-06,-0.8109679266309466,0.026885158534864197,,40.58325797
47.0,0.20953517,0.00066637,4.41e-06,-1.3814422836703002,0.02697971352422315,,40.10783387
48.0,0.20951778,0.00067929,5.35e-06,0.21676721500535215,0.027020579697147957,,40.0844373
49.0,0.20956487,0.00067554,4.28e-06,-4.8996565161863606,0.026997403425822002,,40.49782103
50.0,0.20956152,0.00063999,3.06e-06,-3.627396105959119,0.026836447126081936,,40.68446797
51.0,0.20955592,0.00061461,4.48e-06,-2.4699450928374795,0.026808722710786267,,40.62610794
52.0,0.20952144,0.00058836,6.07e-06,1.8842972388284311,0.02671349611334356,,40.70444709
53.0,0.20952816,0.0005772,7.85e-06,1.3387638366995087,0.026811585849852524,,40.75886394
54.0,0.20953894,0.00057552,8.86e-06,0.14716943157191092,0.026857730370202906,,40.46049155
55.0,0.20952124,0.00057079,7.19e-06,2.298937231362948,0.02705944974803868,,40.24335022
56.0,0.20952988,0.00058601,5.77e-06,1.0313988326474768,0.02701127995145616,,40.05933209
57.0,0.20953639,0.00061942,5.15e-06,-0.4472987945593418,0.026815380758489965,,40.34732037
58.0,0.20953568,0.00062102,5.5e-06,-0.41844955092985114,0.026764224428765145,,40.34968632
59.0,0.20952775,0.00059667,5.08e-06,1.0403267324972378,0.026857645970345245,,40.03922141
60.0,0.20955043,0.00061424,6.7e-06,-1.9445559140807922,0.02688491090445987,,40.36887679
61.0,0.20951615,0.00064695,8.8e-06,1.0177607844801757,0.026926129147484962,,40.00346929
62.0,0.20955785,0.0006588,8.73e-06,-3.888661570306968,0.026932726052228257,,40.06498396
63.0,0.20955663,0.00063024,7.52e-06,-3.054717738555715,0.027052768874741496,,40.48441395
64.0,0.20954677,0.00063806,5.01e-06,-2.0373931654682695,0.02701211392102444,,39.88530341
65.0,0.20954718,0.00065444,2.93e-06,-2.3708405918949027,0.026843604254655266,,40.50859931
66.0,0.20956813,0.00065876,2.38e-06,-4.771970645659453,0.026852803756373562,,40.37387156
67.0,0.20950771,0.00063707,2.52e-06,2.407326979270418,0.026715556887479362,,40.28265112
68.0,0.20961349,0.00066394,2.35e-06,-9.886140756500247,0.026768619817688077,,40.48927727
69.0,0.20961522,0.00061374,1.63e-06,-8.86264691209725,0.026696295206840796,,40.48940869
70.0,0.20949236,0.0005937,9.9e-07,5.169325596081933,0.026770054455622895,,39.94103452
71.0,0.20955653,0.00058774,2.6e-06,-1.841829536014519,0.026799930967885494,,39.20653916
72.0,0.209537,0.00056976,5.9e-06,0.6093346956899259,0.026863211938649937,,39.8440307
73.0,0.2095305,0.00055828,6.49e-06,1.5729330703780353,0.026850965735057172,,39.50057399
74.0,0.20953344,0.00055371,6.23e-06,1.368703156356734,0.026955645258399736,,40.33864531
75.0,0.20953741,0.00055416,8.17e-06,0.84297002743184,0.026978032731129104,,40.49939825
76.0,0.20955307,0.00056346,8.96e-06,-1.1421628339458594,0.026862656878183355,,40.14739777
77.0,0.20950131,0.00056009,1.083e-05,4.58140089985602,0.02675714424272556,,40.28212535
78.0,0.20945828,0.00057149,1.221e-05,8.962042338387056,0.026605092782411556,,40.31091105
79.0,0.20930959,0.00057219,1.268e-05,25.04371083140002,0.02640197303332418,,40.28278257
80.0,0.20915967,0.00057251,1.332e-05,41.29046482471257,0.026382614493270153,,41.77280408
81.0,0.20906488,0.00059716,1.523e-05,50.93996777472274,0.026373473172561595,,41.75216776
82.0,0.20889564,0.00064201,1.712e-05,68.08668573008931,0.026320017314283312,,41.75965993
83.0,0.20869915,0.0006562,1.887e-05,88.37909388350602,0.02614343957101501,,41.72916549
84.0,0.2084284,0.00063979,2.05e-05,118.61351536641112,0.02632826803129379,,41.73626333
85.0,0.20831632,0.00066974,2.335e-05,129.1837150715449,0.026172552663139118,,41.67277706
86.0,0.20815909,0.00067349,2.721e-05,145.43972043151356,0.026098720474272297,,41.6681766
87.0,0.20791977,0.00069941,3.102e-05,170.3362198383739,0.02609731347471181,,41.65437524
88.0,0.20777118,0.00071105,3.594e-05,186.1152241250523,0.02614249332149241,,41.58786581
89.0,0.20745477,0.0007113,4.254e-05,218.02159672076547,0.025937030349209876,,41.55947443
90.0,0.20734696,0.00075907,4.925e-05,225.58885484135024,0.025643706751161902,,41.50978952
91.0,0.20710408,0.0007661,5.989e-05,249.53088040441745,0.02554144004380019,,41.42356386
92.0,0.2067414,0.00079449,7.254e-05,287.8078703884043,0.025674586038349066,,41.3886004
93.0,0.20644218,0.00084029,8.339e-05,316.4373190958184,0.02556610570289894,,41.36914705
94.0,0.20611499,0.00087185,9.594e-05,344.9997077273462,0.02524318934879127,,41.27043444
95.0,0.20580723,0.00089501,0.0001112,374.37199240015303,0.025160072797064136,,41.20734249
96.0,0.205573,0.00091826,0.00012406,398.0920948265158,0.02520341298137353,,41.12190548
97.0,0.20531649,0.00093673,0.00013504,421.0591900283956,0.025052385511271244,,41.05171568
98.0,0.20511918,0.0009996,0.00014762,439.96486856463235,0.025085461922941376,,41.01898674
99.0,0.20494252,0.00100862,0.00015703,457.3001103611639,0.025077901254659418,,40.90016357
100.0,0.20480318,0.00103989,0.00016568,470.8182879234966,0.02509360666692797,,40.78580941
101.0,0.2046852,0.00111444,0.0001758,475.36525801785194,0.024803899893086952,,40.71864277
102.0,0.20442331,0.001176,0.00018514,501.748630891379,0.024885341782995667,,40.62676512
103.0,0.20417189,0.00125862,0.00019533,521.1822117067677,0.024702792330141478,,40.51425115
104.0,0.20413853,0.00132103,0.00020895,521.6296435424065,0.024648591641453756,,40.43525477
105.0,0.20392027,0.00139267,0.00021937,539.6940668302076,0.024562448055162174,,40.32379233
106.0,0.20369448,0.00143587,0.00022878,558.3800936815853,0.02445087572275726,,40.23362342
107.0,0.20334929,0.00147467,0.00024099,587.4494715823407,0.024292147438320786,,40.09022067
108.0,0.20309807,0.00151339,0.00025415,611.7768213180126,0.024328296870406614,,40.01753349
109.0,0.20280933,0.00159004,0.00026536,630.6975156342455,0.02404230872990935,,39.87715391
110.0,0.20247878,0.00166999,0.00027432,659.1448989759343,0.023980460842792713,,39.76621723
111.0,0.20226754,0.00174364,0.00028226,674.591323976045,0.023865826459927356,,39.63477567
112.0,0.20205975,0.00182363,0.00029195,693.4294377326154,0.023892108417729534,,39.51030052
113.0,0.20191411,0.00192266,0.00030096,704.7622767005403,0.023877312339671317,,39.40449006
114.0,0.20184078,0.00202014,0.00030853,703.6824823438878,0.02367620051498813,,39.29184464
115.0,0.20166696,0.00206828,0.00031896,715.5137355788983,0.023562849173062676,,39.15882579
116.0,0.20135401,0.00215584,0.00032819,739.5537861655083,0.023448772838541562,,39.01923485
117.0,0.20092654,0.00227038,0.00033909,774.3862286879844,0.02336289501016349,,38.88200986
118.0,0.20065661,0.0023702,0.00034891,793.049281810479,0.02323377277732756,,38.74163028
119.0,0.20033969,0.00245138,0.00035796,815.0369914352508,0.023072996132381618,,38.5965188
120.0,0.20009336,0.00251384,0.00036841,847.1017702744077,0.02337157055196988,,38.45259029
121.0,0.19990805,0.00259181,0.00037744,848.223934784167,0.022980410315136885,,38.34612263
122.0,0.19960751,0.00267826,0.00038457,869.482173243137,0.022861857714502935,,38.1667049
123.0,0.1993866,0.00280203,0.00039403,887.5092577416241,0.022872889580523248,,38.02750829
124.0,0.19921492,0.00291176,0.0004027,896.1044064009549,0.022751140949274346,,37.87556185
125.0,0.19895506,0.00303191,0.00041175,905.7551993933814,0.022466927087641652,,37.72190667
126.0,0.19874687,0.00313415,0.00041823,937.7002821614496,0.022840515792894475,,37.57350915
127.0,0.19866621,0.00328289,0.00042521,938.2926548804102,0.022747658796793045,,37.39067394
128.0,0.1985043,0.00338345,0.00043803,933.9315789015266,0.022345344134149854,,37.23162966
129.0,0.19824627,0.00351154,0.00045029,947.8700227983873,0.022196298876867727,,37.04997743
130.0,0.1978429,0.0036386,0.00046095,980.7405718009533,0.022192468525625144,,36.90631181
131.0,0.19735206,0.00378672,0.00047101,1006.4707047266572,0.021874783749152374,,36.70008
132.0,0.19697677,0.00386671,0.00048068,1041.7367228434873,0.02196722261480959,,36.53078328
133.0,0.19678678,0.00400302,0.00049169,1048.0132263745095,0.02180941216724961,,36.35820051
134.0,0.19659303,0.00413407,0.00049944,1059.6739392431623,0.02175594388585846,,36.20323092
135.0,0.19643406,0.0042794,0.0005064,1060.621535047471,0.02155143634394042,,36.00698867
136.0,0.19623156,0.004426,0.00051341,1073.9009083277529,0.02152508960094633,,35.82481067
137.0,0.19611979,0.00454244,0.00052119,1101.634140886631,0.02193117210960347,,35.62147059
138.0,0.19602256,0.00467777,0.00052965,1082.9479016100004,0.02144490414477384,,35.47622767
139.0,0.19591872,0.00481618,0.00053532,1087.266040803125,0.021405330871232097,,35.30785103
140.0,0.1958643,0.00494439,0.00054178,1092.7331395881233,0.021467882088569798,,35.10451094
141.0,0.19577622,0.00508145,0.00054814,1087.6145022623896,0.021269970867460304,,34.89854203
142.0,0.1956434,0.00523891,0.00055451,1083.249025777001,0.02102265345022629,,34.70703168
143.0,0.19539259,0.00534679,0.00056384,1110.3464003781698,0.021180846559513102,,34.53326594
144.0,0.19518328,0.00546496,0.00056934,1135.595426981247,0.02136607238955967,,34.35805435
145.0,0.1951189,0.00561115,0.0005742,1127.4307373292133,0.02115898774339966,,34.17535059
146.0,0.19503946,0.00575656,0.00058156,1146.0501343797443,0.02143158119450468,,33.97726816
147.0,0.19486178,0.0058928,0.00058925,1145.8671963457184,0.021196142221577,,33.75013715
148.0,0.19471797,0.00599718,0.00059635,1154.0878710482345,0.021161470582252144,,33.55823248
149.0,0.19443706,0.00611967,0.00060466,1166.7974961197203,0.021008649776905437,,33.38827855
150.0,0.19426212,0.00627664,0.00061367,1184.0698189098243,0.021108249218320652,,33.15891304
151.0,0.19409247,0.0064462,0.00062043,1197.6663198004403,0.021151336270617924,,32.97450054
152.0,0.19401548,0.00657268,0.00062694,1192.4772555221143,0.020986616376595577,,32.76353684
153.0,0.19375094,0.00670608,0.00063733,1203.573707638026,0.020842640274941742,,32.59384579
154.0,0.19349414,0.00686753,0.00064359,1214.614434784377,0.020718869410546358,,32.37013227
155.0,0.19333812,0.00701578,0.00064609,1223.7750366639507,0.020699848534529143,,32.15456812
156.0,0.19322858,0.00718374,0.0006495,1226.8704484318537,0.020648339120876002,,31.98566572
157.0,0.19323814,0.00730635,0.00065192,1220.2681880019038,0.020583875907260227,,31.75787751
158.0,0.19327465,0.00742259,0.00065371,1222.1830596633656,0.02069821964149327,,31.55677193
159.0,0.19327577,0.00757976,0.00065722,1219.0638902220842,0.02069078607384275,,31.34265364
160.0,0.19341603,0.00770287,0.00066139,1210.5452440661925,0.020776082586627356,,31.14181094
161.0,0.19349464,0.00780767,0.0006666,1197.0219163637112,0.020684901929709176,,30.92861274
162.0,0.19351,0.00792736,0.00067329,1183.869950046484,0.020514843245197607,,30.76601954
163.0,0.19341318,0.00806429,0.00067798,1183.9121324551184,0.020420071777133602,,30.52245834
164.0,0.19326092,0.00821414,0.00068248,1195.9180798464154,0.020458283797579378,,30.30321383
