Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20939585,0.00070262,2.06e-06,5362.353951194988,0.026955693903751285,,-868.98270087
1.0,0.2093978,0.00067676,3.6e-06,6752.941718823219,0.026924725675873527,,-868.9916333
2.0,0.20943785,0.0006572,4.2e-06,-10416.761164440082,0.02685094080639011,,-868.84135836
3.0,0.20942583,0.00066135,1.66e-06,-4736.700230344268,0.02699582873539052,,-868.88602049
4.0,0.20942994,0.00063383,7.1e-07,-3765.1698639315873,0.026820004374813366,,-869.07097426
5.0,0.20942039,0.00065346,1.57e-06,-1325.108392150805,0.026714806504535612,,-868.83820574
6.0,0.20941094,0.00067127,4.1e-06,968.8583999714257,0.026940882118529116,,-868.92700456
7.0,0.2094283,0.00068522,6.06e-06,-9072.184977666544,0.02713550508247382,,-868.83137506
8.0,0.20939636,0.00067123,7.38e-06,7394.567277897002,0.02702256909539373,,-868.81876458
9.0,0.20942676,0.00066635,8.39e-06,-6723.208250891624,0.026734486753609385,,-868.9616834
10.0,0.20939811,0.00067135,5.87e-06,6777.079697630119,0.026946327465239978,,-868.87288457
11.0,0.20941721,0.00067895,5.13e-06,-2947.0012894810616,0.026908741724901136,,-868.8618504
12.0,0.20941813,0.00065513,5.15e-06,-1010.117905815585,0.02678536392542072,,-868.9317335
13.0,0.20940817,0.00064346,3.88e-06,5070.788162836648,0.02680433256130673,,-856.49727181
14.0,0.20942183,0.00067261,2.22e-06,-4053.1338611819397,0.027038700350974262,,-31.32291804
15.0,0.20942891,0.00068737,2.06e-06,-8909.888225192779,0.027110672842037192,,-5.03586109
16.0,0.20940221,0.00065529,1.07e-06,7272.45558397495,0.02715447477023225,,-4.66069954
17.0,0.20943364,0.00064175,2.3e-06,-6619.953618448191,0.027045144508053523,,-4.48100032
18.0,0.20943815,0.00065903,5.54e-06,-11028.962906495748,0.027018320500457653,,-4.28028364
19.0,0.20941885,0.00066936,7.32e-06,-3149.8388462818393,0.02707098232769859,,-4.3086572
20.0,0.20942881,0.00063529,6.66e-06,-4368.2199036161155,0.026939941640776174,,-4.20251906
21.0,0.20942398,0.00060464,4.28e-06,1381.5957488011363,0.027005819396612382,,-4.14156845
22.0,0.20946506,0.00062074,4.61e-06,-19801.031750484548,0.02689755201190778,,-4.15522979
23.0,0.20940427,0.00062724,2.8e-06,8650.75693519675,0.02664296259762529,,-4.04804078
24.0,0.20940879,0.00065289,3.9e-06,3835.986811841625,0.02678778991073119,,-4.04593904
25.0,0.20939533,0.00065952,2.49e-06,9850.735025404076,0.02698660952735238,,-3.85152759
26.0,0.20942121,0.00064301,6.1e-07,-526.4865216348085,0.0269387164002068,,-3.93875002
27.0,0.20946434,0.00062114,8.5e-07,-19036.9224831383,0.027119212018634452,,-3.8226286
28.0,0.20938342,0.00060846,3.36e-06,20459.526217896197,0.02695471967022766,,-3.81947598
