Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20940361,0.00058383,2.71e-06,-14.617597788846323,0.027109686030378922,,-1.40946803
1.0,0.20941059,0.00058068,5.71e-06,-14.911708394746856,0.02698351201656822,,-1.439491
2.0,0.20943779,0.00058832,6.38e-06,-16.297249341578475,0.026911205996602017,,-1.4170721
3.0,0.20942301,0.00056795,4.3e-06,-15.31219331856923,0.026885797056121142,,-1.38324709
4.0,0.20941428,0.00053261,1.75e-06,-14.583337088323486,0.027082211696474567,,-1.41602326
5.0,0.20943225,0.00054537,3.7e-06,-15.628030586495356,0.027067406613858647,,-1.39360436
6.0,0.20945319,0.00056812,2.92e-06,-16.91146101552309,0.027110929542021118,,-1.41746541
7.0,0.20940638,0.00059368,3.45e-06,-14.76319069551845,0.02691619337070955,,-1.44407966
8.0,0.20944682,0.00059462,6.38e-06,-16.764840241455403,0.026846108390080434,,-1.43005146
9.0,0.20941767,0.00059483,8.96e-06,-15.425384186601928,0.02692047257268522,,-1.3975375
10.0,0.20943409,0.0006069,1.066e-05,-16.543290334755035,0.027180525115053762,,-1.42965815
11.0,0.20942681,0.00060849,1.012e-05,-16.116408604298226,0.027057796914579105,,-1.40422384
12.0,0.20942393,0.00059483,8.8e-06,-15.77125513198789,0.026990826489893885,,-1.38036279
13.0,0.20945401,0.00055503,9.02e-06,-16.82532136030954,0.026958311472166995,,-1.42598722
14.0,0.20943009,0.00053674,1.041e-05,-15.571391825413208,0.027110679666697356,,-1.41392559
15.0,0.20941572,0.00054505,7.14e-06,-14.868592578061914,0.027070074372075908,,-1.43149361
16.0,0.20941675,0.00054627,3.64e-06,-14.692234378466104,0.026742198364315142,,-1.38508256
17.0,0.20940463,0.00053785,2.52e-06,-14.023080575420895,0.02679391698072118,,-1.40173285
18.0,0.20944857,0.00054067,2.04e-06,-16.311023932950917,0.026991291449583784,,-1.42100524
19.0,0.20941582,0.00054934,3.8e-07,-14.722035812647658,0.026922759092230974,,-1.38534477
20.0,0.20942013,0.00049535,1.4e-06,-14.5072187899904,0.027131838695604538,,-1.40619041
21.0,0.2094303,0.00057597,4.03e-06,-15.756148108914921,0.026900302923540915,,-1.38324709
22.0,0.20940946,0.00053323,7.99e-06,-14.255842624556285,0.026703309126190938,,-1.41104128
23.0,0.20946284,0.00054357,7.91e-06,-17.064320425752417,0.026866458913648868,,-1.38770465
24.0,0.20942054,0.00049261,5.99e-06,-14.539216628074014,0.027060441115155,,-1.38836017
25.0,0.20940894,0.00053642,8.89e-06,-14.432840327193091,0.02699248803786637,,-1.42388954
26.0,0.20909522,0.00054374,1.044e-05,0.908131575356033,0.027103177304435008,,-1.37197209
27.0,0.20781804,0.00057896,7.1e-06,63.58661001126659,0.02712895016981809,,-1.39543983
28.0,0.20619932,0.00060726,6.31e-06,141.67951821034953,0.026933891582339897,,-1.40055291
29.0,0.20522098,0.00058158,6.66e-06,189.22576413461434,0.026918203739312956,,-1.39858634
30.0,0.20450566,0.00054975,6.91e-06,224.6255740298453,0.02698548865612189,,-1.41916977
31.0,0.2040322,0.00058456,6.07e-06,247.99957085160563,0.027077591717366716,,-1.42349623
32.0,0.20501587,0.0006071,4.98e-06,201.02759937760197,0.027204603991903727,,-1.38364041
33.0,0.20657012,0.00059708,4.83e-06,124.70195221388005,0.02713168283764422,,-1.40251948
34.0,0.20760667,0.00055405,4.53e-06,74.36145985937551,0.02715911499231727,,-1.42100524
35.0,0.20823494,0.00055388,1.59e-06,43.2119166203249,0.02700420636340272,,-1.38940901
36.0,0.20862022,0.00056305,-1e-07,24.374407497265434,0.02715756717461887,,-1.39072006
37.0,0.20885346,0.00060272,5.5e-07,12.448758793360092,0.027204671074157395,,-1.38482035
38.0,0.20906083,0.00059368,3.69e-06,2.2043269352051102,0.027087625190176726,,-1.36410581
39.0,0.2091757,0.00060743,6.57e-06,-3.646367682010372,0.027005441991161363,,-1.36607238
40.0,0.20925834,0.00063308,8.44e-06,-7.906032533553154,0.0266500117000582,,-1.39085116
41.0,0.20928894,0.00060203,6.28e-06,-9.210857532663937,0.027150964750686808,,-1.36803895
42.0,0.20934293,0.00063995,3.56e-06,-12.263970439236966,0.027223608529860735,,-1.39648866
43.0,0.20934848,0.00063623,2.21e-06,-12.346476886525712,0.0269372510113485,,-1.42598722
44.0,0.2093454,0.00060955,6.53e-06,-12.010175256255923,0.026973936542829643,,-1.37577413
45.0,0.20937219,0.00055572,6.6e-06,-12.876614248545254,0.027189200622420216,,-1.35873052
46.0,0.20937332,0.00053057,7.03e-06,-12.734290411203117,0.02730835223447312,,-1.403175
47.0,0.20936726,0.0005403,4.72e-06,-12.352793116633148,0.026999234233239605,,-1.43700001
48.0,0.2093495,0.00056844,6.56e-06,-11.787744893831128,0.02697170812717308,,-1.43346018
49.0,0.20936583,0.00058346,8.66e-06,-12.840637599690268,0.02709623662310954,,-1.42257849
50.0,0.20935956,0.00057258,1.032e-05,-12.415447586223996,0.027028797158681162,,-1.39452209
51.0,0.20939734,0.00055752,1.132e-05,-14.180210336499323,0.027106310809636432,,-1.38495145
52.0,0.2095619,0.0005565,1.167e-05,-22.266955696268393,0.02704730075693176,,-1.38364041
53.0,0.20970378,0.0005608,9.93e-06,-29.384745288639802,0.0271360218405804,,-1.40920582
54.0,0.20969074,0.0006134,1.036e-05,-29.20330447117151,0.027053091866393892,,-1.40225727
55.0,0.20957433,0.00061954,1.13e-05,-23.477977605236948,0.026990819388042212,,-1.39596425
56.0,0.20953018,0.00057413,1.137e-05,-20.952872359107236,0.027143897706272777,,-1.41549884
57.0,0.2095115,0.00061659,9.81e-06,-20.556063989468438,0.02729575146284435,,-1.39242442
58.0,0.20947844,0.00063393,7.39e-06,-18.787609570070934,0.026921942139245963,,-1.39911076
59.0,0.20948737,0.00059254,7.4e-06,-18.67767463636543,0.026746395832587914,,-1.41746541
60.0,0.20945719,0.00057413,8.26e-06,-17.05379676201978,0.026782512887476205,,-1.41759652
61.0,0.20945493,0.00054799,5.65e-06,-16.733651965898378,0.02694691306845176,,-1.42218518
62.0,0.20935915,0.00054783,2.73e-06,-11.922964125111184,0.026832083184967898,,-1.41785873
63.0,0.2093726,0.00056726,3.41e-06,-12.740920047878799,0.026725057593630225,,-1.4283471
64.0,0.20941911,0.00057282,4.4e-06,-15.260678550282455,0.02704179786471882,,-1.39307994
65.0,0.20931029,0.00052639,8.07e-06,-9.460573506317603,0.02699777326566325,,-1.41694099
66.0,0.20933369,0.00053089,1.142e-05,-10.71510822945401,0.026995451378727244,,-1.40959913
67.0,0.20940751,0.00054206,1.031e-05,-14.379214929387892,0.02686998676699995,,-1.4115657
68.0,0.20935145,0.0005194,9.4e-06,-11.413704441768216,0.026941264346476777,,-1.41366338
69.0,0.20938359,0.00051371,8.95e-06,-12.92035295622548,0.026927792134654488,,-1.41851425
70.0,0.20937928,0.0005259,7.01e-06,-12.877454635681126,0.02708825138923923,,-1.35951715
71.0,0.20928904,0.00053993,4.65e-06,-8.509168832470829,0.027040038517756732,,-1.4228407
72.0,0.20931203,0.00058702,5.4e-06,-10.077427775346202,0.02686825313773185,,-1.41012355
73.0,0.20931255,0.00058706,8.25e-06,-10.213009407661975,0.027030905623347617,,-1.41117239
74.0,0.2092799,0.0005619,9.4e-06,-8.350207539153514,0.026988240672101933,,-1.40199506
75.0,0.20930084,0.00058755,9.86e-06,-9.639401616195281,0.026950356108284505,,-1.41680989
76.0,0.20927939,0.00059299,9e-06,-8.672220379184227,0.027092939468204923,,-1.41038576
