Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20935751,0.00051408,4.98e-06,1.9896553930002208,0.02645582656451163,,-1.11054233
1.0,0.20939098,0.00049874,3.06e-06,0.37001591937687195,0.02607855428733878,,-1.06970658
2.0,0.2093376,0.00049935,1.15e-06,3.2905150200493885,0.026252035979732823,,-1.03215344
3.0,0.20937486,0.00049915,1.1e-06,1.2657532132866833,0.026019798352357633,,-1.08861445
4.0,0.20940484,0.00048724,2.27e-06,-0.23132839646499115,0.026108174766384547,,-1.11500669
5.0,0.20939878,0.00052562,4.27e-06,-0.38191100606361955,0.02657672721053926,,-1.12170323
6.0,0.20937281,0.00055083,6e-06,0.7088085089257219,0.026194618621162655,,-1.10673449
7.0,0.20934591,0.0005667,4.68e-06,1.9992145608385767,0.02609536976731524,,-1.12800585
8.0,0.20940402,0.0005459,3.21e-06,-0.8616978190662505,0.025967892114725673,,-1.10752232
9.0,0.20939201,0.00052897,1.63e-06,0.0006292176279191214,0.026266013564732495,,-1.12446062
10.0,0.20938287,0.00053529,2.1e-06,0.4137644002720564,0.02617718377943519,,-1.09964404
11.0,0.20938482,0.00051967,2.84e-06,0.47789669450911043,0.026541233483177128,,-1.12551106
12.0,0.20935587,0.0005459,5.64e-06,1.7038933997917818,0.02646818016562803,,-1.11999627
13.0,0.20938985,0.00054606,7.4e-06,-0.18378069512196407,0.026195289548539474,,-1.07390833
14.0,0.20937219,0.00053068,8.82e-06,0.9211101347169336,0.026292527749211928,,-1.10831015
15.0,0.2093761,0.00052656,9.47e-06,0.7414081602155175,0.02620981838373412,,-1.10515884
16.0,0.20939293,0.00053668,7.63e-06,-0.2485502280869392,0.026222250014365883,,-1.08244313
17.0,0.20936983,0.00052436,8.35e-06,1.1242257300593972,0.02616662942472755,,-1.07220136
18.0,0.20938667,0.00052061,8.08e-06,0.26377533304467066,0.026240537290323242,,-1.10240144
19.0,0.20940115,0.00053125,5.11e-06,-0.5811747779149746,0.026075225621283348,,-1.09176576
20.0,0.20939088,0.00054117,2.74e-06,-0.09694950589546994,0.02615094208351586,,-1.08913967
21.0,0.2094225,0.0005368,2e-06,-1.7524385824960456,0.026352239212094487,,-1.11329973
22.0,0.20936799,0.00051783,1.02e-06,1.4482584429104939,0.026428275980666785,,-1.07837268
23.0,0.2094111,0.00051983,2.78e-06,-0.960053336002829,0.02651117196718725,,-1.07469615
24.0,0.20940566,0.00054357,5.16e-06,-0.9719769918469197,0.026306691510006464,,-1.09189707
25.0,0.20943451,0.00056442,3.93e-06,-2.7491497771602815,0.026286759133618207,,-1.08611966
26.0,0.20940494,0.00054161,2.92e-06,-0.8631153377231139,0.0261389894959566,,-1.10253274
27.0,0.20945196,0.00055654,4.55e-06,-3.6163211702811533,0.026279156491884812,,-1.10318927
28.0,0.20944775,0.00055765,6.55e-06,-3.413057033414274,0.02608710872188258,,-1.09478577
29.0,0.2094304,0.00054316,7.35e-06,-2.364216371998423,0.02645883229865126,,-1.12301627
30.0,0.20943297,0.00056882,6.19e-06,-2.7482610459749397,0.02619411570809988,,-1.08861445
31.0,0.2094381,0.00056491,4.09e-06,-2.957479645043308,0.02633233881018763,,-1.11973366
32.0,0.20943574,0.00056242,3.93e-06,-2.7967631623072817,0.02632109178441396,,-1.12157192
33.0,0.20946305,0.00055483,3.92e-06,-4.199407136559462,0.026361760180589403,,-1.07233267
34.0,0.20944396,0.00053272,6.68e-06,-2.945580019063053,0.026221958443026445,,-1.11172407
35.0,0.20941808,0.00053541,7.03e-06,-1.5928494492864482,0.026385546681254646,,-1.12262236
36.0,0.20943215,0.00055585,5.48e-06,-2.5469742903866583,0.02622612533075209,,-1.10634058
37.0,0.20932743,0.00055169,5.29e-06,3.157737528742144,0.02614852791185101,,-1.07942312
38.0,0.20937815,0.00055218,4.51e-06,0.4304130174803443,0.02604447779333668,,-1.05618219
39.0,0.20942291,0.00055128,5.93e-06,-1.9941230385451174,0.026099698642226155,,-1.06905005
40.0,0.20942537,0.00054985,6.46e-06,-2.1125313922443647,0.026004429364670963,,-1.0787666
41.0,0.2094073,0.00054447,7.27e-06,-1.0971320691415438,0.025984659528917025,,-1.07220136
42.0,0.20939242,0.00057086,8.11e-06,-0.6112997264891423,0.025972226774253485,,-1.06944397
43.0,0.20939765,0.00059146,8.6e-06,-1.1397890357446572,0.02615801658540093,,-1.1012197
44.0,0.20938564,0.00059281,8.83e-06,-0.5106131087636387,0.026116433991457737,,-1.1152693
45.0,0.2093762,0.00059407,7.35e-06,0.01105291966190515,0.02590906995320032,,-1.09623012
46.0,0.20939057,0.00058832,7.64e-06,-0.7013086929063398,0.026041172793925534,,-1.10187622
47.0,0.20938924,0.00055814,9.58e-06,-0.325447987711263,0.02597330875636062,,-1.10095709
48.0,0.20937476,0.00057099,8.88e-06,0.3195254528973112,0.02602535094516881,,-1.08900836
49.0,0.20936881,0.00057372,5.49e-06,0.6734659969557658,0.026120771430304713,,-1.07824138
50.0,0.20937219,0.00057984,3.67e-06,0.45481269476317177,0.02604066288611447,,-1.08060486
51.0,0.20937291,0.00054276,1.69e-06,0.8717922279075686,0.026094267934088644,,-1.12393541
