Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20954817,0.00060007,-1.43e-06,-4.182719551554066,0.025342228702760483,0.1016410529486903,-1.2720094
1.0,0.20926314,0.00058264,-5.5e-07,10.940031463193167,0.025468781684243567,0.10263218742907641,-1.2388516
2.0,0.20949561,0.00055279,1.59e-06,-0.9754846089951664,0.025443064947762113,0.10185897660849993,-1.26490416
3.0,0.20949428,0.00056034,2.53e-06,-1.0114634174726407,0.0255867486056704,0.10431425632320608,-1.25108841
4.0,0.20936034,0.00058629,2.23e-06,5.760985943621464,0.025530398920349823,0.10305834645551344,-1.21095695
5.0,0.20946749,0.00056636,1.17e-06,0.3633233889427844,0.02579171563681213,0.10175426001434196,-1.24529895
6.0,0.20945138,0.00057916,2.92e-06,1.0326051358449595,0.025477462341885984,0.10128576205905299,-1.25648313
7.0,0.20950752,0.00055353,4.47e-06,-1.679449612970222,0.025728157063360943,0.10251383979831905,-1.24661474
8.0,0.20944306,0.00056735,6.23e-06,1.5424876116446005,0.025524112454127276,0.10041713356728564,-1.25819365
9.0,0.20946729,0.00058108,3.95e-06,0.15818728003203972,0.02569743279087761,0.10290454593448921,-1.26845678
10.0,0.20946831,0.00058756,2.22e-06,0.06367596623635423,0.025634004708808514,0.1027916110972269,-1.264641
11.0,0.20947755,0.00059277,2.98e-06,-0.4992647035959839,0.025780064962559003,0.10233324359033556,-1.24622
12.0,0.20946883,0.00061749,2.18e-06,-0.2942982918795634,0.025596020039161397,0.10125959700984698,-1.2572726
13.0,0.20948053,0.00062783,1.7e-07,-0.9950700150283429,0.02573433462962138,0.0999900556894658,-1.25121999
14.0,0.2094796,0.00061987,2.6e-07,-0.8534469341570688,0.025574074215555413,0.10284418941303866,-1.30108826
15.0,0.20948699,0.00060462,2.78e-06,-1.1275518662627724,0.025733311151532243,0.10298090136323325,-1.27911464
16.0,0.20950095,0.00058863,3.76e-06,-1.6950185286597135,0.025529055008545774,0.10294303553660329,-1.28108832
17.0,0.20947734,0.00060392,5.18e-06,-0.6485994930528244,0.025614789969965274,0.10079753425368017,-1.2443779
18.0,0.20949808,0.00057977,5.07e-06,-1.4667226736230685,0.025473244742766386,0.1025372808155576,-1.27332519
19.0,0.20946339,0.00060273,3.25e-06,0.13606856053261682,0.025483062586272625,0.10321215958038159,-1.24885157
20.0,0.20950177,0.00057846,2.02e-06,-1.6013398881716,0.025642132546414537,0.10085494062139755,-1.26358837
21.0,0.20948699,0.00055956,1.72e-06,-0.6028361422377461,0.025564268419210064,0.10154084442567847,-1.29293039
22.0,0.20951142,0.00057719,4.33e-06,-2.127939672049028,0.02549919482204678,0.10115494180818266,-1.24753579
23.0,0.20949048,0.00057641,4.82e-06,-1.0346620105827518,0.025691309105275745,0.10356200915488085,-1.23306214
24.0,0.20946503,0.00055332,5.66e-06,0.5566228038693517,0.02577372405196774,0.1033537064035908,-1.2535884
25.0,0.20946729,0.00054229,6.2e-06,0.5478359794208155,0.025697854989167726,0.10323485145541846,-1.23687792
26.0,0.20948658,0.00057522,3.8e-06,-0.7949159980203192,0.025652575254960903,0.10146860369425252,-1.23582529
27.0,0.20949962,0.00057571,2.54e-06,-1.4686314411472303,0.025676867212128855,0.10288334416840202,-1.24753579
28.0,0.20944204,0.00054455,2.73e-06,1.925403497507332,0.025712526950728936,0.10458738816204814,-1.27371992
29.0,0.20950393,0.00056718,1.5e-06,-1.580002896027835,0.025625676031733668,0.10261802404197086,-1.24595684
30.0,0.20945127,0.0005648,9.4e-07,1.2345270491999538,0.02552058778798346,0.10125536188875864,-1.27424624
31.0,0.20948946,0.00054574,-3e-07,-0.544520918081688,0.025610587584336972,0.10309590481753839,-1.27332519
32.0,0.20952271,0.00052434,-6.4e-07,-2.053153707580656,0.025554625837610163,0.10426322762661172,-1.28424621
33.0,0.20953226,0.0005124,-9.6e-07,-2.4255374444798297,0.025626303825599266,0.1034097777424986,-1.25056209
34.0,0.20951583,0.0005195,1.8e-06,-1.6825379288951456,0.025570423057029515,0.10309187699629213,-1.25845681
35.0,0.20946821,0.0005361,3.62e-06,0.6111415100274155,0.025533550733783245,0.10622098670143253,-1.24187791
36.0,0.20947632,0.00052548,2.53e-06,0.32364732596641305,0.02573277832582369,0.10523606370335863,-1.28779883
37.0,0.2095029,0.00053967,3.28e-06,-1.2477888237609156,0.02551321095062249,0.10346261989896738,-1.25582524
38.0,0.20949356,0.00053639,4.44e-06,-0.7446352486260523,0.02562990226061132,0.10284858483987794,-1.26582521
39.0,0.20949141,0.00055181,5.69e-06,-0.8179967472695485,0.025422530951236044,0.10405178189936073,-1.29135145
40.0,0.20949171,0.00057838,6.55e-06,-1.1449125494914083,0.02550233439828841,0.10291995295335664,-1.26950941
41.0,0.2094991,0.00057116,5.4e-06,-1.4357275974955717,0.025548853307568408,0.10421435472209206,-1.25674629
42.0,0.20951193,0.0005908,6.12e-06,-2.3407395384145433,0.025535993249749218,0.10570472529477588,-1.26411469
43.0,0.20954878,0.00061118,6.25e-06,-4.476235952118018,0.025348245298108658,0.10694068702364477,-1.25319367
44.0,0.20949531,0.00062639,4.38e-06,-1.8166054608584645,0.025395980016089562,0.10294373600036671,-1.26161469
45.0,0.2095029,0.00061089,4.19e-06,-2.042144354670934,0.025415771303051383,0.1046368308450901,-1.24095686
46.0,0.20947201,0.00057075,4.94e-06,0.0045753365536653845,0.02525218297943888,0.10377369801080084,-1.24911473
47.0,0.20949746,0.00059314,3.5e-06,-1.537958655331305,0.025228224547996368,0.10609379802887957,-1.26385153
48.0,0.20949315,0.00060503,4.4e-06,-1.4730834262752814,0.025461941078506363,0.10407414020645496,-1.27043046
49.0,0.20948289,0.00056005,3.45e-06,-0.4189274658878966,0.025282059840018987,0.10462153481628661,-1.30095669
50.0,0.2094911,0.00053836,4.76e-06,-0.6359173328856759,0.025376185557190328,0.10219681623159464,-1.25871997
51.0,0.20948053,0.00053135,6.3e-06,-0.033765971533428675,0.02542034207842754,0.1041783380633791,-1.25950944
52.0,0.20945107,0.00057829,6.64e-06,0.9858019737809655,0.025345381293474994,0.10537374092324939,-1.27411466
53.0,0.20943526,0.00059457,5.85e-06,1.6563000899742302,0.025471787596410445,0.10245012101006461,-1.24845684
54.0,0.20947642,0.00060105,5.67e-06,-0.5710340493666025,0.025342915092209872,0.10327348300650672,-1.22385164
55.0,0.20943865,0.00060372,7.07e-06,1.349781143817453,0.02536676724838983,0.1040130947972276,-1.28227253
56.0,0.20947704,0.00061466,7.74e-06,-0.7908066590816919,0.025370613417332624,0.10345529091767014,-1.23740424
57.0,0.20947006,0.0006129,5.88e-06,-0.3740715365286732,0.02546895024077631,0.10515238759065633,-1.26595679
58.0,0.20944522,0.00060187,4.25e-06,1.0786040608875616,0.02539639098468062,0.10336704790071671,-1.28253569
59.0,0.20946729,0.00059232,5.02e-06,0.013605233048031202,0.02544294362018743,0.10176228848823628,-1.28635146
60.0,0.20946852,0.00056558,5.56e-06,0.23275101192779432,0.025377591121329417,0.10404068878502011,-1.29714091
61.0,0.20946102,0.00057477,5.88e-06,0.518502662863294,0.02536902743490199,0.1061705596147113,-1.2867462
62.0,0.20940036,0.00058215,3.38e-06,3.6696946740783454,0.025463888934485115,0.10432696654716259,-1.29279881
63.0,0.20948042,0.00057018,1.36e-06,-0.36603983638752263,0.025480316501923478,0.10151513765596454,-1.28187779
64.0,0.20950013,0.00058227,2.6e-07,-1.5231346663024095,0.02561621412774768,0.10354564789235546,-1.28556199
65.0,0.20944471,0.00058018,1.97e-06,1.389686339330813,0.025489064363368792,0.10077944728340875,-1.29398302
66.0,0.20942151,0.00057805,5.67e-06,2.569962197738981,0.02553497735948592,0.10250420624921937,-1.26227259
67.0,0.20946061,0.00058666,7.08e-06,0.3917277611731949,0.025620383788706864,0.10401335878381701,-1.29477249
68.0,0.20945066,0.00060806,4.8e-06,0.718911655827917,0.02550709533713554,0.10259729069343332,-1.27371992
69.0,0.20945815,0.00058301,6.39e-06,0.5730231168035841,0.025544621442536785,0.10359954406436098,-1.28635146
70.0,0.20947693,0.00056739,9.03e-06,-0.2898448548654526,0.02536296040946976,0.10363970570855544,-1.27977254
71.0,0.20947509,0.00058104,9.8e-06,-0.35925902451620073,0.025511203842475846,0.10295445805397989,-1.29056198
72.0,0.20947119,0.00055341,1.026e-05,0.14260939756329438,0.025574350282440046,0.101903112812685,-1.26345679
73.0,0.20951409,0.00054229,9.35e-06,-1.967033997004532,0.025398734188106876,0.10250426347712589,-1.26332521
74.0,0.2094678,0.00055583,9.31e-06,0.30951719815126244,0.025373707772801783,0.10251661607774872,-1.2959567
75.0,0.20948586,0.00058002,8.73e-06,-0.8917451540388923,0.025412000688056643,0.10244104817542186,-1.2535884
76.0,0.20942685,0.00056165,5.11e-06,2.483792800727441,0.025574762985919326,0.10283002479249628,-1.27621991
77.0,0.20948073,0.00053426,4.39e-06,-0.04193356808726929,0.025608283505957383,0.10178960915775455,-1.29332513
78.0,0.20950896,0.00051626,6.65e-06,-1.3715250916886739,0.025546684494085183,0.09905371836597858,-1.29345671
79.0,0.20950075,0.00054447,7.59e-06,-1.2662667988176513,0.025519178382775082,0.10239165130958297,-1.27161466
80.0,0.2094756,0.00057489,7.81e-06,-0.28241027165941995,0.025540098232464475,0.10347004101316473,-1.2701673
81.0,0.20948042,0.00060855,7.97e-06,-0.9082328774476583,0.02546638703550892,0.10108514692318381,-1.28082516
82.0,0.20947755,0.00060577,6.2e-06,-0.6871587399530097,0.02518803891733864,0.10085861630487761,-1.28371989
83.0,0.20952025,0.00058412,6.8e-06,-2.711790989261298,0.025481388116727705,0.10204352961938346,-1.24753579
84.0,0.20949243,0.00056911,8.38e-06,-1.1182968468126877,0.025604390888446616,0.10197363966540388,-1.26871994
85.0,0.2094405,0.00059014,5.64e-06,1.4406229959982622,0.025595925726542967,0.09938597013979007,-1.23108847
86.0,0.20945784,0.00059638,5.6e-06,0.4545803392221489,0.025458591167067487,0.1004449980240239,-1.25595682
87.0,0.20949058,0.00058223,5.49e-06,-1.1049199241028387,0.025416364809005717,0.10178318077708255,-1.27556202
88.0,0.20948402,0.00060409,4.2e-06,-0.9806538692421944,0.025488762111900005,0.10152936982821505,-1.29608828
89.0,0.20948514,0.00062065,5.09e-06,-1.2377377243736205,0.02547934642617301,0.10056100749406105,-1.27450939
