Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20941212,0.00063751,7.01e-06,4.730330687829335,0.02688454513618347,,51.97287339
1.0,0.20941649,0.00067959,8.78e-06,4.04677519969395,0.026835968967432573,,51.67064141
2.0,0.2093067,0.00076004,1.323e-05,8.140921998533116,0.02565076429934304,,51.36003227
3.0,0.20847129,0.00086354,1.941e-05,43.352990947804436,0.02416199949860443,,52.02915739
4.0,0.20655324,0.00099813,2.387e-05,123.68477202078456,0.023723327283435992,,52.32405938
5.0,0.20439274,0.00133916,2.735e-05,211.12000445252286,0.023539482316004043,,52.13688234
6.0,0.20259414,0.00168294,3.456e-05,284.2480447679358,0.023588811416921242,,52.08753567
7.0,0.20181545,0.00194598,3.981e-05,311.85488910350136,0.023383790763085364,,51.93190387
8.0,0.20153193,0.0022395,4.121e-05,321.8473667242886,0.02343529629242072,,51.75585276
9.0,0.20146708,0.00251378,4.675e-05,321.2764982608173,0.023370886163067203,,51.54786375
10.0,0.20141442,0.00277699,5.247e-05,321.9491585516071,0.023427231230937366,,51.42168288
11.0,0.20139754,0.00301681,5.524e-05,319.6387585195857,0.023357216709460282,,51.291837
12.0,0.2014441,0.00322461,5.936e-05,319.5238407695077,0.023624679736231807,,51.16526345
13.0,0.20156833,0.00341329,6.187e-05,310.5098825852894,0.023461576209409116,,50.97717018
14.0,0.20157676,0.00358309,6.588e-05,309.8293557902582,0.023549873574828434,,50.83606751
15.0,0.20159323,0.00373587,6.909e-05,306.4918037352966,0.023449928853542672,,50.68122107
16.0,0.20146748,0.00388298,7.192e-05,309.50799925762755,0.023378260642277344,,50.54051107
17.0,0.20142977,0.004009,7.56e-05,309.2494273038999,0.02332434802433332,,50.39469625
18.0,0.20135841,0.00414652,7.846e-05,313.2141348136386,0.023489167056607682,,50.25307
19.0,0.20134082,0.00427892,8.213e-05,312.0468240333042,0.023434253890074787,,50.07322299
20.0,0.20133045,0.00440804,8.302e-05,311.367895308211,0.023433526672140503,,49.92950246
21.0,0.20131988,0.00452554,8.6e-05,309.54489110089133,0.023340758853834416,,49.7993948
22.0,0.20123916,0.00463032,8.971e-05,312.61758438524623,0.02338950943905484,,49.61706082
23.0,0.20118254,0.00474424,9.337e-05,310.41189462440843,0.023124875001855085,,49.49323603
24.0,0.20115977,0.00481152,9.308e-05,311.4702633771617,0.023175240740064162,,49.3025249
25.0,0.20089323,0.00491803,9.397e-05,317.88044752987173,0.022909901263531714,,49.19911942
26.0,0.20066501,0.00506526,9.604e-05,325.8540620410377,0.0229039662912448,,49.0476762
27.0,0.20050998,0.00517642,9.716e-05,332.619505297759,0.022999565908405215,,48.84309041
28.0,0.20045204,0.00529961,9.909e-05,332.471237631687,0.022898006433298413,,48.67397663
29.0,0.20038637,0.00541867,9.984e-05,332.24011986660037,0.022766681479871265,,48.55132987
30.0,0.20021813,0.00553218,0.00010088,336.2940331153336,0.02264469846012855,,48.37567144
31.0,0.20009513,0.00563079,0.00010189,343.48886230623015,0.0228482820654684,,48.24019717
32.0,0.2001732,0.00574508,0.00010315,335.69026540641426,0.022600559446277476,,48.08273287
33.0,0.20012613,0.00582393,0.00010558,337.9261967385644,0.022668757643783493,,47.88796406
34.0,0.20015287,0.00592904,0.00010948,338.72200916962,0.022856248007307036,,47.72997619
35.0,0.20020929,0.00599458,0.00011165,333.15559455436613,0.022671938514346752,,47.55471044
36.0,0.20026896,0.00604267,0.00010866,332.05796223563084,0.02278564976887177,,47.41714188
37.0,0.20031175,0.00609162,0.00010667,329.4264709972993,0.02274937771000173,,47.27891885
38.0,0.20038708,0.00614432,0.00010459,327.8045411926447,0.022876946693246948,,47.11176847
39.0,0.20054099,0.00617623,0.00010492,323.0997333158124,0.02300714390271907,,46.96830972
40.0,0.20070557,0.00622481,0.00010497,316.6273756325369,0.023056216220912203,,46.80233738
41.0,0.20073597,0.00629476,0.00010619,314.9296104150935,0.02306710766908678,,46.62916592
42.0,0.2007872,0.00634767,0.00010752,308.3293308556587,0.02276906586320832,,46.5095297
43.0,0.20084189,0.00637385,0.00010911,310.2190466896733,0.02309261367888372,,46.33491842
44.0,0.20087401,0.00639263,0.00011033,310.65417044689616,0.023237066017032373,,46.19289949
45.0,0.20089801,0.00643606,0.00011128,307.0109921774497,0.023066423045488237,,46.06030487
46.0,0.20093918,0.0064499,0.00011191,305.1682479515254,0.023064545710086065,,45.93242239
47.0,0.20109898,0.00645315,0.00011177,295.9956598113443,0.02286596834016509,,45.77456542
48.0,0.20104287,0.00647913,0.00010854,299.95365994490004,0.023006932180458874,,45.63503346
49.0,0.20109278,0.00649346,0.00010609,300.3509376139878,0.023202507319305152,,45.51526635
50.0,0.20116394,0.00650778,0.000104,297.0882905209489,0.023185002977877376,,45.38568227
51.0,0.2012354,0.00654385,0.00010391,293.84656805333583,0.023186450171756808,,45.25164782
52.0,0.20127606,0.00659087,0.00010422,286.86042618579256,0.02279680588631941,,45.11682801
53.0,0.20132313,0.00662076,0.00010494,288.83408420364685,0.023128941464803075,,44.95635318
54.0,0.20137599,0.00664703,0.00010318,285.51885059670303,0.023053462200413797,,44.81197818
55.0,0.20142967,0.00662747,0.00010337,282.97426545957643,0.023013349694084344,,44.69011678
56.0,0.20153214,0.00660594,0.00010274,281.8950417941441,0.02325662457071627,,44.52322819
57.0,0.20158378,0.00661882,0.00010234,280.38533240366087,0.023318278257082593,,44.3994034
58.0,0.20165341,0.00660861,0.00010039,268.63791861698405,0.02256588520394947,,44.28408665
59.0,0.2016954,0.00658004,9.924e-05,272.6398329418983,0.023025937455895297,,44.14403113
60.0,0.20166531,0.0065695,9.979e-05,274.42583095584473,0.023065093017777205,,44.0490028
61.0,0.20163969,0.00657959,0.0001006,270.4498394454469,0.02265157052527616,,43.9027953
62.0,0.20170668,0.00657407,9.946e-05,268.2036310829208,0.022686048743055538,,43.75684959
63.0,0.20166327,0.00659099,9.872e-05,271.9367096326445,0.022862619860586755,,43.63538087
64.0,0.2016897,0.00661487,9.879e-05,271.75107439737076,0.022955107333991417,,43.45749727
65.0,0.20165473,0.00666362,9.688e-05,270.3174380097568,0.022745574082415593,,43.37320216
66.0,0.2017078,0.00667062,9.447e-05,271.9186058707451,0.023066718079216904,,43.21455983
67.0,0.20175476,0.00668301,9.337e-05,267.9060708167637,0.02289704344134811,,43.06547269
68.0,0.2017875,0.00666205,9.258e-05,268.3672815627207,0.023035895080542265,,42.95866399
69.0,0.20184392,0.00664929,9.295e-05,265.51796129017566,0.022981875109531,,42.83915867
70.0,0.20197871,0.00664797,9.213e-05,260.9039726050393,0.02306244951301698,,42.70617137
71.0,0.20200819,0.00663336,9.277e-05,263.2029120853617,0.0233645541777472,,42.59321069
72.0,0.20200758,0.0066215,9.313e-05,258.701239447947,0.022954355252664725,,42.45655839
73.0,0.20213709,0.00661656,9.154e-05,253.1443164331593,0.022927795077017733,,42.29883231
74.0,0.20219615,0.00658955,8.993e-05,251.63974691405184,0.02298939647649015,,42.18417003
75.0,0.20224983,0.00655464,9.09e-05,250.48773735508502,0.023061319485181114,,42.04895755
76.0,0.2024503,0.00652536,9.084e-05,244.0657797202639,0.02321566471313516,,41.93809116
77.0,0.20268715,0.00650972,8.953e-05,238.05623832682232,0.023583116889144305,,41.8099469
78.0,0.20277173,0.00650412,8.929e-05,233.15987422352288,0.023445792614181744,,41.73206556
79.0,0.20277681,0.00643882,8.697e-05,230.09561825062357,0.02309993474605234,,41.62015203
80.0,0.20277509,0.00639749,8.946e-05,229.88472483143184,0.02304010109245499,,41.5421398
81.0,0.20274276,0.00638415,9.423e-05,234.5511871083433,0.023367213801111474,,41.43376038
82.0,0.20262057,0.00638917,9.79e-05,234.5776253661896,0.022879121765816513,,41.31765828
83.0,0.2025858,0.00637764,0.00010356,241.25831645141585,0.0233866427649025,,41.20260332
84.0,0.20254931,0.00636862,0.00010825,241.37623191084444,0.023249521566541167,,41.08532319
85.0,0.20233115,0.00638546,0.00011367,245.2310799309468,0.02278284252848579,,40.98911682
86.0,0.20197759,0.00638929,0.00011996,261.47299122109547,0.022952013864987086,,40.83047449
87.0,0.20170597,0.00638979,0.00012421,268.40144832748314,0.022601203232863402,,40.70206844
88.0,0.20146047,0.00641087,0.00012835,280.79387422992136,0.022820692386112108,,40.54709112
89.0,0.20115794,0.00644265,0.00013193,291.2268503610588,0.022696941007257533,,40.40206166
90.0,0.20111901,0.00648555,0.00013394,295.355367764398,0.022924412702342713,,40.2589956
91.0,0.20105486,0.00657148,0.00013674,295.73605182447466,0.022809207798004365,,40.10087684
92.0,0.20081536,0.00664365,0.00014022,299.88170108035723,0.022438082240449804,,39.97351794
93.0,0.20077663,0.00670355,0.00014258,300.7870572086605,0.022428545026630414,,39.84485011
94.0,0.20063817,0.00677873,0.00014385,307.9896087930932,0.022596515495060917,,39.67743795
95.0,0.2005171,0.00683728,0.00014141,303.71963715307004,0.021966984959605047,,39.5865982
96.0,0.20028532,0.00692432,0.00013981,319.29915604908956,0.022471887949980254,,39.44104517
97.0,0.20031165,0.00696355,0.00013718,323.4326002106546,0.02285836438931439,,39.29051821
98.0,0.20033849,0.00700048,0.00013583,317.8532616770374,0.02256015228877605,,39.19418095
99.0,0.20054983,0.0070293,0.00013389,312.93327063486896,0.022836429061989585,,39.05216203
100.0,0.20091763,0.00701481,0.00013234,301.15357323128524,0.023071393451575037,,38.88134665
101.0,0.20100271,0.00700019,0.00012989,288.8937261330149,0.022381073082787008,,38.73788791
102.0,0.20107926,0.00700934,0.00012888,287.6794416356293,0.02253039696262118,,38.66157729
103.0,0.20115276,0.00701288,0.00012783,288.42294195250025,0.02282455214841072,,38.51968926
104.0,0.20132974,0.00700608,0.00012732,284.3876398110707,0.023077982701115624,,38.37989553
105.0,0.20154068,0.00699805,0.00012763,272.13114184108963,0.022775828245144732,,38.26261539
106.0,0.20165087,0.00695865,0.00012479,267.20034109907135,0.022707502508446973,,38.14507347
107.0,0.20182775,0.00692917,0.0001217,264.7604013675514,0.02309717681552748,,38.03721763
108.0,0.20208311,0.00684918,0.00011857,255.70885056369747,0.02316977691928119,,37.92307892
109.0,0.20254443,0.00676807,0.00011608,239.66176442876886,0.02340510534321339,,37.80723861
110.0,0.20306603,0.00667486,0.00011069,221.08972160956853,0.023671969372926763,,37.74153032
111.0,0.20360562,0.00655892,0.0001043,199.07071503545885,0.02365723829622779,,37.66050754
112.0,0.20415598,0.00646468,9.998e-05,176.4452094817348,0.023653762550309872,,37.6126007
113.0,0.20442802,0.00638501,9.382e-05,165.11433769065445,0.02358283723635396,,37.5115513
114.0,0.20469913,0.00626619,8.731e-05,156.47927832545759,0.02385518029847259,,37.46940375
115.0,0.20486849,0.006154,8.105e-05,150.33350868777475,0.023866755193103925,,37.39178419
116.0,0.20512558,0.0060416,7.552e-05,141.1120434295637,0.02400322168320695,,37.35971541
117.0,0.20532259,0.00595213,7.06e-05,133.58404267267818,0.024032262706317257,,37.32738483
118.0,0.20537728,0.00584888,6.566e-05,131.76219213576834,0.02395172815429948,,37.31285571
119.0,0.2055502,0.00570996,6.403e-05,126.72732148439904,0.024180853030987798,,37.25997493
120.0,0.20584083,0.00552901,6.1e-05,116.22559306157775,0.02429694630097131,,37.20643969
121.0,0.20603337,0.00552099,5.905e-05,107.87454601966806,0.02430504983012239,,37.16036535
122.0,0.20622469,0.00539282,5.633e-05,101.3367303522872,0.024472231491637485,,37.13523389
123.0,0.20645585,0.0052952,5.719e-05,91.61222389551871,0.02438351162945008,,37.0940026
124.0,0.20672849,0.00516909,5.585e-05,80.60430951120237,0.024352846338191944,,37.07672472
125.0,0.20686878,0.00505003,5.516e-05,76.23591114589661,0.024591636954970016,,37.07345239
126.0,0.20708958,0.00489921,5.623e-05,68.03744120801468,0.024699408557264897,,37.06258827
127.0,0.2071523,0.00478315,5.475e-05,65.64673699390565,0.024446384749152075,,37.01049286
128.0,0.20725853,0.00467368,5.357e-05,62.2239107513306,0.024554235732450615,,37.01389607
129.0,0.20738225,0.00460356,5.38e-05,57.78237182510822,0.024743505486936074,,37.01795376
130.0,0.20747485,0.00451953,5.558e-05,54.60275225159212,0.02484958738724825,,36.99635641
131.0,0.20751796,0.00444431,5.709e-05,53.03990435358252,0.024711103917209463,,36.99570195
132.0,0.20765001,0.00434554,5.997e-05,47.72607698068282,0.02458248731719684,,36.99609462
133.0,0.2077107,0.00422087,6.241e-05,46.45027107121539,0.024750900357082883,,36.95617226
134.0,0.20788575,0.00412078,6.531e-05,39.8896304317495,0.025027841853242437,,36.96258601
