Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20941738,0.00069732,6.64e-06,4.960024803902501,0.02645557094963769,,45.27049567
1.0,0.20951359,0.00061917,5.1e-06,1.1290785933150775,0.026295231608851506,,44.73093982
2.0,0.20928954,0.00066119,7.35e-06,11.46659222573486,0.026434541657293347,,44.03417712
3.0,0.20828174,0.00069716,1.064e-05,56.33618778038502,0.025033249641551472,,44.40252017
4.0,0.20656507,0.00075467,1.325e-05,125.74195786022206,0.023579241282454193,,44.91916913
5.0,0.20458762,0.00089787,1.635e-05,206.01466755674238,0.02332876442144172,,44.92636844
6.0,0.20409791,0.00107712,2.068e-05,226.71550044256892,0.023521229160603188,,44.98775896
7.0,0.20327054,0.0012573,2.717e-05,259.2132234486945,0.02346634370132719,,44.8387986
8.0,0.20295444,0.00145106,3.276e-05,272.6727743603294,0.023637078858825874,,44.67059644
9.0,0.2028326,0.00161588,3.828e-05,276.1866542239986,0.02362629150465069,,44.53066795
10.0,0.20283606,0.00181606,4.437e-05,276.5260054328584,0.02382306907490429,,44.39571353
11.0,0.20300184,0.00204882,4.906e-05,267.4366477991303,0.023825558161828395,,44.24989469
12.0,0.20314829,0.00225908,5.168e-05,259.30102471790116,0.023820711730141556,,44.13405118
13.0,0.20328265,0.00241615,5.293e-05,254.240304279806,0.0240128176777298,,44.03993651
14.0,0.20335069,0.00256246,5.452e-05,249.86060044704348,0.023997726475866267,,43.91296679
15.0,0.20367095,0.00265936,5.359e-05,237.92356667983017,0.02426746978242951,,43.80707142
16.0,0.20374622,0.00271219,5.028e-05,233.27329593108712,0.024167951571381536,,43.67080803
17.0,0.20448622,0.00279377,4.873e-05,200.73672026943828,0.024196087080722684,,43.56661432
18.0,0.20484829,0.00285474,4.619e-05,184.39045926431115,0.024183494919354637,,43.4939667
19.0,0.20441442,0.00292814,4.453e-05,203.8282948680882,0.024328165575792163,,43.43139811
20.0,0.20481849,0.003005,4.58e-05,185.0100830262777,0.024270128200865382,,43.32301571
21.0,0.20491246,0.00304109,4.688e-05,181.24597391724254,0.024361391724492802,,43.22733028
22.0,0.20513042,0.00312457,4.783e-05,170.66447020910493,0.024325085653071503,,43.18151646
23.0,0.20516866,0.00317377,4.642e-05,169.291506879318,0.02442974373285662,,43.098528
24.0,0.20538885,0.00319546,4.26e-05,159.5010120791342,0.024436490283857092,,43.0131834
25.0,0.20548679,0.00319695,4.167e-05,155.2382541634809,0.024444853876634146,,42.93281288
26.0,0.20566142,0.00322292,4.088e-05,146.74567053941402,0.024351060181562464,,42.85924898
