Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.209383,0.00075965,7.44e-06,1.6769931597888488,0.025635722300245224,,423.22708929
1.0,0.20937751,0.0007693,9.18e-06,1.8451116184159573,0.025867907211332624,,423.2315707
2.0,0.20938767,0.00073717,5.35e-06,1.7136856000284975,0.025581575520678614,,423.25951361
3.0,0.20939458,0.00074771,4.68e-06,1.2601475978539733,0.025896191554170587,,423.22801193
4.0,0.20938981,0.00077099,7.47e-06,1.1956599076077254,0.025740851562623117,,423.20072805
5.0,0.20940526,0.00074292,8.88e-06,0.6606778503377907,0.025694257915242623,,423.20797739
6.0,0.20938432,0.00073814,1.149e-05,1.7736995645169158,0.025667279197402904,,423.16659025
7.0,0.20943422,0.00071244,1.276e-05,-0.6025512748645204,0.025525571424015837,,423.1697536
8.0,0.20940739,0.00070211,1.405e-05,0.9127034579504726,0.025874859081851886,,423.18148435
9.0,0.20939855,0.00070955,1.267e-05,1.3207845040211617,0.025760310262402577,,423.16065897
10.0,0.20939499,0.00075233,1.283e-05,1.0288889175128613,0.025714542536746134,,423.14220611
11.0,0.20940942,0.00074075,1.28e-05,0.3962227464085927,0.025934300161685502,,423.13297968
12.0,0.2094016,0.00072555,9.54e-06,1.0341050323483634,0.025661478917601892,,423.14695113
13.0,0.209408,0.00070561,7.31e-06,0.9493057201530705,0.025446630579761865,,423.14141527
14.0,0.2093644,0.00071409,6.14e-06,3.2056134300512378,0.025772152280807925,,423.13232065
15.0,0.20939235,0.0007007,5.96e-06,1.8762207536131572,0.02582099745975843,,423.11479043
16.0,0.20940861,0.00069777,5.71e-06,1.042319337455722,0.025688095477411205,,423.08790197
17.0,0.209402,0.00070082,6.52e-06,1.3565843245021698,0.025932569562922836,,423.0459876
18.0,0.2094077,0.00066769,4.87e-06,1.4432475290377131,0.025749465206457742,,423.09475589
19.0,0.20941268,0.00065796,2.53e-06,1.3247282421226643,0.025647176581279484,,423.08289333
20.0,0.20939601,0.00063645,1.79e-06,2.454751506800829,0.025611290199335078,,423.07472135
21.0,0.20937039,0.00063259,2.37e-06,3.869864524112964,0.025812256944789853,,423.06879007
22.0,0.20937639,0.00064047,5.2e-06,3.429356824839439,0.02595368041589032,,423.0417698
23.0,0.20935149,0.00065426,8.65e-06,4.481860460946995,0.025602386007369148,,422.98733385
24.0,0.20936165,0.00070537,9.37e-06,3.3735586742696975,0.02565068030702721,,422.99853738
25.0,0.20935637,0.0007264,1.027e-05,3.3889607798955947,0.025542330123942702,,422.9584683
26.0,0.20935992,0.00072583,7.54e-06,3.2904359406643606,0.02579697018543698,,422.97705297
27.0,0.20937619,0.00070034,8.29e-06,2.6961698432718513,0.025805372730643632,,422.99603306
28.0,0.20936074,0.00068984,1.027e-05,3.599836632604264,0.025812091989010005,,422.96954002
29.0,0.20936551,0.00067887,8.97e-06,3.4764685394346433,0.025695847349138934,,422.92116715
30.0,0.20936155,0.00070392,9.45e-06,3.39703396279903,0.025677747076735365,,422.91167711
31.0,0.20939072,0.00073966,1.1e-05,1.430545045805049,0.025730387489806664,,422.88755658
32.0,0.2094141,0.00075615,1.101e-05,0.006274111936217928,0.02563226981177085,,422.84603764
33.0,0.20939438,0.00075764,1.121e-05,1.0407879706955905,0.025935749704902412,,422.84261067
34.0,0.2093894,0.00075394,1.077e-05,1.3451086996547486,0.02571297219199042,,422.8387883
35.0,0.20941999,0.00074851,7.4e-06,-0.15480220535250497,0.02567937212483848,,422.81216345
36.0,0.20942833,0.00074642,3.79e-06,-0.5056810530601643,0.02559944682950993,,422.77446688
37.0,0.20942589,0.00073882,2.36e-06,-0.2699857168386505,0.025918721346533023,,422.77789384
38.0,0.20941918,0.00074992,6e-07,-0.0031315600387030033,0.025866042539030458,,422.74955552
39.0,0.20940627,0.00070633,1.79e-06,1.1406074900975018,0.025634238776871057,,422.73967005
40.0,0.20941593,0.00066986,3.58e-06,0.9943960145867202,0.025458423632006226,,422.72082177
41.0,0.20940963,0.00065989,5.36e-06,1.4096414054715873,0.025587452039284576,,422.66823111
42.0,0.20938889,0.00068128,6.02e-06,2.2632462380203657,0.025676233293570584,,422.63356608
43.0,0.20938279,0.00072829,6.56e-06,2.0691061065845915,0.025854939961503006,,422.61814476
44.0,0.20937791,0.00075354,7.12e-06,2.04530638400426,0.025961826625333372,,422.59046546
45.0,0.20931266,0.00078349,9.95e-06,5.085018237003767,0.025633692409923168,,422.5507918
46.0,0.20926966,0.00083331,1.113e-05,6.678822003894029,0.025234385213315356,,422.48765665
47.0,0.20904849,0.00093295,1.268e-05,17.20237907050672,0.025432054818401648,,422.46195444
48.0,0.20892692,0.00105993,1.567e-05,22.17768536347427,0.02549167012097853,,422.43928378
49.0,0.20887905,0.00115603,2.103e-05,23.50999824966159,0.02546050301399465,,422.38932924
50.0,0.20884266,0.00126138,2.398e-05,24.178971346676473,0.02542821992032209,,422.40211444
51.0,0.20876745,0.00137095,2.507e-05,26.657724664896822,0.02520043198518272,,422.29073822
52.0,0.2086535,0.00148213,2.635e-05,31.19470712129041,0.025081325155736092,,422.28322527
53.0,0.2085111,0.00162797,2.624e-05,37.051433543170525,0.025131716651882886,,422.19359707
54.0,0.20836331,0.00175496,2.89e-05,43.253173980595506,0.02511752631925396,,422.196365
55.0,0.20820444,0.00184728,3.174e-05,50.535635994730555,0.02517629874061683,,422.13072553
56.0,0.208072,0.00198516,3.47e-05,55.33708710150328,0.024944118428110056,,422.0511146
57.0,0.20798835,0.00205862,3.696e-05,58.80487112026221,0.024945102451168377,,421.99997381
58.0,0.20785926,0.00215878,3.77e-05,64.16081335849606,0.024874882613081146,,421.95094191
59.0,0.20780814,0.00221009,3.971e-05,66.32429155126033,0.02492431695704935,,421.91100464
60.0,0.20776189,0.00229328,4.19e-05,67.42333140658593,0.02479776433887476,,421.83218455
61.0,0.20762416,0.00237402,4.347e-05,73.65267080232537,0.024829733229195905,,421.72001749
62.0,0.20753167,0.00245082,4.532e-05,78.1556439944719,0.0250323963462311,,421.71039564
63.0,0.20751784,0.00249755,4.812e-05,78.48970207437482,0.025087508266816935,,421.60666419
