Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20933695,0.00075269,-6.69e-06,4.63764743845046,0.02668239015222338,,49.96356573
1.0,0.20936887,0.00075932,-3.62e-06,2.959121982286985,0.02661950417315138,,49.94281672
2.0,0.20911236,0.00082154,1.72e-06,14.540498269476878,0.026368355236278302,,49.73874105
3.0,0.20822164,0.0009377,6.54e-06,54.06248208091028,0.025453364602829005,,49.68450472
4.0,0.2072814,0.00117158,1.395e-05,94.21219786570987,0.025220474399759343,,49.63683453
5.0,0.20645605,0.00147147,2.459e-05,128.59986864376748,0.025173754614776857,,49.49947085
6.0,0.20591568,0.00174374,3.132e-05,150.53846521556656,0.02518368016040855,,49.44667907
7.0,0.20558099,0.0019724,3.957e-05,162.6209732191186,0.025054858094779035,,49.36210717
8.0,0.2050213,0.00223972,5.333e-05,185.11866327454996,0.02504894664096422,,49.20320655
9.0,0.20477099,0.00246967,6.703e-05,194.30613056163563,0.025081830519689558,,49.08554129
10.0,0.20458646,0.00268543,7.926e-05,199.45343021343572,0.024958603059379733,,48.98271552
11.0,0.20442054,0.00289801,9.092e-05,203.9170773942042,0.024856016822732748,,48.89407261
12.0,0.2042968,0.00308069,9.853e-05,206.25288313698354,0.024688415106509397,,48.75802215
13.0,0.20404985,0.00331723,0.00010306,215.10899188064408,0.024702894285105102,,48.62932578
14.0,0.20387579,0.0035698,0.00010704,218.201597841023,0.02444830698181214,,48.53267218
15.0,0.20366452,0.00377668,0.00011213,224.19070700029468,0.024302394286161634,,48.39163146
16.0,0.20331926,0.00400393,0.0001192,235.8254404898207,0.02417098384374493,,48.26884461
17.0,0.20302238,0.00420542,0.00012948,245.25376870617953,0.02402443987928214,,48.13082432
18.0,0.2026456,0.00440964,0.00013953,257.25789344218157,0.023814990795774166,,47.96877195
19.0,0.20220384,0.00461732,0.00014589,274.2662192227614,0.023822689261552354,,47.81026529
20.0,0.20184851,0.0048303,0.00015153,283.12347586540807,0.023463066186762464,,47.68905432
21.0,0.20145048,0.00511097,0.00015808,297.81286542596627,0.02350262748050962,,47.49522182
22.0,0.20111517,0.00532504,0.00016492,311.14543740513153,0.02359340177011762,,47.36087857
23.0,0.20072212,0.00551508,0.00017345,321.1832170660905,0.023250188081881715,,47.17610735
24.0,0.20058558,0.00573719,0.00017829,327.45211360115263,0.023432104679195855,,47.01628746
25.0,0.20052254,0.00591661,0.00017776,328.23319790317043,0.023407466552169437,,46.84386058
26.0,0.20048889,0.00608305,0.0001778,328.35657521498297,0.023416108416645914,,46.64727031
27.0,0.2003984,0.00622871,0.00017987,329.72013615662377,0.023334442103739056,,46.49165275
28.0,0.20025983,0.00635456,0.00017754,331.9842584845981,0.023162164662744657,,46.31384164
29.0,0.20015257,0.00651778,0.00017475,339.88560277261314,0.02349379801356675,,46.16282039
30.0,0.20009828,0.0066683,0.00017453,334.71749078788747,0.023068381708446075,,46.01337501
31.0,0.1999959,0.00677735,0.00018009,339.80826177586096,0.023195900887587922,,45.84974676
32.0,0.19998156,0.006879,0.00018197,341.53809660700153,0.023333174979682025,,45.59563708
33.0,0.19998532,0.00696943,0.00017898,340.3005380214179,0.023308017147270665,,45.45971795
34.0,0.20002172,0.00704749,0.00017686,338.8647050233989,0.023356032437659817,,45.33404201
35.0,0.19997831,0.00715203,0.0001788,333.0171545386243,0.02289208462542507,,45.15005872
36.0,0.20001603,0.00725292,0.00017779,333.80325726155735,0.023109325202566526,,45.00363376
37.0,0.20006544,0.00730252,0.00017499,329.94215938238796,0.023007835862064507,,44.80625555
38.0,0.2000938,0.00733198,0.0001737,330.0403190861822,0.023111885886134713,,44.63566719
39.0,0.20011912,0.00735232,0.00017622,325.33039970432486,0.022868439007881835,,44.47702921
40.0,0.20021184,0.00741534,0.00018131,322.95396359800503,0.023010262959752423,,44.36212174
41.0,0.20035184,0.00743572,0.00018235,315.4403538729358,0.0228950909277055,,44.16684469
42.0,0.20043267,0.00747792,0.00018094,314.8111360829755,0.023115392482763973,,44.03486524
43.0,0.2004468,0.00750433,0.00018034,310.75791434988616,0.02287550224732857,,43.86900451
44.0,0.20043287,0.00751663,0.00018132,314.0389857484232,0.023083338814078345,,43.69828483
45.0,0.20040674,0.00752249,0.00018127,312.46568447366786,0.022892748670615783,,43.53596981
46.0,0.20025932,0.00752937,0.00018107,315.29121409318947,0.022667019577626412,,43.38915088
47.0,0.20022302,0.00757141,0.00017751,318.5580857713817,0.022816990140203483,,43.22276486
48.0,0.2002034,0.00759693,0.00017028,322.9026385446817,0.02307828697274771,,43.05637883
49.0,0.20033486,0.0076032,0.00016175,321.8846268139945,0.023392613435678528,,42.89655895
50.0,0.2005381,0.00760027,0.00015702,307.23756274309045,0.02292585926928066,,42.76825654
