Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20944249,0.0005813,3.78e-06,3.7847465168834837,0.026785918054667245,,42.17836439
1.0,0.20944158,0.00058958,2.15e-06,3.7436035101367815,0.026596418774775716,,42.18384967
2.0,0.20945653,0.00059879,1.53e-06,2.8329422666481263,0.026627538994540737,,42.17549115
3.0,0.20944951,0.00063937,2.18e-06,2.749681202468912,0.026730625812271914,,41.94706866
4.0,0.20945216,0.00066216,4.33e-06,2.275861500027596,0.026457532932176453,,41.90762692
5.0,0.20945826,0.00066061,5.63e-06,1.9545721264073599,0.026707950949810617,,41.854472
6.0,0.209443,0.00066192,6.1e-06,2.7730291631458677,0.026727544473635203,,41.83527354
7.0,0.20945969,0.00067749,7.02e-06,1.6649415780392576,0.026876973077800667,,41.78655908
8.0,0.20946223,0.00067394,6.22e-06,1.5545726843660537,0.026432432947142266,,41.87589069
9.0,0.20943578,0.00065731,6.84e-06,3.2102090106279224,0.026728242942448202,,41.93204945
10.0,0.20943812,0.00064463,7.78e-06,3.236966088116646,0.02695443776933899,,41.81176522
11.0,0.20943517,0.00063247,7.46e-06,3.5540610052552744,0.026994998662132095,,41.82534781
12.0,0.2094723,0.0006191,4.19e-06,1.6858639161787925,0.02667593143604076,,41.80301491
13.0,0.20957993,0.00062546,3.02e-06,-4.311871360636533,0.026827803489708302,,41.8175117
14.0,0.2095014,0.00062909,2.2e-06,0.007582237669241824,0.0268487643062879,,41.62147846
15.0,0.20942713,0.00061906,2.78e-06,4.210721907010169,0.026757978424959774,,41.85969607
16.0,0.20945124,0.00064728,4.34e-06,2.5169914738099237,0.026679730945760437,,41.78682029
17.0,0.20944056,0.000681,4.4e-06,2.7272705211190567,0.026804060392190406,,41.88999568
18.0,0.20937199,0.00068116,3.94e-06,6.5066650335083285,0.026732920776809246,,41.90697391
19.0,0.20942449,0.00069552,3.16e-06,3.457938277869268,0.02670306829094531,,41.7279189
20.0,0.20944097,0.00071546,3.23e-06,2.330143460261393,0.026832009333337153,,41.96456929
21.0,0.20942306,0.0007186,3.57e-06,3.2891412046496744,0.02692089234170193,,41.63205721
22.0,0.20941319,0.00074461,4.67e-06,3.4775749408710754,0.0266466085627561,,41.68677935
23.0,0.20943751,0.00073352,6.51e-06,2.228024012530368,0.026576720667689683,,42.07375238
24.0,0.20942042,0.00070701,7.85e-06,3.4617945103919285,0.026715197140539944,,41.8620469
25.0,0.20945796,0.0007051,7.98e-06,1.4074320229289932,0.026608092612862067,,41.75678188
26.0,0.20940973,0.00066375,6e-06,4.578371859099505,0.026674791378421974,,41.87771912
27.0,0.20943364,0.00064846,3.36e-06,3.481544008270289,0.02661273625316735,,41.83788558
28.0,0.20944819,0.00067447,2.7e-06,2.4124828382137946,0.026791274853356934,,41.84532988
29.0,0.20945175,0.00069519,3.89e-06,1.924379155337817,0.02639704650317735,,41.85316598
30.0,0.20943914,0.00068328,3.57e-06,2.77356795147987,0.02659660841973377,,41.91755267
31.0,0.20944137,0.00066261,3.27e-06,2.917671582518548,0.026809097288485247,,41.81241823
