Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20949944,0.00080839,7.84e-06,-9.52815396223076,0.025538551425579255,,118.89774613
1.0,0.20950005,0.0007826,9.39e-06,-9.045247962715411,0.024829478947178286,,118.85995361
2.0,0.20950737,0.00072707,1.115e-05,-8.894297026769724,0.024939843799848125,,116.9927667
3.0,0.20951123,0.00070681,9.65e-06,-8.922083369895672,0.02514961090432968,,114.88242164
4.0,0.20952201,0.00070939,1.032e-05,-9.4663431537672,0.025003711794743602,,115.17820062
5.0,0.20945287,0.0007308,7.83e-06,-6.069306566657843,0.024932106817423583,,115.0847691
6.0,0.20947422,0.0007787,7.44e-06,-7.768131367783488,0.02522783500544254,,113.40969422
7.0,0.20937224,0.00081729,8.86e-06,-2.9028864931725904,0.02519108261238461,,113.99889016
8.0,0.20942389,0.00085535,9.27e-06,-5.898849178355963,0.024729811178365955,,115.16547189
9.0,0.20941677,0.0008654,6.78e-06,-5.628283573194325,0.024858482069668245,,115.10747088
10.0,0.2094063,0.00086728,6.78e-06,-5.146686849048481,0.02502948514792496,,115.0072157
11.0,0.20942003,0.00089078,7.94e-06,-6.17318661624323,0.025202638186300395,,115.66740386
12.0,0.20938271,0.00086179,7.38e-06,-3.9191824051395447,0.025282931230351677,,115.58158334
13.0,0.20940905,0.0008656,5.61e-06,-5.311978114772356,0.02532673416786633,,116.02826997
14.0,0.20943589,0.00085002,5.47e-06,-6.519946982813418,0.025244070427181152,,115.93234519
15.0,0.20942013,0.00080679,6.86e-06,-5.224111260156191,0.02510888475075742,,115.92210974
16.0,0.20944626,0.00077936,6.29e-06,-6.260072230444021,0.02507059548793826,,116.28546909
17.0,0.20944606,0.00081487,6.53e-06,-6.60834243839341,0.024954734461421466,,116.14505937
18.0,0.20944829,0.00089899,6.95e-06,-7.617132683705596,0.024884492688454347,,115.934576
19.0,0.20944474,0.00108345,8.88e-06,-9.314988352985488,0.024515299490649792,,116.30922065
20.0,0.20915038,0.00142081,1.289e-05,1.9227085311900975,0.02441783851132416,,118.6656108
21.0,0.20858484,0.00195903,1.684e-05,24.384941976596686,0.024147057409829007,,118.62860562
22.0,0.20823049,0.00245387,1.823e-05,36.43163858383292,0.023874370079319588,,118.50223686
23.0,0.2078316,0.00304865,1.623e-05,49.49402465466411,0.02364373853047664,,118.38466012
24.0,0.20724756,0.00368264,1.9e-05,70.49221418575175,0.02333021174052064,,118.30198897
25.0,0.20663677,0.00430482,2.318e-05,92.57540077284064,0.023096164415038593,,118.09517988
26.0,0.20611485,0.00482467,2.693e-05,112.70800664423348,0.02321057348450108,,117.95805075
27.0,0.2054271,0.0052347,2.557e-05,140.35161286875007,0.02303502217075445,,117.78942785
28.0,0.20499588,0.00563656,2.364e-05,157.96819948908097,0.02320543345552487,,117.63379614
29.0,0.20477554,0.00589682,2.518e-05,164.1002988063666,0.02295954645805163,,117.44247148
30.0,0.20459272,0.00602879,2.93e-05,172.2891322571612,0.023086433911008567,,117.28841445
31.0,0.20444844,0.00609219,2.891e-05,179.0105341759759,0.023153920742388555,,117.11178689
32.0,0.20433924,0.00612246,2.657e-05,185.6598254033742,0.023372895888253746,,117.01100683
33.0,0.20428667,0.00614776,2.591e-05,185.85960123481027,0.023115111463895725,,116.85721225
34.0,0.20426694,0.0061889,2.776e-05,185.0169347392199,0.02294828078217634,,116.68189692
35.0,0.20423197,0.00625386,2.987e-05,185.01452891300664,0.022827133361526006,,116.48453596
36.0,0.20419231,0.00631464,2.856e-05,185.5082757247588,0.022729848818488076,,116.36433474
37.0,0.20413232,0.00643837,2.697e-05,186.93985134377834,0.022705739657196997,,116.21552667
38.0,0.20396791,0.0065169,2.921e-05,193.00497285571365,0.022614978857848935,,116.03483117
39.0,0.20384264,0.00656083,3.392e-05,199.8887406557391,0.02279651820691892,,115.85479178
40.0,0.20377177,0.00660639,3.382e-05,202.62773360333475,0.022782516636702003,,115.71805633
41.0,0.20375601,0.00652494,3.751e-05,207.00792600231898,0.02310958618327754,,115.52974983
42.0,0.20378997,0.00628318,3.895e-05,209.75868821873877,0.023336262646316417,,115.3314703
43.0,0.20408656,0.0059854,4.174e-05,196.0701516265695,0.023050270034905233,,115.27399417
44.0,0.20432185,0.00558325,3.863e-05,188.2218490922104,0.022962923048830453,,115.15221826
45.0,0.20451494,0.00520734,3.747e-05,185.05615608648998,0.023244808783664323,,115.06889099
46.0,0.20472135,0.00495094,3.79e-05,178.1748630157311,0.02329945452334156,,114.94908344
47.0,0.20497544,0.00466452,3.517e-05,169.51975430928385,0.023380145341545127,,114.87651654
48.0,0.20520239,0.00437105,3.519e-05,162.0988736691956,0.02345709002404037,,114.72416543
