Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20953549,0.00053968,8.56e-06,-65.64760786550326,0.02897861444573504,,213.1683855
1.0,0.20955602,0.00060984,3.89e-06,-244.4327373668104,0.029109350657426678,,213.16391488
2.0,0.20952451,0.00050348,2.13e-06,43.72780648942971,0.02866981910274442,,213.14432305
3.0,0.20953864,0.00056947,7.5e-07,-101.24410387796131,0.029039833217365214,,213.09830196
4.0,0.20955195,0.00058268,-1.79e-06,-182.39073892782432,0.029143510170442102,,213.13853754
5.0,0.20956008,0.00056009,-3.33e-06,-195.09721738460846,0.02877495048374482,,213.15983873
6.0,0.20955226,0.00057205,-4.93e-06,-164.89105546401657,0.028874623910174924,,213.18271778
7.0,0.20956679,0.00054352,-2.19e-06,-214.87857698510845,0.028873910222360143,,213.18797734
8.0,0.20952827,0.00054304,3.2e-07,-15.97979922757307,0.028626171520431332,,213.15300131
9.0,0.20951252,0.00050036,-3e-08,114.02328759556826,0.02874777894602769,,213.13498734
10.0,0.20951963,0.00049168,2.22e-06,83.23212019339555,0.029100707582939644,,213.14116732
11.0,0.20953945,0.00045664,-7.8e-07,22.48880009748514,0.029017537833179185,,213.18587352
12.0,0.20954494,0.00049822,-2.43e-06,-50.085969514569776,0.029271292438955203,,213.19612964
13.0,0.2095427,0.00052764,-4.7e-07,-73.84070930090407,0.028948708878951443,,213.2025726
14.0,0.20954352,0.00050267,2.24e-06,-55.72391483986226,0.029075276364461493,,213.13709116
15.0,0.20953071,0.00054627,1.64e-06,-35.204095218932785,0.029100888631058232,,213.11776231
16.0,0.20953102,0.00049277,-6.6e-07,26.381459621722207,0.0285673631630937,,213.1260461
17.0,0.20952075,0.00047907,-1.35e-06,97.01420546067686,0.028849759866292537,,213.12525717
18.0,0.20951475,0.00051903,3.4e-06,75.93321613884044,0.028869114947683367,,213.12828141
19.0,0.20951922,0.00055411,6.25e-06,8.555725253049387,0.02899834242373609,,213.0860735
20.0,0.20950865,0.00057339,4.6e-06,45.8938460350565,0.028877837780949153,,213.11802528
21.0,0.20951038,0.00056842,3.68e-06,43.93112452862838,0.02886891374354154,,213.15694598
22.0,0.20951506,0.00058846,3.01e-06,-1.5943057650549244,0.028841289781593664,,213.14169327
23.0,0.20950652,0.00059949,4.3e-07,36.11999017007388,0.02906416627054891,,213.17417101
24.0,0.20950184,0.00061517,-8.9e-07,46.53103148939604,0.029451618427627866,,213.15536811
25.0,0.20951912,0.00061844,2.02e-06,-54.72555931876363,0.02912203895230951,,213.16759657
26.0,0.20951557,0.00061016,2.58e-06,-27.521710315752678,0.028950500803141658,,213.16785955
27.0,0.20950764,0.00061182,1.37e-06,14.60977255958945,0.028756554380079263,,213.14734729
28.0,0.20951485,0.00063356,2.6e-06,-49.33311401386471,0.028763433775183724,,213.16312595
29.0,0.20952919,0.00062628,6.65e-06,-124.35205189331997,0.028872666621154324,,213.15286982
30.0,0.20950073,0.00058009,8.67e-06,73.29990480962209,0.029079033454236736,,213.1390635
31.0,0.20951323,0.00059456,1.022e-05,-11.801461236268688,0.02884856049839327,,213.11973464
32.0,0.20953772,0.00058216,8.28e-06,-124.16570568482473,0.029022307472398545,,213.17390803
33.0,0.20950449,0.00057415,4.68e-06,66.77238524872135,0.028860801253213598,,213.12578312
34.0,0.20950967,0.00059391,1.64e-06,23.35845832373601,0.028999530806680374,,213.16444084
35.0,0.20954352,0.00056482,-1.51e-06,-117.22439630211029,0.02890133582654019,,213.10343002
36.0,0.20951201,0.00056219,-2.94e-06,54.39598426692749,0.02893770109001747,,213.12328484
37.0,0.20952898,0.00053144,-1.1e-06,-4.490199135726796,0.02900126896220999,,213.19363136
38.0,0.20951241,0.00054562,2.1e-06,61.54074374823538,0.028993402629354317,,213.13853754
39.0,0.20950916,0.00055451,1.85e-06,69.89607875216453,0.02923188534330464,,213.06871698
40.0,0.20950754,0.0005196,-3.6e-07,119.81882673819844,0.02880430463278208,,213.05675149
41.0,0.20951872,0.00053661,-1.68e-06,44.98245851266917,0.028933623600639356,,213.11381764
42.0,0.2095365,0.00057516,1.34e-06,-96.9650516455645,0.02893716332465628,,213.13577627
43.0,0.20953305,0.00058963,-3.5e-07,-91.91609618632258,0.02900947421037491,,213.13301501
44.0,0.2095362,0.00056971,1.54e-06,-89.70679833027089,0.028933571893019462,,213.10172067
45.0,0.20951536,0.00058878,5.47e-06,-8.055470841442462,0.02905874518500128,,213.11289722
46.0,0.20959058,0.00061283,5.68e-06,-431.31095258066097,0.02889427985285812,,213.08423266
47.0,0.20955571,0.00062394,6.02e-06,-261.17105569469174,0.028974078600191838,,213.11960315
48.0,0.20955815,0.00059497,6.07e-06,-241.31232508399683,0.028884894605347232,,213.13091119
49.0,0.20956395,0.00058296,2.12e-06,-248.81418277701798,0.028586950651236537,,213.09948536
50.0,0.20955114,0.00059505,-6.3e-07,-192.19884067445682,0.0288728610445498,,213.08212884
51.0,0.20955673,0.00061715,-4.5e-07,-247.2375063449844,0.028975911439949917,,213.12907035
52.0,0.20954646,0.00063109,-1.46e-06,-205.62241261920764,0.028843003523139024,,213.11868273
53.0,0.20954575,0.00062689,2.26e-06,-203.42090731432143,0.02875855327856188,,213.1131602
54.0,0.20953701,0.00056146,4.3e-07,-83.35380182240854,0.02911610270413418,,213.08988668
55.0,0.20956639,0.00054381,-3.1e-07,-215.96875401493978,0.02880123764730183,,213.04938812
56.0,0.2095737,0.00057225,2e-06,-291.0230602727382,0.02891524968411106,,213.0308482
57.0,0.20954636,0.00060887,4.88e-06,-192.85343683613854,0.028953731410972693,,213.10803213
58.0,0.20954189,0.00063469,3.51e-06,-196.2987287984634,0.029096299479714816,,213.09501474
59.0,0.20954585,0.00062042,4.7e-06,-203.102902927016,0.029022867300535573,,213.103693
60.0,0.20954047,0.00057634,3.9e-06,-124.25379412226891,0.029023054256095873,,213.09725005
61.0,0.20953142,0.0005436,1.64e-06,-35.86474893583349,0.028990532488546862,,213.08383819
62.0,0.20952329,0.00050897,2.18e-06,44.23933752261137,0.028826551728515008,,213.06858549
63.0,0.20953722,0.00051447,6.39e-06,-42.57559970096644,0.028758833530123786,,213.13840605
64.0,0.20953417,0.00048606,9.2e-06,-0.4531316850418259,0.029145653531537488,,213.11092489
65.0,0.20956608,0.00052376,1.057e-05,-212.8861896965073,0.028920298577995766,,213.15418471
66.0,0.20953783,0.00056745,8.89e-06,-109.1613325861002,0.028921370439178758,,213.12867588
67.0,0.20957147,0.00060014,8.31e-06,-322.80213576574175,0.029022933243415486,,213.09369985
68.0,0.20954118,0.00062208,8.47e-06,-187.28693305649236,0.029048065531641094,,213.19744453
69.0,0.20954067,0.00062059,4.72e-06,-176.35779902682594,0.029096342987781635,,213.15563109
70.0,0.20953234,0.00056926,1.68e-06,-68.42567294995432,0.02865104326015492,,213.11447509
71.0,0.20954565,0.00059747,-4.2e-07,-168.05385825437887,0.02916906831759992,,213.10803213
72.0,0.20954108,0.0006039,-2.66e-06,-144.79824855716365,0.0287714788275418,,213.07805268
73.0,0.20954697,0.00063214,-2.69e-06,-205.8983482815766,0.02865807334192753,,213.07463397
74.0,0.20952349,0.00059044,-1.41e-06,-40.109452007602805,0.02886589963345201,,213.10592831
75.0,0.20955307,0.00054118,1.39e-06,-146.45771335489445,0.02885098514945319,,213.09172752
76.0,0.20954768,0.00051717,1.02e-06,-91.374835899355,0.02898584517007672,,213.08436415
77.0,0.20953244,0.00053423,-1.51e-06,-25.13250121634929,0.02900589946722573,,213.07963055
78.0,0.20953335,0.000579,-3.29e-06,-77.0839294765952,0.029292132983374086,,213.16404637
79.0,0.2095241,0.00057642,-8.6e-07,-28.950786862361266,0.02896606630347879,,213.11881422
80.0,0.20955734,0.00055169,3.57e-06,-185.1511333390016,0.028956317331532432,,213.10882107
81.0,0.20954758,0.00058907,5.51e-06,-178.55528451293827,0.02895867268594001,,213.07253015
82.0,0.20954951,0.00060139,6.06e-06,-201.45805652769266,0.028683281716528,,213.10040578
83.0,0.20955378,0.00057791,5.26e-06,-197.5774680830893,0.028826601672946626,,213.08107693
84.0,0.2095176,0.00055411,3.12e-06,22.77030424604351,0.028910592454370457,,213.09475176
85.0,0.20956425,0.00056272,1.49e-06,-230.0444956208391,0.028955208584346716,,213.13406692
86.0,0.20953295,0.00055326,2.52e-06,-56.24589314892739,0.028981094378307967,,213.17259315
87.0,0.20955856,0.00057456,4.9e-06,-219.9546784778316,0.029037407085946442,,213.06753358
88.0,0.209598,0.00058753,6.17e-06,-446.8471946425432,0.029122567148041508,,213.05464767
89.0,0.2095674,0.0005948,5.54e-06,-285.8518084722233,0.028581616019668195,,213.11763082
90.0,0.20958519,0.00060082,1.14e-06,-384.25682083204737,0.02911350477820594,,213.07660631
91.0,0.20955826,0.00061998,-1.01e-06,-253.5420716551689,0.028537692195334488,,213.11618444
92.0,0.20955734,0.00061428,-1.9e-07,-246.4383258866125,0.028821841784263964,,213.15681449
93.0,0.20953213,0.00057941,-6.2e-07,-74.5056565017806,0.028733075459869084,,215.2108014
94.0,0.20953427,0.00053071,1.75e-06,-36.515923244538236,0.02873068922516099,,220.32164065
95.0,0.20948172,0.00053871,4.78e-06,224.55700438478422,0.028742805064734093,,222.26780686
96.0,0.20951831,0.00057512,3.43e-06,-4.748768547786996,0.028883509798537564,,222.47845197
97.0,0.20954413,0.00060959,3.77e-06,-181.06707581194,0.02914953925678883,,222.45964907
98.0,0.20953213,0.00062903,3.9e-06,-137.61794635885803,0.028821331595792386,,222.44676316
99.0,0.20952136,0.00057896,5.11e-06,-28.330522542484502,0.029112140822892346,,222.44439636
100.0,0.20950418,0.00059472,7.44e-06,41.09350489515521,0.02914343924839474,,222.46766989
101.0,0.20952166,0.00055524,3.58e-06,-0.7226825088352606,0.029156191987381425,,222.49291574
102.0,0.20952471,0.0005634,1.68e-06,-22.508905365917233,0.02911661069298083,,222.46569755
103.0,0.20951109,0.0005847,3.78e-06,22.219402979928716,0.0290920919926281,,222.46806435
104.0,0.20951668,0.0005923,5.78e-06,-19.56575932120679,0.02911685726594339,,222.39929569
105.0,0.20949605,0.00053819,4.83e-06,149.25059703181788,0.028608171027648937,,222.45780822
106.0,0.20952197,0.00054174,5.38e-06,9.224165394064803,0.0287113561316223,,222.38917105
107.0,0.20956171,0.00056138,8.78e-06,-226.6246220775955,0.028723497473504132,,222.47647964
108.0,0.20948507,0.00053156,8.82e-06,207.2017867440367,0.028695679341525154,,223.90628925
109.0,0.20954433,0.000539,4.62e-06,-104.49320591354358,0.029002296628913883,,226.79404711
110.0,0.20949879,0.00052805,2.86e-06,151.03703110411496,0.028883774476899025,,221.33910129
111.0,0.20952166,0.0005432,-3e-07,19.73418604788422,0.02902682748559159,,218.41097655
112.0,0.20955175,0.00056066,-3.44e-06,-152.93361516707373,0.028986516735330512,,223.64804517
113.0,0.20960969,0.00055718,-5.25e-06,-454.55539954087385,0.029147638133989306,,224.48418268
114.0,0.20956303,0.00057634,-6.09e-06,-225.94391971684982,0.029096141032043814,,223.82266234
115.0,0.20958905,0.00055068,-6.47e-06,-335.3058749618566,0.029143721567540862,,222.7702257
116.0,0.20959058,0.00051212,-3.1e-06,-305.9626905217886,0.029078082714527432,,222.3850949
117.0,0.20957523,0.00049612,7.6e-07,-212.38810093006532,0.02887837785742347,,222.40350333
118.0,0.20958793,0.00050966,1.8e-07,-292.53027805716096,0.028816382485955663,,222.41717817
119.0,0.20954372,0.00054983,2.8e-07,-104.79072042814818,0.02885021506222346,,222.38890807
120.0,0.20971631,0.00056195,3.07e-06,-1028.4476714367215,0.028766302235404412,,222.33315681
121.0,0.2095983,0.00052837,3.21e-06,-375.4795106955085,0.028996634531625213,,222.29239527
122.0,0.20954413,0.00049568,1.76e-06,-50.090173340278945,0.028948316233979015,,222.39351018
123.0,0.2094556,0.00051212,2.45e-06,398.1507910524764,0.02898545596381985,,222.40915735
124.0,0.20948436,0.00055754,1.51e-06,197.23146380571154,0.028928503935568752,,222.32802874
125.0,0.20932976,0.00057084,1.97e-06,993.7881165634897,0.028842002725585757,,222.35458949
126.0,0.20957401,0.00067211,8.39e-06,-409.6396346447586,0.028559577586146696,,222.34670016
127.0,0.20939024,0.00085533,2.083e-05,326.83337487987467,0.028716496794274356,,222.23256785
128.0,0.20901305,0.00107468,4.165e-05,2023.2858719735145,0.028723284503487153,,222.1154113
129.0,0.20874563,0.00130324,6.568e-05,3127.910771674088,0.02871663739137603,,222.05216517
130.0,0.20854316,0.00147693,0.00010658,3929.3856753827413,0.028765329314982456,,222.03638651
131.0,0.20836224,0.00162006,0.00014792,4640.421155467873,0.02873549267860188,,221.8880671
132.0,0.20824881,0.00182664,0.00018701,4937.543272800606,0.02873568367101182,,221.83073797
133.0,0.20810051,0.0019939,0.00022835,5402.028261461453,0.02845240173374661,,221.7233116
134.0,0.20795811,0.00212762,0.00026127,5945.806229676104,0.028500016167220487,,221.62811368
135.0,0.2078771,0.0022613,0.00028554,6156.9221884432845,0.028403395230572157,,221.5277877
136.0,0.20774619,0.00240391,0.00030821,6635.4726245764705,0.028387550722812016,,221.46611944
137.0,0.20762158,0.00255537,0.00032867,7077.124414828205,0.028378629980889695,,221.36710835
138.0,0.20752949,0.00273067,0.00034436,7280.286024242348,0.02816315093204935,,221.28229805
139.0,0.20714935,0.00294727,0.00035498,8837.960967513936,0.027729606266322804,,221.10912726
140.0,0.20666147,0.00317838,0.00036793,10959.57870232926,0.02755492291674455,,220.97329929
141.0,0.20634069,0.00337061,0.00037959,12706.549140107853,0.028367202506137116,,220.79552639
142.0,0.20616698,0.00359077,0.00038227,12845.504808679303,0.02727437067381267,,220.64839039
143.0,0.2057096,0.00388892,0.0003871,14765.924907113245,0.027227896223729415,,220.41933684
144.0,0.20535914,0.00420861,0.00038251,16214.15644098521,0.027294895875273027,,220.30139136
145.0,0.20504019,0.00445952,0.00037115,17841.79086326135,0.027746510982430864,,220.10613045
146.0,0.20493173,0.00462177,0.00036278,17965.99508394597,0.02734137541623932,,220.05143109
147.0,0.20470985,0.00473419,0.00035873,18936.08794570381,0.027315630970179576,,219.80620442
148.0,0.20462285,0.00483231,0.00035952,18990.19272326777,0.026927199374939065,,219.69299254
149.0,0.20449437,0.00492089,0.00036037,19589.453061048313,0.027016759117002197,,219.52100515
150.0,0.20433967,0.00503081,0.00035946,20261.664837269982,0.027052695760056124,,219.32916295
151.0,0.2042859,0.00510597,0.00035868,20742.202374310218,0.027439313003333035,,219.17453208
152.0,0.2042549,0.00510929,0.00036582,20631.460777779634,0.0271125492101667,,218.98190095
153.0,0.20420174,0.00515572,0.00037426,20806.611337788752,0.027081349730147596,,218.74180234
154.0,0.20394764,0.00528426,0.00038345,21965.662574484264,0.027159201140387185,,218.60268716
155.0,0.20386785,0.00541208,0.00039098,21983.605292005548,0.026876103105882936,,218.36995194
156.0,0.20368693,0.0055515,0.00039326,22696.163341095515,0.026851155544710736,,218.13550735
157.0,0.20357258,0.00569989,0.00039355,22815.781387099556,0.02651902136064891,,217.95891786
158.0,0.20344574,0.00582476,0.00039493,23110.20122046756,0.026306425099411855,,217.75734548
159.0,0.2033319,0.00586715,0.00038614,24011.624561329332,0.026739988220992765,,217.56471435
160.0,0.20315961,0.0059255,0.00037641,24557.92710090444,0.026480121963599314,,217.40416649
161.0,0.20319966,0.00597666,0.0003761,24438.47975596684,0.026611468103803684,,217.21955618
162.0,0.203264,0.00600442,0.00038382,24776.50736626871,0.027369116460164357,,216.95907681
163.0,0.20320119,0.00586561,0.00040272,24949.582593549672,0.027103859038085095,,216.69031365
164.0,0.20314254,0.00578051,0.00042573,24733.9446929159,0.026516387445240278,,216.44916315
165.0,0.20313746,0.00582552,0.00045197,24592.890197284065,0.026431866710391067,,216.25219288
166.0,0.20311418,0.00595932,0.00048283,23731.34520225193,0.025578213012841883,,216.00289007
167.0,0.20276901,0.00614925,0.00050236,26035.53910585255,0.02652170888959449,,215.71492954
168.0,0.20266188,0.00632827,0.00050772,25783.19515519551,0.025938257572983063,,215.47627733
169.0,0.20252659,0.00659167,0.00050895,26145.013582155636,0.025922204893777178,,215.19252444
170.0,0.2021245,0.00694332,0.00050463,27468.359927344216,0.025714787391861633,,214.94387908
